id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN,out_tit_red,out_tit_red_CLEAN,out_desc_red,out_desc_red_CLEAN,out_type_red,out_type_red_CLEAN,smd_red,smd_red_CLEAN,se_red,se_red_CLEAN,out_measure_red,out_measure_red_CLEAN,out_g1_n_red,out_g1_n_red_CLEAN,out_g1_mean_red,out_g1_mean_red_CLEAN,out_g1_sd_red,out_g1_sd_red_CLEAN,out_g2_n_red,out_g2_n_red_CLEAN,out_g2_mean_red,out_g2_mean_red_CLEAN,out_g2_sd_red,out_g2_sd_red_CLEAN,ci_lower_red,ci_lower_red_CLEAN,ci_upper_red,ci_upper_red_CLEAN,out_label_red,out_label_red_CLEAN,out_samp_red,out_samp_red_CLEAN,out_comp_red,out_comp_red_CLEAN,out_es_type_red,out_es_type_red_CLEAN,out_test_type_raw_red,out_test_type_raw_red_CLEAN,out_tit_wri,out_tit_wri_CLEAN,out_desc_wri,out_desc_wri_CLEAN,out_type_wri,out_type_wri_CLEAN,smd_wri,smd_wri_CLEAN,se_wri,se_wri_CLEAN,out_measure_wri,out_measure_wri_CLEAN,out_g1_n_wri,out_g1_n_wri_CLEAN,out_g1_mean_wri,out_g1_mean_wri_CLEAN,out_g1_sd_wri,out_g1_sd_wri_CLEAN,out_g2_n_wri,out_g2_n_wri_CLEAN,out_g2_mean_wri,out_g2_mean_wri_CLEAN,out_g2_sd_wri,out_g2_sd_wri_CLEAN,ci_lower_wri,ci_lower_wri_CLEAN,ci_upper_wri,ci_upper_wri_CLEAN,out_label_wri,out_label_wri_CLEAN,out_samp_wri,out_samp_wri_CLEAN,out_comp_wri,out_comp_wri_CLEAN,out_es_type_wri,out_es_type_wri_CLEAN,out_test_type_raw_wri,out_test_type_wri_CLEAN,out_tit_math,out_tit_math_CLEAN,out_desc_math,out_desc_math_CLEAN,out_type_math,out_type_math_CLEAN,smd_math,smd_math_CLEAN,se_math,se_math_CLEAN,out_measure_math,out_measure_math_CLEAN,out_g1_n_math,out_g1_n_math_CLEAN,out_g1_mean_math,out_g1_mean_math_CLEAN,out_g1_sd_math,out_g1_sd_math_CLEAN,out_g2_n_math,out_g2_n_math_CLEAN,out_g2_mean_math,out_g2_mean_math_CLEAN,out_g2_sd_math,out_g2_sd_math_CLEAN,ci_lower_math,ci_lower_math_CLEAN,ci_upper_math,ci_upper_math_CLEAN,out_label_math,out_label_math_CLEAN,out_samp_math,out_samp_math_CLEAN,out_comp_math,out_comp_math_CLEAN,out_es_type_math,out_es_type_math_CLEAN,out_test_type_raw_math,out_test_type_math_CLEAN,out_tit_sci,out_tit_sci_CLEAN,out_desc_sci,out_desc_sci_CLEAN,out_type_sci,out_type_sci_CLEAN,smd_sci,smd_sci_CLEAN,se_sci,se_sci_CLEAN,out_measure_sci,out_measure_sci_CLEAN,out_g1_n_sci,out_g1_n_sci_CLEAN,out_g1_mean_sci,out_g1_mean_sci_CLEAN,out_g1_sd_sci,out_g1_sd_sci_CLEAN,out_g2_n_sci,out_g2_n_sci_CLEAN,out_g2_mean_sci,out_g2_mean_sci_CLEAN,out_g2_sd_sci,out_g2_sd_sci_CLEAN,ci_lower_sci,ci_lower_sci_CLEAN,ci_upper_sci,ci_upper_sci_CLEAN,out_label_sci,out_label_sci_CLEAN,out_samp_sci,out_samp_sci_CLEAN,out_comp_sci,out_comp_sci_CLEAN,out_es_type_sci,out_es_type_sci_CLEAN,out_test_type_raw_sci,out_test_type_sci_CLEAN,out_tit_fsm,out_tit_fsm_CLEAN,out_desc_fsm,out_desc_fsm_CLEAN,out_type_fsm,out_type_fsm_CLEAN,smd_fsm,smd_fsm_CLEAN,se_fsm,se_fsm_CLEAN,out_measure_fsm,out_measure_fsm_CLEAN,out_g1_n_fsm,out_g1_n_fsm_CLEAN,out_g1_mean_fsm,out_g1_mean_fsm_CLEAN,out_g1_sd_fsm,out_g1_sd_fsm_CLEAN,out_g2_n_fsm,out_g2_n_fsm_CLEAN,out_g2_mean_fsm,out_g2_mean_fsm_CLEAN,out_g2_sd_fsm,out_g2_sd_fsm_CLEAN,ci_lower_fsm,ci_lower_fsm_CLEAN,ci_upper_fsm,ci_upper_fsm_CLEAN,out_label_fsm,out_label_fsm_CLEAN,out_samp_fsm,out_samp_fsm_CLEAN,out_comp_fsm,out_comp_fsm_CLEAN,out_es_type_fsm,out_es_type_fsm_CLEAN,out_test_type_raw_fsm,out_test_type_fsm_CLEAN
41683644,Abelson (1974),1974,['Mastery learning'],NA,the Peabody Picture Vocabulary Test (PPVT),,The test to investigate verbal intellectual development throughout the four years of the study. The PPVT is an individually administered test which assesses verbal conceptual knowledge independent of reading ability.,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2696,,0.2601,,Literacy: reading other,,35,,96.058,,15.218,,26,,91.692,,16.973,,-0.2402,,0.7795,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,the Peabody Picture Vocabulary Test (PPVT),,The test to investigate verbal intellectual development throughout the four years of the study. The PPVT is an individually administered test which assesses verbal conceptual knowledge independent of reading ability.,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2696,,0.2601,,Literacy: reading other,,35,,96.058,,15.218,,26,,91.692,,16.973,,-0.2402,,0.7795,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
41683543,Anania (1981) 1_1,1981,['Mastery learning'],NA,Summative test Grade 4 Mastery v Conventional,,Summative test Grade 4 Mastery v Conventional,,"['Toolkit primary outcome', 'Science primary outcome']",,0.5967,,0.2898,,Science,,26.0,,58.52,,17.41,,24.0,,48.07,,17.05,,0.0286,,1.1647,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: School-developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Summative test Grade 4 Mastery v Conventional,,Summative test Grade 4 Mastery v Conventional,,"['Toolkit primary outcome', 'Science primary outcome']",,0.5967,,0.2898,,Science,,26.0,,58.52,,17.41,,24.0,,48.07,,17.05,,0.0286,,1.1647,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: School-developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
45336714,Anania (1981) 1_2,1981,['Mastery learning'],NA,Summative test grade 5 Mastery v Conventional,,Summative test grade 5 Mastery v Conventional,,"['Toolkit primary outcome', 'Science primary outcome']",,1.3226,,0.3027,,Science,,26.0,,72.8,,14.47,,28.0,,52.55,,15.64,,0.7292,,1.916,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: School-developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Summative test grade 5 Mastery v Conventional,,Summative test grade 5 Mastery v Conventional,,"['Toolkit primary outcome', 'Science primary outcome']",,1.3226,,0.3027,,Science,,26.0,,72.8,,14.47,,28.0,,52.55,,15.64,,0.7292,,1.916,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: School-developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
45336715,Anania (1981) 1_3,1981,['Mastery learning'],NA,Summative test grade 8 Mastery v Conventional,,Summative test grade 8 Mastery v Conventional,,"['Toolkit primary outcome', 'Science primary outcome']",,1.0371,,0.2747,,Science,,28.0,,67.14,,17.87,,33.0,,49.21,,16.36,,0.4988,,1.5755,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: School-developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Summative test grade 8 Mastery v Conventional,,Summative test grade 8 Mastery v Conventional,,"['Toolkit primary outcome', 'Science primary outcome']",,1.0371,,0.2747,,Science,,28.0,,67.14,,17.87,,33.0,,49.21,,16.36,,0.4988,,1.5755,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: School-developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
37093532,Arblaster (1991),1991,"['Peer tutoring', 'Mastery learning']",NA,TE Burt Word Reading Test gains Tutees,,"Burt Word  Reading  Test  (Vernon, 1969)",,"['Toolkit primary outcome', 'Reading primary outcome']",,1.687,,0.4016,,Literacy: reading other,,22.0,,23.81,,8.92,,14.0,,10.07,,6.11,,0.8999,,2.4741,,Primary outcome,,['Sample: All'],,With business as usual,,['Pre-post gain'],,['Test type: Standardised test '],,TE Burt Word Reading Test gains Tutees,,"Burt Word  Reading  Test  (Vernon, 1969)",,"['Toolkit primary outcome', 'Reading primary outcome']",,1.687,,0.4016,,Literacy: reading other,,22.0,,23.81,,8.92,,14.0,,10.07,,6.11,,0.8999,,2.4741,,Primary outcome,,['Sample: All'],,With business as usual,,['Pre-post gain'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
41683548,Arlin (1983),1983,['Mastery learning'],NA,Retention test,,retention test 4 days after study,,"['Toolkit primary outcome', 'Other outcome']",,0.677,,0.219,,Cognitive: other,,NA,,NA,,NA,,NA,,NA,,NA,,0.2478,,1.1062,,Primary outcome,,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
38111428,Beck (1982),1982,"['Oral language interventions', 'Mastery learning']",NA,Reading comprehension - oral language,,Form 8 of the Iowa Test of Basic Skills (ITBS) Reading subtest was used.,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.4303,,0.2986,,Literacy: reading comprehension,,23,,27.3,,9.49,,23,,22.96,,10.32,,-0.155,,1.0155,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,Reading comprehension - oral language,,Form 8 of the Iowa Test of Basic Skills (ITBS) Reading subtest was used.,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.4303,,0.2986,,Literacy: reading comprehension,,23,,27.3,,9.49,,23,,22.96,,10.32,,-0.155,,1.0155,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
41683496,Beul (1973),1973,['Mastery learning'],NA,SRA Posttest (unadjusted),,Science Research Associates (SRA) Posttest unadjusted for sig differences in baseline,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.3305,,0.1006,,Mathematics,,202.0,,5.686,,0.0,,199.0,,0.001,,0.0,,0.1334,,0.5276,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,SRA Posttest (unadjusted),,Science Research Associates (SRA) Posttest unadjusted for sig differences in baseline,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.3305,,0.1006,,Mathematics,,202.0,,5.686,,0.0,,199.0,,0.001,,0.0,,0.1334,,0.5276,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
43099269,Bonaparte (1990),1990,"['Collaborative learning', 'Mastery learning']",NA,Mathematics,,"Mathematical Achievement, one of the two dependent variables studied, was measured by tests developed by Random House specifically for mastery learning instruction. It consisted of twenty questions. ",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,1.7644,,0.2239,,Mathematics,,56.0,,88.986,,8.617,,56.0,,72.818,,9.56,,1.3256,,2.2032,,Primary outcome,,['Sample: All'],,With active control,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Mathematics,,"Mathematical Achievement, one of the two dependent variables studied, was measured by tests developed by Random House specifically for mastery learning instruction. It consisted of twenty questions. ",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,1.7644,,0.2239,,Mathematics,,56.0,,88.986,,8.617,,56.0,,72.818,,9.56,,1.3256,,2.2032,,Primary outcome,,['Sample: All'],,With active control,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
41683499,Braly (1972),1972,['Mastery learning'],NA,ACS-NSTA Cooperative High School Chemistry Test,,"his test, used as pre- and post-test, is produced jointly by the American Chemical Society and the National Science Teachers Association. New editions appear every two years. The Form 1965 was used in this experiment. The test contains eighty items, however only Part I consisting of forty items was used in the pre-test.",,"['Toolkit primary outcome', 'Science primary outcome']",,-0.2585,,0.1811,,Science,,61.0,,15.645,,6.113,,62.0,,17.115,,5.158,,-0.6135,,0.0965,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: School-developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,ACS-NSTA Cooperative High School Chemistry Test,,"his test, used as pre- and post-test, is produced jointly by the American Chemical Society and the National Science Teachers Association. New editions appear every two years. The Form 1965 was used in this experiment. The test contains eighty items, however only Part I consisting of forty items was used in the pre-test.",,"['Toolkit primary outcome', 'Science primary outcome']",,-0.2585,,0.1811,,Science,,61.0,,15.645,,6.113,,62.0,,17.115,,5.158,,-0.6135,,0.0965,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: School-developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
