id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand
41683644,Abelson (1974),1974,['Journal article'],['Mastery learning'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2696,0.2601,['Post-test unadjusted (select one from this group)'],the Peabody Picture Vocabulary Test (PPVT),With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.2696,0.2601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,3,NA,['Nursery school/pre-school'],"['5', '6']",NA,NA,['USA'],['Prospective QED'],['Other (Explain in notes)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],38,NA,NA,['Toolkit: Mastery learning']
41683543,Anania (1981) 1_1,1981,['Dissertation or thesis'],['Mastery learning'],"['Toolkit primary outcome', 'Science primary outcome']",0.5967,0.2898,['Post-test unadjusted (select one from this group)'],Summative test Grade 4 Mastery v Conventional,With business as usual,['Sample: All'],Science,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.5967,0.2898,NA,NA,NA,50,1,NA,['Primary/elementary school'],"['9', '10']",NA,NA,['USA'],['Individual RCT'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],3,2,40,['Toolkit: Mastery learning']
45336714,Anania (1981) 1_2,1981,['Dissertation or thesis'],['Mastery learning'],"['Toolkit primary outcome', 'Science primary outcome']",1.3226,0.3027,['Post-test unadjusted (select one from this group)'],Summative test grade 5 Mastery v Conventional,With business as usual,['Sample: All'],Science,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",1.3226,0.3027,NA,NA,NA,54,1,NA,"['Primary/elementary school', 'Middle school']","['10', '11']",NA,NA,['USA'],['Individual RCT'],"['Large group/class teaching (+6)', 'One to one']",['No'],['No'],['No'],['During regular school hours '],['Class teachers'],3,2,40,['Toolkit: Mastery learning']
45336715,Anania (1981) 1_3,1981,['Dissertation or thesis'],['Mastery learning'],"['Toolkit primary outcome', 'Science primary outcome']",1.0371,0.2747,['Post-test unadjusted (select one from this group)'],Summative test grade 8 Mastery v Conventional,With business as usual,['Sample: All'],Science,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",1.0371,0.2747,NA,NA,NA,61,1,NA,"['Primary/elementary school', 'Middle school', 'Secondary/High school']","['13', '14']",NA,NA,['USA'],['Individual RCT'],['One to one'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],3,2,40,['Toolkit: Mastery learning']
37093532,Arblaster (1991),1991,['Journal article'],"['Peer tutoring', 'Mastery learning']","['Toolkit primary outcome', 'Reading primary outcome']",1.687,0.4016,['Pre-post gain'],TE Burt Word Reading Test gains Tutees,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.687,0.4016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,2,2,['Primary/elementary school'],['No information provided'],NA,NA,"['UK (Select all that apply)', 'England']",['Prospective QED'],['Paired learning'],['Unclear/ Not specified'],['No'],['Yes'],"['Unclear/ not specified', 'During regular school hours ']","['Class teachers', 'Peers']",35,5,NA,"['Toolkit: Mastery learning', 'Toolkit: Peer Tutoring']"
41683548,Arlin (1983),1983,['Journal article'],['Mastery learning'],"['Toolkit primary outcome', 'Other outcome']",0.677,0.219,['Post-test unadjusted (select one from this group)'],Retention test,With active control,['Sample: All'],Cognitive  other,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,2,4,['Secondary/High school'],"['12', '13']",NA,NA,['Canada'],['Individual RCT'],['Student alone (self-administered)'],['Unclear/ Not specified'],['No'],['Yes'],['During regular school hours '],"['Research staff', 'Unclear/not specified']",1,5,90,['Toolkit: Mastery learning']
38111428,Beck (1982),1982,['Journal article'],"['Oral language interventions', 'Mastery learning']","['Toolkit primary outcome', 'Reading primary outcome']",0.4303,0.2986,['Post-test unadjusted (select one from this group)'],Reading comprehension - oral language,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.4303,0.2986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46 ,1,3,['Primary/elementary school'],"['9', '10']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],20,5,30,"['Toolkit: Mastery learning', 'Toolkit: Oral language interventions']"
41683496,Beul (1973),1973,['Dissertation or thesis'],['Mastery learning'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3305,0.1006,NA,SRA Posttest (unadjusted),With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3305,0.1006,NA,NA,NA,NA,NA,NA,401,2,15,['Middle school'],"['12', '13']",NA,NA,['USA'],['Cluster RCT'],"['Student alone (self-administered)', 'Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],4,5,NA,NA
43099269,Bonaparte (1990),1990,['Dissertation or thesis'],"['Collaborative learning', 'Mastery learning']","['Toolkit primary outcome', 'Mathematics primary outcome']",1.7644,0.2239,['Post-test adjusted for baseline attainment'],Mathematics,With active control,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",1.7644,0.2239,NA,NA,NA,NA,NA,NA,112,4,8,['Primary/elementary school'],"['7', '8']",TRUE,86.5,['USA'],['Individual RCT'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",NA,NA,NA,"['Toolkit: Collaborative learning', 'Toolkit: Mastery learning']"
41683499,Braly (1972),1972,['Dissertation or thesis'],['Mastery learning'],"['Toolkit primary outcome', 'Science primary outcome']",-0.2585,0.1811,['Post-test adjusted for baseline attainment'],ACS-NSTA Cooperative High School Chemistry Test,With business as usual,['Sample: All'],Science,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",-0.2585,0.1811,NA,NA,NA,120,1,4,['Secondary/High school'],"['15', '16', '17', '18']",NA,NA,['USA'],['Individual RCT'],"['Student alone (self-administered)', 'Small group/intensive support (3-5)']",['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Other school staff']",9,NA,NA,['Toolkit: Mastery learning']
41683552,Bryant (1982),1982,['Journal article'],['Mastery learning'],"['Toolkit primary outcome', 'Other outcome']",1.661,0.3536,['Post-test unadjusted (select one from this group)'],Number of Words Read Correctly,With business as usual,['Sample: Low achievers'],Literacy  decoding/phonics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,['Primary/elementary school'],"['7', '8', '9', '10', '11']",NA,NA,['USA'],['Individual RCT'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],3,3,30,['Toolkit: Mastery learning']
41683553,Burke (1983) 1_1,1983,['Dissertation or thesis'],['Mastery learning'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.7783,0.262,['Post-test unadjusted (select one from this group)'],Posttest HMP,With business as usual,['Sample: All'],Mathematics,['Test type: National test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.7783,0.262,NA,NA,NA,NA,NA,NA,63   ,1,NA,['Primary/elementary school'],"['9', '10']",NA,NA,['USA'],['Individual RCT'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers', 'Teaching assistants']",3,1,NA,['Toolkit: Mastery learning']
45336720,Burke (1983) 1_2,1983,['Dissertation or thesis'],['Mastery learning'],"['Toolkit primary outcome', 'Other outcome']",1.2084,0.28,['Post-test unadjusted (select one from this group)'],Posttest HMP,With business as usual,['Sample: All'],Cognitive  reasoning,['Test type: National test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1,NA,['Primary/elementary school'],"['10', '11']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],3,NA,NA,['Toolkit: Mastery learning']
45336721,Burke (1983) 1_3,1983,['Dissertation or thesis'],['Mastery learning'],"['Toolkit primary outcome', 'Other outcome']",1.3654,0.2632,['Post-test unadjusted (select one from this group)'],Posttest HMP,With business as usual,['Sample: All'],Cognitive  reasoning,['Test type: National test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,1,NA,['Primary/elementary school'],"['10', '11']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],3,NA,NA,['Toolkit: Mastery learning']
41683554,Burrows (1975),1975,['Conference paper'],['Mastery learning'],"['Toolkit primary outcome', 'Mathematics primary outcome']",1.9534,0.3813,['Post-test unadjusted (select one from this group)'],Mathematics Test Total Score,With business as usual,"['Sample: High achievers', 'Sample: Low achievers']",Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",1.9534,0.3813,NA,NA,NA,NA,NA,NA,42,1,2,['Primary/elementary school'],"['9', '10', '11']",NA,NA,['USA'],['Individual RCT'],"['Student alone (self-administered)', 'Large group/class teaching (+6)', 'One to one']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Teaching assistants']",2,5,45,['Toolkit: Mastery learning']
41683611,Cabezon (1984),1984,['Dissertation or thesis'],['Mastery learning'],"['Toolkit primary outcome', 'Other outcome']",1.0936,0.2177,['Post-test unadjusted (select one from this group)'],Spanish Scores,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,['Mathematics primary outcome'],1.7252,0.2366,NA,NA,NA,NA,NA,NA,see table 2,22,NA,['Primary/elementary school'],"['8', '9', '11', '12', '13', '14']",NA,NA,['Chile'],['Cluster RCT'],"['Large group/class teaching (+6)', 'Small group/intensive support (3-5)', 'One to one', 'Paired learning']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],114 ,5,60,['Toolkit: Mastery learning']
41683649,Campbell (1978),1978,['Journal article'],['Mastery learning'],"['Toolkit primary outcome', 'Other outcome']",0.6621,0.1683,['Post-test unadjusted (select one from this group)'],Test A,With business as usual,['Sample: All'],Cognitive  reasoning,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153 ,2,8,['Primary/elementary school'],"['6', '7']",NA,NA,['USA'],['Individual RCT'],['Student alone (self-administered)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],20,5,55,['Toolkit: Mastery learning']
41683501,Carlson (1975),1975,['Dissertation or thesis'],['Mastery learning'],"['Toolkit primary outcome', 'Science primary outcome']",0.1119,0.215,['Post-test unadjusted (select one from this group)'],ACS-NSTA Cooperative Examination,With active control,['Sample: All'],Science,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.1119,0.215,NA,NA,NA,89 ,1,4,['Secondary/High school'],['No information provided'],NA,NA,['USA'],['Individual RCT'],"['Student alone (self-administered)', 'Small group/intensive support (3-5)']",['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],"['Research staff', 'Class teachers', 'Peers']",6,5,55,['Toolkit: Mastery learning']
