id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8
41683644,Abelson (1974),['Other outcome'],Primary outcome,STAR - Screening Test of Academic Readiness,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,the Peabody Picture Vocabulary Test (PPVT),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683543,Anania (1981) 1_1,"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Summative test Grade 4 Mastery v Conventional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336714,Anania (1981) 1_2,"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Summative test grade 5 Mastery v Conventional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336715,Anania (1981) 1_3,"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Summative test grade 8 Mastery v Conventional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093532,Arblaster (1991),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TE Burt Word Reading Test gains Tutees,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683548,Arlin (1983),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Retention test,['Other outcome'],Secondary outcome(s),Learning Rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111428,Beck (1982),['Other outcome'],Secondary outcome(s),Vocabulary - oral language,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension - oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683496,Beul (1973),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,SRA Posttest (unadjusted),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099269,Bonaparte (1990),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683499,Braly (1972),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,ACS-NSTA Cooperative High School Chemistry Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683552,Bryant (1982),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Number of Words Read Correctly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683553,Burke (1983) 1_1,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Posttest HMP,['Other outcome'],Secondary outcome(s),Posttest LMP,['Other outcome'],Secondary outcome(s),FT1A HMP,['Other outcome'],Secondary outcome(s),FT2A HMP,['Other outcome'],Secondary outcome(s),FT3A HMP,['Other outcome'],Secondary outcome(s),FT1A LMP,['Other outcome'],Secondary outcome(s),FT2A LMP,['Other outcome'],Secondary outcome(s),FT3A LMP
45336720,Burke (1983) 1_2,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Posttest HMP,['Other outcome'],Primary outcome,Posttest LMP,['Other outcome'],Secondary outcome(s),FT1A LMP,NA,Secondary outcome(s),FT2A LMP,['Other outcome'],Secondary outcome(s),FT3A LMP,['Other outcome'],Secondary outcome(s),FT1A HMP,['Other outcome'],Secondary outcome(s),FT2A HMP,['Other outcome'],Secondary outcome(s),FT3A HMP
45336721,Burke (1983) 1_3,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Posttest HMP,['Other outcome'],Secondary outcome(s),Posttest LMP,['Other outcome'],Secondary outcome(s),FT1A LMP,['Other outcome'],Secondary outcome(s),FT2A LMP,['Other outcome'],Secondary outcome(s),FT3A LMP,['Other outcome'],Secondary outcome(s),FT1A HMP,['Other outcome'],Secondary outcome(s),FT2A HMP,['Other outcome'],Secondary outcome(s),FT3A HMP
41683554,Burrows (1975),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Mathematics Test Total Score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
