id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand
40375708,Abbott (1997),1997,['Journal article'],['Mentoring'],"['Toolkit primary outcome', 'Other outcome']",0.5721,0.3042,['Post-test unadjusted (select one from this group)'],GPA,With business as usual,['Sample: All'],Combined subjects,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,['Other educational setting (please specify)'],"['8', '9', '10', '11', '12', '13', '14']",NA,NA,['USA'],['Prospective QED'],['One to one'],['Unclear/ Not specified'],['No'],['Yes'],['Evenings and/or weekends'],['Lay persons/volunteers'],60,1, ,['Toolkit: Mentoring']
40375710,Aiello (1988),1988,['Dissertation or thesis'],['Mentoring'],"['Toolkit primary outcome', 'Other outcome']",-0.1392,0.2052,['Post-test unadjusted (select one from this group)'],GPA - Mentoring,With business as usual,['Sample: Low achievers'],Combined subjects,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,2,NA,['Middle school'],"['12', '13', '14']",NA,NA,['USA'],['Prospective QED'],['One to one'],['Yes (Please specify)'],['No'],['Yes'],"['During regular school hours ', 'Evenings and/or weekends']",['Other school staff'],28,1, ,['Toolkit: Mentoring']
50307044,Anderson (2006),2006,['Dissertation or thesis'],['Mentoring'],"['Toolkit primary outcome', 'Other outcome']",-0.2167,0.3171,['Post-test unadjusted (select one from this group)'],Quarterly grades,With business as usual,['Sample: Low achievers'],Combined subjects,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1,NA,['Primary/elementary school'],"['9', '10', '11', '12']",NA,NA,['USA'],['Individual RCT'],['One to one'],['Yes (Please specify)'],['No'],['No'],['Unclear/ not specified'],['External teachers'],8,1, ,['Toolkit: Mentoring']
40375771,Barron-McKeagney (2003),2003,['Journal article'],['Mentoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1574,0.376,['Post-test adjusted for baseline attainment'],Language arts (p-value),With business as usual,['Sample: All'],Literacy  reading other,['Test type: School-developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1574,0.376,NA,NA,NA,['Mathematics primary outcome'],0.0935,0.3756,NA,NA,NA,NA,NA,NA,31,1,NA,"['Primary/elementary school', 'Middle school']","['8', '9', '10', '11']",NA,NA,['USA'],['Prospective QED'],"['Large group/class teaching (+6)', 'One to one']",['Yes (Please specify)'],['No'],['Yes'],"['During regular school hours ', 'Evenings and/or weekends']",['Lay persons/volunteers'],35,NA, ,['Toolkit: Mentoring']
40375880,Bernstein (2009),2009,['Technical report'],['Mentoring'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.023,0.0412,['Post-test unadjusted (select one from this group)'],ELA Grades (posttet means/SDs),With business as usual,['Sample: All'],Literacy  reading other,['Test type: School-developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.023,0.0412,NA,NA,NA,['Mathematics primary outcome'],-0.0237,0.0412,['Science primary outcome'],-0.0161,0.0412,NA,NA,NA,2573 ,NA,NA,"['Primary/elementary school', 'Middle school']","['9', '10', '11', '12', '13', '14']",TRUE,86.0,['USA'],['Individual RCT'],['One to one'],['Yes (Please specify)'],['No'],['Yes'],"['During regular school hours ', 'Before/after school']",['Peers'],23.2,1.1,66,['Toolkit: Mentoring']
50307074,Brett (1993),1993,['Dissertation or thesis'],['Mentoring'],"['Toolkit primary outcome', 'Other outcome']",0.7418,0.2173,['Post-test unadjusted (select one from this group)'],CTBS  verbal scores  -mentoring,With business as usual,['Sample: All'],Cognitive  reasoning,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,1,6,['Middle school'],"['12', '13']",NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['Yes'],['During regular school hours '],['Lay persons/volunteers'],12,1,45,['Toolkit: Mentoring']
40375881,Brooks (1995),1995,['Dissertation or thesis'],['Mentoring'],['Toolkit primary outcome'],0.1862,0.2722,['Post-test unadjusted (select one from this group)'],Effect of Careers Mentoring on GPA,With business as usual,['Sample: Low achievers'],Combined subjects,['Test type: National test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,['Secondary/High school'],"['14', '15', '16', '17', '18']",NA,NA,['USA'],['Prospective QED'],['One to one'],['Yes (Please specify)'],['No'],['Yes'],"['Evenings and/or weekends', 'Summer/ holiday period']",['Lay persons/volunteers'],35,1, ,['Toolkit: Mentoring']
40375883,Clarke (2009),2009,['Dissertation or thesis'],['Mentoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.5309,0.4049,['Post-test adjusted for baseline attainment'],Language Arts (p-value),With business as usual,['Sample: All'],Literacy  reading other,['Test type: School-developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.5309,0.4049,NA,NA,NA,['Mathematics primary outcome'],0.245,0.3987,NA,NA,NA,NA,NA,NA,39,1,NA,['Secondary/High school'],"['14', '15']",NA,NA,['USA'],['Individual RCT'],['One to one'],['Yes (Please specify)'],['No'],['No'],['Unclear/ not specified'],['External teachers'],72,1, 20.78 ,['Toolkit: Mentoring']
40375719,Davis (1988),1988,['Dissertation or thesis'],['Mentoring'],"['Toolkit primary outcome', 'Other outcome']",0.182,0.388,['Pre-post gain'],Combined Subjects-Mentoring,With business as usual,['Sample: Low achievers'],Combined subjects,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1,1,['Secondary/High school'],"['14', '15']",NA,NA,['USA'],['Individual RCT'],"['Small group/intensive support (3-5)', 'One to one']",['Yes (Please specify)'],['No'],['Yes'],['During regular school hours '],"['Class teachers', 'Other school staff']",35,1,10,['Toolkit: Mentoring']
50307048,de Blank (2009),2009,['Dissertation or thesis'],['Mentoring'],"['Toolkit primary outcome', 'Other outcome']",0.0394,0.1631,['Post-test unadjusted (select one from this group)'],academic achievement,With business as usual,['Sample: Low achievers'],Combined subjects,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,5,NA,['Middle school'],"['11', '12', '13']",FALSE,43.7,['USA'],['Individual RCT'],"['Large group/class teaching (+6)', 'One to one']",['Yes (Please specify)'],['No'],['No'],['Unclear/ not specified'],['Research staff'],35,1,90,['Toolkit: Mentoring']
