id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14
40375708,Abbott (1997),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,GPA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375710,Aiello (1988),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,GPA - Mentoring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50307044,Anderson (2006),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Quarterly grades,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375771,Barron-McKeagney (2003),['Other outcome'],Secondary outcome(s),Arts/PE/Music Achievement (f-value),['Other outcome'],Secondary outcome(s),Art/Music/PE (p-value),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Language arts (p-value),['Mathematics primary outcome'],Secondary outcome(s),Math GPA (p-value),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375880,Bernstein (2009),['Mathematics primary outcome'],Secondary outcome(s),Math Grades (posttest means/SDs),['Science primary outcome'],Secondary outcome(s),Science Grades (Posttest means/SDs),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ELA Grades (posttet means/SDs),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50307074,Brett (1993),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,CTBS: verbal scores  -mentoring,['Other outcome'],Secondary outcome(s),English grades,['Other outcome'],Secondary outcome(s),GPA-mentoring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375881,Brooks (1995),['Other outcome'],Secondary outcome(s),Study habits,['Toolkit primary outcome'],Primary outcome,Effect of Careers Mentoring on GPA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375883,Clarke (2009),['Mathematics primary outcome'],Secondary outcome(s),Mathematics Grades (p-value),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Language Arts (p-value),['Other outcome'],Secondary outcome(s),Social Science (p-value),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375719,Davis (1988),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Combined Subjects-Mentoring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50307048,de Blank (2009),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,academic achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
