id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand
38111324,Aarnoutse (1997),1997,['Journal article'],['Oral language interventions'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1661,0.3601,['Post-test unadjusted (select one from this group)'],Reading comprehension - peer tutoring (poor listening),With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1661,0.3601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,4,NA,['Primary/elementary school'],"['9', '10', '11']",NA,NA,['The Netherlands'],['Prospective QED'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Research staff'],1,2,30,['Toolkit: One to one tuition']
38111325,Aarnoutse (1998),1998,['Journal article'],['Oral language interventions'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.2466,0.2995,['Post-test adjusted for baseline attainment'],Reading comprehension - oral language (normal listeners),With business as usual,['Sample: Average'],Literacy  speaking and listening/oral language,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.2466,0.2995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,6,NA,['Primary/elementary school'],"['9', '10', '11']",NA,NA,['The Netherlands'],['Multisite RCT'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Lay persons/volunteers'],2,NA,30,['Toolkit: Oral language interventions']
38111424,Ahlfors (1979),1979,['Dissertation or thesis'],['Oral language interventions'],"['Toolkit primary outcome', 'Reading primary outcome']",2.6104,0.7863,['Post-test adjusted for baseline attainment'],Multuple Choice Definition Test ,With business as usual,['Sample: All'],Literacy  speaking and listening/oral language,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",2.6104,0.7863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1,3,['Primary/elementary school'],"['12', '11']",NA,NA,['USA'],['Cluster RCT'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['No'],['No'],['No'],['During regular school hours '],['Research staff'],5,4,15,['Toolkit: Oral language interventions']
47269765,Allinder (2001) OL,2001,['Journal article'],['Oral language interventions'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.3228,0.3065,['Post-test unadjusted (select one from this group)'],WRMT-R Passage Comprehension,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.3228,0.3065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1,3,['Middle school'],['12'],FALSE,5.0,['USA'],['Individual RCT'],['Small group/intensive support (3-5)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Teaching assistants']",10,3 ,50 ,['Toolkit: Oral language interventions']
38111471,Ammon (1971),1971,['Journal article'],['Oral language interventions'],"['Toolkit primary outcome', 'Reading primary outcome']",1.0878,0.265,['Post-test unadjusted (select one from this group)'],Peabody Picture Vocabulary Test (PPVT),With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.0878,0.265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,3,7,['Primary/elementary school'],"['4', '5']",NA,NA,['USA'],['Individual RCT'],['Small group/intensive support (3-5)'],['No'],['No'],['No'],['During regular school hours '],['Research staff'],6,2,20,['Toolkit: Oral language interventions']
38111425,Anders (1984),1984,['Conference paper'],['Oral language interventions'],"['Toolkit primary outcome', 'Reading primary outcome']",1.6616,0.2971,['Post-test unadjusted (select one from this group)'],Comprehension Test - Total Scores,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",1.6616,0.2971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,1,NA,['Secondary/High school'],"['14', '15', '16', '17', '18']",NA,NA,['USA'],['Multisite RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Research staff'],2,4,50 ,['Toolkit: Oral language interventions']
38111637,Aram (2004) OL,2004,['Journal article'],['Oral language interventions'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3624,0.2673,['Post-test unadjusted (select one from this group)'],Phonological Awareness (Post test Means/SDs) - Joint Reading vs Control,With business as usual,['Sample: All'],Literacy  decoding/phonics,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.3624,0.2673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,6,NA,['Nursery school/pre-school'],"['3', '4', '5']",NA,NA,['Israel'],['Cluster RCT'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['Yes'],['During regular school hours '],['External teachers'],33,2,25,['Toolkit: Oral language interventions']
38111536,Aram (2006),2006,['Journal article'],['Oral language interventions'],"['Toolkit primary outcome', 'Reading primary outcome']",0.0396,0.231,['Post-test unadjusted (select one from this group)'],Peabody Picture Vocabulary Test,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.0396,0.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,6,NA,['Nursery school/pre-school'],"['3', '4', '5']",NA,NA,['Israel'],"['Cluster RCT', 'Prospective QED']","['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],25,2,25,['Toolkit: Oral language interventions']
38111426,Armstrong (2000),2000,['Dissertation or thesis'],['Oral language interventions'],"['Toolkit primary outcome', 'Reading primary outcome']",0.21,0.2958,['Post-test unadjusted (select one from this group)'],Reading ability - oral language,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.21,0.2958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,1,2,['Middle school'],"['11', '12']",NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],10,5,45,['Toolkit: Oral language interventions']
39717230,Baker (2000),2000,['Journal article'],"['One to one tuition', 'Oral language interventions']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,6,24,['Primary/elementary school'],"['6', '7', '8']",NA,NA,['USA'],['Individual RCT'],['One to one'],['Yes (Please specify)'],['No'],['Yes'],['During regular school hours '],['Lay persons/volunteers'],24,2,30,NA
