id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN,out_tit_red,out_tit_red_CLEAN,out_desc_red,out_desc_red_CLEAN,out_type_red,out_type_red_CLEAN,smd_red,smd_red_CLEAN,se_red,se_red_CLEAN,out_measure_red,out_measure_red_CLEAN,out_g1_n_red,out_g1_n_red_CLEAN,out_g1_mean_red,out_g1_mean_red_CLEAN,out_g1_sd_red,out_g1_sd_red_CLEAN,out_g2_n_red,out_g2_n_red_CLEAN,out_g2_mean_red,out_g2_mean_red_CLEAN,out_g2_sd_red,out_g2_sd_red_CLEAN,ci_lower_red,ci_lower_red_CLEAN,ci_upper_red,ci_upper_red_CLEAN,out_label_red,out_label_red_CLEAN,out_samp_red,out_samp_red_CLEAN,out_comp_red,out_comp_red_CLEAN,out_es_type_red,out_es_type_red_CLEAN,out_test_type_raw_red,out_test_type_raw_red_CLEAN,out_tit_wri,out_tit_wri_CLEAN,out_desc_wri,out_desc_wri_CLEAN,out_type_wri,out_type_wri_CLEAN,smd_wri,smd_wri_CLEAN,se_wri,se_wri_CLEAN,out_measure_wri,out_measure_wri_CLEAN,out_g1_n_wri,out_g1_n_wri_CLEAN,out_g1_mean_wri,out_g1_mean_wri_CLEAN,out_g1_sd_wri,out_g1_sd_wri_CLEAN,out_g2_n_wri,out_g2_n_wri_CLEAN,out_g2_mean_wri,out_g2_mean_wri_CLEAN,out_g2_sd_wri,out_g2_sd_wri_CLEAN,ci_lower_wri,ci_lower_wri_CLEAN,ci_upper_wri,ci_upper_wri_CLEAN,out_label_wri,out_label_wri_CLEAN,out_samp_wri,out_samp_wri_CLEAN,out_comp_wri,out_comp_wri_CLEAN,out_es_type_wri,out_es_type_wri_CLEAN,out_test_type_raw_wri,out_test_type_wri_CLEAN,out_tit_math,out_tit_math_CLEAN,out_desc_math,out_desc_math_CLEAN,out_type_math,out_type_math_CLEAN,smd_math,smd_math_CLEAN,se_math,se_math_CLEAN,out_measure_math,out_measure_math_CLEAN,out_g1_n_math,out_g1_n_math_CLEAN,out_g1_mean_math,out_g1_mean_math_CLEAN,out_g1_sd_math,out_g1_sd_math_CLEAN,out_g2_n_math,out_g2_n_math_CLEAN,out_g2_mean_math,out_g2_mean_math_CLEAN,out_g2_sd_math,out_g2_sd_math_CLEAN,ci_lower_math,ci_lower_math_CLEAN,ci_upper_math,ci_upper_math_CLEAN,out_label_math,out_label_math_CLEAN,out_samp_math,out_samp_math_CLEAN,out_comp_math,out_comp_math_CLEAN,out_es_type_math,out_es_type_math_CLEAN,out_test_type_raw_math,out_test_type_math_CLEAN,out_tit_sci,out_tit_sci_CLEAN,out_desc_sci,out_desc_sci_CLEAN,out_type_sci,out_type_sci_CLEAN,smd_sci,smd_sci_CLEAN,se_sci,se_sci_CLEAN,out_measure_sci,out_measure_sci_CLEAN,out_g1_n_sci,out_g1_n_sci_CLEAN,out_g1_mean_sci,out_g1_mean_sci_CLEAN,out_g1_sd_sci,out_g1_sd_sci_CLEAN,out_g2_n_sci,out_g2_n_sci_CLEAN,out_g2_mean_sci,out_g2_mean_sci_CLEAN,out_g2_sd_sci,out_g2_sd_sci_CLEAN,ci_lower_sci,ci_lower_sci_CLEAN,ci_upper_sci,ci_upper_sci_CLEAN,out_label_sci,out_label_sci_CLEAN,out_samp_sci,out_samp_sci_CLEAN,out_comp_sci,out_comp_sci_CLEAN,out_es_type_sci,out_es_type_sci_CLEAN,out_test_type_raw_sci,out_test_type_sci_CLEAN,out_tit_fsm,out_tit_fsm_CLEAN,out_desc_fsm,out_desc_fsm_CLEAN,out_type_fsm,out_type_fsm_CLEAN,smd_fsm,smd_fsm_CLEAN,se_fsm,se_fsm_CLEAN,out_measure_fsm,out_measure_fsm_CLEAN,out_g1_n_fsm,out_g1_n_fsm_CLEAN,out_g1_mean_fsm,out_g1_mean_fsm_CLEAN,out_g1_sd_fsm,out_g1_sd_fsm_CLEAN,out_g2_n_fsm,out_g2_n_fsm_CLEAN,out_g2_mean_fsm,out_g2_mean_fsm_CLEAN,out_g2_sd_fsm,out_g2_sd_fsm_CLEAN,ci_lower_fsm,ci_lower_fsm_CLEAN,ci_upper_fsm,ci_upper_fsm_CLEAN,out_label_fsm,out_label_fsm_CLEAN,out_samp_fsm,out_samp_fsm_CLEAN,out_comp_fsm,out_comp_fsm_CLEAN,out_es_type_fsm,out_es_type_fsm_CLEAN,out_test_type_raw_fsm,out_test_type_fsm_CLEAN
42064978,Ahamed (2007),2007,['Sports participation'],NA,Composite CAT-3,,Posttest adjusted means and SD's for intervention vs control on overall Canadian Achievement Test (results not provided for individua subjects,,"['Toolkit primary outcome', 'Other outcome']",,-1.3875,,0.1469,,Combined subjects,,214.0,,1672.2,,9.6,,74.0,,1688.6,,16.6,,-1.6754,,-1.0996,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
52131705,Alesi (2016),2016,['Sports participation'],NA,Tower of London test,,"the Tower of London task assessed executive- function skills in general, including planning and inhibition.",,"['Toolkit primary outcome', 'Other outcome']",,0.546,,0.3088,,Cognitive: reasoning,,24.0,,1.34,,0.92,,20.0,,0.9,,0.6,,-0.0594,,1.1513,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
52131792,Altenburg (2016)_1,2016,['Sports participation'],NA,TEA-Ch test,,"‘Test of Selective Attention in Children’ (TEA-Ch).13 In short, children had to detect 20 pairs of identical spacecrafts, distributed among 108 distractors, as quickly as possible",,"['Toolkit primary outcome', 'Other outcome']",,0.26,,0.1316,,Cognitive: other,,NA,,NA,,NA,,NA,,NA,,NA,,0.0021,,0.5179,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
52131706,Ardoy (2014),2014,['Sports participation'],NA,Mathematics,,Posttest means and SD's for maths outcome after 4-month physical activity intervention. ,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,-0.1173,,0.2758,,Mathematics,,49.0,,5.17,,1.29,,18.0,,6.1,,0.3,,-0.6579,,0.4233,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: National test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Mathematics,,Posttest means and SD's for maths outcome after 4-month physical activity intervention. ,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,-0.1173,,0.2758,,Mathematics,,49.0,,5.17,,1.29,,18.0,,6.1,,0.3,,-0.6579,,0.4233,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: National test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
52131590,Beck (2016),2016,['Sports participation'],NA,Mathematical Test,,"The children’s mathematical achievement was tested through a paper-and-pencil, standardized, diagnostic test developed by experts within the neuropsychological ﬁeld of mathematical testing in Denmark (Hogrefe Psykologiske Forlag A/S, Virum, Denmark). Speciﬁcally, the test consisted of 50 mathematical tasks to be solved, including 39 1st grade tasks and 11 2nd grade tasks",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.189,,0.2005,,Mathematics,,51.0,,40.6,,1.2,,49.0,,38.9,,1.3,,-0.204,,0.582,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Mathematical Test,,"The children’s mathematical achievement was tested through a paper-and-pencil, standardized, diagnostic test developed by experts within the neuropsychological ﬁeld of mathematical testing in Denmark (Hogrefe Psykologiske Forlag A/S, Virum, Denmark). Speciﬁcally, the test consisted of 50 mathematical tasks to be solved, including 39 1st grade tasks and 11 2nd grade tasks",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.189,,0.2005,,Mathematics,,51.0,,40.6,,1.2,,49.0,,38.9,,1.3,,-0.204,,0.582,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
52131435,Booth (2014),2014,['Sports participation'],NA,English,,"General Certiﬁcate of Secondary Education, GCSE (key stage 2)",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1288,,0.0276,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,0.0747,,0.1828,,Primary outcome,,['Sample: All'],,With no equivalent teaching,,['Post-test unadjusted (select one from this group)'],,['Test type: National test'],,English,,"General Certiﬁcate of Secondary Education, GCSE (key stage 2)",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1288,,0.0276,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,0.0747,,0.1828,,Primary outcome,,['Sample: All'],,With no equivalent teaching,,['Post-test unadjusted (select one from this group)'],,['Test type: National test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Maths,,"General Certiﬁcate of Secondary Education, GCSE (key stage 2)",,['Mathematics primary outcome'],,0.063,,0.0276,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,0.0089,,0.117,,Secondary outcome(s),,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: National test'],,Science,,"General Certiﬁcate of Secondary Education, GCSE (key stage 2)",,['Science primary outcome'],,0.1074,,0.0282,,Science,,NA,,NA,,NA,,NA,,NA,,NA,,0.0521,,0.1626,,Secondary outcome(s),,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: National test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
42064952,Branch (2003) SP,2003,['Sports participation'],NA,GPA,,Posttest GPA means and SD's for the athletic vs non-participants,,"['Toolkit primary outcome', 'Other outcome']",,0.3872,,0.0719,,Combined subjects,,281.0,,3.02,,0.71,,654.0,,2.72,,0.8,,0.2463,,0.5281,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: National test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
52131634,Budde (2008),2008,['Sports participation'],NA,d2 test -GZ,,Attention test d2 –   number of responses (GZ)  CE (exercise group) vs NSL (normal/control),,['Toolkit primary outcome'],,0.3687,,0.203,,Cognitive: other,,47,,10.67,,12.7,,52,,6,,12.45,,-0.0293,,0.7666,,Primary outcome,,['Sample: High achievers'],,With business as usual,,['Pre-post gain'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
52131708,Bunketorp (2015),2015,['Sports participation'],NA,Swedish-all,,"Sweedish language - OR (Odd Ratios) converted to Cohen’s d, OR for intervention group of girls & boys (separately), then used fixed effects ",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2586,,0.4963,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,-0.7141,,1.2313,,Primary outcome,,['Sample: All'],,With business as usual,,NA,,['Test type: National test'],,Swedish-all,,"Sweedish language - OR (Odd Ratios) converted to Cohen’s d, OR for intervention group of girls & boys (separately), then used fixed effects ",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2586,,0.4963,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,-0.7141,,1.2313,,Primary outcome,,['Sample: All'],,With business as usual,,NA,,['Test type: National test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Maths-all,,"Maths - OR (Odd Ratios) converted to Cohen’s d, OR for intervention group of girls & boys (separately), then used fixed effects ",,['Mathematics primary outcome'],,0.1962,,0.4998,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,-0.7835,,1.1758,,Secondary outcome(s),,['Sample: All'],,With business as usual,,NA,,['Test type: National test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
52131709,Butzer (2015),2015,['Sports participation'],NA,GPA score (4th quarter),,GPA is a commonly used method to measure student performance and is calculated by converting letter grades into gradepointsthattakeintoaccountthe number of credit hoursattempted andrelativedifficultyofthe class,,"['Toolkit primary outcome', 'Other outcome']",,0.0125,,0.2058,,Combined subjects,,44.0,,2.68,,0.78,,51.0,,2.67,,0.8,,-0.3907,,0.4158,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
