id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12
42064978,Ahamed (2007),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Composite CAT-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52131705,Alesi (2016),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Tower of London test,['Other outcome'],Secondary outcome(s),Accuracy of Visual Discrimination,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52131792,Altenburg (2016)_1,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,TEA-Ch test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52131706,Ardoy (2014),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Mathematics,['Other outcome'],Secondary outcome(s),Languages,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52131590,Beck (2016),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Mathematical Test,['Other outcome'],Secondary outcome(s),Phonological Short-term memory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52131435,Booth (2014),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,English,['Mathematics primary outcome'],Secondary outcome(s),Maths,['Science primary outcome'],Secondary outcome(s),Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42064952,Branch (2003) SP,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,GPA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52131634,Budde (2008),['Other outcome'],Secondary outcome(s),d2-SKL,['Toolkit primary outcome'],Primary outcome,d2 test -GZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52131708,Bunketorp (2015),['Other outcome'],Primary outcome,Swedish,['Other outcome'],Primary outcome,Swedish-boys,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Swedish-all,['Other outcome'],Secondary outcome(s),Maths-girls,['Other outcome'],Secondary outcome(s),Maths-boys,['Mathematics primary outcome'],Secondary outcome(s),Maths-all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52131709,Butzer (2015),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,GPA score (4th quarter),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
