id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14
42025124,Arnold (1996),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Addison Wesley Maths Grade 3,['Other outcome'],Primary outcome,Addison Wesley Maths Grade 4,['Other outcome'],Primary outcome,Addison Wesley Maths Grade 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025125,Austin (1988),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,GCRT Reading,['Mathematics primary outcome'],Secondary outcome(s),GCRT Maths,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025487,Barhava‐Mònteith (1999),"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,Reading Diagnostic Survey ,['Other outcome'],Secondary outcome(s),Reading Diagnostic Survey ,['Other outcome'],Secondary outcome(s),Reading Diagnostic Survey ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42024853,Barkley (2000),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WJ Academic Skills (PT vs Control),['Other outcome'],Secondary outcome(s),WJ Letter ID,['Science primary outcome'],Secondary outcome(s),WJ Science (PT vs Control),['Other outcome'],Secondary outcome(s),WJ Social Studies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42059739,Beach (2004),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,DIBELS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025129,Bermúdez (1990),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Achievement,['Other outcome'],Secondary outcome(s),Language Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42024854,Beveridge (1981),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,EPVT : language - Parental Engagement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269778,Brickman (2002) PE,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Peabody Picture Vocabulary Test ,['Other outcome'],Secondary outcome(s),Concept About Print Test,['Other outcome'],Secondary outcome(s),Mean Length of Utterance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025132,Busco (1991),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SABE Scores Including Grade as a Between-Subiects Factor,['Other outcome'],Secondary outcome(s),BASE Scores including Grade Level as a Between-Subjects Factor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269780,Butler (1991) PE,"['Toolkit primary outcome', 'Reading primary outcome']",,Holborn Reading Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025488,Chow (2003),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPCLS posttest Dialogic v control,['Other outcome'],Secondary outcome(s),PPVT Posttest Dialogic v control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025489,Chow (2008),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Chinese character recognition (DR vs Control),['Other outcome'],Secondary outcome(s),Cantonese receptive vocabulary test (DR vs Control),['Other outcome'],Secondary outcome(s),Morpheme identification task (DR vs Control),['Other outcome'],Secondary outcome(s),Morphological Construction Task (DR vs Control),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025134,Clegg (1971),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Comprehension,['Other outcome'],Secondary outcome(s),Vocabulary ,['Other outcome'],Secondary outcome(s),Composite Reading,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025415,Crain-Thoreson (1999),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,EOWPVT-R,['Other outcome'],Secondary outcome(s),PPVT-R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
