id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN,out_tit_red,out_tit_red_CLEAN,out_desc_red,out_desc_red_CLEAN,out_type_red,out_type_red_CLEAN,smd_red,smd_red_CLEAN,se_red,se_red_CLEAN,out_measure_red,out_measure_red_CLEAN,out_g1_n_red,out_g1_n_red_CLEAN,out_g1_mean_red,out_g1_mean_red_CLEAN,out_g1_sd_red,out_g1_sd_red_CLEAN,out_g2_n_red,out_g2_n_red_CLEAN,out_g2_mean_red,out_g2_mean_red_CLEAN,out_g2_sd_red,out_g2_sd_red_CLEAN,ci_lower_red,ci_lower_red_CLEAN,ci_upper_red,ci_upper_red_CLEAN,out_label_red,out_label_red_CLEAN,out_samp_red,out_samp_red_CLEAN,out_comp_red,out_comp_red_CLEAN,out_es_type_red,out_es_type_red_CLEAN,out_test_type_raw_red,out_test_type_raw_red_CLEAN,out_tit_wri,out_tit_wri_CLEAN,out_desc_wri,out_desc_wri_CLEAN,out_type_wri,out_type_wri_CLEAN,smd_wri,smd_wri_CLEAN,se_wri,se_wri_CLEAN,out_measure_wri,out_measure_wri_CLEAN,out_g1_n_wri,out_g1_n_wri_CLEAN,out_g1_mean_wri,out_g1_mean_wri_CLEAN,out_g1_sd_wri,out_g1_sd_wri_CLEAN,out_g2_n_wri,out_g2_n_wri_CLEAN,out_g2_mean_wri,out_g2_mean_wri_CLEAN,out_g2_sd_wri,out_g2_sd_wri_CLEAN,ci_lower_wri,ci_lower_wri_CLEAN,ci_upper_wri,ci_upper_wri_CLEAN,out_label_wri,out_label_wri_CLEAN,out_samp_wri,out_samp_wri_CLEAN,out_comp_wri,out_comp_wri_CLEAN,out_es_type_wri,out_es_type_wri_CLEAN,out_test_type_raw_wri,out_test_type_wri_CLEAN,out_tit_math,out_tit_math_CLEAN,out_desc_math,out_desc_math_CLEAN,out_type_math,out_type_math_CLEAN,smd_math,smd_math_CLEAN,se_math,se_math_CLEAN,out_measure_math,out_measure_math_CLEAN,out_g1_n_math,out_g1_n_math_CLEAN,out_g1_mean_math,out_g1_mean_math_CLEAN,out_g1_sd_math,out_g1_sd_math_CLEAN,out_g2_n_math,out_g2_n_math_CLEAN,out_g2_mean_math,out_g2_mean_math_CLEAN,out_g2_sd_math,out_g2_sd_math_CLEAN,ci_lower_math,ci_lower_math_CLEAN,ci_upper_math,ci_upper_math_CLEAN,out_label_math,out_label_math_CLEAN,out_samp_math,out_samp_math_CLEAN,out_comp_math,out_comp_math_CLEAN,out_es_type_math,out_es_type_math_CLEAN,out_test_type_raw_math,out_test_type_math_CLEAN,out_tit_sci,out_tit_sci_CLEAN,out_desc_sci,out_desc_sci_CLEAN,out_type_sci,out_type_sci_CLEAN,smd_sci,smd_sci_CLEAN,se_sci,se_sci_CLEAN,out_measure_sci,out_measure_sci_CLEAN,out_g1_n_sci,out_g1_n_sci_CLEAN,out_g1_mean_sci,out_g1_mean_sci_CLEAN,out_g1_sd_sci,out_g1_sd_sci_CLEAN,out_g2_n_sci,out_g2_n_sci_CLEAN,out_g2_mean_sci,out_g2_mean_sci_CLEAN,out_g2_sd_sci,out_g2_sd_sci_CLEAN,ci_lower_sci,ci_lower_sci_CLEAN,ci_upper_sci,ci_upper_sci_CLEAN,out_label_sci,out_label_sci_CLEAN,out_samp_sci,out_samp_sci_CLEAN,out_comp_sci,out_comp_sci_CLEAN,out_es_type_sci,out_es_type_sci_CLEAN,out_test_type_raw_sci,out_test_type_sci_CLEAN,out_tit_fsm,out_tit_fsm_CLEAN,out_desc_fsm,out_desc_fsm_CLEAN,out_type_fsm,out_type_fsm_CLEAN,smd_fsm,smd_fsm_CLEAN,se_fsm,se_fsm_CLEAN,out_measure_fsm,out_measure_fsm_CLEAN,out_g1_n_fsm,out_g1_n_fsm_CLEAN,out_g1_mean_fsm,out_g1_mean_fsm_CLEAN,out_g1_sd_fsm,out_g1_sd_fsm_CLEAN,out_g2_n_fsm,out_g2_n_fsm_CLEAN,out_g2_mean_fsm,out_g2_mean_fsm_CLEAN,out_g2_sd_fsm,out_g2_sd_fsm_CLEAN,ci_lower_fsm,ci_lower_fsm_CLEAN,ci_upper_fsm,ci_upper_fsm_CLEAN,out_label_fsm,out_label_fsm_CLEAN,out_samp_fsm,out_samp_fsm_CLEAN,out_comp_fsm,out_comp_fsm_CLEAN,out_es_type_fsm,out_es_type_fsm_CLEAN,out_test_type_raw_fsm,out_test_type_fsm_CLEAN
51636017,Atkinson (2009),2009,['Performance pay'],NA,"GCSE (English, Math, Science)",,"The estimate is based on regression estimates from Table 4 (most adjusted), using SD from Table A2",,"['Toolkit primary outcome', 'Other outcome']",,0.6592,,0.1894,,Combined subjects,,NA,,NA,,NA,,NA,,NA,,NA,,0.288,,1.0304,,Primary outcome,,['Sample: All'],,With business as usual,,['Pre-post gain'],,['Test type: National test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
51636018,Balch (2015),2015,['Performance pay'],NA,Reading (2007-2008) - Performance Pay,,Post-test adjusted reading score. Texas Assessment of Knowledge and Skills (TAKS) for the 2007-2008 academic year,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.11,,0.036,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,0.0394,,0.1806,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,Reading (2007-2008) - Performance Pay,,Post-test adjusted reading score. Texas Assessment of Knowledge and Skills (TAKS) for the 2007-2008 academic year,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.11,,0.036,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,0.0394,,0.1806,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Math (2007-2008)  TAKS - performance Pay,,Math score of TAKS for the 2007-2008 academic year,,['Mathematics primary outcome'],,0.1133,,0.061,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,-0.0063,,0.2329,,Secondary outcome(s),,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
51437049,Barnett (2014),2014,['Performance pay'],NA,Assessment Index,,"Assessment Index measure to include as many grades and subject areas as possible. For schools serving students in any of the grades 3 through 8, the K-8 Assessment Index (AI) is based on a formula weighted by performance category and subject. The five possible performance categories of LEAP and iLEAP and their assigned weights are Advanced (150 points), Mastery (125 points), Basic (100 points), Approaching Basic (0 points), and Unsatisfactory (0 points). ELA and math sub-tests are given a weight of 2 each, while science and social studies tests are weighted 1 each. The weighted scores are summed then divided by the number of test units weighted. As an example, a 6th grade student who scored Advanced in math and Basic on the other three subject area sub-tests would contribute to the school total",,"['Toolkit primary outcome', 'Other outcome']",,0.3551,,0.0641,,Combined subjects,,495.0,,64.45,,15.87,,495.0,,58.98,,14.9,,0.2295,,0.4807,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: School-developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
51437050,Barrera-Osorio (2017),2017,['Performance pay'],NA,Punjab Examination Commission (PEC) exams,,"The test uses selected and constructed response ques- tions based on standard learning objectives of Pakistan's ofﬁcial curric- ulum. Core subjects are English, Urdu, Islamic studies, mathematics, science, and social studies, all assessed through pencil-and-paper tests",,"['Toolkit primary outcome', 'Other outcome']",,0.0081,,0.06,,Combined subjects,,NA,,NA,,NA,,NA,,NA,,NA,,-0.1095,,0.1257,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
51437051,Behrman (2015),2015,['Performance pay'],NA,ENLACE,,Standardized mathematics tests administered at the end of the school year. The tests were designed by CENEVAL on the basis of the input of Mexican experts on upper-secondary school mathematics. The ENLACE is a national test with separate mathematics and language components that began in 2007 with only two grades and is now administered each year to students in all grades between grade 3 and grade 9 and in grade.  The tests were based on the curriculum in each grade. The tests were administered by the Ministry of Education with procedures designed to minimize possible testing abuses.,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.004,,0.02,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,-0.0352,,0.0432,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: National test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,ENLACE,,Standardized mathematics tests administered at the end of the school year. The tests were designed by CENEVAL on the basis of the input of Mexican experts on upper-secondary school mathematics. The ENLACE is a national test with separate mathematics and language components that began in 2007 with only two grades and is now administered each year to students in all grades between grade 3 and grade 9 and in grade.  The tests were based on the curriculum in each grade. The tests were administered by the Ministry of Education with procedures designed to minimize possible testing abuses.,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.004,,0.02,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,-0.0352,,0.0432,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: National test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
51437052,Briggs (2014),2014,['Performance pay'],NA,Reading,,"Student scores on the mathematics, reading, and writing sections of the Transitional Colorado Assessment Program (TCAP) constitute the primary outcome variable.",,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.04,,0.01,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.0596,,-0.0204,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,Reading,,"Student scores on the mathematics, reading, and writing sections of the Transitional Colorado Assessment Program (TCAP) constitute the primary outcome variable.",,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.04,,0.01,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.0596,,-0.0204,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Mathematics,,"Student scores on the mathematics, reading, and writing sections of the Transitional Colorado Assessment Program (TCAP) constitute the primary outcome variable.",,['Mathematics primary outcome'],,0.03,,0.01,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,0.0104,,0.0496,,Secondary outcome(s),,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
51437053,Contreras (2012),2012,['Performance pay'],NA,SIMCE Score Math (Private vs Public)-2006,,NA,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,-1.8683,,0.3124,,Mathematics,,26.0,,231.47,,31.94,,35.0,,288.09,,28.34,,-2.4807,,-1.2559,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,SIMCE Score Math (Private vs Public)-2006,,NA,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,-1.8683,,0.3124,,Mathematics,,26.0,,231.47,,31.94,,35.0,,288.09,,28.34,,-2.4807,,-1.2559,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
51636023,Eberts (2002),2002,['Performance pay'],NA,Grade Point Average,,The GPA is calculated from the available school level data,,"['Toolkit primary outcome', 'Other outcome']",,-0.1078,,0.0709,,Combined subjects,,578.0,,-0.53,,1.44,,304.0,,-0.37,,1.56,,-0.2468,,0.0311,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
51636028,Fryer (2012),2012,['Performance pay'],NA,Thinklink Reading Scores (ITT) Pooled Loss - fully adjusted,,NA,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.179,,0.115,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.0464,,0.4044,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,Thinklink Reading Scores (ITT) Pooled Loss - fully adjusted,,NA,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.179,,0.115,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.0464,,0.4044,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Thinklink Math Scores (ITT) vs Pooled Loss Fully adjusted,,Math scores on four ThinkLink examinations,,['Mathematics primary outcome'],,0.338,,0.101,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,0.14,,0.536,,Secondary outcome(s),,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
51636026,Fryer (2013),2013,['Performance pay'],NA,"English language Arts (combined elemntary, middle and high school) -  Performance Pay",,Combined using fixed effects meta-analysis excel workbook,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.0153,,0.0097,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,-0.0344,,0.0038,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,"English language Arts (combined elemntary, middle and high school) -  Performance Pay",,Combined using fixed effects meta-analysis excel workbook,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.0153,,0.0097,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,-0.0344,,0.0038,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,"Mathematics (combined elementary, middle and high school) - Performance pay",,"Combined effect sizes for elementary, middle school and high school.  fixed effect meta-analysis",,['Mathematics primary outcome'],,-0.0247,,0.0119,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,-0.0479,,-0.0014,,Secondary outcome(s),,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
