id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,pp_incent_criteria,pp_reward_recip,pp_incent_timing,pp_incent_type,pp_incent_amount,pp_teach_eval_per
51636017,Atkinson (2009),2009,['Journal article'],['Performance pay'],"['Toolkit primary outcome', 'Other outcome']",0.6592,0.1894,['Pre-post gain'],"GCSE (English, Math, Science)",With business as usual,['Sample: All'],Combined subjects,['Test type: National test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,NA,NA,['Secondary/High school'],"['14', '15', '16']",NA,NA,['England'],['Retrospective QED  '],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],76,NA,NA,['Toolkit: Performance pay'],['Teacher performance (e.g. observation or portfolio based'],['Individual reward to the teacher'],['Payment by results (i.e. a retrospective reward or payment contingent on test scores)'],['A one off payment'],NA,['More than one school year']
51636018,Balch (2015),2015,['Journal article'],['Performance pay'],"['Toolkit primary outcome', 'Reading primary outcome']",0.11,0.036,['Post-test adjusted for baseline attainment AND clustering'],Reading (2007-2008) - Performance Pay,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.11,0.036,NA,NA,NA,['Mathematics primary outcome'],0.1133,0.061,NA,NA,NA,NA,NA,NA,12540,33,NA,"['Primary/elementary school', 'Middle school', 'Secondary/High school']","['8', '9', '10', '11', '12', '13', '14', '15', '16']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],38,NA,NA,['Toolkit: Performance pay'],"['Pupil performance (e.g. test or examination results)', 'Teacher performance (e.g. observation or portfolio based']","['Individual reward to the teacher', 'Group or team reward to teachers', 'Headteacher or senior management']",['Payment by results (i.e. a retrospective reward or payment contingent on test scores)'],['A one off payment'],NA,['One school year']
51437049,Barnett (2014),2014,['Technical report'],['Performance pay'],"['Toolkit primary outcome', 'Other outcome']",0.3551,0.0641,['Post-test adjusted for baseline attainment'],Assessment Index,With business as usual,['Sample: All'],Combined subjects,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65340,NA,NA,"['Primary/elementary school', 'Middle school']","['8', '9', '10', '11', '12', '13', '14']",NA,NA,['USA'],['Prospective QED'],"['Large group/class teaching (+6)', 'Other (Explain in notes)']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],38,NA,NA,['Toolkit: Performance pay'],"['Teacher performance (e.g. observation or portfolio based', 'Pupil performance (e.g. test or examination results)']","['Individual reward to the teacher', 'Headteacher or senior management']",['Payment by results (i.e. a retrospective reward or payment contingent on test scores)'],['A one off payment'],"$15,000/year",['One school year']
51437050,Barrera-Osorio (2017),2017,['Journal article'],['Performance pay'],"['Toolkit primary outcome', 'Other outcome']",0.0081,0.06,NA,Punjab Examination Commission (PEC) exams,With business as usual,NA,Combined subjects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,600,NA,['Primary/elementary school'],"['6', '7', '8', '9', '10']",NA,NA,['Pakistan'],['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],114,NA,NA,['Toolkit: Performance pay'],['Pupil performance (e.g. test or examination results)'],"['Headteacher or senior management', 'Group or team reward to teachers']",['Payment by results (i.e. a retrospective reward or payment contingent on test scores)'],['A one off payment'],NA,['One school year']
51437051,Behrman (2015),2015,['Journal article'],['Performance pay'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.004,0.02,['Post-test unadjusted (select one from this group)'],ENLACE,With business as usual,['Sample: All'],Mathematics,['Test type: National test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.004,0.02,NA,NA,NA,NA,NA,NA,28476 ,48,NA,['Secondary/High school'],"['15', '16', '17', '18']",FALSE,40.0,['Mexico'],['Cluster RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],114,NA,NA,['Toolkit: Performance pay'],['Pupil performance (e.g. test or examination results)'],['Individual reward to the teacher'],['Payment by results (i.e. a retrospective reward or payment contingent on test scores)'],['A one off payment'],Mexican pesos,['One school year']
51437052,Briggs (2014),2014,['Technical report'],['Performance pay'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.04,0.01,['Post-test adjusted for baseline attainment AND clustering'],Reading,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.04,0.01,NA,NA,NA,['Mathematics primary outcome'],0.03,0.01,NA,NA,NA,NA,NA,NA,55301,178,NA,"['Primary/elementary school', 'Middle school', 'Secondary/High school']","['5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],76,NA,NA,['Toolkit: Performance pay'],['Pupil performance (e.g. test or examination results)'],"['Individual reward to the teacher', 'Group or team reward to teachers']",['Payment by results (i.e. a retrospective reward or payment contingent on test scores)'],"['A one off payment', 'An increase in salary']",NA,['More than one school year']
51437053,Contreras (2012),2012,['Journal article'],['Performance pay'],"['Toolkit primary outcome', 'Mathematics primary outcome']",-1.8683,0.3124,NA,SIMCE Score Math (Private vs Public)-2006,With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-1.8683,0.3124,NA,NA,NA,NA,NA,NA,74,NA,NA,"['Primary/elementary school', 'Secondary/High school']","['9', '10', '13', '14', '15', '16']",NA,NA,['Chile'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],35,NA,NA,['Toolkit: Performance pay'],"['Pupil performance (e.g. test or examination results)', 'Other']","['Group or team reward to teachers', 'Individual reward to the teacher']",['Payment by results (i.e. a retrospective reward or payment contingent on test scores)'],['Other'],$370 (that's an example for a specific year) ,['One school year']
51636023,Eberts (2002),2002,['Journal article'],['Performance pay'],"['Toolkit primary outcome', 'Other outcome']",-0.1078,0.0709,NA,Grade Point Average,With business as usual,NA,Combined subjects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7320,2,NA,['Secondary/High school'],"['14', '15', '16', '17', '18']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],38,NA,NA,['Toolkit: Performance pay'],"['Teacher performance (e.g. observation or portfolio based', 'Pupil performance (e.g. test or examination results)']",['Individual reward to the teacher'],['Payment by results (i.e. a retrospective reward or payment contingent on test scores)'],['A one off payment'],NA,['More than one school year']
51636028,Fryer (2012),2012,NA,['Performance pay'],"['Toolkit primary outcome', 'Reading primary outcome']",0.179,0.115,['Post-test adjusted for baseline attainment AND clustering'],Thinklink Reading Scores (ITT) Pooled Loss - fully adjusted,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.179,0.115,NA,NA,NA,['Mathematics primary outcome'],0.338,0.101,NA,NA,NA,NA,NA,NA,150,NA,NA,['Primary/elementary school'],"['8', '9', '10', '11', '12', '13', '14']",NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],38,NA,NA,['Toolkit: Performance pay'],['Pupil performance (e.g. test or examination results)'],"['Individual reward to the teacher', 'Group or team reward to teachers']",['Payment up front'],['A one off payment'],NA,['One school year']
51636026,Fryer (2013),2013,['Journal article'],['Performance pay'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.0153,0.0097,['Post-test adjusted for baseline attainment AND clustering'],"English language Arts (combined elemntary, middle and high school) -  Performance Pay",With business as usual,['Sample: Low achievers'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.0153,0.0097,NA,NA,NA,['Mathematics primary outcome'],-0.0247,0.0119,NA,NA,NA,NA,NA,NA,671,361,NA,"['Primary/elementary school', 'Middle school']","['5', '6', '7', '8', '9', '10', '11', '12', '13', '14']",NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],114,NA,NA,['Toolkit: Performance pay'],['Pupil performance (e.g. test or examination results)'],"['Group or team reward to teachers', 'Individual reward to the teacher']",['Payment by results (i.e. a retrospective reward or payment contingent on test scores)'],['A one off payment'],"$3,000",NA
