id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8
51636017,Atkinson (2009),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,"GCSE (English, Math, Science)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51636018,Balch (2015),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading (2007-2008) - Performance Pay,['Other outcome'],Secondary outcome(s),Reading (2008-2009) - Performance Pay,['Mathematics primary outcome'],Secondary outcome(s),Math (2007-2008)  TAKS - performance Pay,['Other outcome'],Secondary outcome(s),Math (2008-2009) TAKS - Performance Pay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51437049,Barnett (2014),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Assessment Index,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51437050,Barrera-Osorio (2017),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Punjab Examination Commission (PEC) exams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51437051,Behrman (2015),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,ENLACE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51437052,Briggs (2014),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading,['Mathematics primary outcome'],Secondary outcome(s),Mathematics,['Writing and spelling primary outcome.'],Secondary outcome(s),Writing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51437053,Contreras (2012),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,SIMCE Score Math (Private vs Public)-2006,['Other outcome'],Primary outcome,SIMCE Score Math (Private vs Private subsidized)-2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51636023,Eberts (2002),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Grade Point Average,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51636028,Fryer (2012),['Mathematics primary outcome'],Secondary outcome(s),Thinklink Math Scores (ITT) vs Pooled Loss Fully adjusted,['Other outcome'],Secondary outcome(s),Thinklink Math Scores (ITT) vs Pooled Gain Fully adjusted,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Thinklink Reading Scores (ITT) Pooled Loss - fully adjusted,['Other outcome'],Secondary outcome(s),Thinklink Reading Scores (ITT) Pooled Gain - fully adjusted,['Other outcome'],Secondary outcome(s),ITBS Math Scores (ITT) vs Pooled Loss Fully adjusted,['Other outcome'],Secondary outcome(s),ITBS Math Scores (ITT) vs Pooled Gain Fully adjusted,['Other outcome'],Secondary outcome(s),ISAT/ITBS Reading Scores (ITT) Pooled Loss - fully adjusted,['Other outcome'],Secondary outcome(s),ISAT/ITBS Reading Scores (ITT) Pooled Gain - fully adjusted
51636026,Fryer (2013),['Other outcome'],Secondary outcome(s),English Language Arts (Elementary and Middle school) - Performance Pay,['Other outcome'],Secondary outcome(s),Mathematics (Elementary and Middle school) - Performance Pay,['Other outcome'],Secondary outcome(s),Regents English (high school) - Performance Pay,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,"English language Arts (combined elemntary, middle and high school) -  Performance Pay",['Mathematics primary outcome'],Secondary outcome(s),"Mathematics (combined elementary, middle and high school) - Performance pay",['Other outcome'],Secondary outcome(s),Regents Mathematics (High school) - Performance Pay,NA,NA,NA,NA,NA,NA
51437090,Glazerman (2010),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading,['Mathematics primary outcome'],Secondary outcome(s),Math,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51437059,Glazerman (2013),['Other outcome'],Secondary outcome(s),Math test score (Elementary Schools),['Other outcome'],Secondary outcome(s),Reading Test Score (Elementary Schools),['Other outcome'],Secondary outcome(s),Reading test score (Middle school),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Math test score (Middle school),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
