id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand
37116221,Abbondanza (2013),2013,['Dissertation or thesis'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.5174,0.1767,['Pre-post gain'],TE Reading comprehension (Daze) gain scores,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.5174,0.1767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,1,4,['Secondary/High school'],"['11', '12', '13']",NA,NA,['USA'],['Prospective QED'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",13,3,40,['Toolkit: Peer Tutoring']
37133863,Allsopp (1995),1995,['Dissertation or thesis'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.1596,0.1241,['Post-test adjusted for baseline attainment'],TE Algebra problem solving post-test Tutees,With business as usual,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.1596,0.1241,NA,NA,NA,NA,NA,NA,262,3,14,['Middle school'],"['12', '13', '14', '15']",NA,NA,['USA'],['Cluster RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",5,3.5 , ,['Toolkit: Peer Tutoring']
37093532,Arblaster (1991),1991,['Journal article'],"['Peer tutoring', 'Mastery learning']","['Toolkit primary outcome', 'Reading primary outcome']",1.687,0.4016,['Pre-post gain'],TE Burt Word Reading Test gains Tutees,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.687,0.4016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,2,2,['Primary/elementary school'],['No information provided'],NA,NA,"['UK (Select all that apply)', 'England']",['Prospective QED'],['Paired learning'],['Unclear/ Not specified'],['No'],['Yes'],"['Unclear/ not specified', 'During regular school hours ']","['Class teachers', 'Peers']",35,5,NA,"['Toolkit: Mastery learning', 'Toolkit: Peer Tutoring']"
37093533,Atherley (1989),1989,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.6814,0.3356,['Pre-post gain'],REC Primary Reading Test gains (Reciprocal PT),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.6814,0.3356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,2,['Primary/elementary school'],['10'],NA,NA,"['UK (Select all that apply)', 'England']",['Prospective QED'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",12 ,5,15 ,['Toolkit: Peer Tutoring']
47269767,Azcoitia (1989) PT,1989,['Dissertation or thesis'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3858,0.1911,['Post-test adjusted for baseline attainment'],T&T_Reading,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.3858,0.1911,NA,NA,NA,['Mathematics primary outcome'],0.4069,0.1842,NA,NA,NA,NA,NA,NA,60,2,NA,['Secondary/High school'],"['15', '14', '16']",FALSE,33.0,['USA'],['Individual RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],20 ,5,60,['Toolkit: Peer Tutoring']
37133865,Baker (2005),2005,['Dissertation or thesis'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",1.0958,0.3434,NA,REC DIBELS Phoneme Segmentation gain Reciprocal PT,With business as usual,['Sample: All'],Literacy  decoding/phonics,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.0958,0.3434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,2,2,['Primary/elementary school'],"['6', '7']",TRUE,56.0,['USA'],['Prospective QED'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",6,3,35,['Toolkit: Peer Tutoring']
37093467,Bar-Eli (1982),1982,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",1.0538,0.2754,['Post-test adjusted for baseline attainment'],T&T_Maths,With business as usual,['Sample: All'],Mathematics,['Test type: National test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",1.0538,0.2754,NA,NA,NA,NA,NA,NA,60,3,6,['Primary/elementary school'],"['10', '11', '12', '7', '8']",NA,NA,['Israel'],['Individual RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],"['During regular school hours ', 'Before/after school']",['Peers'],16,3,45,['Toolkit: Peer Tutoring']
37093538,Bramlett (1994),1994,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1019,0.1011,['Post-test adjusted for baseline attainment'],REC Reading comprehension Reciprocal PT,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1019,0.1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,392,NA,18,['Primary/elementary school'],"['8', '9']",NA,NA,['USA'],['Prospective QED'],"['Small group/intensive support (3-5)', 'Paired learning']",['Yes (Please specify)'],['No'],['Yes'],['Unclear/ not specified'],"['Research staff', 'Class teachers', 'Parents/carers', 'Peers']",NA, , ,"['Toolkit: Collaborative learning', 'Toolkit: Peer Tutoring']"
37133869,Bruno (2004),2004,['Dissertation or thesis'],['Peer tutoring'],"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",0.3989,0.1291,['Post-test adjusted for baseline attainment'],TR PSSA Writing Assessment,With business as usual,['Sample: All'],Literacy  writing,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,3,12,"['Nursery school/pre-school', 'Primary/elementary school']","['5', '6', '10', '11']",NA,NA,['USA'],['Prospective QED'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],8,1,35,['Toolkit: Peer Tutoring']
37093539,Brush (1997),1997,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3167,0.2668,['Post-test adjusted for baseline attainment'],REC California Achievement Test,With business as usual,['Sample: All'],Mathematics,['Test type: National test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3167,0.2668,NA,NA,NA,NA,NA,NA,65,1,3,['Primary/elementary school'],"['10', '11']",FALSE,43.0,['USA'],['Cluster RCT'],['Paired learning'],['Yes (Please specify)'],['Yes'],['No'],['During regular school hours '],"['Class teachers', 'Other school staff', 'Peers']",11,1,50 ,['Toolkit: Peer Tutoring']
