id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN,out_tit_red,out_tit_red_CLEAN,out_desc_red,out_desc_red_CLEAN,out_type_red,out_type_red_CLEAN,smd_red,smd_red_CLEAN,se_red,se_red_CLEAN,out_measure_red,out_measure_red_CLEAN,out_g1_n_red,out_g1_n_red_CLEAN,out_g1_mean_red,out_g1_mean_red_CLEAN,out_g1_sd_red,out_g1_sd_red_CLEAN,out_g2_n_red,out_g2_n_red_CLEAN,out_g2_mean_red,out_g2_mean_red_CLEAN,out_g2_sd_red,out_g2_sd_red_CLEAN,ci_lower_red,ci_lower_red_CLEAN,ci_upper_red,ci_upper_red_CLEAN,out_label_red,out_label_red_CLEAN,out_samp_red,out_samp_red_CLEAN,out_comp_red,out_comp_red_CLEAN,out_es_type_red,out_es_type_red_CLEAN,out_test_type_raw_red,out_test_type_raw_red_CLEAN,out_tit_wri,out_tit_wri_CLEAN,out_desc_wri,out_desc_wri_CLEAN,out_type_wri,out_type_wri_CLEAN,smd_wri,smd_wri_CLEAN,se_wri,se_wri_CLEAN,out_measure_wri,out_measure_wri_CLEAN,out_g1_n_wri,out_g1_n_wri_CLEAN,out_g1_mean_wri,out_g1_mean_wri_CLEAN,out_g1_sd_wri,out_g1_sd_wri_CLEAN,out_g2_n_wri,out_g2_n_wri_CLEAN,out_g2_mean_wri,out_g2_mean_wri_CLEAN,out_g2_sd_wri,out_g2_sd_wri_CLEAN,ci_lower_wri,ci_lower_wri_CLEAN,ci_upper_wri,ci_upper_wri_CLEAN,out_label_wri,out_label_wri_CLEAN,out_samp_wri,out_samp_wri_CLEAN,out_comp_wri,out_comp_wri_CLEAN,out_es_type_wri,out_es_type_wri_CLEAN,out_test_type_raw_wri,out_test_type_wri_CLEAN,out_tit_math,out_tit_math_CLEAN,out_desc_math,out_desc_math_CLEAN,out_type_math,out_type_math_CLEAN,smd_math,smd_math_CLEAN,se_math,se_math_CLEAN,out_measure_math,out_measure_math_CLEAN,out_g1_n_math,out_g1_n_math_CLEAN,out_g1_mean_math,out_g1_mean_math_CLEAN,out_g1_sd_math,out_g1_sd_math_CLEAN,out_g2_n_math,out_g2_n_math_CLEAN,out_g2_mean_math,out_g2_mean_math_CLEAN,out_g2_sd_math,out_g2_sd_math_CLEAN,ci_lower_math,ci_lower_math_CLEAN,ci_upper_math,ci_upper_math_CLEAN,out_label_math,out_label_math_CLEAN,out_samp_math,out_samp_math_CLEAN,out_comp_math,out_comp_math_CLEAN,out_es_type_math,out_es_type_math_CLEAN,out_test_type_raw_math,out_test_type_math_CLEAN,out_tit_sci,out_tit_sci_CLEAN,out_desc_sci,out_desc_sci_CLEAN,out_type_sci,out_type_sci_CLEAN,smd_sci,smd_sci_CLEAN,se_sci,se_sci_CLEAN,out_measure_sci,out_measure_sci_CLEAN,out_g1_n_sci,out_g1_n_sci_CLEAN,out_g1_mean_sci,out_g1_mean_sci_CLEAN,out_g1_sd_sci,out_g1_sd_sci_CLEAN,out_g2_n_sci,out_g2_n_sci_CLEAN,out_g2_mean_sci,out_g2_mean_sci_CLEAN,out_g2_sd_sci,out_g2_sd_sci_CLEAN,ci_lower_sci,ci_lower_sci_CLEAN,ci_upper_sci,ci_upper_sci_CLEAN,out_label_sci,out_label_sci_CLEAN,out_samp_sci,out_samp_sci_CLEAN,out_comp_sci,out_comp_sci_CLEAN,out_es_type_sci,out_es_type_sci_CLEAN,out_test_type_raw_sci,out_test_type_sci_CLEAN,out_tit_fsm,out_tit_fsm_CLEAN,out_desc_fsm,out_desc_fsm_CLEAN,out_type_fsm,out_type_fsm_CLEAN,smd_fsm,smd_fsm_CLEAN,se_fsm,se_fsm_CLEAN,out_measure_fsm,out_measure_fsm_CLEAN,out_g1_n_fsm,out_g1_n_fsm_CLEAN,out_g1_mean_fsm,out_g1_mean_fsm_CLEAN,out_g1_sd_fsm,out_g1_sd_fsm_CLEAN,out_g2_n_fsm,out_g2_n_fsm_CLEAN,out_g2_mean_fsm,out_g2_mean_fsm_CLEAN,out_g2_sd_fsm,out_g2_sd_fsm_CLEAN,ci_lower_fsm,ci_lower_fsm_CLEAN,ci_upper_fsm,ci_upper_fsm_CLEAN,out_label_fsm,out_label_fsm_CLEAN,out_samp_fsm,out_samp_fsm_CLEAN,out_comp_fsm,out_comp_fsm_CLEAN,out_es_type_fsm,out_es_type_fsm_CLEAN,out_test_type_raw_fsm,out_test_type_fsm_CLEAN
37116221,Abbondanza (2013),2013,['Peer tutoring'],NA,TE_PRI Reading comprehension (Daze) gain scores,,Reading comprehension measure Dynamic Indicators of Basic Early Literacy Skills Next Maze (DIBELS DAZE) ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.5174,,0.1767,,Literacy: reading comprehension,,60.0,,2.1,,5.55,,74.0,,-2.94,,12.03,,0.1712,,0.8637,,Primary outcome,,['Sample: All'],,With business as usual,,['Pre-post gain'],,['Test type: Standardised test '],,TE_PRI Reading comprehension (Daze) gain scores,,Reading comprehension measure Dynamic Indicators of Basic Early Literacy Skills Next Maze (DIBELS DAZE) ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.5174,,0.1767,,Literacy: reading comprehension,,60.0,,2.1,,5.55,,74.0,,-2.94,,12.03,,0.1712,,0.8637,,Primary outcome,,['Sample: All'],,With business as usual,,['Pre-post gain'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
37133863,Allsopp (1995),1995,['Peer tutoring'],NA,TE_PRI Algebra problem solving post-test Tutees,,"The pretest and posttest measures (see Appendices A and B) come directly from those in Solving Division Equations  An Algebra Program for Students with Learning Problem (Mercer, Enright, & Tharin, 1994)",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.1596,,0.1241,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,-0.0835,,0.4027,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,TE_PRI Algebra problem solving post-test Tutees,,"The pretest and posttest measures (see Appendices A and B) come directly from those in Solving Division Equations  An Algebra Program for Students with Learning Problem (Mercer, Enright, & Tharin, 1994)",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.1596,,0.1241,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,-0.0835,,0.4027,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
37093532,Arblaster (1991),1991,"['Peer tutoring', 'Mastery learning']",NA,TE_PRI Burt Word Reading Test gains Tutees,,"Burt Word  Reading  Test  (Vernon, 1969)",,"['Toolkit primary outcome', 'Reading primary outcome']",,1.687,,0.4016,,Literacy: reading other,,22.0,,23.81,,8.92,,14.0,,10.07,,6.11,,0.8999,,2.4741,,Primary outcome,,['Sample: All'],,With business as usual,,['Pre-post gain'],,['Test type: Standardised test '],,TE_PRI Burt Word Reading Test gains Tutees,,"Burt Word  Reading  Test  (Vernon, 1969)",,"['Toolkit primary outcome', 'Reading primary outcome']",,1.687,,0.4016,,Literacy: reading other,,22.0,,23.81,,8.92,,14.0,,10.07,,6.11,,0.8999,,2.4741,,Primary outcome,,['Sample: All'],,With business as usual,,['Pre-post gain'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
37093533,Atherley (1989),1989,['Peer tutoring'],NA,REC Primary Reading Test gains (Reciprocal PT),,"Primary Reading Test (France, 1979) NFER - norm referenced group measure of reading comprehension using cloze procedure  sentences with missing words are presented and the child has to select the appropriate word from a list of alternatives.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.6814,,0.3356,,Literacy: reading comprehension,,23.0,,9.3,,8.3,,16.0,,3.9,,6.9,,0.0237,,1.3391,,Primary outcome,,['Sample: All'],,With business as usual,,['Pre-post gain'],,['Test type: Standardised test '],,REC Primary Reading Test gains (Reciprocal PT),,"Primary Reading Test (France, 1979) NFER - norm referenced group measure of reading comprehension using cloze procedure  sentences with missing words are presented and the child has to select the appropriate word from a list of alternatives.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.6814,,0.3356,,Literacy: reading comprehension,,23.0,,9.3,,8.3,,16.0,,3.9,,6.9,,0.0237,,1.3391,,Primary outcome,,['Sample: All'],,With business as usual,,['Pre-post gain'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
47269767,Azcoitia (1989) PT,1989,['Peer tutoring'],NA,T&T_Reading,,T&T_Reading  Reading Academically disadvantaged tutees and tutors - Fixed effect,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.3858,,0.1911,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,0.0113,,0.7602,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,T&T_Reading,,T&T_Reading  Reading Academically disadvantaged tutees and tutors - Fixed effect,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.3858,,0.1911,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,0.0113,,0.7602,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,T&T_Maths,,T&T_Maths  Tutees Reading disadvantaged and Tutors - fixed effects,,['Mathematics primary outcome'],,0.4069,,0.1842,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,0.0458,,0.7679,,Secondary outcome(s),,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
37133865,Baker (2005),2005,['Peer tutoring'],NA,REC DIBELS Phoneme Segmentation gain Reciprocal PT,,"Dynamic Indicators of Basic Early Literacy Skills (DIBELS) Phoneme Segmentation Fluency (PSF). DIBELS Phoneme Segmentation Fluency (PSF) is a standardized, individually administered test o f phonological awareness (Good, Kaminski, & Smith, 2002).",,"['Toolkit primary outcome', 'Reading primary outcome']",,1.0958,,0.3434,,Literacy: decoding/phonics,,NA,,NA,,NA,,NA,,NA,,NA,,0.4228,,1.7688,,Primary outcome,,['Sample: All'],,With business as usual,,NA,,['Test type: Standardised test '],,REC DIBELS Phoneme Segmentation gain Reciprocal PT,,"Dynamic Indicators of Basic Early Literacy Skills (DIBELS) Phoneme Segmentation Fluency (PSF). DIBELS Phoneme Segmentation Fluency (PSF) is a standardized, individually administered test o f phonological awareness (Good, Kaminski, & Smith, 2002).",,"['Toolkit primary outcome', 'Reading primary outcome']",,1.0958,,0.3434,,Literacy: decoding/phonics,,NA,,NA,,NA,,NA,,NA,,NA,,0.4228,,1.7688,,Primary outcome,,['Sample: All'],,With business as usual,,NA,,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
37093467,Bar-Eli (1982),1982,['Peer tutoring'],NA,T&T_Maths,,T&T_Maths  Standard Arithmetic Test for Tutees & Tutors combined - Fixed effects,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,1.0538,,0.2754,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,0.5141,,1.5936,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: National test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,T&T_Maths,,T&T_Maths  Standard Arithmetic Test for Tutees & Tutors combined - Fixed effects,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,1.0538,,0.2754,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,0.5141,,1.5936,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: National test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
37093538,Bramlett (1994),1994,['Peer tutoring'],NA,REC Reading comprehension Reciprocal PT,,Standard scores of the reading comprehension subtest of the California Achievement Tests,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1019,,0.1011,,Literacy: reading comprehension,,198.0,,687.0,,56.4,,194.0,,681.0,,61.1,,-0.0962,,0.3,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,REC Reading comprehension Reciprocal PT,,Standard scores of the reading comprehension subtest of the California Achievement Tests,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1019,,0.1011,,Literacy: reading comprehension,,198.0,,687.0,,56.4,,194.0,,681.0,,61.1,,-0.0962,,0.3,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
37133869,Bruno (2004),2004,['Peer tutoring'],NA,TR_PRI PSSA Writing Assessment,,"All fifth grade students (n=T59) produced a pre-program and a post program writing sample based on a released prompt from the PSSA Writing Assessment Handbook (Pennsylvania Department of Education, 2002).  Baseline adjusted  - from ANOVA f= 6.33",,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",,0.3989,,0.1291,,Literacy: writing,,NA,,NA,,NA,,NA,,NA,,NA,,0.1459,,0.6519,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: School-developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
37093539,Brush (1997),1997,['Peer tutoring'],NA,REC California Achievement Test,,"The California Achievement Test, Fifth Edition (CAT/5)Students completed parallel forms of Level 15 of the entire mathematics battery (Form A for the pretest and Form B for the posttest). Both versions of the test consisted of 94 questions, 44 of which pertained to math computation and 50 to maths concepts and applications. ",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.3167,,0.2668,,Mathematics,,44.0,,53.75,,14.45,,21.0,,49.14,,14.23,,-0.2061,,0.8396,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: National test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,REC California Achievement Test,,"The California Achievement Test, Fifth Edition (CAT/5)Students completed parallel forms of Level 15 of the entire mathematics battery (Form A for the pretest and Form B for the posttest). Both versions of the test consisted of 94 questions, 44 of which pertained to math computation and 50 to maths concepts and applications. ",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.3167,,0.2668,,Mathematics,,44.0,,53.75,,14.45,,21.0,,49.14,,14.23,,-0.2061,,0.8396,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: National test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
