id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11
37116221,Abbondanza (2013),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TE_PRI Reading comprehension (Daze) gain scores,['Other outcome'],Secondary outcome(s),TE Reading comprehension SRI gain scores Tutees,NA,Secondary outcome(s),TE Reading fluency - DORF gain scores Tutees,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37133863,Allsopp (1995),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,TE_PRI Algebra problem solving post-test Tutees,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093532,Arblaster (1991),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TE_PRI Burt Word Reading Test gains Tutees,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093533,Atherley (1989),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,REC Primary Reading Test gains (Reciprocal PT),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269767,Azcoitia (1989) PT,['Other outcome'],Secondary outcome(s),TE_SUB Reading Academically disadvantaged Tutees,['Other outcome'],Secondary outcome(s),TE Maths Academically disadvantaged,['Other outcome'],Secondary outcome(s),TE Reading handicapped,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,T&T_Reading,['Mathematics primary outcome'],Secondary outcome(s),T&T_Maths,['Other outcome'],Secondary outcome(s),TR Reading low englsih,['Other outcome'],Secondary outcome(s),TE Maths Handicaped,['Other outcome'],Secondary outcome(s),TE Maths low english,['Other outcome'],Secondary outcome(s),TR_SUB Reading,['Other outcome'],Secondary outcome(s),TR Maths,NA,NA,NA
37133865,Baker (2005),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,REC DIBELS Phoneme Segmentation gain Reciprocal PT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093467,Bar-Eli (1982),['Other outcome'],Secondary outcome(s),TE_SUB Standard Arithmetic Test (Tutees),['Other outcome'],Secondary outcome(s),TR_SUB Standard Arithmetic Test (Tutors),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,T&T_Maths,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093538,Bramlett (1994),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,REC Reading comprehension Reciprocal PT,['Other outcome'],Secondary outcome(s),REC Total reading (CAT) Reciprocal PT,['Other outcome'],Secondary outcome(s),REC Word analysis Reciprocal PT,['Other outcome'],Secondary outcome(s),REC Vocabulary (CAT) Reciprocal PT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37133869,Bruno (2004),"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,TR_PRI PSSA Writing Assessment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093539,Brush (1997),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,REC California Achievement Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
