id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN,out_tit_red,out_tit_red_CLEAN,out_desc_red,out_desc_red_CLEAN,out_type_red,out_type_red_CLEAN,smd_red,smd_red_CLEAN,se_red,se_red_CLEAN,out_measure_red,out_measure_red_CLEAN,out_g1_n_red,out_g1_n_red_CLEAN,out_g1_mean_red,out_g1_mean_red_CLEAN,out_g1_sd_red,out_g1_sd_red_CLEAN,out_g2_n_red,out_g2_n_red_CLEAN,out_g2_mean_red,out_g2_mean_red_CLEAN,out_g2_sd_red,out_g2_sd_red_CLEAN,ci_lower_red,ci_lower_red_CLEAN,ci_upper_red,ci_upper_red_CLEAN,out_label_red,out_label_red_CLEAN,out_samp_red,out_samp_red_CLEAN,out_comp_red,out_comp_red_CLEAN,out_es_type_red,out_es_type_red_CLEAN,out_test_type_raw_red,out_test_type_raw_red_CLEAN,out_tit_wri,out_tit_wri_CLEAN,out_desc_wri,out_desc_wri_CLEAN,out_type_wri,out_type_wri_CLEAN,smd_wri,smd_wri_CLEAN,se_wri,se_wri_CLEAN,out_measure_wri,out_measure_wri_CLEAN,out_g1_n_wri,out_g1_n_wri_CLEAN,out_g1_mean_wri,out_g1_mean_wri_CLEAN,out_g1_sd_wri,out_g1_sd_wri_CLEAN,out_g2_n_wri,out_g2_n_wri_CLEAN,out_g2_mean_wri,out_g2_mean_wri_CLEAN,out_g2_sd_wri,out_g2_sd_wri_CLEAN,ci_lower_wri,ci_lower_wri_CLEAN,ci_upper_wri,ci_upper_wri_CLEAN,out_label_wri,out_label_wri_CLEAN,out_samp_wri,out_samp_wri_CLEAN,out_comp_wri,out_comp_wri_CLEAN,out_es_type_wri,out_es_type_wri_CLEAN,out_test_type_raw_wri,out_test_type_wri_CLEAN,out_tit_math,out_tit_math_CLEAN,out_desc_math,out_desc_math_CLEAN,out_type_math,out_type_math_CLEAN,smd_math,smd_math_CLEAN,se_math,se_math_CLEAN,out_measure_math,out_measure_math_CLEAN,out_g1_n_math,out_g1_n_math_CLEAN,out_g1_mean_math,out_g1_mean_math_CLEAN,out_g1_sd_math,out_g1_sd_math_CLEAN,out_g2_n_math,out_g2_n_math_CLEAN,out_g2_mean_math,out_g2_mean_math_CLEAN,out_g2_sd_math,out_g2_sd_math_CLEAN,ci_lower_math,ci_lower_math_CLEAN,ci_upper_math,ci_upper_math_CLEAN,out_label_math,out_label_math_CLEAN,out_samp_math,out_samp_math_CLEAN,out_comp_math,out_comp_math_CLEAN,out_es_type_math,out_es_type_math_CLEAN,out_test_type_raw_math,out_test_type_math_CLEAN,out_tit_sci,out_tit_sci_CLEAN,out_desc_sci,out_desc_sci_CLEAN,out_type_sci,out_type_sci_CLEAN,smd_sci,smd_sci_CLEAN,se_sci,se_sci_CLEAN,out_measure_sci,out_measure_sci_CLEAN,out_g1_n_sci,out_g1_n_sci_CLEAN,out_g1_mean_sci,out_g1_mean_sci_CLEAN,out_g1_sd_sci,out_g1_sd_sci_CLEAN,out_g2_n_sci,out_g2_n_sci_CLEAN,out_g2_mean_sci,out_g2_mean_sci_CLEAN,out_g2_sd_sci,out_g2_sd_sci_CLEAN,ci_lower_sci,ci_lower_sci_CLEAN,ci_upper_sci,ci_upper_sci_CLEAN,out_label_sci,out_label_sci_CLEAN,out_samp_sci,out_samp_sci_CLEAN,out_comp_sci,out_comp_sci_CLEAN,out_es_type_sci,out_es_type_sci_CLEAN,out_test_type_raw_sci,out_test_type_sci_CLEAN,out_tit_fsm,out_tit_fsm_CLEAN,out_desc_fsm,out_desc_fsm_CLEAN,out_type_fsm,out_type_fsm_CLEAN,smd_fsm,smd_fsm_CLEAN,se_fsm,se_fsm_CLEAN,out_measure_fsm,out_measure_fsm_CLEAN,out_g1_n_fsm,out_g1_n_fsm_CLEAN,out_g1_mean_fsm,out_g1_mean_fsm_CLEAN,out_g1_sd_fsm,out_g1_sd_fsm_CLEAN,out_g2_n_fsm,out_g2_n_fsm_CLEAN,out_g2_mean_fsm,out_g2_mean_fsm_CLEAN,out_g2_sd_fsm,out_g2_sd_fsm_CLEAN,ci_lower_fsm,ci_lower_fsm_CLEAN,ci_upper_fsm,ci_upper_fsm_CLEAN,out_label_fsm,out_label_fsm_CLEAN,out_samp_fsm,out_samp_fsm_CLEAN,out_comp_fsm,out_comp_fsm_CLEAN,out_es_type_fsm,out_es_type_fsm_CLEAN,out_test_type_raw_fsm,out_test_type_fsm_CLEAN
43100014,Allor (2004) 1_1,2004,['Phonics'],NA,WJ-R comprehension,,posttest means and SD's for end of year 1 cohort ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.46,,0.2402,,Literacy: decoding/phonics,,61.0,,89.02,,11.04,,25.0,,83.76,,12.03,,-0.0107,,0.9308,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,WJ-R comprehension,,posttest means and SD's for end of year 1 cohort ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.46,,0.2402,,Literacy: decoding/phonics,,61.0,,89.02,,11.04,,25.0,,83.76,,12.03,,-0.0107,,0.9308,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
46325665,Allor (2004) 1_2,2004,['Phonics'],NA,WJ-R Comprehension,,posttest means and sd's for end of year 2 cohort ,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.1371,,0.1599,,Literacy: decoding/phonics,,76.0,,95.22,,10.06,,81.0,,96.64,,10.53,,-0.4505,,0.1763,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,WJ-R Comprehension,,posttest means and sd's for end of year 2 cohort ,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.1371,,0.1599,,Literacy: decoding/phonics,,76.0,,95.22,,10.06,,81.0,,96.64,,10.53,,-0.4505,,0.1763,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
43090112,Aram (2004) Ph,2004,['Phonics'],NA,Phonological Awareness -  Phonics Strand ,,"Post-test unadjusted mean score. The test was made up of two tasks involving (1) alliteration and (2)rhymes. Each included 10 two-syllable word pairs. On the alliteration task, children were asked if the first syllable of a word resembled or differed from the first syllable of its paired word. On the rhyming task, we asked the same question with reference to word pairs’ final syllables. The mean correct answers across the two-tasks served as the total phonological awareness score.",,"['Toolkit primary outcome', 'Reading primary outcome']",,1.2534,,0.2889,,Literacy: decoding/phonics,,36.0,,16.06,,2.61,,24.0,,11.91,,4.07,,0.6872,,1.8196,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,Phonological Awareness -  Phonics Strand ,,"Post-test unadjusted mean score. The test was made up of two tasks involving (1) alliteration and (2)rhymes. Each included 10 two-syllable word pairs. On the alliteration task, children were asked if the first syllable of a word resembled or differed from the first syllable of its paired word. On the rhyming task, we asked the same question with reference to word pairs’ final syllables. The mean correct answers across the two-tasks served as the total phonological awareness score.",,"['Toolkit primary outcome', 'Reading primary outcome']",,1.2534,,0.2889,,Literacy: decoding/phonics,,36.0,,16.06,,2.61,,24.0,,11.91,,4.07,,0.6872,,1.8196,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
43099924,Archer (1981),1981,['Phonics'],NA,Woodcock Word Identification,,Posttest Means and SD's for preskill training vs monosyllabic,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2071,,0.4096,,Literacy: decoding/phonics,,12.0,,154.58,,7.49,,12.0,,153.08,,6.46,,-0.5957,,1.0098,,Primary outcome,,['Sample: Low achievers'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,Woodcock Word Identification,,Posttest Means and SD's for preskill training vs monosyllabic,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2071,,0.4096,,Literacy: decoding/phonics,,12.0,,154.58,,7.49,,12.0,,153.08,,6.46,,-0.5957,,1.0098,,Primary outcome,,['Sample: Low achievers'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
43099893,Ball (1991),1991,['Phonics'],NA,Woodcock Word Identification,,Posttest means and SD's Phoneme Awareness vs Control,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.5301,,0.2653,,Literacy: decoding/phonics,,29.0,,3.2,,4.6,,30.0,,1.1,,3.1,,0.0101,,1.05,,Primary outcome,,['Sample: Average'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,Woodcock Word Identification,,Posttest means and SD's Phoneme Awareness vs Control,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.5301,,0.2653,,Literacy: decoding/phonics,,29.0,,3.2,,4.6,,30.0,,1.1,,3.1,,0.0101,,1.05,,Primary outcome,,['Sample: Average'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
43099905,Barker (1995) 1_1,1995,['Phonics'],NA,Woodcock Word ID,,Posttest Adjusted means and SD's,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.968,,0.3546,,Literacy: decoding/phonics,,18.0,,16.35,,4.0,,18.0,,12.39,,4.0,,0.273,,1.663,,Primary outcome,,['Sample: Low achievers'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,Woodcock Word ID,,Posttest Adjusted means and SD's,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.968,,0.3546,,Literacy: decoding/phonics,,18.0,,16.35,,4.0,,18.0,,12.39,,4.0,,0.273,,1.663,,Primary outcome,,['Sample: Low achievers'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
46325667,Barker (1995) 1_2,1995,['Phonics'],NA,Word Identification,,Posttest adjusted means and SD's HH vs Control,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.1956,,0.3342,,Literacy: decoding/phonics,,18.0,,11.59,,4.0,,18.0,,12.39,,4.0,,-0.8506,,0.4595,,Primary outcome,,['Sample: Low achievers'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,Word Identification,,Posttest adjusted means and SD's HH vs Control,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.1956,,0.3342,,Literacy: decoding/phonics,,18.0,,11.59,,4.0,,18.0,,12.39,,4.0,,-0.8506,,0.4595,,Primary outcome,,['Sample: Low achievers'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
42059739,Beach (2004),2004,"['Parental engagement', 'Phonics', 'Summer schools']",NA,DIBELS,,Regression Initial sounds fluency,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.419,,0.125,,Literacy: decoding/phonics,,NA,,NA,,NA,,NA,,NA,,NA,,0.174,,0.664,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,DIBELS,,Regression Initial sounds fluency,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.419,,0.125,,Literacy: decoding/phonics,,NA,,NA,,NA,,NA,,NA,,NA,,0.174,,0.664,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
43099917,Beattie (2000),2000,['Phonics'],NA,GORT 3 - Phonics,,Post-test unadjusted mean score of the Gray Oral Reading Quotient. Subjects are required to read orally a variety of graded passages to measure reading rate and word identification and comprehension skills. ,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.2255,,0.4098,,Literacy: reading other,,12.0,,75.5,,16.47,,12.0,,79.5,,17.76,,-1.0287,,0.5777,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,GORT 3 - Phonics,,Post-test unadjusted mean score of the Gray Oral Reading Quotient. Subjects are required to read orally a variety of graded passages to measure reading rate and word identification and comprehension skills. ,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.2255,,0.4098,,Literacy: reading other,,12.0,,75.5,,16.47,,12.0,,79.5,,17.76,,-1.0287,,0.5777,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
43100015,Berninger (2003) Ph,2003,['Phonics'],NA,Word Identification,,Adjusted posttest means and SDs for word Identification subtest of WRMT,,"['Toolkit primary outcome', 'Reading primary outcome']",,1.0311,,0.2949,,Literacy: decoding/phonics,,24.0,,47.34,,6.78,,29.0,,40.07,,7.08,,0.4531,,1.6092,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,Word Identification,,Adjusted posttest means and SDs for word Identification subtest of WRMT,,"['Toolkit primary outcome', 'Reading primary outcome']",,1.0311,,0.2949,,Literacy: decoding/phonics,,24.0,,47.34,,6.78,,29.0,,40.07,,7.08,,0.4531,,1.6092,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
