id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand
43100014,Allor (2004) 1_1,2004,['Journal article'],['Phonics'],"['Toolkit primary outcome', 'Reading primary outcome']",0.46,0.2402,['Post-test unadjusted (select one from this group)'],WJ-R comprehension,With business as usual,['Sample: Low achievers'],Literacy  decoding/phonics,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.46,0.2402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,8,8,['Primary/elementary school'],"['6', '7']",TRUE,86.5,['USA'],['Multisite RCT'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Lay persons/volunteers']",24,3.5 ,17,['Toolkit: Phonics']
46325665,Allor (2004) 1_2,2004,['Journal article'],['Phonics'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1371,0.1599,['Post-test unadjusted (select one from this group)'],WJ-R Comprehension,With business as usual,['Sample: Low achievers'],Literacy  decoding/phonics,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1371,0.1599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,10,8,['Primary/elementary school'],"['6', '7']",TRUE,86.5,['USA'],['Multisite RCT'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Lay persons/volunteers']",24,3.5 ,17,['Toolkit: Phonics']
43090112,Aram (2004) Ph,2004,['Journal article'],['Phonics'],"['Toolkit primary outcome', 'Reading primary outcome']",1.2534,0.2889,['Post-test unadjusted (select one from this group)'],Phonological Awareness -  Phonics Strand ,With business as usual,['Sample: All'],Literacy  decoding/phonics,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",1.2534,0.2889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,4,NA,['Nursery school/pre-school'],"['3', '4']",NA,NA,['Israel'],['Individual RCT'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['Yes'],['During regular school hours '],['Lay persons/volunteers'],33,2,30 ,['Toolkit: Phonics']
43099924,Archer (1981),1981,['Dissertation or thesis'],['Phonics'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2071,0.4096,['Post-test unadjusted (select one from this group)'],Woodcock Word Identification,With active control,['Sample: Low achievers'],Literacy  decoding/phonics,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.2071,0.4096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,6,NA,['Primary/elementary school'],"['9', '10', '11']",NA,NA,['USA'],['Multisite RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Research staff'],2.1,5,30,['Toolkit: Phonics']
43099893,Ball (1991),1991,['Journal article'],['Phonics'],"['Toolkit primary outcome', 'Reading primary outcome']",0.5301,0.2653,['Post-test unadjusted (select one from this group)'],Woodcock Word Identification,With business as usual,['Sample: Average'],Literacy  decoding/phonics,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.5301,0.2653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,3,6,['Primary/elementary school'],"['5', '6']",NA,NA,['USA'],['Multisite RCT'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Research staff', 'External teachers']",7,4,20,['Toolkit: Phonics']
43099905,Barker (1995) 1_1,1995,['Journal article'],['Phonics'],"['Toolkit primary outcome', 'Reading primary outcome']",0.968,0.3546,['Post-test unadjusted (select one from this group)'],Woodcock Word ID,With active control,['Sample: Low achievers'],Literacy  decoding/phonics,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.968,0.3546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,2,NA,['Primary/elementary school'],"['6', '7']",NA,NA,['USA'],['Regression Discontinuity with randomisation'],['Student alone (self-administered)'],['No'],['Yes'],['No'],['During regular school hours '],['Digital technology'],8 ,4,25 ,['Toolkit: Phonics']
46325667,Barker (1995) 1_2,1995,['Journal article'],['Phonics'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1956,0.3342,['Post-test unadjusted (select one from this group)'],Word Identification,With active control,['Sample: Low achievers'],Literacy  decoding/phonics,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1956,0.3342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,2,NA,['Primary/elementary school'],"['6', '7']",NA,NA,['USA'],['Individual RCT'],['Student alone (self-administered)'],['No'],['Yes'],['No'],['During regular school hours '],['Digital technology'],8,4,25,['Toolkit: Phonics']
42059739,Beach (2004),2004,['Dissertation or thesis'],"['Parental engagement', 'Phonics', 'Summer schools']","['Toolkit primary outcome', 'Reading primary outcome']",0.419,0.125,['Post-test adjusted for baseline attainment'],DIBELS,With business as usual,['Sample: All'],Literacy  decoding/phonics,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.419,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337,5,NA,['Nursery school/pre-school'],"['4', '5']",TRUE,62.0,['USA'],['Regression Discontinuity - not randomised'],"['Large group/class teaching (+6)', 'Other (Explain in notes)']",['Yes (Please specify)'],['No'],['Yes'],['Summer/ holiday period'],"['Class teachers', 'Teaching assistants']",5,5,150,"['Toolkit: Parental engagement', 'Toolkit: Phonics', 'Toolkit: Summer schools']"
43099917,Beattie (2000),2000,['Dissertation or thesis'],['Phonics'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.2255,0.4098,['Post-test unadjusted (select one from this group)'],GORT 3 - Phonics,With business as usual,['Sample: Low achievers'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.2255,0.4098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,3,NA,"['Middle school', 'Secondary/High school']","['11', '12', '13', '14', '15', '16']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['Yes'],['No'],['During regular school hours '],"['Class teachers', 'Digital technology']",7,5,94,['Toolkit: Phonics']
43100015,Berninger (2003) Ph,2003,['Journal article'],['Phonics'],"['Toolkit primary outcome', 'Reading primary outcome']",1.0311,0.2949,['Post-test adjusted for baseline attainment'],Word Identification,With business as usual,['Sample: Low achievers'],Literacy  decoding/phonics,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.0311,0.2949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,8,NA,['Primary/elementary school'],"['7', '8']",NA,NA,['USA'],['Cluster RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Research staff'],14,2,20,['Toolkit: Phonics']
