id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12
43100014,Allor (2004) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WJ-R comprehension,['Other outcome'],Secondary outcome(s),WJ-R Word ID,['Other outcome'],Secondary outcome(s),WJ-R Word Attack,['Other outcome'],Secondary outcome(s),TOWRE Real Word,['Other outcome'],Secondary outcome(s),TOWRE Nonword ,['Other outcome'],Secondary outcome(s),DIBELS Phoneme Segmentation Fluency ,['Other outcome'],Secondary outcome(s),Oral-Reading Fluency ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46325665,Allor (2004) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WJ-R Comprehension,['Other outcome'],Secondary outcome(s),WJ-R Word ID,['Other outcome'],Secondary outcome(s),WJ-R Word Attack,['Other outcome'],Secondary outcome(s),TOWRE Real Word,['Other outcome'],Secondary outcome(s),TOWRE Nonword,['Other outcome'],Secondary outcome(s),DIBELS Phoneme-Segmentation Fluency ,['Other outcome'],Secondary outcome(s),DIBELS Nonsense-word fluency ,['Other outcome'],Secondary outcome(s),Oral-Reading Fluency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090112,Aram (2004) Ph,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Phonological Awareness -  Phonics Strand ,['Writing and spelling primary outcome.'],Secondary outcome(s),Word writing - Phonics,['Other outcome'],Secondary outcome(s),Orthographic awareness -  Phonics,['Other outcome'],Secondary outcome(s),Listening Comprehension - Phonics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099924,Archer (1981),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Woodcock Word Identification,['Other outcome'],Secondary outcome(s),Woodcock Word Attack,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099893,Ball (1991),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Woodcock Word Identification,['Other outcome'],Secondary outcome(s),Phonemic Segmentation,['Other outcome'],Secondary outcome(s),Letter Names,['Other outcome'],Secondary outcome(s),Letter Sounds,['Writing and spelling primary outcome.'],Secondary outcome(s),Spelling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099905,Barker (1995) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Woodcock Word ID,['Other outcome'],Secondary outcome(s),Woodcock Word Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46325667,Barker (1995) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Word Identification,['Other outcome'],Secondary outcome(s),Word Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42059739,Beach (2004),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,DIBELS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099917,Beattie (2000),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,GORT 3 - Phonics,['Other outcome'],Secondary outcome(s),Woodcock-Johnson  Passage Comprehension - Phonics,['Other outcome'],Secondary outcome(s),Woodcock-Johnson Letter-Word Identification - Phonics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100015,Berninger (2003) Ph,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Word Identification,['Other outcome'],Secondary outcome(s),Word Identification,['Other outcome'],Secondary outcome(s),Word Attack,['Other outcome'],Secondary outcome(s),Word Attack,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099872,Bhattacharya (2004),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WRMT-R Word Attack - Phonics,['Other outcome'],Secondary outcome(s),WRMT-R Word Attack - Phonics ,['Other outcome'],Secondary outcome(s),Decoding words syllable segmentation - Phonics,['Other outcome'],Secondary outcome(s),Decoding words syllable segmentation - Phonics,['Other outcome'],Secondary outcome(s),Decoding words on Trial 1 - Phonics,['Other outcome'],Secondary outcome(s),Decoding words on Trial 1 - Phonics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
