id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand
40307479,Alfassi (1998),1998,['Journal article'],['Reading comprehension strategies'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.2315,0.2544,['Post-test unadjusted (select one from this group)'],MacGinitie - Comprehension,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.2315,0.2544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,2,8,['Secondary/High school'],"['14', '15']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",4,5,45,['Toolkit: Reading comprehension strategies']
40307416,Alvermann (1988),1988,['Journal article'],['Reading comprehension strategies'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.6269,0.2565,['Post-test unadjusted (select one from this group)'],Percent correct High Comprehenders Graphic Organiser v control,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.6269,0.2565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,1,NA,['Secondary/High school'],"['15', '16']",NA,NA,['USA'],['Individual RCT'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],1 ,1 ,55,['Toolkit: Metacognition and self-regulation']
40307267,Anderberg (1996),1996,['Dissertation or thesis'],['Reading comprehension strategies'],"['Toolkit primary outcome', 'Reading primary outcome']",0.14,0.197,['Post-test adjusted for baseline attainment'],DRP Test (ANCOVA),With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.14,0.197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,2,8,['Primary/elementary school'],"['10', '9']",NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],3.1,5, ,['Toolkit: Reading comprehension strategies']
40307481,Anders (1984),1984,['Conference paper'],['Reading comprehension strategies'],"['Toolkit primary outcome', 'Reading primary outcome']",1.6616,0.2971,['Post-test unadjusted (select one from this group)'],Comprehension test (total),With active control,['Sample: All'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",1.6616,0.2971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,1,NA,['Secondary/High school'],"['14', '15', '16', '17', '18']",NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Research staff'],2,2,50,['Toolkit: Reading comprehension strategies']
40307380,Armstrong (2000),2000,['Dissertation or thesis'],['Reading comprehension strategies'],"['Toolkit primary outcome', 'Science primary outcome']",0.2489,0.1269,['Post-test unadjusted (select one from this group)'],Science Achievement ,With business as usual,['Sample: Low achievers'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.2489,0.1269,NA,NA,NA,46 ,1,2,['Middle school'],"['11', '12']",NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],10,5,45,['Toolkit: Reading comprehension strategies']
40307225,Bakken (1995),1995,['Dissertation or thesis'],['Reading comprehension strategies'],"['Toolkit primary outcome', 'Science primary outcome']",2.222,0.4337,['Post-test unadjusted (select one from this group)'],TSB - Read.Compr.,With business as usual,['Sample: Low achievers'],Science,['Test type: Researcher developed test'],['Reading primary outcome'],1.1939,0.3652,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",2.222,0.4337,NA,NA,NA,54,2,NA,['Middle school'],"['13', '14', '15']",NA,NA,['USA'],['Individual RCT'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Research staff'],1,5,31,['Toolkit: Reading comprehension strategies']
40307417,Baumann (1984),1984,['Journal article'],['Reading comprehension strategies'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2202,0.3025,['Post-test adjusted for baseline attainment'],Main Idea Comprehension (overall scores - strategy vs control) ,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2202,0.3025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,1,3,['Primary/elementary school'],"['11', '12']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Research staff'],2.5 ,5,30,['Toolkit: Reading comprehension strategies']
40307269,Baumann (1992),1992,['Journal article'],['Reading comprehension strategies'],"['Toolkit primary outcome', 'Reading primary outcome']",0.767,0.3135,['Post-test adjusted for baseline attainment'],Degrees of Reading Power - Reading Comprehension Strategies,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.767,0.3135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 43 ,1,3,['Primary/elementary school'],"['9', '10']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Research staff'],2,5,45,['Toolkit: Reading comprehension strategies']
40307381,Baumann (2002),2002,['Journal article'],['Reading comprehension strategies'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1944,0.2515,NA,Overall RC ES ,With business as usual,NA,Literacy  reading comprehension,NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.1944,0.2515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,1,4,['Primary/elementary school'],"['10', '11']",NA,NA,['USA'],"['Prospective QED', 'Individual RCT']",['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Research staff'],4,3,50,NA
40307270,Bereiter (1985),1985,['Journal article'],['Reading comprehension strategies'],"['Toolkit primary outcome', 'Reading primary outcome']",1.2351,0.3901,['Post-test unadjusted (select one from this group)'],Nelson-Denny (group 1 vs 4 posttest),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.2351,0.3901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,2,NA,['Middle school'],"['12', '13', '14']",NA,NA,['Canada'],['Individual RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Research staff'],3 ,3,40 ,['Toolkit: Reading comprehension strategies']
