id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN,out_tit_red,out_tit_red_CLEAN,out_desc_red,out_desc_red_CLEAN,out_type_red,out_type_red_CLEAN,smd_red,smd_red_CLEAN,se_red,se_red_CLEAN,out_measure_red,out_measure_red_CLEAN,out_g1_n_red,out_g1_n_red_CLEAN,out_g1_mean_red,out_g1_mean_red_CLEAN,out_g1_sd_red,out_g1_sd_red_CLEAN,out_g2_n_red,out_g2_n_red_CLEAN,out_g2_mean_red,out_g2_mean_red_CLEAN,out_g2_sd_red,out_g2_sd_red_CLEAN,ci_lower_red,ci_lower_red_CLEAN,ci_upper_red,ci_upper_red_CLEAN,out_label_red,out_label_red_CLEAN,out_samp_red,out_samp_red_CLEAN,out_comp_red,out_comp_red_CLEAN,out_es_type_red,out_es_type_red_CLEAN,out_test_type_raw_red,out_test_type_raw_red_CLEAN,out_tit_wri,out_tit_wri_CLEAN,out_desc_wri,out_desc_wri_CLEAN,out_type_wri,out_type_wri_CLEAN,smd_wri,smd_wri_CLEAN,se_wri,se_wri_CLEAN,out_measure_wri,out_measure_wri_CLEAN,out_g1_n_wri,out_g1_n_wri_CLEAN,out_g1_mean_wri,out_g1_mean_wri_CLEAN,out_g1_sd_wri,out_g1_sd_wri_CLEAN,out_g2_n_wri,out_g2_n_wri_CLEAN,out_g2_mean_wri,out_g2_mean_wri_CLEAN,out_g2_sd_wri,out_g2_sd_wri_CLEAN,ci_lower_wri,ci_lower_wri_CLEAN,ci_upper_wri,ci_upper_wri_CLEAN,out_label_wri,out_label_wri_CLEAN,out_samp_wri,out_samp_wri_CLEAN,out_comp_wri,out_comp_wri_CLEAN,out_es_type_wri,out_es_type_wri_CLEAN,out_test_type_raw_wri,out_test_type_wri_CLEAN,out_tit_math,out_tit_math_CLEAN,out_desc_math,out_desc_math_CLEAN,out_type_math,out_type_math_CLEAN,smd_math,smd_math_CLEAN,se_math,se_math_CLEAN,out_measure_math,out_measure_math_CLEAN,out_g1_n_math,out_g1_n_math_CLEAN,out_g1_mean_math,out_g1_mean_math_CLEAN,out_g1_sd_math,out_g1_sd_math_CLEAN,out_g2_n_math,out_g2_n_math_CLEAN,out_g2_mean_math,out_g2_mean_math_CLEAN,out_g2_sd_math,out_g2_sd_math_CLEAN,ci_lower_math,ci_lower_math_CLEAN,ci_upper_math,ci_upper_math_CLEAN,out_label_math,out_label_math_CLEAN,out_samp_math,out_samp_math_CLEAN,out_comp_math,out_comp_math_CLEAN,out_es_type_math,out_es_type_math_CLEAN,out_test_type_raw_math,out_test_type_math_CLEAN,out_tit_sci,out_tit_sci_CLEAN,out_desc_sci,out_desc_sci_CLEAN,out_type_sci,out_type_sci_CLEAN,smd_sci,smd_sci_CLEAN,se_sci,se_sci_CLEAN,out_measure_sci,out_measure_sci_CLEAN,out_g1_n_sci,out_g1_n_sci_CLEAN,out_g1_mean_sci,out_g1_mean_sci_CLEAN,out_g1_sd_sci,out_g1_sd_sci_CLEAN,out_g2_n_sci,out_g2_n_sci_CLEAN,out_g2_mean_sci,out_g2_mean_sci_CLEAN,out_g2_sd_sci,out_g2_sd_sci_CLEAN,ci_lower_sci,ci_lower_sci_CLEAN,ci_upper_sci,ci_upper_sci_CLEAN,out_label_sci,out_label_sci_CLEAN,out_samp_sci,out_samp_sci_CLEAN,out_comp_sci,out_comp_sci_CLEAN,out_es_type_sci,out_es_type_sci_CLEAN,out_test_type_raw_sci,out_test_type_sci_CLEAN,out_tit_fsm,out_tit_fsm_CLEAN,out_desc_fsm,out_desc_fsm_CLEAN,out_type_fsm,out_type_fsm_CLEAN,smd_fsm,smd_fsm_CLEAN,se_fsm,se_fsm_CLEAN,out_measure_fsm,out_measure_fsm_CLEAN,out_g1_n_fsm,out_g1_n_fsm_CLEAN,out_g1_mean_fsm,out_g1_mean_fsm_CLEAN,out_g1_sd_fsm,out_g1_sd_fsm_CLEAN,out_g2_n_fsm,out_g2_n_fsm_CLEAN,out_g2_mean_fsm,out_g2_mean_fsm_CLEAN,out_g2_sd_fsm,out_g2_sd_fsm_CLEAN,ci_lower_fsm,ci_lower_fsm_CLEAN,ci_upper_fsm,ci_upper_fsm_CLEAN,out_label_fsm,out_label_fsm_CLEAN,out_samp_fsm,out_samp_fsm_CLEAN,out_comp_fsm,out_comp_fsm_CLEAN,out_es_type_fsm,out_es_type_fsm_CLEAN,out_test_type_raw_fsm,out_test_type_fsm_CLEAN
40307479,Alfassi (1998),1998,['Reading comprehension strategies'],NA,MacGinitie - Comprehension,,MacGinitie Reading Test – Comprehension subtest (48 items)  Strategy instruction/reciprocal teaching vs skill acquisition (control),,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.2315,,0.2544,,Literacy: reading comprehension,,53.0,,42.29,,13.6,,22.0,,45.33,,11.37,,-0.73,,0.2671,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,MacGinitie - Comprehension,,MacGinitie Reading Test – Comprehension subtest (48 items)  Strategy instruction/reciprocal teaching vs skill acquisition (control),,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.2315,,0.2544,,Literacy: reading comprehension,,53.0,,42.29,,13.6,,22.0,,45.33,,11.37,,-0.73,,0.2671,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40307416,Alvermann (1988),1988,['Reading comprehension strategies'],NA,Percent correct High Comprehenders Graphic Organiser v control,,Percent correct High Comprehenders Graphic Organiser v control,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.6269,,0.2565,,Literacy: reading comprehension,,32.0,,76.92,,3.79,,32.0,,79.3,,3.71,,-1.1296,,-0.1243,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,Percent correct High Comprehenders Graphic Organiser v control,,Percent correct High Comprehenders Graphic Organiser v control,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.6269,,0.2565,,Literacy: reading comprehension,,32.0,,76.92,,3.79,,32.0,,79.3,,3.71,,-1.1296,,-0.1243,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40307267,Anderberg (1996),1996,['Reading comprehension strategies'],NA,DRP Test (ANCOVA),,The DRP sub-test to all subjects to measure skill in reading comprehension. F-value (0.47) of ANCOVA for overall treatment comparing with overall control groups are used for ES calculation. ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.14,,0.197,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.2461,,0.5261,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,DRP Test (ANCOVA),,The DRP sub-test to all subjects to measure skill in reading comprehension. F-value (0.47) of ANCOVA for overall treatment comparing with overall control groups are used for ES calculation. ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.14,,0.197,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.2461,,0.5261,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40307481,Anders (1984),1984,['Reading comprehension strategies'],NA,Comprehension test (total),,Comprehension test (total) semantic feature analysis (treatment) vs vocabulary look-up (control) groups. ,,"['Toolkit primary outcome', 'Reading primary outcome']",,1.6616,,0.2971,,Literacy: reading comprehension,,31.0,,16.06,,2.39,,31.0,,11.26,,3.25,,1.0792,,2.2439,,Primary outcome,,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,Comprehension test (total),,Comprehension test (total) semantic feature analysis (treatment) vs vocabulary look-up (control) groups. ,,"['Toolkit primary outcome', 'Reading primary outcome']",,1.6616,,0.2971,,Literacy: reading comprehension,,31.0,,16.06,,2.39,,31.0,,11.26,,3.25,,1.0792,,2.2439,,Primary outcome,,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40307380,Armstrong (2000),2000,['Reading comprehension strategies'],NA,Science Achievement ,,effect size and SE calculated from the means & full sample SD for posttest Science scores,,"['Toolkit primary outcome', 'Science primary outcome']",,0.2489,,0.1269,,Science,,NA,,NA,,NA,,NA,,NA,,NA,,0.0002,,0.4976,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Science Achievement ,,effect size and SE calculated from the means & full sample SD for posttest Science scores,,"['Toolkit primary outcome', 'Science primary outcome']",,0.2489,,0.1269,,Science,,NA,,NA,,NA,,NA,,NA,,NA,,0.0002,,0.4976,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40307225,Bakken (1995),1995,['Reading comprehension strategies'],NA,TSB - Read.Compr.,,Recall of Units in social sciences (researcher developed) – Reading Comprehension  Total conservative score -  TSB (text structure-based strategy) vs control,,"['Toolkit primary outcome', 'Science primary outcome']",,2.222,,0.4337,,Science,,18.0,,32.83,,11.8,,18.0,,12.61,,4.37,,1.3719,,3.0721,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,PR -Read.Compr.,,Recall of Units in social sciences (researcher developed) – Reading Comprehension  Total conservative score - PR (paragraph restatement strategy) vs control ,,['Reading primary outcome'],,1.1939,,0.3652,,Science,,18,,26,,14.88,,18,,12.61,,4.37,,0.4782,,1.9096,,Secondary outcome(s),,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,TSB - Read.Compr.,,Recall of Units in social sciences (researcher developed) – Reading Comprehension  Total conservative score -  TSB (text structure-based strategy) vs control,,"['Toolkit primary outcome', 'Science primary outcome']",,2.222,,0.4337,,Science,,18.0,,32.83,,11.8,,18.0,,12.61,,4.37,,1.3719,,3.0721,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40307417,Baumann (1984),1984,['Reading comprehension strategies'],NA,Main Idea Comprehension (overall scores - strategy vs control) ,,"Combined total means and SDs for Strategy vs Control Groups for 5 outcomes - explicit paragraph, implicit paragraph, details that support, explicit passage and implicit passage.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2202,,0.3025,,Literacy: reading comprehension,,22.0,,6.248,,7.904,,22.0,,4.603,,6.724,,-0.3728,,0.8131,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,Main Idea Comprehension (overall scores - strategy vs control) ,,"Combined total means and SDs for Strategy vs Control Groups for 5 outcomes - explicit paragraph, implicit paragraph, details that support, explicit passage and implicit passage.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2202,,0.3025,,Literacy: reading comprehension,,22.0,,6.248,,7.904,,22.0,,4.603,,6.724,,-0.3728,,0.8131,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40307269,Baumann (1992),1992,['Reading comprehension strategies'],NA,Degrees of Reading Power - Reading Comprehension Strategies,,Post-test adjusted mean of  a standardised reading comprehension test,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.767,,0.3135,,Literacy: reading comprehension,,22.0,,46.716,,7.644,,22.0,,41.133,,6.615,,0.1527,,1.3814,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,Degrees of Reading Power - Reading Comprehension Strategies,,Post-test adjusted mean of  a standardised reading comprehension test,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.767,,0.3135,,Literacy: reading comprehension,,22.0,,46.716,,7.644,,22.0,,41.133,,6.615,,0.1527,,1.3814,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40307381,Baumann (2002),2002,['Reading comprehension strategies'],NA,Overall RC ES ,,all six comprehension primary outcomes combined through fixed effects (SE was calculated through square the individuals SEs and square rooting their average),,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1944,,0.2515,,Literacy: reading comprehension,,0.194401067,,0,,0,,0.25151,,0,,0,,-0.2986,,0.6874,,,,NA,,With business as usual,,NA,,NA,,Overall RC ES ,,all six comprehension primary outcomes combined through fixed effects (SE was calculated through square the individuals SEs and square rooting their average),,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1944,,0.2515,,Literacy: reading comprehension,,0.194401067,,0,,0,,0.25151,,0,,0,,-0.2986,,0.6874,,,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40307270,Bereiter (1985),1985,['Reading comprehension strategies'],NA,Nelson-Denny (group 1 vs 4 posttest),,Means and SDs of Nelson-Denny Reading Test scores for group 1 (Modeling plus explanation) vs group 4 (control) extracted,,"['Toolkit primary outcome', 'Reading primary outcome']",,1.2351,,0.3901,,Literacy: reading comprehension,,16.0,,14.56,,2.65,,16.0,,11.24,,2.59,,0.4705,,1.9998,,Secondary outcome(s),,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,Nelson-Denny (group 1 vs 4 posttest),,Means and SDs of Nelson-Denny Reading Test scores for group 1 (Modeling plus explanation) vs group 4 (control) extracted,,"['Toolkit primary outcome', 'Reading primary outcome']",,1.2351,,0.3901,,Literacy: reading comprehension,,16.0,,14.56,,2.65,,16.0,,11.24,,2.59,,0.4705,,1.9998,,Secondary outcome(s),,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
