id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14
40307479,Alfassi (1998),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,MacGinitie - Comprehension,['Other outcome'],Secondary outcome(s),MacGinitie - vocabulary ,['Other outcome'],Secondary outcome(s),Reading assessments,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307416,Alvermann (1988),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Percent correct High Comprehenders Graphic Organiser v control,['Other outcome'],Secondary outcome(s),Percent Correct Low Comprehenders Graphic Organiser v Controls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307267,Anderberg (1996),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,DRP Test (ANCOVA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307481,Anders (1984),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Comprehension test (total),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307380,Armstrong (2000),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Science Achievement ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307225,Bakken (1995),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,TSB - Read.Compr.,['Reading primary outcome'],Secondary outcome(s),PR -Read.Compr.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307417,Baumann (1984),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Main Idea Comprehension (overall scores - strategy vs control) ,['Other outcome'],Primary outcome,Main Idea Comprehension (overall scores - Strategy vs Basal) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307269,Baumann (1992),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Degrees of Reading Power - Reading Comprehension Strategies,['Other outcome'],Secondary outcome(s),Error Detection Test of reading comprehension - Reading Comprehension Strategies,['Other outcome'],Secondary outcome(s),Comprehension Monitoring Questionnaire - Reading Comprehension Strategies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307381,Baumann (2002),['Other outcome'],Primary outcome,Morphemic Transfer Words Production Test,['Other outcome'],Primary outcome,Morphemic Transfer Words Recognition Test,['Other outcome'],Primary outcome,Context Transfer Words Production Test,['Other outcome'],Primary outcome,Context Transfer Words Recognition Test,['Other outcome'],Secondary outcome(s),Context Lesson Words Recognition Test,"['Toolkit primary outcome', 'Reading primary outcome']",,Overall RC ES ,['Other outcome'],Primary outcome,Context Transfer Words in a Passage,['Other outcome'],Primary outcome,Morphemic Transfer Words in a Passage,['Other outcome'],Secondary outcome(s),Morphemic Lesson Words Production Test,['Other outcome'],Secondary outcome(s),Morphemic Lesson Words Recognition Test,['Other outcome'],Secondary outcome(s),Context Lesson Words Production Test,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307270,Bereiter (1985),"['Toolkit primary outcome', 'Reading primary outcome']",Secondary outcome(s),Nelson-Denny (group 1 vs 4 posttest),['Other outcome'],Primary outcome,Nelson-Denny (group 1 vs 3 posttest),['Other outcome'],Secondary outcome(s),Metropolitan Ach. Test (group 1 vs 4 posttest),['Other outcome'],Secondary outcome(s),Metropolitan Ach. Test (group 1 vs 3 posttest),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
