id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN,out_tit_red,out_tit_red_CLEAN,out_desc_red,out_desc_red_CLEAN,out_type_red,out_type_red_CLEAN,smd_red,smd_red_CLEAN,se_red,se_red_CLEAN,out_measure_red,out_measure_red_CLEAN,out_g1_n_red,out_g1_n_red_CLEAN,out_g1_mean_red,out_g1_mean_red_CLEAN,out_g1_sd_red,out_g1_sd_red_CLEAN,out_g2_n_red,out_g2_n_red_CLEAN,out_g2_mean_red,out_g2_mean_red_CLEAN,out_g2_sd_red,out_g2_sd_red_CLEAN,ci_lower_red,ci_lower_red_CLEAN,ci_upper_red,ci_upper_red_CLEAN,out_label_red,out_label_red_CLEAN,out_samp_red,out_samp_red_CLEAN,out_comp_red,out_comp_red_CLEAN,out_es_type_red,out_es_type_red_CLEAN,out_test_type_raw_red,out_test_type_raw_red_CLEAN,out_tit_wri,out_tit_wri_CLEAN,out_desc_wri,out_desc_wri_CLEAN,out_type_wri,out_type_wri_CLEAN,smd_wri,smd_wri_CLEAN,se_wri,se_wri_CLEAN,out_measure_wri,out_measure_wri_CLEAN,out_g1_n_wri,out_g1_n_wri_CLEAN,out_g1_mean_wri,out_g1_mean_wri_CLEAN,out_g1_sd_wri,out_g1_sd_wri_CLEAN,out_g2_n_wri,out_g2_n_wri_CLEAN,out_g2_mean_wri,out_g2_mean_wri_CLEAN,out_g2_sd_wri,out_g2_sd_wri_CLEAN,ci_lower_wri,ci_lower_wri_CLEAN,ci_upper_wri,ci_upper_wri_CLEAN,out_label_wri,out_label_wri_CLEAN,out_samp_wri,out_samp_wri_CLEAN,out_comp_wri,out_comp_wri_CLEAN,out_es_type_wri,out_es_type_wri_CLEAN,out_test_type_raw_wri,out_test_type_wri_CLEAN,out_tit_math,out_tit_math_CLEAN,out_desc_math,out_desc_math_CLEAN,out_type_math,out_type_math_CLEAN,smd_math,smd_math_CLEAN,se_math,se_math_CLEAN,out_measure_math,out_measure_math_CLEAN,out_g1_n_math,out_g1_n_math_CLEAN,out_g1_mean_math,out_g1_mean_math_CLEAN,out_g1_sd_math,out_g1_sd_math_CLEAN,out_g2_n_math,out_g2_n_math_CLEAN,out_g2_mean_math,out_g2_mean_math_CLEAN,out_g2_sd_math,out_g2_sd_math_CLEAN,ci_lower_math,ci_lower_math_CLEAN,ci_upper_math,ci_upper_math_CLEAN,out_label_math,out_label_math_CLEAN,out_samp_math,out_samp_math_CLEAN,out_comp_math,out_comp_math_CLEAN,out_es_type_math,out_es_type_math_CLEAN,out_test_type_raw_math,out_test_type_math_CLEAN,out_tit_sci,out_tit_sci_CLEAN,out_desc_sci,out_desc_sci_CLEAN,out_type_sci,out_type_sci_CLEAN,smd_sci,smd_sci_CLEAN,se_sci,se_sci_CLEAN,out_measure_sci,out_measure_sci_CLEAN,out_g1_n_sci,out_g1_n_sci_CLEAN,out_g1_mean_sci,out_g1_mean_sci_CLEAN,out_g1_sd_sci,out_g1_sd_sci_CLEAN,out_g2_n_sci,out_g2_n_sci_CLEAN,out_g2_mean_sci,out_g2_mean_sci_CLEAN,out_g2_sd_sci,out_g2_sd_sci_CLEAN,ci_lower_sci,ci_lower_sci_CLEAN,ci_upper_sci,ci_upper_sci_CLEAN,out_label_sci,out_label_sci_CLEAN,out_samp_sci,out_samp_sci_CLEAN,out_comp_sci,out_comp_sci_CLEAN,out_es_type_sci,out_es_type_sci_CLEAN,out_test_type_raw_sci,out_test_type_sci_CLEAN,out_tit_fsm,out_tit_fsm_CLEAN,out_desc_fsm,out_desc_fsm_CLEAN,out_type_fsm,out_type_fsm_CLEAN,smd_fsm,smd_fsm_CLEAN,se_fsm,se_fsm_CLEAN,out_measure_fsm,out_measure_fsm_CLEAN,out_g1_n_fsm,out_g1_n_fsm_CLEAN,out_g1_mean_fsm,out_g1_mean_fsm_CLEAN,out_g1_sd_fsm,out_g1_sd_fsm_CLEAN,out_g2_n_fsm,out_g2_n_fsm_CLEAN,out_g2_mean_fsm,out_g2_mean_fsm_CLEAN,out_g2_sd_fsm,out_g2_sd_fsm_CLEAN,ci_lower_fsm,ci_lower_fsm_CLEAN,ci_upper_fsm,ci_upper_fsm_CLEAN,out_label_fsm,out_label_fsm_CLEAN,out_samp_fsm,out_samp_fsm_CLEAN,out_comp_fsm,out_comp_fsm_CLEAN,out_es_type_fsm,out_es_type_fsm_CLEAN,out_test_type_raw_fsm,out_test_type_fsm_CLEAN
40375610,Abidin (1971),1971,['Repeating a year'],NA,SG+3/4_MAT_SRA Reading 4th Gr ,,"4th Grade Reading sample sizes and significance (p-value) for retained vs promoted groups - for ES calculation. (retained in 1st or 2nd Grade, post-test on 4th Grade)",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.4865,,0.1897,,Literacy: reading comprehension,,85.0,,0.0,,0.0,,43.0,,0.01,,0.0,,0.1148,,0.8583,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,SG+3/4_MAT_SRA Reading 4th Gr ,,"4th Grade Reading sample sizes and significance (p-value) for retained vs promoted groups - for ES calculation. (retained in 1st or 2nd Grade, post-test on 4th Grade)",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.4865,,0.1897,,Literacy: reading comprehension,,85.0,,0.0,,0.0,,43.0,,0.01,,0.0,,0.1148,,0.8583,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,SG+3/4_MAT_SRA Maths 4th Gr ,,"SRA math N's and p-value entered for ES calculation for retained vs promoted groups. (retained in 1st or 2nd Grade, post-test on 4th Grade)",,['Mathematics primary outcome'],,0.3681,,0.1886,,Mathematics,,85,,0,,0,,43,,0.05,,0,,-0.0015,,0.7378,,Secondary outcome(s),,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40375558,Alexander (1994) 1_1,1994,['Repeating a year'],NA,SA+1_MAT_California Achievement --Reading,,SA_(Same_Age) California Achievement Test-Reading - Retained in 1st Grade (Y1) posttest spring of repeated year v same age never retained poor performers (Table 7.1)  (comparison with adjusted for FALL & demographics),,"['Toolkit primary outcome', 'Reading primary outcome']",,-1.242,,0.1604,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,-1.5563,,-0.9277,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,SA+1_MAT_California Achievement --Reading,,SA_(Same_Age) California Achievement Test-Reading - Retained in 1st Grade (Y1) posttest spring of repeated year v same age never retained poor performers (Table 7.1)  (comparison with adjusted for FALL & demographics),,"['Toolkit primary outcome', 'Reading primary outcome']",,-1.242,,0.1604,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,-1.5563,,-0.9277,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,SA+1_POP-California Achievement - Maths,,(Same Age)CAT-Maths Retained in 1st Grade (Y1) posttest spring of repeated year v same age never retained (Table 7.1),,['Mathematics primary outcome'],,-2.1808,,0.1127,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,-2.4016,,-1.96,,Secondary outcome(s),,['Sample: Low achievers'],,With business as usual,,['Pre-post gain'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
49106807,Alexander (1994) 1_2,1994,['Repeating a year'],NA,SG+1_MAT_California Achievement-Reading,,SG_(Same_Grade) California Achievement Test-Maths - Retained in 1st Grade posttest end of 1nd repeated Grade vs same grade poor performers - adjusted for Fall and demographics (Table 7.2),,"['Toolkit primary outcome', 'Reading primary outcome']",,0.4495,,0.1494,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,0.1566,,0.7424,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,SG+1_MAT_California Achievement-Reading,,SG_(Same_Grade) California Achievement Test-Maths - Retained in 1st Grade posttest end of 1nd repeated Grade vs same grade poor performers - adjusted for Fall and demographics (Table 7.2),,"['Toolkit primary outcome', 'Reading primary outcome']",,0.4495,,0.1494,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,0.1566,,0.7424,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,, SG+1_POP-California Achievement - Maths,,SG_(Same_Grade) California Achievement Test-Maths - Retained in 1st Grade posttest end of 1st repeated Grade vs same grade (Table 7.2),,['Mathematics primary outcome'],,-0.5007,,0.0985,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,-0.6938,,-0.3076,,Secondary outcome(s),,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
49106808,Alexander (1994) 1_3,1994,['Repeating a year'],NA,SA+1_MAT_California Achievement --Reading,,Same_age  CAT-R  California Achievement Test-Maths - Retained in 3rd  Grade posttest spring of repeated year vs same age poor performers - adjusted for Fall and demographics (Table 7.5),,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.5741,,0.2083,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,-0.9825,,-0.1657,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,SA+1_MAT_California Achievement --Reading,,Same_age  CAT-R  California Achievement Test-Maths - Retained in 3rd  Grade posttest spring of repeated year vs same age poor performers - adjusted for Fall and demographics (Table 7.5),,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.5741,,0.2083,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,-0.9825,,-0.1657,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,SA+1_POP-California Achievement - Maths,,Same_age  CAT-M  California Achievement Test-Maths - Retained in 3rd  Grade posttest spring of repeated year vs same age (Table 7.5),,['Mathematics primary outcome'],,-1.8002,,0.1678,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,-2.129,,-1.4714,,Secondary outcome(s),,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
49106809,Alexander (1994) 1_4,1994,['Repeating a year'],NA,SG+1_MAT_California Achievement --Reading,,SG_(Same_Grade) California Achievement Test-Maths - Retained 3rd Grade posttest end of repeated 3rd Grade vs same grade poor performers - adjusted for Fall and demographics (Table 7.6),,"['Toolkit primary outcome', 'Reading primary outcome']",,0.5521,,0.208,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,0.1444,,0.9598,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,SG+1_MAT_California Achievement --Reading,,SG_(Same_Grade) California Achievement Test-Maths - Retained 3rd Grade posttest end of repeated 3rd Grade vs same grade poor performers - adjusted for Fall and demographics (Table 7.6),,"['Toolkit primary outcome', 'Reading primary outcome']",,0.5521,,0.208,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,0.1444,,0.9598,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,SG+1_POP-California Achievement - Maths,,SG_(Same_Grade) California Achievement Test-Maths - Retained 3rd Grade posttest end of repeated 3rd Grade vs same grade (Table 7.6),,['Mathematics primary outcome'],,-0.4243,,0.161,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,-0.7399,,-0.1087,,Secondary outcome(s),,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
49106810,Alexander (1994) 1_5,1994,['Repeating a year'],NA, SA+1_MAT_California Achievement --Reading,,Same_age  CAT-R  California Achievement Test-Maths - Retained 2nd  Grade posttest spring of repeated year vs same age not retained  poor performers - adjusted for Fall and demographics (Table 7.3) (size for poor performers in Table 6.1 p.91),,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.9308,,0.2035,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,-1.3296,,-0.532,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],, SA+1_MAT_California Achievement --Reading,,Same_age  CAT-R  California Achievement Test-Maths - Retained 2nd  Grade posttest spring of repeated year vs same age not retained  poor performers - adjusted for Fall and demographics (Table 7.3) (size for poor performers in Table 6.1 p.91),,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.9308,,0.2035,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,-1.3296,,-0.532,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,SA+1_POP-California Achievement - Maths,,Same_age  CAT-M  California Achievement Test-Maths - Retained 2nd  Grade posttest spring of repeated year vs same age not retained (Table 7.3),,['Mathematics primary outcome'],,-2.2516,,0.1507,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,-2.5469,,-1.9563,,Secondary outcome(s),,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
49106811,Alexander (1994) 1_6,1994,['Repeating a year'],NA,SA+1_MAT_California Achievement --Reading,,SG_(Same_Grade) California Achievement Test-Maths - Retained 2nd Grade posttest end of repeated 2nd Grade vs same grade poor performers - adjusted for Fall and demographics (Table 7.4) (size for poor performers in Table 6.A1 p.112),,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.0841,,0.1785,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,-0.4339,,0.2657,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,SA+1_MAT_California Achievement --Reading,,SG_(Same_Grade) California Achievement Test-Maths - Retained 2nd Grade posttest end of repeated 2nd Grade vs same grade poor performers - adjusted for Fall and demographics (Table 7.4) (size for poor performers in Table 6.A1 p.112),,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.0841,,0.1785,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,-0.4339,,0.2657,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,SA+1_POP-California Achievement - Maths,,SG_(Same_Grade) California Achievement Test-Maths - Retained 2nd Grade posttest end of repeated 2nd Grade vs same grade (Table 7.4),,['Mathematics primary outcome'],,-0.5847,,0.1466,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,-0.872,,-0.2974,,Secondary outcome(s),,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40375612,Ammons (1975),1975,['Repeating a year'],NA,SA+1_MAT_SRA Assessment Reading,,"A reading section of the S. R. A. Assessment Survey, Achievement Series,",,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.0244,,0.2582,,Literacy: reading comprehension,,30.0,,154.2333,,44.805,,30.0,,155.3666,,46.7588,,-0.5305,,0.4817,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,SA+1_MAT_SRA Assessment Reading,,"A reading section of the S. R. A. Assessment Survey, Achievement Series,",,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.0244,,0.2582,,Literacy: reading comprehension,,30.0,,154.2333,,44.805,,30.0,,155.3666,,46.7588,,-0.5305,,0.4817,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,SA+1_MAT_SRA Assessment Maths,,"A mathematics section of the S. R. A. Assessment Survey, Achievement Series,",,['Mathematics primary outcome'],,-0.0068,,0.2582,,Mathematics,,30,,161.1333,,45.603,,30,,161.3999,,30.1738,,-0.5129,,0.4993,,Secondary outcome(s),,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
43090111,Anderson (1957) 1_2,1957,['Repeating a year'],NA,SA+1_MAT_Metropolitan Reading,,Phase 1 means and SD's combined for each city. Group 2 (nonpromoted) vs Group 3 (underachieving promoted),,"['Toolkit primary outcome', 'Reading primary outcome']",,0.159,,0.1688,,Combined subjects,,52.0,,129.461,,16.071,,109.0,,127.046,,14.642,,-0.1718,,0.4898,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,SA+1_MAT_Metropolitan Reading,,Phase 1 means and SD's combined for each city. Group 2 (nonpromoted) vs Group 3 (underachieving promoted),,"['Toolkit primary outcome', 'Reading primary outcome']",,0.159,,0.1688,,Combined subjects,,52.0,,129.461,,16.071,,109.0,,127.046,,14.642,,-0.1718,,0.4898,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,SA+1_MAT_Metropolitan Maths,,Phase 1 Means and SD's for nonpromoted vs underachieving promoted on maths fundamentals. ,,['Mathematics primary outcome'],,-0.5166,,0.171,,Combined subjects,,52,,136.365,,9.23,,109,,141.322,,9.697,,-0.8519,,-0.1814,,Secondary outcome(s),,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
43090113,Beebe-Frankenberger (2004) 1_2,2004,['Repeating a year'],NA,SA+1_MAT_WJ-Passage Comprehension,,Woodcock Johnson Passage Comprehension Retained in 2nd Grade v Promoted lowest quartile Stanford,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.6278,,0.2632,,Literacy: reading comprehension,,60,,83.4,,12.05,,20,,90.5,,8.01,,-1.1436,,-0.112,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,SA+1_MAT_WJ-Passage Comprehension,,Woodcock Johnson Passage Comprehension Retained in 2nd Grade v Promoted lowest quartile Stanford,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.6278,,0.2632,,Literacy: reading comprehension,,60,,83.4,,12.05,,20,,90.5,,8.01,,-1.1436,,-0.112,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
