id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,ry_identify_ret_stu,ry_ret_stu_age,ry_ret_basis,ry_impact_meas,ry_stu_ret_num,ry_ret_stud_comp,ry_matching_char,ry_comp,ry_comp_grp_school
40375610,Abidin (1971),1971,['Journal article'],['Repeating a year'],"['Toolkit primary outcome', 'Reading primary outcome']",0.4865,0.1897,['Post-test unadjusted (select one from this group)'],SG+3/4_MAT_SRA Reading 4th Gr ,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.4865,0.1897,NA,NA,NA,['Mathematics primary outcome'],0.3681,0.1886,NA,NA,NA,NA,NA,NA,128,NA,NA,['Primary/elementary school'],"['11', '12', '6', '7', '8', '9', '10']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['Yes'],['During regular school hours '],['Class teachers'],38,5,Not applicable. ,['Toolkit: Repeating a year'],['A specific year group/groups or grade/grades for retention are identified in the research'],"['3 – 7 years', '8- 11 years']","['Teacher assessment, teacher judgement or grades']",['Multiple (mixed sample)'],"['At least once, but unspecified']","[""Promoted similar students (low attaining or 'underachieving' students)""]","['Achievement test score', 'Age', 'IQ/ Cognitive tests']",['Same grade'],['Other (please specify)']
40375558,Alexander (1994) 1_1,1994,['Book or book chapter'],['Repeating a year'],"['Toolkit primary outcome', 'Reading primary outcome']",-1.242,0.1604,['Post-test adjusted for baseline attainment'],SA+1_MAT_California Achievement --Reading,With business as usual,['Sample: Low achievers'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-1.242,0.1604,NA,NA,NA,['Mathematics primary outcome'],-2.1808,0.1127,NA,NA,NA,NA,NA,NA,775,20,NA,NA,"['5', '6']",TRUE,76.0,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,360,['Toolkit: Repeating a year'],['A specific year group/groups or grade/grades for retention are identified in the research'],['3 – 7 years'],"['Teacher assessment, teacher judgement or grades']",['2 years'],['Once'],"[""Promoted 'regular' students"", ""Promoted similar students (low attaining or 'underachieving' students)""]","['Achievement test score', 'Age']","['Same age', 'Same grade']",['Different school']
49106807,Alexander (1994) 1_2,1994,['Book or book chapter'],['Repeating a year'],"['Toolkit primary outcome', 'Reading primary outcome']",0.4495,0.1494,['Post-test adjusted for baseline attainment'],SG+1_MAT_California Achievement-Reading,With business as usual,['Sample: Low achievers'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.4495,0.1494,NA,NA,NA,['Mathematics primary outcome'],-0.5007,0.0985,NA,NA,NA,NA,NA,NA,793,20,NA,['Primary/elementary school'],"['6', '7']",TRUE,85.0,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5 ,360,['Toolkit: Repeating a year'],['Mixed year groups or grades'],['3 – 7 years'],"['Teacher assessment, teacher judgement or grades']",['1 year'],['Once'],"[""Promoted 'regular' students"", ""Promoted similar students (low attaining or 'underachieving' students)""]","['Achievement test score', 'Age']","['Same age', 'Same grade']",['Grade equivalent scores (population comparison)']
49106808,Alexander (1994) 1_3,1994,['Book or book chapter'],['Repeating a year'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.5741,0.2083,['Post-test adjusted for baseline attainment'],SA+1_MAT_California Achievement --Reading,With business as usual,['Sample: Low achievers'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.5741,0.2083,NA,NA,NA,['Mathematics primary outcome'],-1.8002,0.1678,NA,NA,NA,NA,NA,NA,730,20,NA,['Primary/elementary school'],"['8', '9']",TRUE,67.0,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,360,['Toolkit: Repeating a year'],['Mixed year groups or grades'],['8- 11 years'],"['Teacher assessment, teacher judgement or grades']",['1 year'],['Once'],"[""Promoted 'regular' students"", ""Promoted similar students (low attaining or 'underachieving' students)""]","['Achievement test score', 'Ethnicity', 'Gender', 'Socio economic status (SES) including parental income']","['Same grade', 'Same age']",['Grade equivalent scores (population comparison)']
49106809,Alexander (1994) 1_4,1994,['Book or book chapter'],['Repeating a year'],"['Toolkit primary outcome', 'Reading primary outcome']",0.5521,0.208,['Post-test adjusted for baseline attainment'],SG+1_MAT_California Achievement --Reading,With business as usual,['Sample: Low achievers'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.5521,0.208,NA,NA,NA,['Mathematics primary outcome'],-0.4243,0.161,NA,NA,NA,NA,NA,NA,614,20,NA,['Primary/elementary school'],"['8', '9']",TRUE,67.0,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],NA,38,5,360,['Toolkit: Repeating a year'],['Mixed year groups or grades'],['8- 11 years'],"['Teacher assessment, teacher judgement or grades']",['1 year'],['Once'],"[""Promoted 'regular' students"", 'Promoted matched students (where specific characteristics are used to identify a specific match)']",['Achievement test score'],"['Same age', 'Same grade']",['Different school']
49106810,Alexander (1994) 1_5,1994,['Book or book chapter'],['Repeating a year'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.9308,0.2035,['Post-test adjusted for baseline attainment'], SA+1_MAT_California Achievement --Reading,With business as usual,['Sample: Low achievers'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.9308,0.2035,NA,NA,NA,['Mathematics primary outcome'],-2.2516,0.1507,NA,NA,NA,NA,NA,NA,550,20,NA,['Primary/elementary school'],"['9', '10']",TRUE,67.0,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,360,['Toolkit: Repeating a year'],['Mixed year groups or grades'],['8- 11 years'],"['Teacher assessment, teacher judgement or grades']",['1 year'],['Once'],['Promoted matched students (where specific characteristics are used to identify a specific match)'],"['Achievement test score', 'Age', 'Ethnicity', 'Gender', 'Socio economic status (SES) including parental income']","['Same age', 'Same grade']",['Different school']
49106811,Alexander (1994) 1_6,1994,['Book or book chapter'],['Repeating a year'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.0841,0.1785,['Post-test adjusted for baseline attainment'],SA+1_MAT_California Achievement --Reading,With business as usual,['Sample: Low achievers'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.0841,0.1785,NA,NA,NA,['Mathematics primary outcome'],-0.5847,0.1466,NA,NA,NA,NA,NA,NA,509,20,NA,['Primary/elementary school'],"['11', '12']",TRUE,67.0,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],NA,38,5,360,['Toolkit: Repeating a year'],['Mixed year groups or grades'],['12 years or older'],"['Teacher assessment, teacher judgement or grades']",['1 year'],['Once'],['Promoted matched students (where specific characteristics are used to identify a specific match)'],"['Achievement test score', 'Age', 'Ethnicity', 'Gender', 'Socio economic status (SES) including parental income']","['Same age', 'Same grade']",['Different school']
40375612,Ammons (1975),1975,['Dissertation or thesis'],['Repeating a year'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.0244,0.2582,['Post-test unadjusted (select one from this group)'],SA+1_MAT_SRA Assessment Reading,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.0244,0.2582,NA,NA,NA,['Mathematics primary outcome'],-0.0068,0.2582,NA,NA,NA,NA,NA,NA,245,8,NA,['Primary/elementary school'],"['7', '8', '9', '10', '11']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],NA,5,45,['Toolkit: Repeating a year'],['A specific year group/groups or grade/grades for retention are identified in the research'],"['3 – 7 years', '8- 11 years']","['Teacher assessment, teacher judgement or grades']",['1 year'],['Once'],"[""Promoted similar students (low attaining or 'underachieving' students)""]",NA,['Same age'],"['Same school', 'Different school']"
43090111,Anderson (1957) 1_2,1957,['Dissertation or thesis'],['Repeating a year'],"['Toolkit primary outcome', 'Reading primary outcome']",0.159,0.1688,['Post-test unadjusted (select one from this group)'],SA+1_MAT_Metropolitan Reading,With business as usual,['Sample: All'],Combined subjects,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.159,0.1688,NA,NA,NA,['Mathematics primary outcome'],-0.5166,0.171,NA,NA,NA,NA,NA,NA,161,NA,NA,['Primary/elementary school'],"['8', '9', '10']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],NA,5,360,['Toolkit: Repeating a year'],['A specific year group/groups or grade/grades for retention are identified in the research'],['8- 11 years'],"['A formal test or assessment', 'Teacher assessment, teacher judgement or grades', 'Other (please specify)']",['2 years'],['Once'],"[""Promoted similar students (low attaining or 'underachieving' students)""]",['Achievement test score'],['Same age'],['Grade equivalent scores (population comparison)']
43090113,Beebe-Frankenberger (2004) 1_2,2004,NA,['Repeating a year'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.6278,0.2632,['Post-test unadjusted (select one from this group)'],SA+1_MAT_WJ-Passage Comprehension,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.6278,0.2632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,['Primary/elementary school'],"['8', '9']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],Data collection began after the students had experienced retention for approximately 4 months.,5,360,['Toolkit: Repeating a year'],['A specific year group/groups or grade/grades for retention are identified in the research'],['8- 11 years'],"['Teacher assessment, teacher judgement or grades']",['Other (Please specify)'],['Once'],"[""Promoted similar students (low attaining or 'underachieving' students)""]",NA,['Same age'],"['Same school', 'Different school']"
