id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13
40375610,Abidin (1971),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SG+3/4_MAT_SRA Reading 4th Gr ,['Mathematics primary outcome'],Secondary outcome(s),SG+3/4_MAT_SRA Maths 4th Gr ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375558,Alexander (1994) 1_1,['Other outcome'],Secondary outcome(s),SA+2_POP_California Achievement - Reading,['Other outcome'],Secondary outcome(s),SA+2_POP-California Achievement - Maths,['Other outcome'],Secondary outcome(s),SA+2_MAT_California Achievement --Reading,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SA+1_MAT_California Achievement --Reading,['Mathematics primary outcome'],Secondary outcome(s),SA+1_POP-California Achievement - Maths,['Other outcome'],Secondary outcome(s),SA+1_POP_California Achievement - Reading,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49106807,Alexander (1994) 1_2,['Other outcome'],Secondary outcome(s),SG+2_POP_California AT Reading,['Other outcome'],Secondary outcome(s),SG+2_POP_California AT Maths,['Other outcome'],Secondary outcome(s),SG+2_MAT_CAT-Reading,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SG+1_MAT_California Achievement-Reading,['Other outcome'],Secondary outcome(s),SG+1_POP_California Achievement - Reading,['Mathematics primary outcome'],Secondary outcome(s), SG+1_POP-California Achievement - Maths,['Other outcome'],Secondary outcome(s),SG+2_MAT_California AT Maths,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49106808,Alexander (1994) 1_3,['Other outcome'],Secondary outcome(s),SA+2_POP_California-Reading,['Other outcome'],Secondary outcome(s),SA+2_POP_California-Maths,['Other outcome'],Secondary outcome(s),SA+2_MAT_California-Reading,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SA+1_MAT_California Achievement --Reading,['Mathematics primary outcome'],Secondary outcome(s),SA+1_POP-California Achievement - Maths,['Other outcome'],Secondary outcome(s),SA+1_POP_California Achievement - Reading,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49106809,Alexander (1994) 1_4,['Other outcome'],Secondary outcome(s),SG+2_POP_California  Reading,['Other outcome'],Secondary outcome(s),SG+2_POP_California  Maths,['Other outcome'],Secondary outcome(s),SG+2_MAT_California  Reading,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SG+1_MAT_California Achievement --Reading,['Mathematics primary outcome'],Secondary outcome(s),SG+1_POP-California Achievement - Maths,['Other outcome'],Secondary outcome(s), SG+1_POP_California Achievement - Reading,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49106810,Alexander (1994) 1_5,['Other outcome'],Secondary outcome(s),SA+2_POP_California AT Reading,['Other outcome'],Secondary outcome(s),SA+2_POP_California AT Reading,['Other outcome'],Secondary outcome(s),SA+2_MAT_California AT Reading,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome, SA+1_MAT_California Achievement --Reading,['Mathematics primary outcome'],Secondary outcome(s),SA+1_POP-California Achievement - Maths,['Other outcome'],Secondary outcome(s),SA+1_POP_California Achievement - Reading,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49106811,Alexander (1994) 1_6,['Other outcome'],Secondary outcome(s),SG+2_POP_California  Reading,['Other outcome'],Secondary outcome(s),SG+2_POP_California  Maths,['Other outcome'],Secondary outcome(s),SG+2_MAT_California  Reading,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SA+1_MAT_California Achievement --Reading,['Mathematics primary outcome'],Secondary outcome(s),SA+1_POP-California Achievement - Maths,['Other outcome'],Secondary outcome(s),SA+1_POP_California Achievement - Reading,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375612,Ammons (1975),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SA+1_MAT_SRA Assessment Reading,['Mathematics primary outcome'],Secondary outcome(s),SA+1_MAT_SRA Assessment Maths,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090111,Anderson (1957) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SA+1_MAT_Metropolitan Reading,['Mathematics primary outcome'],Secondary outcome(s),SA+1_MAT_Metropolitan Maths,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090113,Beebe-Frankenberger (2004) 1_2,['Other outcome'],Secondary outcome(s),SA+1_MAT_WJ Letter Word,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SA+1_MAT_WJ-Passage Comprehension,['Other outcome'],Secondary outcome(s),SA+1_MAT_WJ-Word Attack,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375619,Chansky (1964),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SA+1_MAT_reading comprehension,['Mathematics primary outcome'],Secondary outcome(s),SA+1_MAT_ Maths Reasoning,['Other outcome'],Secondary outcome(s),SA+1_MAT_vocabulary,['Other outcome'],Secondary outcome(s),SA+1_MAT_Maths Fundamentals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375681,Coffield (1954) 1_1,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,SA+1_MAT_composite achievement,['Other outcome'],Secondary outcome(s),SG+2_MAT_composite achievement,['Other outcome'],Secondary outcome(s),SG+5_MAT_composite achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090127,Coffield (1954) 1_2,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,SA+1_MAT_composite achievement,['Other outcome'],Secondary outcome(s),SG+2_MAT_Composite Achievement,['Other outcome'],Secondary outcome(s),SG+5_MAT_Compostie Achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090126,Coffield (1954) 1_3,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,SA+1_MAT_Compostie Achievement ,['Other outcome'],Secondary outcome(s),SG+2_MAT_Composite Achievement,['Other outcome'],Secondary outcome(s),SG+4_MAT_Composite Achievement ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090125,Coffield (1954) 1_4,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,SA+1_MAT_Composite Achievement ,['Other outcome'],Secondary outcome(s),SG+2_MAT_Composite Achievement,['Other outcome'],Secondary outcome(s),SG+4_MAT_Composite Achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090124,Coffield (1954) 1_5,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,SA+1_MAT_Composite Achievement,['Other outcome'],Secondary outcome(s),SG+2_MAT_Composite Achievement ,['Other outcome'],Secondary outcome(s),SG+3_MAT_Composite Achievement ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090123,Coffield (1954) 1_6,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,SA+1_MAT_Composite Achievement,['Other outcome'],Secondary outcome(s),SG+2_MAT_Composite Achievement,['Other outcome'],Secondary outcome(s),SG+3_MAT_Composite Achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090122,Coffield (1954) 1_7,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,SA+1_MAT_Composite Achievement,['Other outcome'],Secondary outcome(s),SG+2_MAT_Composite Achievement,['Other outcome'],Secondary outcome(s),SG+2_MAT_Composite Achievement ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090121,Coffield (1954) 1_8,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,SA+1_MAT_Composite Achievement ,['Other outcome'],Secondary outcome(s),SG+2_MAT_Composite Achievement ,['Other outcome'],Secondary outcome(s),SG+2_MAT_Composite Achievement ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375683,Cooper (1980),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SA+1_MAT_Metropolitan Reading,['Mathematics primary outcome'],Secondary outcome(s),SA+1_MAT_Metropolitan Maths ,['Other outcome'],Secondary outcome(s),SA+1_MAT_Metropolitan Language ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375583,Cosden (1995),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SG+1_MAT_Stanford Reading,['Other outcome'],Secondary outcome(s),SG+1_MAT_Aprenda Test –  Reading,['Other outcome'],Secondary outcome(s),SG+1_MAT_Stanford Total Language,['Other outcome'],Secondary outcome(s),SG+1_MAT_Aprenda Total language,['Mathematics primary outcome'],Secondary outcome(s),SG+1_MAT_Stanford Maths,['Other outcome'],Secondary outcome(s),SG+1_MAT_Aprenda Test – Maths,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090139,Dennebaum (1994) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SG+2_MAT_Metropolitan reading,['Other outcome'],Secondary outcome(s),SG+3_MAT_Metropolitan Reading ,['Other outcome'],Secondary outcome(s),SG+4_MAT_Metropolitan  Reading  ,['Mathematics primary outcome'],Secondary outcome(s),SG+2_MAT_Metropolitan  Maths ,['Other outcome'],Secondary outcome(s),SG+3_MAT_Metropolitan Maths,['Other outcome'],Secondary outcome(s),SG+4_MAT_Metropolitan  Maths ,['Other outcome'],Secondary outcome(s),SG+2_MAT_Metropolitan  Language ,['Other outcome'],Secondary outcome(s),SG+3_MAT_Metropolitan  Language ,['Other outcome'],Secondary outcome(s),SG+4_MAT_Metropolitan Language ,['Other outcome'],Secondary outcome(s),SG+2_MAT_Metropolitan Total Battery,['Other outcome'],Secondary outcome(s),SG+3_MAT_Metropolitan total Battery ,['Other outcome'],Secondary outcome(s),SG+4_MAT_Metropolitan  Battery ,NA,NA,NA
40375622,Dobbs (1967),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SA+1_MAT_Metropolitan_Reading,['Mathematics primary outcome'],Secondary outcome(s),SA+1_MAT_Metropolitan_Arithmetic,['Other outcome'],Secondary outcome(s),SA+2_MAT_Metropolitan_Reading,['Other outcome'],Secondary outcome(s),SA+2_MAT_Metropolitan_Arithmetic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375686,Farley (1936) 1_1,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,SA+0.5_MAT_Stanford achievement test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49106818,Farley (1936) 1_2,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,SA+0.5_MAT_Stanford achievement test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49106819,Farley (1936) 1_3,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,SA+0.5_MAT_Stanford achievement test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375687,Garner (1968) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SG+6_MAT_California AT Reading,['Other outcome'],Secondary outcome(s),SG+6_MAT_California AT Language,['Mathematics primary outcome'],Secondary outcome(s),SG+6_MAT_California AT Arithmetic ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375562,Gleason (2007),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SA+1_MAT_WJ III Broad Reading - grade standard score,['Mathematics primary outcome'],Secondary outcome(s),SA+1_MAT_WJ III Broad Maths- grade standard score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375587,Griffith (2010),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SG+(1-9)_MAT_Reading Achievement,['Other outcome'],Secondary outcome(s),SG+(1-9)_MAT_Reading Achievement (gain SE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375563,Hagborg (1991),['Other outcome'],Primary outcome,SG+(1-7)_MAT_Grade Average,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SG+(1-7)_MAT_CTBS Reading ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090156,Hong (2005) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SA+1_MAT_Reading Achievement,['Mathematics primary outcome'],Secondary outcome(s),SA+1_MAT_Mathematics ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375689,Hughes (1983),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SA+1_MAT_Reading Achievement,['Other outcome'],Secondary outcome(s),SA+1_MAT_Woodcock-Word Id,['Mathematics primary outcome'],Secondary outcome(s),SA+1_MAT_Key Math ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375590,Jacob (2004) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SA+1_MAT_ITBS-Reading,['Mathematics primary outcome'],Secondary outcome(s),SA+1_MAT_ITBS-Maths,['Other outcome'],Secondary outcome(s),SA+2_MAT_ITBS-Reading,['Other outcome'],Secondary outcome(s),SA+2_MAT_ITBS-Maths,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090159,Jacob (2004) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SA+1_MAT_ITBS-Reading,['Mathematics primary outcome'],Secondary outcome(s),SA+1_MAT_ITBS-Maths,['Other outcome'],Secondary outcome(s),SA+2_MAT_ITBS-Reading,['Other outcome'],Secondary outcome(s),SA+2_MAT_ITBS-Maths,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
