id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6
43100771,Anderson (1963),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,"(-10) Sequential Test of Educational Progress, Mathematics Test /+40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100772,Averill (1925),['Other outcome'],Secondary outcome(s),(-20) Reading Score Sep to Jan ANCOVA,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,(-20) Reading Score Sep to Jan Gain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50328534,Boozer (2001),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,(-10) Combined Achievement ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100849,Butler (1989),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,(-10) Stanford Achievement Test ,NA,Secondary outcome(s),(-10) SAT: Listening,NA,Secondary outcome(s),(-10) SAT: Maths,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100784,Cook (1970),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,(-10) WRAT (Reading),NA,Secondary outcome(s),(-10) WRAT (Maths),NA,Secondary outcome(s),(-10) WRAT (Speaking),NA,NA,NA,NA,NA,NA,NA,NA,NA
43100786,Cram (1968),['Other outcome'],Secondary outcome(s),Achievement Test (Business Law) /+25,['Other outcome'],Secondary outcome(s),Achievement Test (Intro to Business) /+25,['Other outcome'],Secondary outcome(s),Achievement Test (Government Group) /+25,['Toolkit primary outcome'],Primary outcome,(-15) Business Law (adjusted post-test),NA,NA,NA,NA,NA,NA
43100788,Davis (1930),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,(-35) Unit 1. 'Westward Movement',['Other outcome'],Secondary outcome(s),(-35) Unit 2. 'Industrial Revolution',['Other outcome'],Secondary outcome(s),(-35) Unit 3. 'The Early Growth of Government',NA,NA,NA,NA,NA,NA,NA,NA,NA
43100925,Davis (2000),['Mathematics primary outcome'],Secondary outcome(s),(-10) Maths Gains,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,(-10) Reading Gain,['Writing and spelling primary outcome.'],Secondary outcome(s),(-10) Writing Gains,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100851,Doss (1982) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,(-10) Reading Score (Grade 2),['Other outcome'],Secondary outcome(s),(-10) Language Score ,['Mathematics primary outcome'],Secondary outcome(s),(-10) Math Score,NA,NA,NA,NA,NA,NA,NA,NA,NA
49106814,Doss (1982) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,(-10) Reading Score (Grade 3),['Other outcome'],Secondary outcome(s),(-10)  Language Score (Grade 3),['Mathematics primary outcome'],Secondary outcome(s),(-10) Mathematics Score (Grade 3),NA,NA,NA,NA,NA,NA,NA,NA,NA
