id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand
43100503,Arbuthnot (1986),1986,['Journal article'],['Social and emotional learning'],"['Toolkit primary outcome', 'Other outcome']",0.67,0.32,['Post-test adjusted for baseline attainment'],Grades (GPA) f-value,With business as usual,['Sample: All'],Combined subjects,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,4,NA,"['Middle school', 'Secondary/High school']","['13', '14', '15', '16', '17']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Research staff'],18,1,45,['Toolkit: Social and emotional learning']
43100188,Artley (1985),1985,['Dissertation or thesis'],['Social and emotional learning'],"['Toolkit primary outcome', 'Other outcome']",0.259,0.077,['Pre-post gain'],Iowa test of basic skills,With business as usual,['Sample: All'],Combined subjects,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,1,4,['Secondary/High school'],"['12', '13', '14']",NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],"['Research staff', 'Class teachers']",NA,NA,NA,['Toolkit: Social and emotional learning']
43100726,Ashdown (2011) 1_1,2011,['Journal article'],['Social and emotional learning'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.045,0.3086,['Post-test unadjusted (select one from this group)'],Inde-pendent  Text  Reading  Level,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: School-developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.045,0.3086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,1,2,['Primary/elementary school'],"['5', '6']",NA,NA,['Australia'],['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],2,3,20 ,['Toolkit: Social and emotional learning']
46325666,Ashdown (2011) 1_2,2011,['Journal article'],['Social and emotional learning'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2806,0.2663,['Post-test unadjusted (select one from this group)'],Independent  Text  Reading  Level,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: School-developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2806,0.2663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,1,2,['Primary/elementary school'],"['6', '7']",NA,NA,['Australia'],['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],10,NA,NA,['Toolkit: Social and emotional learning']
43100405,August (2002),2002,['Journal article'],['Social and emotional learning'],"['Toolkit primary outcome', 'Other outcome']",0.337,0.14,['Post-test adjusted for baseline attainment'],Academic Achievement (f-test  F value of interaction treatment x time),With business as usual,['Sample: All'],Combined subjects,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,20,NA,['Primary/elementary school'],"['6', '7', '8', '9']",FALSE,12.5,['USA'],['Cluster RCT'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)', 'Paired learning']",['Yes (Please specify)'],['No'],['Yes'],"['During regular school hours ', 'Evenings and/or weekends', 'Summer/ holiday period']","['Peers', 'Class teachers', 'External teachers']",114,NA,NA,['Toolkit: Social and emotional learning']
43100270,Bavarian (2013),2013,['Journal article'],['Social and emotional learning'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1043,0.0743,['Post-test adjusted for baseline attainment'],Reading,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1043,0.0743,NA,NA,NA,['Mathematics primary outcome'],0.1346,0.0743,NA,NA,NA,NA,NA,NA,1170,14,NA,"['Primary/elementary school', 'Middle school']","['8', '9', '10', '11', '12', '13']",NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['Yes'],['During regular school hours '],['Class teachers'],35,NA,18,['Toolkit: Social and emotional learning']
43100337,Bierman (2002),2002,['Journal article'],['Social and emotional learning'],"['Toolkit primary outcome', 'Reading primary outcome']",0.0749,0.0721,['Post-test unadjusted (select one from this group)'],Spache Diagnostic Reading Scale,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.0749,0.0721,NA,NA,NA,['Mathematics primary outcome'],0.0267,0.0721,NA,NA,NA,NA,NA,NA,891,54,401,['Primary/elementary school'],"['6', '7', '8', '9']",NA,NA,['USA'],['Cluster RCT'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)', 'Other (Explain in notes)', 'Paired learning']",['Yes (Please specify)'],['No'],['Yes'],"['During regular school hours ', 'Evenings and/or weekends']","['Class teachers', 'External teachers', 'Unclear/not specified']",114,2,30,['Toolkit: Social and emotional learning']
43100253,Bierman (2008),2008,['Journal article'],['Social and emotional learning'],"['Toolkit primary outcome', 'Other outcome']",0.0478,0.106,['Post-test unadjusted (select one from this group)'],TOLD  Gramm.Underst.- SEL  Head start,With business as usual,['Sample: All'],Literacy  speaking and listening/oral language,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356,NA,44,['Nursery school/pre-school'],['4'],NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['Yes'],"['During regular school hours ', 'Other (please specify)']",['Class teachers'],NA,1,60,['Toolkit: Social and emotional learning']
43100698,Brackett (2012),2012,['Journal article'],['Social and emotional learning'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0462,0.1222,['Post-test adjusted for baseline attainment AND clustering'],Math grades (posttest adjusted),With business as usual,['Sample: All'],Mathematics,['Test type: School-developed test'],['Reading primary outcome'],0.4491,0.1237,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0462,0.1222,NA,NA,NA,NA,NA,NA,273,3,15,['Primary/elementary school'],"['9', '10', '11', '12']",FALSE,7.0,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],38,0.5,NA,['Toolkit: Social and emotional learning']
43100259,Brigman (2003) 1_1,2003,['Journal article'],['Social and emotional learning'],"['Toolkit primary outcome', 'Other outcome']",-0.0465,0.2265,['Post-test adjusted for baseline attainment'],Listening Compreh. - RTL (Low),With business as usual,['Sample: Low achievers'],Literacy  speaking and listening/oral language,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,3,12,['Primary/elementary school'],"['5', '6']",NA,NA,['USA'],['Multisite RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],12,5,60,['Toolkit: Social and emotional learning']
46325669,Brigman (2003) 1_2,2003,['Journal article'],['Social and emotional learning'],"['Toolkit primary outcome', 'Other outcome']",0.2039,0.2271,['Post-test adjusted for baseline attainment'],Listening Compreh. - RTL (M),With business as usual,['Sample: Average'],Literacy  speaking and listening/oral language,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,3,12,['Primary/elementary school'],"['5', '6']",NA,NA,['USA'],['Multisite RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],12,5,60,['Toolkit: Social and emotional learning']
46325670,Brigman (2003) 1_3,2003,['Journal article'],['Social and emotional learning'],"['Toolkit primary outcome', 'Other outcome']",0.6767,0.2332,['Post-test adjusted for baseline attainment'],Listening Comprehension. RTL (H),With business as usual,['Sample: High achievers'],Literacy  speaking and listening/oral language,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,3,12,['Primary/elementary school'],"['5', '6']",NA,NA,['USA'],['Multisite RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],12,5,60,['Toolkit: Social and emotional learning']
43100072,Cauce (1987),1987,['Journal article'],['Social and emotional learning'],"['Toolkit primary outcome', 'Reading primary outcome']",1.517,0.327,['Post-test unadjusted (select one from this group)'],IOWA Test of Basic Skills,With business as usual,['Sample: All'],Literacy  speaking and listening/oral language,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.517,0.327,NA,NA,NA,['Mathematics primary outcome'],0.8968,0.3028,NA,NA,NA,NA,NA,NA,48,1,NA,['Middle school'],"['12', '13']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['Yes'],['During regular school hours '],['Class teachers'],NA,NA,NA,['Toolkit: Social and emotional learning']
