id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN,out_tit_red,out_tit_red_CLEAN,out_desc_red,out_desc_red_CLEAN,out_type_red,out_type_red_CLEAN,smd_red,smd_red_CLEAN,se_red,se_red_CLEAN,out_measure_red,out_measure_red_CLEAN,out_g1_n_red,out_g1_n_red_CLEAN,out_g1_mean_red,out_g1_mean_red_CLEAN,out_g1_sd_red,out_g1_sd_red_CLEAN,out_g2_n_red,out_g2_n_red_CLEAN,out_g2_mean_red,out_g2_mean_red_CLEAN,out_g2_sd_red,out_g2_sd_red_CLEAN,ci_lower_red,ci_lower_red_CLEAN,ci_upper_red,ci_upper_red_CLEAN,out_label_red,out_label_red_CLEAN,out_samp_red,out_samp_red_CLEAN,out_comp_red,out_comp_red_CLEAN,out_es_type_red,out_es_type_red_CLEAN,out_test_type_raw_red,out_test_type_raw_red_CLEAN,out_tit_wri,out_tit_wri_CLEAN,out_desc_wri,out_desc_wri_CLEAN,out_type_wri,out_type_wri_CLEAN,smd_wri,smd_wri_CLEAN,se_wri,se_wri_CLEAN,out_measure_wri,out_measure_wri_CLEAN,out_g1_n_wri,out_g1_n_wri_CLEAN,out_g1_mean_wri,out_g1_mean_wri_CLEAN,out_g1_sd_wri,out_g1_sd_wri_CLEAN,out_g2_n_wri,out_g2_n_wri_CLEAN,out_g2_mean_wri,out_g2_mean_wri_CLEAN,out_g2_sd_wri,out_g2_sd_wri_CLEAN,ci_lower_wri,ci_lower_wri_CLEAN,ci_upper_wri,ci_upper_wri_CLEAN,out_label_wri,out_label_wri_CLEAN,out_samp_wri,out_samp_wri_CLEAN,out_comp_wri,out_comp_wri_CLEAN,out_es_type_wri,out_es_type_wri_CLEAN,out_test_type_raw_wri,out_test_type_wri_CLEAN,out_tit_math,out_tit_math_CLEAN,out_desc_math,out_desc_math_CLEAN,out_type_math,out_type_math_CLEAN,smd_math,smd_math_CLEAN,se_math,se_math_CLEAN,out_measure_math,out_measure_math_CLEAN,out_g1_n_math,out_g1_n_math_CLEAN,out_g1_mean_math,out_g1_mean_math_CLEAN,out_g1_sd_math,out_g1_sd_math_CLEAN,out_g2_n_math,out_g2_n_math_CLEAN,out_g2_mean_math,out_g2_mean_math_CLEAN,out_g2_sd_math,out_g2_sd_math_CLEAN,ci_lower_math,ci_lower_math_CLEAN,ci_upper_math,ci_upper_math_CLEAN,out_label_math,out_label_math_CLEAN,out_samp_math,out_samp_math_CLEAN,out_comp_math,out_comp_math_CLEAN,out_es_type_math,out_es_type_math_CLEAN,out_test_type_raw_math,out_test_type_math_CLEAN,out_tit_sci,out_tit_sci_CLEAN,out_desc_sci,out_desc_sci_CLEAN,out_type_sci,out_type_sci_CLEAN,smd_sci,smd_sci_CLEAN,se_sci,se_sci_CLEAN,out_measure_sci,out_measure_sci_CLEAN,out_g1_n_sci,out_g1_n_sci_CLEAN,out_g1_mean_sci,out_g1_mean_sci_CLEAN,out_g1_sd_sci,out_g1_sd_sci_CLEAN,out_g2_n_sci,out_g2_n_sci_CLEAN,out_g2_mean_sci,out_g2_mean_sci_CLEAN,out_g2_sd_sci,out_g2_sd_sci_CLEAN,ci_lower_sci,ci_lower_sci_CLEAN,ci_upper_sci,ci_upper_sci_CLEAN,out_label_sci,out_label_sci_CLEAN,out_samp_sci,out_samp_sci_CLEAN,out_comp_sci,out_comp_sci_CLEAN,out_es_type_sci,out_es_type_sci_CLEAN,out_test_type_raw_sci,out_test_type_sci_CLEAN,out_tit_fsm,out_tit_fsm_CLEAN,out_desc_fsm,out_desc_fsm_CLEAN,out_type_fsm,out_type_fsm_CLEAN,smd_fsm,smd_fsm_CLEAN,se_fsm,se_fsm_CLEAN,out_measure_fsm,out_measure_fsm_CLEAN,out_g1_n_fsm,out_g1_n_fsm_CLEAN,out_g1_mean_fsm,out_g1_mean_fsm_CLEAN,out_g1_sd_fsm,out_g1_sd_fsm_CLEAN,out_g2_n_fsm,out_g2_n_fsm_CLEAN,out_g2_mean_fsm,out_g2_mean_fsm_CLEAN,out_g2_sd_fsm,out_g2_sd_fsm_CLEAN,ci_lower_fsm,ci_lower_fsm_CLEAN,ci_upper_fsm,ci_upper_fsm_CLEAN,out_label_fsm,out_label_fsm_CLEAN,out_samp_fsm,out_samp_fsm_CLEAN,out_comp_fsm,out_comp_fsm_CLEAN,out_es_type_fsm,out_es_type_fsm_CLEAN,out_test_type_raw_fsm,out_test_type_fsm_CLEAN
47035344,Bemboom (2013),2013,['Small group tuition'],NA,Maze Scores,,Maze selection is a CBM procedure using a passage with approximately every seventh word deleted and replaced by three choices from which the student chooses the correct word.,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.6773,,0.2546,,Literacy: reading comprehension,,30.0,,26.83,,5.01,,36.0,,22.97,,6.1,,0.1783,,1.1762,,Primary outcome,,NA,,With business as usual,,NA,,NA,,Maze Scores,,Maze selection is a CBM procedure using a passage with approximately every seventh word deleted and replaced by three choices from which the student chooses the correct word.,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.6773,,0.2546,,Literacy: reading comprehension,,30.0,,26.83,,5.01,,36.0,,22.97,,6.1,,0.1783,,1.1762,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
38296605,Buchanan (2015) Pri,2015,['Small group tuition'],NA,Progress in English 12 (GL Assessment),,"Raw score (with a maximum of 58) was used as the outcome variable. The comparison sample is weighted by propensity odds ratio, making it similar to the intervention sample. ",,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.08,,0.1276,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.33,,0.17,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,Progress in English 12 (GL Assessment),,"Raw score (with a maximum of 58) was used as the outcome variable. The comparison sample is weighted by propensity odds ratio, making it similar to the intervention sample. ",,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.08,,0.1276,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.33,,0.17,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Progress in Maths 12 (GL Assessment),,"Raw score (with a maximum of 50) was used as the outcome variable. The comparison sample is weighted by propensity odds ratio, making it similar to the intervention sample. ",,['Mathematics primary outcome'],,-0.04,,0.148,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,-0.33,,0.25,,Secondary outcome(s),,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
38296604,Buchanan (2015) Sec,2015,['Small group tuition'],"Most schools chose to use small group tuition, rather than one-to-one tuition p 5",GCSE English,,Results from multilevel regression models which analysed English GCSE grades of pupils who were nominated to receive tutoring (so including a small number of pupils who were nominated but did not go on to receive tuition) compared to a comparison group comprised of pupils in Manchesters statistical neighbours. Information from  Table 23  Analysis of English GCSE point scorefinal model fixed effects.,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.16,,0.0666,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.2905,,-0.0295,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: National test'],,GCSE English,,Results from multilevel regression models which analysed English GCSE grades of pupils who were nominated to receive tutoring (so including a small number of pupils who were nominated but did not go on to receive tuition) compared to a comparison group comprised of pupils in Manchesters statistical neighbours. Information from  Table 23  Analysis of English GCSE point scorefinal model fixed effects.,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.16,,0.0666,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.2905,,-0.0295,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: National test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,GCSE Maths,,Results from multilevel regression models which analysed Mathematics GCSE grades of pupils who were nominated to receive tutoring (so including a small number of pupils who were nominated but did not go on to receive tuition) compared to a comparison group comprised of pupils in Manchesters statistical neighbours. Information from Table 15  Analysis of mathematics GCSE point scorefinal model fixed effects.,,['Mathematics primary outcome'],,0.051,,0.0255,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,0.001,,0.101,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: National test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
47269781,Cabezas (2011) SGT,2011,['Small group tuition'],NA,Reading Comprehension ,,effect size and standard error for reading comprehension ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.08,,0.052,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.0219,,0.1819,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,Reading Comprehension ,,effect size and standard error for reading comprehension ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.08,,0.052,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.0219,,0.1819,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
47035345,Case (2010),2010,['Small group tuition'],NA,WRMT Word Identification Posttest  Intervention v control,,Woodcock Reading Mastery Word Identification,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.5343,,0.3726,,Literacy: reading other,,15.0,,24.33,,4.9,,15.0,,21.2,,6.4,,-0.1959,,1.2646,,Primary outcome,,NA,,With business as usual,,NA,,NA,,WRMT Word Identification Posttest  Intervention v control,,Woodcock Reading Mastery Word Identification,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.5343,,0.3726,,Literacy: reading other,,15.0,,24.33,,4.9,,15.0,,21.2,,6.4,,-0.1959,,1.2646,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
47035399,Denton (2010),2010,['Small group tuition'],NA,"the WJ III (Woodcock et al., 2001) letter-word identiﬁcation",,"The WJ III is a nationally standardized, individually administered achievement bat- tery widely used in reading intervention research. Letter-word identiﬁcation as- sesses the ability to identify letters and read words presented in a list format.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2041,,0.2759,,Literacy: reading other,,25.0,,109.64,,11.86,,28.0,,106.46,,17.89,,-0.3367,,0.7449,,Primary outcome,,NA,,With business as usual,,NA,,NA,,"the WJ III (Woodcock et al., 2001) letter-word identiﬁcation",,"The WJ III is a nationally standardized, individually administered achievement bat- tery widely used in reading intervention research. Letter-word identiﬁcation as- sesses the ability to identify letters and read words presented in a list format.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2041,,0.2759,,Literacy: reading other,,25.0,,109.64,,11.86,,28.0,,106.46,,17.89,,-0.3367,,0.7449,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
38878251,Ehri (2007) SGT,2007,['Small group tuition'],NA,GMRT4 Reading Comprehension,,Students read passages covering both fiction and nonfiction and answered each comprehension question by choosing from a panel of pictures the one that illustrated or answered a question about a segment of the text. Comparison of SG (intervention) and C2 (control). ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1764,,0.1898,,Literacy: reading comprehension,,52.0,,37.4,,12.5,,60.0,,35.3,,11.2,,-0.1957,,0.5485,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,GMRT4 Reading Comprehension,,Students read passages covering both fiction and nonfiction and answered each comprehension question by choosing from a panel of pictures the one that illustrated or answered a question about a segment of the text. Comparison of SG (intervention) and C2 (control). ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1764,,0.1898,,Literacy: reading comprehension,,52.0,,37.4,,12.5,,60.0,,35.3,,11.2,,-0.1957,,0.5485,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
47035400,Fawcett (2001),2001,['Small group tuition'],NA,Wechsler Objective Reading Dimension (WORD) Reading Score,,NA,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.4707,,0.2207,,Literacy: reading comprehension,,36.0,,83.31,,3.61,,51.0,,80.53,,7.01,,0.038,,0.9033,,Primary outcome,,NA,,With business as usual,,NA,,NA,,Wechsler Objective Reading Dimension (WORD) Reading Score,,NA,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.4707,,0.2207,,Literacy: reading comprehension,,36.0,,83.31,,3.61,,51.0,,80.53,,7.01,,0.038,,0.9033,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
38878265,Fien (2011),2011,['Small group tuition'],NA,Expository Retell,,"Narrative retell procedures were used to assess student comprehension of an expository text that was read and discussed during the whole-class read aloud lessons, and reinforced using a different expository book on the same topic during the small-group booster lessons. Scoring procedures were adapted from the Strong Narrative Assessment Procedure (Strong, 1998). Note  Results adjusted for clustering but not baseline.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.5644,,0.2031,,Literacy: reading comprehension,,51.0,,2.73,,1.67,,50.0,,1.84,,1.45,,0.1663,,0.9624,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,Expository Retell,,"Narrative retell procedures were used to assess student comprehension of an expository text that was read and discussed during the whole-class read aloud lessons, and reinforced using a different expository book on the same topic during the small-group booster lessons. Scoring procedures were adapted from the Strong Narrative Assessment Procedure (Strong, 1998). Note  Results adjusted for clustering but not baseline.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.5644,,0.2031,,Literacy: reading comprehension,,51.0,,2.73,,1.67,,50.0,,1.84,,1.45,,0.1663,,0.9624,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
47035376,Fuchs (2002),2002,['Small group tuition'],NA,Comprehensive Reading Assessment Battery,,Words read correctly in three minutes,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.0206,,0.4472,,Literacy: reading comprehension,,10.0,,64.2,,43.35,,10.0,,65.1,,40.32,,-0.8972,,0.856,,Primary outcome,,NA,,With business as usual,,NA,,NA,,Comprehensive Reading Assessment Battery,,Words read correctly in three minutes,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.0206,,0.4472,,Literacy: reading comprehension,,10.0,,64.2,,43.35,,10.0,,65.1,,40.32,,-0.8972,,0.856,,Primary outcome,,NA,,With business as usual,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
