id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN,out_tit_red,out_tit_red_CLEAN,out_desc_red,out_desc_red_CLEAN,out_type_red,out_type_red_CLEAN,smd_red,smd_red_CLEAN,se_red,se_red_CLEAN,out_measure_red,out_measure_red_CLEAN,out_g1_n_red,out_g1_n_red_CLEAN,out_g1_mean_red,out_g1_mean_red_CLEAN,out_g1_sd_red,out_g1_sd_red_CLEAN,out_g2_n_red,out_g2_n_red_CLEAN,out_g2_mean_red,out_g2_mean_red_CLEAN,out_g2_sd_red,out_g2_sd_red_CLEAN,ci_lower_red,ci_lower_red_CLEAN,ci_upper_red,ci_upper_red_CLEAN,out_label_red,out_label_red_CLEAN,out_samp_red,out_samp_red_CLEAN,out_comp_red,out_comp_red_CLEAN,out_es_type_red,out_es_type_red_CLEAN,out_test_type_raw_red,out_test_type_raw_red_CLEAN,out_tit_wri,out_tit_wri_CLEAN,out_desc_wri,out_desc_wri_CLEAN,out_type_wri,out_type_wri_CLEAN,smd_wri,smd_wri_CLEAN,se_wri,se_wri_CLEAN,out_measure_wri,out_measure_wri_CLEAN,out_g1_n_wri,out_g1_n_wri_CLEAN,out_g1_mean_wri,out_g1_mean_wri_CLEAN,out_g1_sd_wri,out_g1_sd_wri_CLEAN,out_g2_n_wri,out_g2_n_wri_CLEAN,out_g2_mean_wri,out_g2_mean_wri_CLEAN,out_g2_sd_wri,out_g2_sd_wri_CLEAN,ci_lower_wri,ci_lower_wri_CLEAN,ci_upper_wri,ci_upper_wri_CLEAN,out_label_wri,out_label_wri_CLEAN,out_samp_wri,out_samp_wri_CLEAN,out_comp_wri,out_comp_wri_CLEAN,out_es_type_wri,out_es_type_wri_CLEAN,out_test_type_raw_wri,out_test_type_wri_CLEAN,out_tit_math,out_tit_math_CLEAN,out_desc_math,out_desc_math_CLEAN,out_type_math,out_type_math_CLEAN,smd_math,smd_math_CLEAN,se_math,se_math_CLEAN,out_measure_math,out_measure_math_CLEAN,out_g1_n_math,out_g1_n_math_CLEAN,out_g1_mean_math,out_g1_mean_math_CLEAN,out_g1_sd_math,out_g1_sd_math_CLEAN,out_g2_n_math,out_g2_n_math_CLEAN,out_g2_mean_math,out_g2_mean_math_CLEAN,out_g2_sd_math,out_g2_sd_math_CLEAN,ci_lower_math,ci_lower_math_CLEAN,ci_upper_math,ci_upper_math_CLEAN,out_label_math,out_label_math_CLEAN,out_samp_math,out_samp_math_CLEAN,out_comp_math,out_comp_math_CLEAN,out_es_type_math,out_es_type_math_CLEAN,out_test_type_raw_math,out_test_type_math_CLEAN,out_tit_sci,out_tit_sci_CLEAN,out_desc_sci,out_desc_sci_CLEAN,out_type_sci,out_type_sci_CLEAN,smd_sci,smd_sci_CLEAN,se_sci,se_sci_CLEAN,out_measure_sci,out_measure_sci_CLEAN,out_g1_n_sci,out_g1_n_sci_CLEAN,out_g1_mean_sci,out_g1_mean_sci_CLEAN,out_g1_sd_sci,out_g1_sd_sci_CLEAN,out_g2_n_sci,out_g2_n_sci_CLEAN,out_g2_mean_sci,out_g2_mean_sci_CLEAN,out_g2_sd_sci,out_g2_sd_sci_CLEAN,ci_lower_sci,ci_lower_sci_CLEAN,ci_upper_sci,ci_upper_sci_CLEAN,out_label_sci,out_label_sci_CLEAN,out_samp_sci,out_samp_sci_CLEAN,out_comp_sci,out_comp_sci_CLEAN,out_es_type_sci,out_es_type_sci_CLEAN,out_test_type_raw_sci,out_test_type_sci_CLEAN,out_tit_fsm,out_tit_fsm_CLEAN,out_desc_fsm,out_desc_fsm_CLEAN,out_type_fsm,out_type_fsm_CLEAN,smd_fsm,smd_fsm_CLEAN,se_fsm,se_fsm_CLEAN,out_measure_fsm,out_measure_fsm_CLEAN,out_g1_n_fsm,out_g1_n_fsm_CLEAN,out_g1_mean_fsm,out_g1_mean_fsm_CLEAN,out_g1_sd_fsm,out_g1_sd_fsm_CLEAN,out_g2_n_fsm,out_g2_n_fsm_CLEAN,out_g2_mean_fsm,out_g2_mean_fsm_CLEAN,out_g2_sd_fsm,out_g2_sd_fsm_CLEAN,ci_lower_fsm,ci_lower_fsm_CLEAN,ci_upper_fsm,ci_upper_fsm_CLEAN,out_label_fsm,out_label_fsm_CLEAN,out_samp_fsm,out_samp_fsm_CLEAN,out_comp_fsm,out_comp_fsm_CLEAN,out_es_type_fsm,out_es_type_fsm_CLEAN,out_test_type_raw_fsm,out_test_type_fsm_CLEAN
39253274,Allen (2003),2003,['Summer schools'],NA,Reading Ability- Summer Schools group,,Post test unadjusted mean score for reading ability for the  Summer Schools group. Test of Early Reading Assessment (TERA).,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.0395,,0.3727,,Literacy: reading comprehension,,18,,95,,11.5,,12,,94.58,,8.25,,-0.691,,0.77,,Primary outcome,,['Sample: Low achievers'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,Reading Ability- Summer Schools group,,Post test unadjusted mean score for reading ability for the  Summer Schools group. Test of Early Reading Assessment (TERA).,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.0395,,0.3727,,Literacy: reading comprehension,,18,,95,,11.5,,12,,94.58,,8.25,,-0.691,,0.77,,Primary outcome,,['Sample: Low achievers'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
47269764,Allerhand (1965) SS,1965,['Summer schools'],NA,Preschool Inventory Scores,,children's achievement on the Pre-school Inventory based on sub-section scores. The sub-sections were established in keeping with the definitions of the five major variables of this study by inspecting and categorizing the items,,"['Toolkit primary outcome', 'Other outcome']",,0.2822,,0.1722,,Cognitive: other,,56.0,,1.39,,0.0,,87.0,,0.1,,0.0,,-0.0553,,0.6196,,Primary outcome,,['Sample: All'],,With business as usual,,['Pre-post gain'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
39253276,Bakle (2010),2010,['Summer schools'],NA,Reading_all grades,,Northwest Evaluation Association (NWEA) - Reading all grades - fixed effect size of all grades,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1925,,0.05,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,0.0945,,0.2905,,Primary outcome,,['Sample: All'],,,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,Reading_all grades,,Northwest Evaluation Association (NWEA) - Reading all grades - fixed effect size of all grades,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1925,,0.05,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,0.0945,,0.2905,,Primary outcome,,['Sample: All'],,,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,Maths - all grades -fixed effects,,Northwest Evaluation Association (NWEA) - Maths all grades - fixed effect size of all grades (maths 2 grades result is based on post-test whilst the others on  ANCOVA-not sure f we can take fixed effects based on different ways to calculate single effects...???) ,,['Mathematics primary outcome'],,0.0203,,0.0471,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,-0.0721,,0.1126,,Secondary outcome(s),,['Sample: All'],,,,NA,,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
42059739,Beach (2004),2004,"['Parental engagement', 'Phonics', 'Summer schools']",NA,DIBELS,,Regression Initial sounds fluency,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.419,,0.125,,Literacy: decoding/phonics,,NA,,NA,,NA,,NA,,NA,,NA,,0.174,,0.664,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,DIBELS,,Regression Initial sounds fluency,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.419,,0.125,,Literacy: decoding/phonics,,NA,,NA,,NA,,NA,,NA,,NA,,0.174,,0.664,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
39253250,Borman (2006),2006,['Summer schools'],NA,"Comprehensive Test of Basic Skills, 4th Edition - CTBS/4 - Reading Comprehension",,"The CTBS/4, is a widely used and highly regarded achievement test. The CTBS/4 is vertically equated, and it provides vertical scale scores that are appropriate for analyzing longitudinal achievement growth. The Total Reading, Reading Vocabulary, and Reading Comprehension outcomes from the CTBS/4 reßect the educational objectives that are commonly found in state and district curriculum guides and in major textbooks, basal series, and instructional programs. ",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.0554,,0.1087,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.1577,,0.2685,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,"Comprehensive Test of Basic Skills, 4th Edition - CTBS/4 - Reading Comprehension",,"The CTBS/4, is a widely used and highly regarded achievement test. The CTBS/4 is vertically equated, and it provides vertical scale scores that are appropriate for analyzing longitudinal achievement growth. The Total Reading, Reading Vocabulary, and Reading Comprehension outcomes from the CTBS/4 reßect the educational objectives that are commonly found in state and district curriculum guides and in major textbooks, basal series, and instructional programs. ",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.0554,,0.1087,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.1577,,0.2685,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
39253387,Borman (2009),2009,['Summer schools'],NA,Developmental Reading Assessment (DRA) ,,"All attempts were made to pre- and posttest treatment and control students using the following assessments  DIBELS (letter naming fluency and phoneme segmentation fluency), word lists, Developmental Reading Assessment (DRA), and dictation.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.4,,0.69,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.9524,,1.7524,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,Developmental Reading Assessment (DRA) ,,"All attempts were made to pre- and posttest treatment and control students using the following assessments  DIBELS (letter naming fluency and phoneme segmentation fluency), word lists, Developmental Reading Assessment (DRA), and dictation.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.4,,0.69,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.9524,,1.7524,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
39253312,Branch (1986),1986,['Summer schools'],NA,MAT-Reading,,"MAT (Metropolitan Achievement test)  Reading (used 752 treatment and 743 control, rather than the total 1144 for both conditions as I don’t know the exact samples then for treatment & control – if I have total 1144 & equal sizes & t-test, the ES is quit similar, a bit overestimated)",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1035,,0.0518,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,0.0021,,0.2049,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,MAT-Reading,,"MAT (Metropolitan Achievement test)  Reading (used 752 treatment and 743 control, rather than the total 1144 for both conditions as I don’t know the exact samples then for treatment & control – if I have total 1144 & equal sizes & t-test, the ES is quit similar, a bit overestimated)",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1035,,0.0518,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,0.0021,,0.2049,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,MAT-maths,,"MAT (Metropolitan Achievement test)  Maths (used 752 treatment and 743 control, rather than the total 1144 for both conditions as I don’t know the exact samples then for treatment & control – if I have total 1144 & equal sizes & t-test, the ES is quite similar, a bit overestimated)",,['Mathematics primary outcome'],,0.1723,,0.0518,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,0.0708,,0.2738,,Secondary outcome(s),,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
39253196,Brody (1984),1984,['Summer schools'],NA,SAT-V,,"The SAT is a multiple-choice test that includes two verbal subtests, two mathematical subtests, and a section of experimental questions. The verbal portion of the SAT includes items that measure reading comprehension, antonyms, verbal analogies, and sentence completion. ",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.0224,,0.161,,Literacy: reading comprehension,,196.0,,496.464,,76.082,,48.0,,494.8,,64.23,,-0.2932,,0.3381,,Primary outcome,,['Sample: High achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: National test'],,SAT-V,,"The SAT is a multiple-choice test that includes two verbal subtests, two mathematical subtests, and a section of experimental questions. The verbal portion of the SAT includes items that measure reading comprehension, antonyms, verbal analogies, and sentence completion. ",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.0224,,0.161,,Literacy: reading comprehension,,196.0,,496.464,,76.082,,48.0,,494.8,,64.23,,-0.2932,,0.3381,,Primary outcome,,['Sample: High achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: National test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
39253388,Chaplin (2006),2006,['Summer schools'],NA,Gates-MacGinitie Reading tests - Comprehension,,"Gates-MacGinitie Reading tests – Comprehension (Table 5, authors’ reported effect size, SE using the p-value and excel converter) (compared to same level of schooling control)",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.08,,0.0425,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.0034,,0.1634,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,Gates-MacGinitie Reading tests - Comprehension,,"Gates-MacGinitie Reading tests – Comprehension (Table 5, authors’ reported effect size, SE using the p-value and excel converter) (compared to same level of schooling control)",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.08,,0.0425,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.0034,,0.1634,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
39253281,Cleary (2001),2001,"['Summer schools', 'Phonics']",NA,Phonemic Awareness Interview (PAI),,"The Phonemic Aw areness Interview (PAI) is a 30-item instrument that was created by the district's Early Childhood Coordinator utilizing items and form at from the Harcourt Brace Signatures reading series. It is intended to measure the phonem e knowledge including sound segmentation (matching, isolation, blending) and rhyming abilities of the Westerly kindergartners. ",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.9813,,0.2806,,Literacy: decoding/phonics,,40.0,,25.36,,4.05,,22.0,,21.21,,4.4,,0.4313,,1.5314,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,Phonemic Awareness Interview (PAI),,"The Phonemic Aw areness Interview (PAI) is a 30-item instrument that was created by the district's Early Childhood Coordinator utilizing items and form at from the Harcourt Brace Signatures reading series. It is intended to measure the phonem e knowledge including sound segmentation (matching, isolation, blending) and rhyming abilities of the Westerly kindergartners. ",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.9813,,0.2806,,Literacy: decoding/phonics,,40.0,,25.36,,4.05,,22.0,,21.21,,4.4,,0.4313,,1.5314,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
