id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14
39253274,Allen (2003),NA,Secondary outcome(s),Reading Ability-Phonics: Summer Schools,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Ability- Summer Schools group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269764,Allerhand (1965) SS,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Preschool Inventory Scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253276,Bakle (2010),['Other outcome'],Primary outcome,Reading - grade 2- (ANCOVA),['Other outcome'],Secondary outcome(s),Language Usage - grade 2 (ANCOVA),['Other outcome'],Secondary outcome(s),Math-grade 2 (posttest means/SDs),['Other outcome'],Primary outcome,Reading - grade 4 (ANCOVA),['Other outcome'],Secondary outcome(s),Language Usage - Grade 3 (ANCOVA),['Other outcome'],Primary outcome,Reading-Grade 3 (ANCOVA),['Other outcome'],Primary outcome,Reading-Grade 5 (ANCOVA),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading_all grades,['Mathematics primary outcome'],Secondary outcome(s),Maths - all grades -fixed effects,['Other outcome'],Secondary outcome(s),Language Usage-Grade 4 (Posttest means/SDs),['Other outcome'],Secondary outcome(s),Language Usage-Grade 5,['Other outcome'],Secondary outcome(s),Math-Grade 4 (ANCOVA),['Other outcome'],Secondary outcome(s),Math-Grade 5 (ANCOVA),['Other outcome'],Secondary outcome(s),Math-Grade 3 (ANCOVA)
42059739,Beach (2004),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,DIBELS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253250,Borman (2006),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,"Comprehensive Test of Basic Skills, 4th Edition - CTBS/4 - Reading Comprehension",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253387,Borman (2009),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Developmental Reading Assessment (DRA) ,NA,Secondary outcome(s),Word List A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253312,Branch (1986),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,MAT-Reading,['Mathematics primary outcome'],Secondary outcome(s),MAT-maths,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253196,Brody (1984),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SAT-V,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253388,Chaplin (2006),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Gates-MacGinitie Reading tests - Comprehension,['Other outcome'],Secondary outcome(s),Gates-MacGinitie Reading tests – Vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253281,Cleary (2001),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Phonemic Awareness Interview (PAI),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269789,Cline (1968) SS,['Other outcome'],Primary outcome,Stanford-Binet test,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Peabody Picture Vocabulary-R (IQ) Test,['Other outcome'],Primary outcome,Peabody Picture Vocabulary Test-E ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253200,Culp (1973),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SAT Word Meaning Boys and Girls combined,['Mathematics primary outcome'],Secondary outcome(s),SAT Arithmetic computation boys and girls combined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253314,D'Agostino (1995),['Mathematics primary outcome'],Primary outcome,Mathematics achievement- Summer schools,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Comprehension-Summer schools,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253203,David (1974) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Total Reading ('72 Fall) - Posttest only,['Mathematics primary outcome'],Secondary outcome(s),Math ('72 Fall) - Posttest only,['Other outcome'],Secondary outcome(s),WRAT - ('72 Fall) - Posttest only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
