id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8
40397347,Abadzi (1984),['Other outcome'],Secondary outcome(s),HIGH_ITBS,['Toolkit primary outcome'],Primary outcome,AVERAGE_ITBS Regular students,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642366,Adamson (1972),['Other outcome'],Primary outcome,ALL_Stanford Achievement Test - Computation Subset - Full Sample,['Other outcome'],Secondary outcome(s),LOW_Stanford Achievement Test - Computation Subset - Low Achievers Sample - ,['Other outcome'],Secondary outcome(s),ALL_Stanford Achievement Test - Arithmetic Concepts Subset - Full Sample ,['Other outcome'],Secondary outcome(s),ALL_Stanford Achievement Test - Arithmetic Concepts Subset - LA Sample ,['Other outcome'],Secondary outcome(s),ALL_Stanford Achievement Test -Arithmetic Application Subset - Full Sample,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,ALL_Full Sample Math Overall ES (Meta Analysis),['Other outcome'],Secondary outcome(s),LOW_Stanford Achievement Test -Arithmetic Application Subset - LA Sample,NA,NA,NA
40642373,Bailey (1968),['Other outcome'],Secondary outcome(s),HIGH_Lankton First-year algebra test (Track I-set) ,['Other outcome'],Secondary outcome(s),LOW_Lankton-first year algebra test-Track II ,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,ALL_Total Algebra - Track 1 & 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642374,Baiow (1963),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_MAT Reading (homogeneous vs heterogeneous),['Other outcome'],Secondary outcome(s),ALL_MAT Word Knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642377,Barton (1964),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_California Reading Achievement (Reading Comprehension),['Other outcome'],Secondary outcome(s),ALL_California Achievement Test (Spelling),['Other outcome'],Secondary outcome(s),ALL_Differential Aptitude Test (spelling),['Writing and spelling primary outcome.'],Secondary outcome(s),ALL_Overall Spelling ES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642378,Bell (1959) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_MAT Reading - S&S,['Other outcome'],Secondary outcome(s),HIGH_Gifted_Vocab - S&S,['Other outcome'],Secondary outcome(s),HIGH_Gifted_Arith Found - S&S,['Other outcome'],Secondary outcome(s),HIGH_Gifted_Ar.Prob - S&S,['Writing and spelling primary outcome.'],Secondary outcome(s),HIGH_Gifted_Spelling - S&S,['Other outcome'],Secondary outcome(s),HIGH_Gifted_Engl - S&S,['Mathematics primary outcome'],Secondary outcome(s),ALL_Overall Maths ES - Arith Found + Ar. Prob,['Other outcome'],Secondary outcome(s),ALL_MAT total - S&S
40642379,Bent (1969),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,HIGH_Gifted_STEP reading-S&S,['Mathematics primary outcome'],Secondary outcome(s),HIGH_Gifted_STEP - maths_S&S,['Writing and spelling primary outcome.'],Secondary outcome(s),HIGH_Gifted_Step-writing-S&S,['Science primary outcome'],Secondary outcome(s),HIGH_Gifted_STEP - science,['Other outcome'],Secondary outcome(s),HIGH_Gifted_STEP - social studies-S&S,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642380,Berkun (1966),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_Reading Achievement (reversed),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642381,Bicak (1962) 1_1,['Other outcome'],Primary outcome,HIGH_HIGH Homogeneous v High Heterogeneous Posttest,['Other outcome'],Primary outcome,LOW_LOW Low homogeneous v Low Heterogeneous Posttest,"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,ALL_Overall ES - Science (Meteorology),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40397376,Breidenstine (1936),['Other outcome'],Secondary outcome(s),New Stanford Achievement Test (Accomplishment Ratio),NA,Secondary outcome(s),New Stanford Achievement Test (2nd Grade),['Other outcome'],Secondary outcome(s),New Stanford Achievement Test (3rd Grade),['Toolkit primary outcome'],Primary outcome,New Stanford Achievement Test (2nd & 3rd Grade combined),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
