id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9
37671594,Bennett (2013),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,AWMA - Verbal STM (word recall),['Other outcome'],Secondary outcome(s),AWMA - Verbal WM (counting,['Other outcome'],Secondary outcome(s),AWMA - Visuospatial STM (dot matrix),['Other outcome'],Secondary outcome(s),AWMA - Visuo-spatial WM (odd one out),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296603,Biggart (2015),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,NGRT Digitial Edition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671632,Blatchford (2007),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,End of Year 6 KS2 Literacy SATs scores,['Other outcome'],Secondary outcome(s),KS2 literacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671541,Brown (2005),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Woodcock Passage Comprehension,['Other outcome'],Secondary outcome(s),Woodcock Pseudoword,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671596,Bunn (2008),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Salford Reading Age scores,['Writing and spelling primary outcome.'],Secondary outcome(s),Vernon Spelling test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671542,Burgoyne (2012),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Single Word Reading subtest from York Assessment of Reading (YARC) ,['Other outcome'],Secondary outcome(s),Letter-Sound Knowledge subtest from York Assessment of Reading (YARC),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671546,Clarke (2017),['Other outcome'],Secondary outcome(s),WIAT II Reading Comprehension (RI + C),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,NGRT Reading Comprehension (RI + C),['Other outcome'],Secondary outcome(s),TOWRE II Sight Word,['Other outcome'],Secondary outcome(s),TOWRE II Phonemic Decoding,['Other outcome'],Secondary outcome(s),WASI II Vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671598,Cole (2009),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Multiple Skills Basic Math Probes (M-CBM),['Other outcome'],Secondary outcome(s),Math WPS probes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671620,Cooper (2016) TA,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Basic Number Screening test (BNST),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671548,Dockrell (2015),['Other outcome'],Secondary outcome(s),WIAT-11 (Alphabet correct letters),['Other outcome'],Secondary outcome(s),WIAT -11 (Word generation item correct),"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,WIAT-11 (Sentence combining),['Other outcome'],Secondary outcome(s),WIAT-11 (Quality rating),['Other outcome'],Secondary outcome(s),WIAT-11 (total number of words),['Other outcome'],Secondary outcome(s),WIAT-11 (proportion of words spelled correctly),['Other outcome'],Secondary outcome(s),WIAT-11 (proportion of correct words sequences) ,NA,NA,NA,NA,NA,NA
