id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,wc_grp_dir,wc_curr_taught_att_grp,wc_pup_affected,wc_attn_grouping_levels,wc_follow_same_curr,wc_approach_name,wc_pup_assign
40397348,Becker (1987),1987,['Technical report'],"['Setting or streaming', 'Within-class attainment grouping']","['Toolkit primary outcome', 'Reading primary outcome']",-0.23,0.01,['Post-test adjusted for baseline attainment'],ALL_Reading Within Class Ability Grouping v no grouping,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: School-developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.23,0.01,NA,NA,NA,['Mathematics primary outcome'],0.09,0.01,NA,NA,NA,NA,NA,NA,"8,000 ",330,NA,['Primary/elementary school'],"['11', '12']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],Not applicable,Not applicable,Not applicable,['Toolkit: Setting or streaming'],['Heterogeneous to homogeneous'],"['Literacy', 'Mathematics']",['All pupils'],['3 groups'],['Yes - same curriculum'],['No'],['By the teacher(s)']
40642386,Campbell (1965),1965,['Dissertation or thesis'],"['Setting or streaming', 'Within-class attainment grouping']","['Toolkit primary outcome', 'Mathematics primary outcome']",-0.1427,0.1306,['Post-test unadjusted (select one from this group)'],ALL_SAT Arithmetic (posttest),With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.1427,0.1306,NA,NA,NA,NA,NA,NA,440,2,8,['Secondary/High school'],"['12', '13']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],32,5,45 ,['Toolkit: Setting or streaming'],['Heterogeneous to homogeneous'],['Mathematics'],['All pupils'],['3 groups'],['No - different curriculum'],['No'],"['Using test results (please add details)', 'By the teacher(s)']"
40642401,Eddleman (1971),1971,['Dissertation or thesis'],"['Setting or streaming', 'Within-class attainment grouping']","['Toolkit primary outcome', 'Mathematics primary outcome']",0.0209,0.1602,['Post-test unadjusted (select one from this group)'],ALL_Metropolitan Achievement Test (Arithmetic Test),With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0209,0.1602,NA,NA,NA,NA,NA,NA,156,3,6,['Primary/elementary school'],"['10', '11']",NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],9 ,5,45,['Toolkit: Setting or streaming'],['Heterogeneous to homogeneous'],['Mathematics'],['All pupils'],['3 groups'],['No - different curriculum'],['Yes (please specify)'],"['Using test results (please add details)', 'By the teacher(s)', 'Other (please specify)']"
40642423,Ivey (1965) 1_1,1965,['Journal article'],"['Setting or streaming', 'Within-class attainment grouping']","['Toolkit primary outcome', 'Mathematics primary outcome']",0.3718,0.2606,['Post-test unadjusted (select one from this group)'],HIGH_MAT Math Scores ,With business as usual,['Sample: All'],Mathematics,['Test type: National test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3718,0.2606,NA,NA,NA,NA,NA,NA,60,1,2,['Primary/elementary school'],"['10', '11']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],36,Not specified. ,Not specified.,['Toolkit: Setting or streaming'],['Heterogeneous to homogeneous'],['Mathematics'],['Gifted and talented only'],['2 groups'],['Yes - same curriculum'],['Yes (please specify)'],"['Using test results (please add details)', 'By the teacher(s)']"
45336750,Ivey (1965) 1_2,1965,['Journal article'],"['Setting or streaming', 'Within-class attainment grouping']","['Toolkit primary outcome', 'Mathematics primary outcome']",0.914,0.2722,['Post-test unadjusted (select one from this group)'],HIGH_MAT Math,With business as usual,['Sample: All'],Mathematics,['Test type: National test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.914,0.2722,NA,NA,NA,NA,NA,NA,60 ,1,2,['Primary/elementary school'],"['10', '11']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],38,not specified - assume regular maths curriculum delivery,regular school class sessions,['Toolkit: Setting or streaming'],['Heterogeneous to homogeneous'],['Mathematics'],['Gifted and talented only'],['2 groups'],['Yes - same curriculum'],['Yes (please specify)'],"['Using test results (please add details)', 'By the teacher(s)']"
40642426,Jones (1948),1948,['Journal article'],"['Setting or streaming', 'Individualised instruction', 'Within-class attainment grouping']","['Toolkit primary outcome', 'Other outcome']",0.5717,0.1291,['Post-test unadjusted (select one from this group)'],ALL_Average Differences,With business as usual,['Sample: All'],Combined subjects,['Test type: National test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,15,31,['Primary/elementary school'],"['9', '10']",NA,NA,['USA'],['Prospective QED'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],36, , ,"['Toolkit: Individualised instruction', 'Toolkit: Setting or streaming']",['Heterogeneous to homogeneous'],"['Literacy', 'Mathematics']",['All pupils'],['3 groups'],['No - different curriculum'],['No'],"['Using test results (please add details)', 'By the teacher(s)']"
40642431,Kerckhoff (1986) 1_1,1986,['Journal article'],"['Setting or streaming', 'Within-class attainment grouping']","['Toolkit primary outcome', 'Reading primary outcome']",-0.1794,0.0189,['Post-test unadjusted (select one from this group)'],ALL_Overall Reading,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1794,0.0189,NA,NA,NA,['Mathematics primary outcome'],0.086,0.0243,NA,NA,NA,NA,NA,NA,9399,NA,NA,"['Secondary/High school', 'Independent/private school']","['11', '12', '13', '14', '15', '16']",NA,NA,"['UK (Select all that apply)', 'England', 'Scotland', 'Wales']",['Retrospective QED  '],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],180,Not stated. ,Not stated. ,['Toolkit: Setting or streaming'],['Heterogeneous to homogeneous'],"['Literacy', 'Mathematics']",['All pupils'],['3 groups'],['Unclear/ Not specified'],['No'],['Not specified/ Unclear']
45336753,Kerckhoff (1986) 1_2,1986,['Journal article'],"['Setting or streaming', 'Within-class attainment grouping']","['Toolkit primary outcome', 'Reading primary outcome']",-0.0856,0.019,['Post-test unadjusted (select one from this group)'],ALL_Overall Reading,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.0856,0.019,NA,NA,NA,['Mathematics primary outcome'],0.1312,0.0244,NA,NA,NA,NA,NA,NA,9399,NA,NA,['Secondary/High school'],['16'],NA,NA,['UK (Select all that apply)'],['Retrospective QED  '],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],180,N/A,N/A,['Toolkit: Setting or streaming'],['Heterogeneous to homogeneous'],"['Literacy', 'Mathematics']",['All pupils'],['3 groups'],['Unclear/ Not specified'],['No'],['Not specified/ Unclear']
40397368,Kissoon-Singh (1996) 1_1,1996,['Dissertation or thesis'],"['Setting or streaming', 'Within-class attainment grouping']","['Toolkit primary outcome', 'Science primary outcome']",-0.3211,0.2668,['Post-test unadjusted (select one from this group)'],HIGH_Students ’ Science Achievement Test (SSA T) - Unadjusted means SD,With active control,['Sample: High achievers'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",-0.3211,0.2668,NA,NA,NA,65,1,5,['Middle school'],"['11', '12']",NA,NA,['Canada'],['Individual RCT'],['Paired learning'],['No'],['Yes'],['No'],['During regular school hours '],['Research staff'],7,2,45,['Toolkit: Setting or streaming'],['Heterogeneous to homogeneous'],"['Mathematics', 'Other (please specify)']",['All pupils'],['2 groups'],['Yes - same curriculum'],['Yes (please specify)'],['Using test results (please add details)']
45336754,Kissoon-Singh (1996) 1_2,1996,['Dissertation or thesis'],"['Setting or streaming', 'Within-class attainment grouping']","['Toolkit primary outcome', 'Science primary outcome']",-0.5719,0.2702,['Post-test unadjusted (select one from this group)'],AVERAGE_Students ’ Science Achievement Test (SSA T) means SD,With business as usual,['Sample: Average'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",-0.5719,0.2702,NA,NA,NA,65 ,1,5,['Middle school'],"['11', '12']",NA,NA,['Canada'],['Individual RCT'],"['Large group/class teaching (+6)', 'Paired learning']",['Yes (Please specify)'],['Yes'],['No'],['During regular school hours '],['Research staff'],7,2,45,['Toolkit: Setting or streaming'],['Heterogeneous to homogeneous'],"['Mathematics', 'Other (please specify)']",['All pupils'],['2 groups'],['Yes - same curriculum'],['Yes (please specify)'],['Using test results (please add details)']
40642442,Ludeman (1969),1969,['Dissertation or thesis'],"['Setting or streaming', 'Within-class attainment grouping']","['Toolkit primary outcome', 'Mathematics primary outcome']",0.7716,0.1148,['Post-test unadjusted (select one from this group)'],HIGH_Overall Primary Math ES,With business as usual,['Sample: High achievers'],Mathematics,['Test type: National test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.7716,0.1148,NA,NA,NA,NA,NA,NA,592,3,NA,"['Secondary/High school', 'Middle school']","['17', '18', '11', '12', '13', '14', '15', '16']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],216,Not specified,Not specified,['Toolkit: Setting or streaming'],['Heterogeneous to homogeneous'],['Mathematics'],['Gifted and talented only'],['2 groups'],['No - different curriculum'],['Yes (please specify)'],"['Using test results (please add details)', 'By the teacher(s)']"
40397442,Postlethwaite (1978),1978,['Book or book chapter'],"['Setting or streaming', 'Within-class attainment grouping']","['Toolkit primary outcome', 'Writing and spelling primary outcome.']",0.3043,0.1231,['Post-test unadjusted (select one from this group)'],ALL_Differential Aptitude Battery (Spelling),With business as usual,['Sample: All'],Combined subjects,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269,1,NA,['Secondary/High school'],"['11', '12', '13']",NA,NA,['UK (Select all that apply)'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],72,5,N/A - students were streamed for all classes,['Toolkit: Setting or streaming'],['Heterogeneous to homogeneous'],"['Literacy', 'Mathematics', 'Other (please specify)']",['All pupils'],['4 groups'],['Yes - same curriculum'],['No'],['By the teacher(s)']
40397358,Shavit (1985),1985,['Journal article'],"['Setting or streaming', 'Within-class attainment grouping']","['Toolkit primary outcome', 'Other outcome']",0.1383,0.0143,['Post-test unadjusted (select one from this group)'],ALL_Academic Attainment Ability Grouped Students v non grouped,With business as usual,['Sample: All'],Combined subjects,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19713,957,NA,['Middle school'],"['13', '14']",NA,NA,['Israel'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],School's normal practice  this was no prescribed or described in the report.,School's normal practice  this was no prescribed or described in the report.,School's normal practice  this was no prescribed or described in the report.,['Toolkit: Setting or streaming'],['Heterogeneous to homogeneous'],"['Literacy', 'Mathematics']",['All pupils'],['3 groups'],['Unclear/ Not specified'],['No'],['Not specified/ Unclear']
40397372,Slavin (1985) SetS,1985,['Journal article'],"['Setting or streaming', 'Within-class attainment grouping']","['Toolkit primary outcome', 'Mathematics primary outcome']",0.7487,0.1025,['Post-test adjusted for baseline attainment'],ALL_CTMS Overall ES ,With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.7487,0.1025,NA,NA,NA,NA,NA,NA,204,NA,22,['Primary/elementary school'],"['8', '9', '10', '11']",NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],16 ,Not stated.,Not stated.,['Toolkit: Setting or streaming'],['Heterogeneous to homogeneous'],['Mathematics'],['All pupils'],['2 groups'],['Yes - same curriculum'],['Yes (please specify)'],['Using test results (please add details)']
