id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14
40397348,Becker (1987),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_Reading Within Class Ability Grouping v no grouping,['Other outcome'],Secondary outcome(s),ALL_English Within Class Ability Grouping v no grouping,['Mathematics primary outcome'],Secondary outcome(s),ALL_Maths Within Class Ability Grouping v no grouping,['Other outcome'],Secondary outcome(s),LOW_attainers Reading Within Class Ability Grouping v no grouping,['Other outcome'],Secondary outcome(s),HIGH_attainers Reading Within Class Ability Grouping v no grouping,['Other outcome'],Secondary outcome(s),HIGH_Maths Within Class Ability Grouping v no grouping,['Other outcome'],Secondary outcome(s),LOW_Maths Within Class Ability Grouping v no grouping,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642386,Campbell (1965),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,ALL_SAT Arithmetic (posttest),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642401,Eddleman (1971),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,ALL_Metropolitan Achievement Test (Arithmetic Test),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642423,Ivey (1965) 1_1,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,HIGH_MAT Math Scores ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336750,Ivey (1965) 1_2,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,HIGH_MAT Math,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642426,Jones (1948),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ALL_Average Differences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642431,Kerckhoff (1986) 1_1,['Other outcome'],Secondary outcome(s),LOW_Reading - LA - Boys,['Other outcome'],Secondary outcome(s),LOW_Reading - MA - Boys,['Other outcome'],Secondary outcome(s),HIGH_Reading - HA - Boys,['Other outcome'],Secondary outcome(s),LOW_Reading - LA - Girls,['Other outcome'],Primary outcome,AVERAGE_Reading - MA - Girls,['Other outcome'],Primary outcome,HIGH_Reading - HA - Girls,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_Overall Reading,['Mathematics primary outcome'],Secondary outcome(s),ALL_Overall Maths,['Other outcome'],Secondary outcome(s),LOW_Mathematics - LA - Boys,['Other outcome'],Secondary outcome(s),AVERAGE_Mathematics - MA - Boys,['Other outcome'],Secondary outcome(s),HIGH_Mathematics - HA - Boys,['Other outcome'],Secondary outcome(s),LOW_Mathematics - LA - Girls,['Other outcome'],Secondary outcome(s),AVERAGE_Mathematics - MA - Girls,['Other outcome'],Secondary outcome(s),HIGH_Mathematics - HA - Girls
45336753,Kerckhoff (1986) 1_2,['Other outcome'],Primary outcome,LOW_Reading - LA - Boys,['Other outcome'],Primary outcome,AVERAGE_Reading - MA - Boys,['Other outcome'],Primary outcome,HIGH_Reading - HA - Boys,['Other outcome'],Primary outcome,LOW_Reading - LA - Girls,['Other outcome'],Primary outcome,AVERAGE_Reading - MA - Girls,['Other outcome'],Primary outcome,HIGH_Reading - HA - Girls,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_Overall Reading,['Mathematics primary outcome'],Secondary outcome(s),ALL_Overall Maths,['Other outcome'],Secondary outcome(s),LOW_Maths - LA - Boys,['Other outcome'],Secondary outcome(s),AVERAGE_Maths - MA - Boys,['Other outcome'],Secondary outcome(s),HIGH_Maths - HA - Boys,['Other outcome'],Secondary outcome(s),LOW_Maths - LA - Girls,['Other outcome'],Secondary outcome(s),AVERAGE_Maths - MA - Girls,['Other outcome'],Secondary outcome(s),HIGH_Maths - HA - Girls
40397368,Kissoon-Singh (1996) 1_1,"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,HIGH_Students ’ Science Achievement Test (SSA T) - Unadjusted means SD,['Other outcome'],Secondary outcome(s),HIGH_Students ’ Science Achievement Test (SSA T) - F value,['Other outcome'],Secondary outcome(s),HIGH_Students ’ Science Achievement Test (SSA T) - Gain Effect Size,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336754,Kissoon-Singh (1996) 1_2,"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,AVERAGE_Students ’ Science Achievement Test (SSA T) means SD,['Other outcome'],Secondary outcome(s),AVERAGE_Students ’ Science Achievement Test (SSA T) - F value,['Other outcome'],Secondary outcome(s),AVERAGE_Students ’ Science Achievement Test (SSA T) - Gain Effect Size,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642442,Ludeman (1969),['Other outcome'],Secondary outcome(s),HIGH_Algebra-68 - S&S,['Other outcome'],Secondary outcome(s),HIGH_Algebra-69 - S&S,['Other outcome'],Secondary outcome(s),HIGH_Trigonometry-68- S&S,['Other outcome'],Secondary outcome(s),HIGH_Trig-69 - S&S,['Other outcome'],Secondary outcome(s),HIGH_Geom-1969 - S&S,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,HIGH_Overall Primary Math ES,['Other outcome'],Secondary outcome(s),HIGH_Overall Secondary Math ES outcome,['Other outcome'],Secondary outcome(s),HIGH_Geom-1968 - S&S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40397442,Postlethwaite (1978),"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,ALL_Differential Aptitude Battery (Spelling),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40397358,Shavit (1985),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ALL_Academic Attainment Ability Grouped Students v non grouped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40397372,Slavin (1985) SetS,['Other outcome'],Secondary outcome(s),ALL_CTBS - Computations,['Other outcome'],Secondary outcome(s),ALL_CTBS - Concepts and Applications,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,ALL_CTMS Overall ES ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642475,Smith (1960) 1_1,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,ALL_Arithmetic Gain Grade 2 Intervention v control,['Other outcome'],Secondary outcome(s),ALL_Computation Gain Grade 2 Intervention v control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336786,Smith (1960) 1_2,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,ALL_Arithmetic Gain Grade 3 Intervention v control,['Other outcome'],Secondary outcome(s),ALL_Computation Gain Grade 3 Intervention v control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336787,Smith (1960) 1_3,['Other outcome'],Secondary outcome(s),ALL_Computation Gain Grade 4 Intervention v control,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,ALL_Arithmetic Gain Grade 4 Intervention v control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336788,Smith (1960) 1_4,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,ALL_Arithmetic Gain Grade 5 Intervention v control,['Other outcome'],Secondary outcome(s),ALL_Computation Gain Grade 5 Intervention v control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40397359,Sørensen (1986) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_GRER2 - Reading,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642476,Spence (1959),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,ALL_Mathematics Achievement ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40397386,Tobin (1965),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_CFI-RAL Achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642489,Ziehl (1962),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ALL_IOWA Test of Basic Skills Scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
