int_who_raw,int_who_ht,int_who_info
['Class teachers'],"['Page 45:\n[¬s]"" Resource Specialists[¬e]""']",NA
['Class teachers'],NA,"Assumed, but not specified in the study"
['External teachers'],NA,NA
['Lay persons/volunteers'],NA,NA
['Teaching assistants'],"['Page 41:\n[¬s]""Two nonprofessional tutors at participating elementary schools implemented the\nSSL program.[¬e]""']",NA
['Teaching assistants'],NA,NA
['External teachers'],NA,NA
['Unclear/not specified'],"['Page 10:\n[¬s]""The tutors, teachers or special educators at the participating schools[¬e]""']",NA
['Class teachers'],"['Page 6:\n[¬s]""Overall, 92% of the participating teachers were female,\n81% were of Hispanic ethnicity, 85% spoke languages other than English\nat their homes, 56% had beyond a bachelor’s degree, and on average, the\nteachers had 16 years of teaching experience.[¬e]""']",NA
"['Teaching assistants', 'Class teachers']",NA,NA
['Teaching assistants'],NA,NA
['Lay persons/volunteers'],"['Page 7:\n[¬s]""s of reading. The Univer- sity of Sydney students acted as tuto[¬e]""']",NA
['Class teachers'],NA,NA
['Research staff'],"['Page 14:\n[¬s]""All instruments were administered by research assistants who were experienced ju-\nnior school classroom teachers. Particular attention was paid to ensure rapport with\nthe children, and that each testing occasion did not contain an excessive number of\nassessments.[¬e]""']",NA
['Teaching assistants'],NA,NA
['Lay persons/volunteers'],"['Page 2:\n[¬s]""Preservice Teachers as Tutors""\n"" Preservice teachers in an emergent literacy course [¬e]""']",NA
['Lay persons/volunteers'],NA,NA
['Class teachers'],NA,NA
['Lay persons/volunteers'],"['Page 83:\n[¬s]"" The tutors for this reading program were young adults who attended a major state university as undergraduate students. Most ofthe tutors were not education majors. [¬e]""', 'Page 84:\n[¬s]""Three ofthe tutors were unpaid volunteers and the rmwning tutors were all paid from federal work-study funds.[¬e]""']",NA
['External teachers'],NA,NA
['Teaching assistants'],NA,NA
['Other school staff'],"['Page 7:\n[¬s]""Tutoring was provided by 59 adults who were members of the school staff\nand had received formal RES training. The tutors included certified reading spe\xad\ncialists with graduate degrees (n = 17), adults certified in other areas (guidance\ncounseling, math, and social work; n = 15), and paraprofessionals (n = 27)[¬e]""']",NA
['Class teachers'],NA,NA
['Lay persons/volunteers'],NA,NA
['Parents/carers'],NA,NA
['External teachers'],NA,NA
['Research staff'],"['Page 4:\n[¬s]""Tutors were full- or part-time\nemployees ofthe research grant that funded this study.[¬e]""']",NA
['Teaching assistants'],NA,NA
NA,NA,NA
['Class teachers'],NA,NA
['Research staff'],"['Page 11:\n[¬s]""Trained research assistants provided 30 minutes of one-\non-one tutoring five days a week[¬e]""']",NA
['Digital technology'],NA,NA
"['Class teachers', 'Teaching assistants', 'Other school staff']","['Page 11:\n[¬s]""SENCOs, librarians, teachers, and teaching assistants. The clear majority were teaching assistants.[¬e]""']",NA
['Teaching assistants'],"['Page 5:\n[¬s]""At the outset each LSA (12 LSAs deployed in six LPA schools) was employed for 10 hours a week to work on a one-to-one basis with a number of lower ability readers from each classroom. All of the LSAs were female, aged between 25 and 48 years old with some experience of classroom support.[¬e]""']",NA
['Class teachers'],NA,NA
['Class teachers'],NA,NA
['External teachers'],"['Page 73:\n[¬s]""Chapter 1 funds, local monies, and a grant made it possible to hire ICARE teachers.[¬e]""']",NA
['External teachers'],NA,NA
['Teaching assistants'],NA,NA
['External teachers'],NA,NA
['Class teachers'],NA,NA
['Lay persons/volunteers'],NA,NA
['Lay persons/volunteers'],NA,NA
['Research staff'],"['Page 5:\n[¬s]""Tutoring. Trained paraprofessionals conducted individual tutoring sessions for ap- proximately 40-60 minutes, twice per week, at the school. The intervention lasted for one academic year.[¬e]""']", Experimental school (E) participants received tutoring in the schools by trained project personnel
['Lay persons/volunteers'],NA,"The majority of the tutors were male student-athletes who were having difficulty in their university classes (also scored low in a reading test) and were strongly encouraged to take the class by the Men's Athletic Department. Other students self-selected into the class and included other student-athletes (including female student-athletes) as well as nonstudent-athletes. The tutors were mainly African American, with a few Hispanic and Anglo tutors."
['Research staff'],NA,NA
['Lay persons/volunteers'],"['Page 70:\n[¬s]""Thirteen students, enrolled in a university service learning class and one student\nin a federal work-study program served as tutors for this study.[¬e]""']",NA
['Class teachers'],"['Page 67:\n[¬s]""conducted in the Reading Recovery teacher\'s classroom.[¬e]""']",NA
['Research staff'],"['Page 14:\n[¬s]""Thirty-two master’s-level graduate students in elementary and special education, communi-\ncation disorders, and psychology were recruited and hired as UFLI tutors.[¬e]""']",NA
['Lay persons/volunteers'],"['Page 5:\n[¬s]""Training and monitoring. Older volunteers participating in EC are trained\nand monitored regularly.[¬e]""']",NA
NA,NA,NA
['Digital technology'],NA,NA
['Lay persons/volunteers'],NA,NA
['External teachers'],NA,NA
['Class teachers'],NA,NA
['Class teachers'],NA,NA
NA,NA,NA
['Lay persons/volunteers'],NA,NA
NA,NA,NA
['Lay persons/volunteers'],"['Page 85:\n[¬s]""America Reads volunteers.[¬e]""']",NA
"['Research staff', 'External teachers']",NA,NA
['Lay persons/volunteers'],NA,NA
['Research staff'],NA,NA
['Lay persons/volunteers'],"['Page 10:\n[¬s]""Tutors follow a sequence ofcore activities in a four-part lesson plan de-\nscribed in a volunteer tutoring manual (Johnston et al., 1998). The 45-min tutoring\nlessons include (a) rereading familiar books, (b) word study, (c) writing, and (d)\nreading a new book[¬e]""']",NA
"['Class teachers', 'Digital technology']","['Page 19:\n[¬s]""The sole instruction\nin those courses would be ALEKS and the teacher would act as a coach and assist in\nlearning while ALEKS served as the curriculum and main instructional tool.[¬e]""', 'Page 19:\n[¬s]""The sole instruction in those courses would be ALEKS and the teacher would act as a coach and assist in learning while ALEKS served as the curriculum and main instructional tool""\n""The\nclassroom setting would become a computer lab, rather than a classroom filled with\ndesks.[¬e]""']",NA
['Lay persons/volunteers'],"['Page 3:\n[¬s]""Trained volunteers are recruited from the local business community and deliver the programme[¬e]""']",NA
['Lay persons/volunteers'],"['Page 3:\n[¬s]""Volunteers are""\n""recruited through local companies and matched\nwith primary schools taking part in the program.[¬e]""']",NA
['External teachers'],"['Page 9:\n[¬s]""Pre-service teachers pursuing degrees at a local university received training as literacy tutors and delivered the tutoring lessons three times a week for a period of 10 weeks""\n""Tutor training took place\nas a part of a semester-long reading assessment and instruction course that pre-service\nteacher candidates complete in partial fulfillment of the requirements of a Bachelor’s\ndegree in elementary education. This course is designed to help pre-service teachers\nstrengthen expertise in identifying students’ reading difficulties and designing instruction\naimed at helping students improve their early grade reading skills. The course includes a\nsupervised field experience, which requires teacher candidates to apply what they learn\nabout reading assessment and instruction in a local elementary school setting.[¬e]""']",NA
['Class teachers'],NA,NA
['Lay persons/volunteers'],NA,NA
"['Class teachers', 'External teachers']","['Page 3:\n[¬s]"" first-grade teachers and a Title I reading teacher [¬e]""']",NA
"['Class teachers', 'Digital technology']","['Page 8:\n[¬s]""The human tutors were certified elementary teachers[¬e]""', 'Page 8:\n[¬s]"" The Reading Tutor was the version of 9/l/99,[¬e]""']",Reading Tutor
['Research staff'],"['Page 4:\n[¬s]""lessons were delivered in a one-to-one format by trained\nparaprofessional-level tutors (project staff)[¬e]""']",NA
['Lay persons/volunteers'],NA,NA
"['Research staff', 'Teaching assistants']",NA,NA
['Lay persons/volunteers'],"['Page 8:\n[¬s]""ained volunteer mentors, a[¬e]""']",NA
"['Lay persons/volunteers', 'Peers']",NA,NA
['Teaching assistants'],NA,NA
['External teachers'],NA,NA
NA,NA,NA
['Research staff'],NA,trained research assistants
['Research staff'],NA,NA
['Lay persons/volunteers'],"['Page 7:\n[¬s]""university students recruited and hired as tutors. Most of the tutors were education majors (elementary or special education), although some came from communication disorders or psychology programs[¬e]""']",NA
"['Class teachers', 'Teaching assistants']",NA,NA
"['External teachers', 'Class teachers']","['Page 11:\n[¬s]"" specially trained teachers[¬e]""']",NA
['Lay persons/volunteers'],"['Page 3:\n[¬s]""Tutors were volunteers from the community. Most of the tutors were retired,\nall were over the age of 60, and almost half of these tutors had worked as teach-\ners prior to their retirement.[¬e]""']",NA
['Lay persons/volunteers'],NA,NA
['Lay persons/volunteers'],NA,university students
['Teaching assistants'],NA,NA
['Teaching assistants'],NA,NA
['Teaching assistants'],NA,NA
NA,NA,NA
['Lay persons/volunteers'],"['Page 1:\n[¬s]""for\ntraining senior citizens as remedial tutors,[¬e]""', 'Page 10:\n[¬s]""with trained retired senior citizen\nas tutors.[¬e]""', 'Page 11:\n[¬s]""The new\nSocial Security law allows senior citizens to earn supple-\nmental incomes, and this program serves as an excellent\nmeans of employment for those in need.[¬e]""', 'Page 2:\n[¬s]""SENIORS TUTOR F[¬e]""', 'Page 4:\n[¬s]""directly involving retired citizens in a useful,-instructional\nrelationship with underachieving adolescents.""\n""Senior Citizens act as tutors[¬e]""', 'Page 7:\n[¬s]""this\nproject provides Senior Citizens with added income and\na fruitful life.[¬e]""']",but they receive some payment
['Class teachers'],NA,NA
['Teaching assistants'],NA,NA
['Teaching assistants'],NA,NA
['External teachers'],NA,NA
['Class teachers'],"['Page 9:\n[¬s]"" 18 teachers to receive training and participate as MR tutors.[¬e]""']",NA
['Teaching assistants'],NA,trainee teachers
['Research staff'],"['Page 4:\n[¬s]""Undergraduate students (N = 13) majoring in special educa- tion acted as teachers for intervention implementation.[¬e]""']",NA
['External teachers'],NA,NA
"['Class teachers', 'Teaching assistants']",NA,NA
"['Class teachers', 'Teaching assistants']",NA,NA
['Lay persons/volunteers'],NA,"Tutors were recruited via ads placed in the school newsletters and by contacts with counselors at local high schools. Of the original group recruited in October, four tutors were parents, one tutor was a grandparent, one tutor was a community-college student, and four tutors were high school students. Tutors were paid a nominal hourly wage for training and tutoring. Tutor turnover during the year was 30%."
['Teaching assistants'],NA,NA
['Research staff'],NA,NA
['Teaching assistants'],"['Page 4:\n[¬s]""Nineteen paraprofessional\ntutors hired and paid by their respec\xad\ntive schools were randomly assigned\nto treatments by research staff prior to\ntraining; however, four tutors\' treat\xad\nment assignments were switched prior\nto training due to conflicts between\nthe training schedule and the tutors\'\nschedules.[¬e]""']",NA
['Teaching assistants'],NA,NA
['External teachers'],NA,NA
['Teaching assistants'],NA,NA
['Teaching assistants'],"['Page 4:\n[¬s]""A total of 22 tutors were recruited from their school\ncommunities. Tutors’ educational levels, general tutoring experi\xad\nence, and experience working with second and third graders var\xad\nied. All but one had already been working at the school as either\nan instructional assistant or tutor. Prior to the study, tutors had a\nrange of 0 to 11 years of reading tutoring experience (M = 3.6\nyears, SD = 3.43), and all tutors had at least a high school diploma\n(15 had bachelor’s degrees, 5 with teaching certificates). The\naverage educational attainment of tutors in this study matched the\nparaeducator competency requirements under the No Child Left\nBehind Act of 2001. Most tutors (91%) were female, and six\n(27%) were of minority heritage.[¬e]""']",NA
['Teaching assistants'],"['Page 6:\n[¬s]""Tutors""\n""ranged in\neducational level from high school to master’s degree, with a modal level of some\ncollege or vocational education (43%)[¬e]""']",NA
['Lay persons/volunteers'],NA,NA
['Class teachers'],NA,NA
['Class teachers'],"['Page 3:\n[¬s]"" classroom teacher as the primary source of delivering the intervention [¬e]""']",NA
['Class teachers'],NA,NA
['Class teachers'],NA,NA
['Parents/carers'],NA,NA
['Teaching assistants'],NA,NA
['Class teachers'],NA,NA
['External teachers'],"['Page 5:\n[¬s]""Teachers, employed by the participating\nmunicipalities, with a graduate diploma in special education were trained within the project\nto deliver the intervention program[¬e]""']",NA
['Research staff'],"['Page 49:\n[¬s]""As an incentive to promote the tutoring initiative, the America Reads Challenge legislation stipulated that 100% of the funding for tutors at participating universities would be provided by Federal Work-Study Grants.""\n""Tutors were selected from the pool of Federal Work-Study applicants based on their experience and interest in working with young struggling readers. Rutgers students with previous tutoring or teaching experience and those enrolled in education related courses were given a priority. Tutors and graduate assistants were paid by the hour from funding provided by their Federal Work-Study Grants.""\n""To adequately meet the needs of the program,\nthirty-five undergraduates were selected as tutors and 12 graduate students were\nselected to assist in mentoring and supervising the tutors and in collecting\nexperimental data.[¬e]""']",NA
['Research staff'],"['Page 3:\n[¬s]""Reading faculty at the primary researcher’s university solicited\nhelp from undergraduate students currently enrolled in reading\nclasses.[¬e]""']",NA
