StudyID,Strand,CurriculumSubjectsTested
37116221,Peer Tutoring,"['Languages', 'Reading comprehension', 'Reading other']"
37092570,Feedback,['Writing']
39253274,Summer schools,"['Decoding/phonics', 'Spelling', 'Reading other']"
37133863,Peer Tutoring,['Mathematics']
37092749,Feedback,['Mathematics']
37092571,Feedback,['Writing']
37093532,Peer Tutoring,['Reading other']
37092572,Feedback,['Writing']
37093533,Peer Tutoring,['Reading other']
37061105,Feedback,['Spelling']
37092622,Feedback,['Reading comprehension']
40117187,Extending school time,"['Mathematics', 'Reading comprehension']"
37133865,Peer Tutoring,"['Decoding/phonics', 'Spelling', 'Reading comprehension', 'Speaking and listening/Oral language']"
39253276,Summer schools,"['Mathematics', 'Reading comprehension']"
37093467,Peer Tutoring,['Mathematics']
40117110,NA,"['Mathematics', 'Languages', 'Reading comprehension', 'Reading other']"
40117111,NA,"['Writing', 'Spelling', 'Reading comprehension', 'Reading other']"
37671594,Teaching assistants,NA
37092573,Feedback,['Writing']
40294885,Feedback,"['Writing', 'Spelling']"
40117190,NA,"['Mathematics', 'Other curriculum test', 'Decoding/phonics', 'Reading comprehension', 'Speaking and listening/Oral language']"
40117239,Extending school time,"['Decoding/phonics', 'Speaking and listening/Oral language', 'Reading comprehension', 'Reading other']"
40117240,Extending school time,"['Writing', 'Spelling']"
37092626,Feedback,['Other curriculum test']
38296603,Teaching assistants,['Reading comprehension']
37092628,Feedback,['Other curriculum test']
40294886,Small Group Tuition,"['Reading other', 'Speaking and listening/Oral language', 'Decoding/phonics', 'Spelling']"
37671632,Teaching assistants,"['Writing', 'Mathematics', 'Science', 'Reading comprehension']"
37092755,Feedback,['Mathematics']
40294887,NA,"['Other curriculum test', 'Spelling']"
37091022,Feedback,['Reading other']
39253250,Summer schools,"['Reading comprehension', 'Reading other']"
39253387,Summer schools,"['Reading other', 'Decoding/phonics']"
37092604,Feedback,['Arts']
40294889,Feedback,['Arts']
37093538,Peer Tutoring,['Languages']
37091024,Feedback,"['Reading other', 'Decoding/phonics', 'Speaking and listening/Oral language']"
40294890,Feedback,['Reading other']
37092631,Feedback,"['Other curriculum test', 'Reading other']"
40294891,Feedback,['Other curriculum test']
39253196,Summer schools,"['Writing', 'Mathematics', 'Speaking and listening/Oral language']"
37092605,Feedback,"['Decoding/phonics', 'Reading comprehension', 'Reading other', 'Speaking and listening/Oral language']"
37671541,Teaching assistants,['Reading other']
37133869,Peer Tutoring,['Writing']
37093539,Peer Tutoring,['Mathematics']
38296605,Small Group Tuition,"['Writing', 'Mathematics', 'Spelling', 'Reading comprehension']"
38296604,Small Group Tuition,"['Writing', 'Mathematics', 'Reading comprehension']"
37061108,Feedback,['Mathematics']
37671596,Teaching assistants,"['Spelling', 'Reading comprehension']"
37671542,Teaching assistants,"['Decoding/phonics', 'Reading other', 'Speaking and listening/Oral language']"
37092634,Feedback,"['Writing', 'Spelling']"
40294895,Feedback,['Spelling']
37092633,Feedback,NA
40294893,Feedback,NA
40294894,Feedback,NA
37092575,Feedback,"['Decoding/phonics', 'Reading comprehension', 'Reading other']"
40294896,Feedback,['Reading comprehension']
37093518,Peer Tutoring,['Mathematics']
40117116,NA,['Reading comprehension']
37116223,Peer Tutoring,['Reading comprehension']
37093351,Peer Tutoring,['Reading other']
40117117,Extending school time,"['Mathematics', 'Reading other']"
39253388,NA,"['Decoding/phonics', 'Reading comprehension']"
40117193,Extending school time,"['Mathematics', 'Reading comprehension']"
40117118,NA,"['Mathematics', 'Writing', 'Science', 'Social studies', 'Spelling', 'Reading comprehension', 'Reading other']"
37116229,Peer Tutoring,['Mathematics']
37671546,Teaching assistants,"['Reading comprehension', 'Reading other']"
