StudyID,Admin_Strand,Author,OutcomeID_1,OutcomeLabel_1,TestType_Outcome_1,EffectSizeType_Outcome_1,ToolkitStrand_Outcome_1,InterventionText_1,ControlText_1,Outcome_1,SMD_1,SESMD_1,CIupperSMD_1,CIlowerSMD_1,OutcomeID_2,OutcomeLabel_2,TestType_Outcome_2,EffectSizeType_Outcome_2,ToolkitStrand_Outcome_2,InterventionText_2,ControlText_2,Outcome_2,SMD_2,SESMD_2,CIupperSMD_2,CIlowerSMD_2,OutcomeID_3,OutcomeLabel_3,TestType_Outcome_3,EffectSizeType_Outcome_3,ToolkitStrand_Outcome_3,InterventionText_3,ControlText_3,Outcome_3,SMD_3,SESMD_3,CIupperSMD_3,CIlowerSMD_3,OutcomeID_4,OutcomeLabel_4,TestType_Outcome_4,EffectSizeType_Outcome_4,ToolkitStrand_Outcome_4,InterventionText_4,ControlText_4,Outcome_4,SMD_4,SESMD_4,CIupperSMD_4,CIlowerSMD_4,OutcomeID_5,OutcomeLabel_5,TestType_Outcome_5,EffectSizeType_Outcome_5,ToolkitStrand_Outcome_5,InterventionText_5,ControlText_5,Outcome_5,SMD_5,SESMD_5,CIupperSMD_5,CIlowerSMD_5,OutcomeID_6,OutcomeLabel_6,TestType_Outcome_6,EffectSizeType_Outcome_6,ToolkitStrand_Outcome_6,InterventionText_6,ControlText_6,Outcome_6,SMD_6,SESMD_6,CIupperSMD_6,CIlowerSMD_6,OutcomeID_7,OutcomeLabel_7,TestType_Outcome_7,EffectSizeType_Outcome_7,ToolkitStrand_Outcome_7,InterventionText_7,ControlText_7,Outcome_7,SMD_7,SESMD_7,CIupperSMD_7,CIlowerSMD_7,OutcomeID_8,OutcomeLabel_8,TestType_Outcome_8,EffectSizeType_Outcome_8,ToolkitStrand_Outcome_8,InterventionText_8,ControlText_8,Outcome_8,SMD_8,SESMD_8,CIupperSMD_8,CIlowerSMD_8,OutcomeID_9,OutcomeLabel_9,TestType_Outcome_9,EffectSizeType_Outcome_9,ToolkitStrand_Outcome_9,InterventionText_9,ControlText_9,Outcome_9,SMD_9,SESMD_9,CIupperSMD_9,CIlowerSMD_9,OutcomeID_10,OutcomeLabel_10,TestType_Outcome_10,EffectSizeType_Outcome_10,ToolkitStrand_Outcome_10,InterventionText_10,ControlText_10,Outcome_10,SMD_10,SESMD_10,CIupperSMD_10,CIlowerSMD_10
37116221,['Peer tutoring'],Abbondanza (2013),43787,TE Reading comprehension (Daze) gain scores,['Pre-post gain'],['Test type: Standardised test '],['Toolkit: Peer Tutoring'],Literacy: reading comprehension,With business as usual,Primary outcome,0.5174,0.1767,0.8637,0.1712,43788,TE Reading comprehension SRI gain scores Tutees,['Pre-post gain'],['Test type: Standardised test '],['Toolkit: Peer Tutoring'],Literacy: reading comprehension,With business as usual,Secondary outcome(s),-0.0024,0.1737,0.3381,-0.3429,43789,TE Reading fluency - DORF gain scores Tutees,['Pre-post gain'],['Test type: Standardised test '],['Toolkit: Peer Tutoring'],Literacy: reading other,With business as usual,Secondary outcome(s),0.3551,0.1751,0.6983,0.0119,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA
37092570,['Feedback'],Adler (1998),46356,SCORE Feedback - Writing Voice KWA,['Post-test adjusted for baseline attainment'],['Test type: National test'],['Toolkit: Feedback'],Literacy: writing,With business as usual,Primary outcome,0.165,0.223,0.6021,-0.2721,46357,SCORE Feedback - Writing Word Choice KWA,['Post-test adjusted for baseline attainment'],['Test type: National test'],['Toolkit: Feedback'],Literacy: writing,With business as usual,Secondary outcome(s),0.153,0.223,0.5901,-0.2841,46358,SCORE Feedback - Writing Ideas and Content KWA,['Post-test adjusted for baseline attainment'],['Test type: National test'],['Toolkit: Feedback'],Literacy: writing,With business as usual,Secondary outcome(s),0.1,0.223,0.5371,-0.3371,46359,SCORE Feedback - Writing Conventions KWA,['Post-test adjusted for baseline attainment'],['Test type: National test'],['Toolkit: Feedback'],Literacy: writing,With active control,Secondary outcome(s),-0.458,0.226,-0.015,-0.901,46360,SCORE Feedback - Writing Attitude Survey,['Post-test adjusted for baseline attainment'],['Test type: Standardised test '],['Toolkit: Feedback'],Literacy: writing,With business as usual,Secondary outcome(s),0.428,0.226,0.871,-0.015,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA
39253274,['Summer schools'],Allen (2003),50644,Reading Ability-Phonics: Summer Schools,[],['Test type: Standardised test '],['Toolkit: Summer schools'],Literacy: decoding/phonics,With active control,Secondary outcome(s),-0.7288,0.3861,0.028,-1.4856,50884,Reading Ability- Summer Schools group,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],['Toolkit: Summer schools'],Literacy: reading comprehension,With active control,Primary outcome,0.0395,0.3727,0.77,-0.691,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA
37133863,['Peer tutoring'],Allsopp (1995),43793,TE Algebra problem solving post-test Tutees,['Post-test adjusted for baseline attainment'],['Test type: Researcher developed test'],['Toolkit: Peer Tutoring'],Mathematics,With business as usual,Primary outcome,0.1596,0.1241,0.4027,-0.0835,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA
37092749,['Feedback'],Anderson (1973),49729,SCORE Mathematics total ,['Pre-post gain'],['Test type: Researcher developed test'],['Toolkit: Feedback'],Mathematics,With business as usual,Primary outcome,1.1547,0.231,1.6074,0.702,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA
37092571,['Feedback'],Andrade (2008),46229,VERB 6+1 Trait Writing,['Post-test adjusted for baseline attainment'],[],['Toolkit: Feedback'],Literacy: writing,With business as usual,Secondary outcome(s),0.83,0.2,1.222,0.438,46251,VERB 6+1 Trait Writing,['Post-test adjusted for baseline attainment'],[],['Toolkit: Feedback'],Literacy: writing,With business as usual,Primary outcome,0.8653,0.1984,1.2541,0.4764,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA
37093532,['Peer tutoring'],Arblaster (1991),43800,TE Burt Word Reading Test gains Tutees,['Pre-post gain'],['Test type: Standardised test '],"['Toolkit: Mastery learning', 'Toolkit: Peer Tutoring']",Literacy: reading other,With business as usual,Primary outcome,1.687,0.4016,2.4741,0.8999,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA
37092572,['Feedback'],Arter (1994),46195,TEACH Writing-Ideas,['Post-test unadjusted (select one from this group)'],[],['Toolkit: Feedback'],Literacy: writing,With business as usual,Primary outcome,0.3,0.18,0.6528,-0.0528,46196,TEACH Writing-organization,['Post-test unadjusted (select one from this group)'],[],['Toolkit: Feedback'],Literacy: writing,With business as usual,Secondary outcome(s),0.3,0.17,0.6332,-0.0332,46207,TEACH Writing-Voice,['Post-test unadjusted (select one from this group)'],[],['Toolkit: Feedback'],Literacy: writing,With business as usual,Secondary outcome(s),0.2,0.17,0.5332,-0.1332,46212,TEACH Writing-Words Choice,['Post-test unadjusted (select one from this group)'],[],['Toolkit: Feedback'],Literacy: writing,With business as usual,Secondary outcome(s),0.03,0.15,0.324,-0.264,46215,TEACH Writing-Sentence Fluency,['Post-test unadjusted (select one from this group)'],[],['Toolkit: Feedback'],Literacy: writing,With business as usual,Secondary outcome(s),0.14,0.18,0.4928,-0.2128,46218,TEACH Writing-Conventions,['Post-test unadjusted (select one from this group)'],[],['Toolkit: Feedback'],Literacy: writing,With business as usual,Secondary outcome(s),0.13,0.17,0.4632,-0.2032,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA
37093533,['Peer tutoring'],Atherley (1989),43803,REC Primary Reading Test gains (Reciprocal PT),['Pre-post gain'],['Test type: Standardised test '],['Toolkit: Peer Tutoring'],Literacy: reading comprehension,With business as usual,Primary outcome,0.6814,0.3356,1.3391,0.0237,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA
37061105,['Feedback'],Aumiller (1963),47394,SCORE G3&G5 - TMI Spelling Program - Modern English,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],['Toolkit: Feedback'],Literacy: spelling,With business as usual,Primary outcome,-0.0058,0.1451,0.2786,-0.2903,47395,SCORE G3 - TMI Spelling Program - Modern English,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],['Toolkit: Feedback'],Literacy: spelling,With business as usual,Secondary outcome(s),0.0052,0.2236,0.4435,-0.4331,47396,SCORE G5 - TMI Spelling Program - Modern English,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],['Toolkit: Feedback'],Literacy: spelling,With business as usual,Secondary outcome(s),-0.0271,0.1907,0.3468,-0.4009,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA
