StudyID,Strand,lowSESFSMstudents,lowSESFSMstudentsHighlightedText,lowSESFSM%,lowSESFSM%HighlightedText,lowSESFSMfurtherinfo,lowSESFSMfurtherinfoHighlightedText,NoSESFSMinformation,NoSESFSMinformationHighlightedText
37116221,Peer Tutoring,NA,NA,NA,NA,NA,NA,NA,NA
37092570,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
39253274,Summer schools,NA,NA,NA,NA,Information regarding school  not the specific sample,"[['Page 81:\n[¬s]""Both elementary schools were Whole School Title I facilities based on populations o f 50% or more o f the student body receiving free and reduced meal services.[¬e]""']]",NA,NA
37133863,Peer Tutoring,Lunch status was primarily paid lunch. One-hundred eighty-nine students (72%) paid for their lunch; 9 students (3%) paid a reduced fee for lunch; and 64 students (24%) had free lunch.,"[['Page 118:\n[¬s]""Lunch status was primarily paid lunch. One-hundred eighty-nine students (72%) paid for their lunch; 9 students (3%) paid a reduced fee for lunch; and 64 students (24%) had free lunch.[¬e]""']]",NA,NA,NA,NA,NA,NA
37092749,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
37092571,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
37093532,Peer Tutoring,NA,NA,NA,NA,NA,NA,NA,NA
37092572,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
37093533,Peer Tutoring,It is not explained in the article  what SPA stands for. SES/FSM have no part in this study.,NA,NA,NA,NA,NA,NA,NA
37061105,Feedback,NA,NA,NA,NA,NA,"[['Page 3:\n[¬s]""Elementar.y students in the Mil ton A.Na Joint School Dis\xad t r i c t are from m.iddle and lowr middle cl.a.ss :t>ackgroun.dS.[¬e]""']]",NA,NA
37092622,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
40117187,Extending school time,NA,NA,Free/reduced price lunch = 87% (Table 2),NA,NA,"[['Page 5:\n[¬s]""The two schools selected for the study were high in parental unemployment and low in per capita income when compared to Austin as a whole.[¬e]""'  'Page 7:\n[¬s]""The percentage of students that qualified for free or reduced lunch status at School A (88%) and School B (93%) were much higher than the overall average of Austin\'s elementary schools (62%).[¬e]""']]",NA,NA
37133865,Peer Tutoring,Not mentioned,NA, Approximately 41% o f the students qualified for free or reduced lunches -control group  Approximately 71% o f the students qualified for free or reduced lunches -intervention group,"[['Page 34:\n[¬s]"" Approximately 41% o f the students qualified for free or reduced lunches.[¬e]""'  'Page 34:\n[¬s]""Approximately 71% o f the students qualified for free or reduced lunches[¬e]""']]",NA,NA,NA,NA
39253276,Summer schools,NA,NA,NA,NA,NA,NA,NA,NA
37093467,Peer Tutoring,NA,NA,NA,NA,NA,NA,NA,NA
40117110,NA,NA,NA,NA,NA,NA,NA,NA,"[['Page 22:\n[¬s]""Learner characteristics such as gender  socioeconomic status  past achievement  and ethnicity were left for future study.[¬e]""']]"
40117111,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671594,Teaching assistants,NA,NA,NA,NA,NA,NA,NA,NA
37092573,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
40294885,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
40117190,NA,NA,NA,NA,NA,NA,"[['Page 1:\n[¬s]""The research setting was the Hilltop Emergent Literacy Project (HELP)  an afterschool educational program serving poor  mostly African Ameri- can five- to nine-year-olds (kindergarten to third grade) who reside in a subsidized apartment comp[¬e]""']]",NA,NA
40117239,Extending school time,NA,NA,NA,NA,NA,NA,NA,NA
40117240,Extending school time,NA,NA,NA,NA,74.2% were European-Americans   5.2% were Hispanic American  7.2% were other than the traditional ethnic categories  and  4.1% chose not to report ethnicity.   Parental levels of education ranged from  less than high school (5.2% mothers  2.1% fathers)   to high school (19.6% mothers  25.8% fathers)   to community college (32% mothers  28.9% fathers)   to college (28.9% mothers  34% fathers)   to graduate degree (9.3% mothers  5.2% fathers);  5.2% of mothers and 4.1% of fathers chose not to report educational level.,"[['Page 18:\n[¬s]"" 74.2% were European-Americans  5.2% were Hispanic American  7.2% were other than the traditional ethnic categories  and 4.1% chose not to report ethnicity. Parental levels of education ranged from less than high school (5.2% mothers  2.1% fathers)  to high school (19.6% mothers  25.8% fathers)  to community college (32% mothers  28.9% fathers)  to college (28.9% mothers  34% fathers)  to graduate degree (9.3% mothers  5.2% fathers); 5.2% of mothers and 4.1% of fathers chose not to report educational level.[¬e]""']]",NA,NA
37092626,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
38296603,Teaching assistants,NA,NA,Intervention group FSM - yes 54% FSM - no 46%  Control group FSM - yes 49% FSM - no 51%,"[['Page 17:\n[¬s]"" 17 (49%) 20 (54%)""\n"" 18 (51%) 17 (46%)[¬e]""']]",NA,"[['Page 10:\n[¬s]"" Schools were targeted on the basis of both a higher than average proportion of pupils receiving free school meals[¬e]""']]",NA,NA
37092628,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
40294886,Small Group Tuition,NA,NA,28.1% FSM (Table 1),NA,NA,NA,NA,NA
37671632,Teaching assistants,NA,NA,NA,NA,NA,NA,NA,NA
37092755,Feedback,NA,NA,NA,NA,NA,"[['Page 137:\n[¬s]"" lower-middle to middle class[¬e]""']]",NA,NA
40294887,NA,NA,NA,NA,NA,NA,NA,NA,NA
37091022,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
39253250,Summer schools,NA,NA,See table 2  page 34 ,NA,NA,NA,NA,NA
39253387,Summer schools,NA,NA,Table 2 has wrong calculations!  Treatment: 72/90=80% Control: 27/29=93% TOTAL: 99/119=83%   ,"[['Page 8:\n[¬s]""Free lunch eligibility[¬e]""']]",students come from high-poverty schools  All schools are Title I schools (high percentage of poor children),"[['Page 2:\n[¬s]""students from high-poverty schools[¬e]""'  'Page 4:\n[¬s]""All schools participating in the project are Title I Schools in School Improvement Status[¬e]""']]",NA,NA
37092604,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
40294889,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
37093538,Peer Tutoring,NA,NA,NA,NA,NA,NA,NA,NA
37091024,Feedback,NA,NA,NA,NA,NA,NA,Not stated in relation to specific participants. Title I school therefore at least 40% of total school population of low SES.,NA
40294890,Feedback,NA,NA,NA,NA,NA,NA,Not stated in relation to specific participants. Title I school therefore at least 40% of total school population of low SES.,NA
37092631,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
40294891,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
39253196,Summer schools,NA,NA,NA,NA,NA,NA,NA,NA
37092605,Feedback,Not reported.,NA,NA,NA,NA,NA,NA,NA
37671541,Teaching assistants,NA,NA,NA,"[['Page 10:\n[¬s]""48%[¬e]""']]",NA,NA,NA,NA
37133869,Peer Tutoring,Not reported,NA,NA,NA,NA,NA,NA,NA
37093539,Peer Tutoring,  As a result of the low socioeconomic levels in the community  approximately 43% of the students served by this school were eligible for free or reduced- price lunches under federal guidelines,NA,NA,NA,NA,NA,NA,NA
38296605,Small Group Tuition,NA,NA,870 out of 1528,"[['Page 23:\n[¬s]""FSM subset (n=61)""\n""FSM subset (n=43)""\n""FSM subset (E=396; M=370)[¬e]""']]",NA,NA,NA,NA
38296604,Small Group Tuition,NA,NA,27.25% (average of 27%  27%  29% and 26% calculated from Table 10 and 11),"[['Page 23:\n[¬s]""27""\n""27[¬e]""'  'Page 24:\n[¬s]""29""\n""26[¬e]""']]",NA,NA,NA,NA
37061108,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
37671596,Teaching assistants,NA,NA,NA,NA,NA,"[['Page 3:\n[¬s]""close to average in socio-economic and achievement rankings[¬e]""']]",NA,NA
