ItemID,Author,Year,Strand,Outcome,Intervention,LevelofAssignment,ParticipantAssignment,StudyRealism,StudentGender,PublicationType,EducationalSetting,Country,GroupBaselineDifferences,StudyDesign,Comparability,CompVariablesReported,ComparabilityVariables,InterventionOrg,InterventionTrainingProvided,StudentAge,Attrition/DropOutReported,FocusofIntervention,InterventionTeachingApproach,InterventionTime,WhoDeliveredTeaching,EducationalSetting,SMD,SESMD,CIupper,CIlower,CodesSectionPresent,OutcomesSectionPresent,OutcomeCodesSectionPresent
37116221,Abbondanza (2013),2013,Toolkit: Peer Tutoring,Primary outcome,Literacy: reading comprehension,Individual,"Non-random, not matched prior to treatment",High ecological validity,Mixed gender,Dissertation or thesis,Secondary/High school,USA,Yes,Prospective QED,Yes,Yes,Educational attainment,University/ researcher design,Yes (Please specify),"['11', '12', '13']",['No'],['Students'],['Paired learning'],['During regular school hours '],"['Class teachers', 'Peers']",['Secondary/High school'],0.5174,0.1767,0.8637,0.1712,Yes,Yes,Yes
37092570,Adler (1998),1998,Toolkit: Feedback,Primary outcome,Literacy: writing,School - cluster,Unclear,Low ecological validity,Mixed gender,Dissertation or thesis,Primary/elementary school,USA,Yes,Prospective QED,Yes,No,NA,University/ researcher design,No,"['8', '9']",['No'],['Students'],['Large group/class teaching (+6)'],['During regular school hours '],"['Research staff', 'Class teachers']",['Primary/elementary school'],0.165,0.223,0.6021,-0.2721,Yes,Yes,Yes
39253274,Allen (2003),2003,Toolkit: Summer schools,Secondary outcome(s),Literacy: decoding/phonics,Individual,"Non-random, not matched prior to treatment",High ecological validity,Mixed gender,Dissertation or thesis,Primary/elementary school,USA,No/Unclear,Prospective QED,Unclear or details not provided,N/A,NA,School or group of schools,Yes (Please specify),"['5', '6']",['No'],['Students'],['Large group/class teaching (+6)'],['Summer/ holiday period'],['Class teachers'],['Primary/elementary school'],-0.7288,0.3861,0.028,-1.4856,Yes,Yes,Yes
37133863,Allsopp (1995),1995,Toolkit: Peer Tutoring,Primary outcome,Mathematics,Class,"Non-random, not matched prior to treatment",High ecological validity,Mixed gender,Dissertation or thesis,Middle school,USA,Yes,Cluster RCT,Yes,Yes,Other (please specify),University/ researcher design,Yes (Please specify),"['12', '13', '14', '15']",['No'],['Students'],['Paired learning'],['During regular school hours '],"['Class teachers', 'Peers']",['Middle school'],0.1596,0.1241,0.4027,-0.0835,Yes,Yes,Yes
37092749,Anderson (1973),1973,Toolkit: Feedback,Primary outcome,Mathematics,Individual,Random (please specify),Low ecological validity,Male only,Dissertation or thesis,Middle school,USA,Yes,Retrospective QED  ,Yes,Yes,Gender,University/ researcher design,No,"['13', '14']",['No'],['Students'],['One to one'],['During regular school hours '],['Research staff'],['Middle school'],1.1547,0.231,1.6074,0.702,Yes,Yes,Yes
37092571,Andrade (2008),2008,Toolkit: Feedback,Secondary outcome(s),Literacy: writing,Class,"Non-random, but matched",Low ecological validity,Mixed gender,Journal article,Primary/elementary school,USA,No/Unclear,Prospective QED,Yes,No,NA,University/ researcher design,Unclear/ Not specified,"['8', '9', '10']",['No'],['Students'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['During regular school hours '],"['Research staff', 'Class teachers']",['Primary/elementary school'],0.83,0.2,1.222,0.438,Yes,Yes,Yes
37093532,Arblaster (1991),1991,Toolkit: Peer Tutoring,Primary outcome,Literacy: reading other,Individual,"Non-random, but matched",Low ecological validity,NA,Journal article,NA,UK (Select all that apply),No/Unclear,Prospective QED,No,No,NA,University/ researcher design,Unclear/ Not specified,NA,['No'],['Students'],['Paired learning'],['Unclear/ not specified'],"['Class teachers', 'Peers']",NA,1.687,0.4016,2.4741,0.8999,Yes,Yes,Yes
37092572,Arter (1994),1994,Toolkit: Feedback,Primary outcome,Literacy: writing,Class,Random (please specify),High ecological validity,Mixed gender,Conference paper,Primary/elementary school,USA,Yes,Multisite RCT,Unclear or details not provided,No,NA,University/ researcher design,Yes (Please specify),"['10', '11']",['No'],['Students'],['Large group/class teaching (+6)'],['During regular school hours '],['Class teachers'],['Primary/elementary school'],0.3,0.18,0.6528,-0.0528,Yes,Yes,Yes
37093533,Atherley (1989),1989,Toolkit: Peer Tutoring,Primary outcome,Literacy: reading comprehension,Individual,"Non-random, but matched",High ecological validity,Mixed gender,Journal article,Primary/elementary school,England,Yes,Prospective QED,NA,NA,NA,School or group of schools,Yes (Please specify),['10'],NA,['Students'],['Paired learning'],['During regular school hours '],"['Class teachers', 'Peers']",['Primary/elementary school'],0.6814,0.3356,1.3391,0.0237,Yes,Yes,Yes
37061105,Aumiller (1963),1963,Toolkit: Feedback,Primary outcome,Literacy: spelling,Individual,Random (please specify),High ecological validity,No information provided,Dissertation or thesis,Primary/elementary school,USA,Yes,Individual RCT,Yes,Yes,Educational attainment,University/ researcher design,No,"['8', '9', '10', '11']",['No'],['Students'],['Student alone (self-administered)'],['During regular school hours '],['Unclear/not specified'],['Primary/elementary school'],-0.0058,0.1451,0.2786,-0.2903,Yes,Yes,Yes
37092622,Baechie (1990),1990,Toolkit: Feedback,Primary outcome,Literacy: reading comprehension,Individual,Random (please specify),Low ecological validity,Mixed gender,Journal article,Middle school,USA,Yes,Prospective QED,Yes,Yes,Other (please specify),University/ researcher design,No,"['8', '9', '10', '11', '12', '13']",['No'],['Students'],['Small group/intensive support (3-5)'],['During regular school hours '],['Research staff'],"['Primary/elementary school', 'Middle school']",0.6548,0.2855,1.2143,0.0952,Yes,Yes,Yes
40117187,Baker (1996),1996,Toolkit: Extending school time,Primary outcome,Literacy: speaking and listening/oral language,NA,"Non-random, not matched prior to treatment",High ecological validity,Mixed gender,Journal article,Primary/elementary school,USA,Yes,NA,NA,Yes,Other (please specify),School or group of schools,Unclear/ Not specified,"['12', '8', '9', '10', '11']",['Unclear (please add notes)'],['Students'],['Large group/class teaching (+6)'],['Before/after school'],"['Class teachers', 'External teachers', 'Lay persons/volunteers']",['Primary/elementary school'],0.3006,0.0,0.3006,0.3006,Yes,Yes,Yes
37133865,Baker (2005),2005,Toolkit: Peer Tutoring,Primary outcome,Literacy: decoding/phonics,Class,"Non-random, not matched prior to treatment",High ecological validity,Mixed gender,Dissertation or thesis,Primary/elementary school,USA,Yes,Prospective QED,Yes,Yes,Socio-economic status,School or group of schools,Yes (Please specify),"['6', '7']",['Yes'],['Students'],['Paired learning'],['During regular school hours '],"['Class teachers', 'Peers']",['Primary/elementary school'],1.0958,0.3434,1.7688,0.4228,Yes,Yes,Yes
39253276,Bakle (2010),2010,Toolkit: Summer schools,Primary outcome,Literacy: reading comprehension,NA,"Non-random, but matched",High ecological validity,Mixed gender,Dissertation or thesis,Primary/elementary school,USA,NA,Retrospective QED  ,NA,NA,NA,School or group of schools,No,"['7', '8', '9', '10', '11']",NA,['Students'],['Large group/class teaching (+6)'],['Summer/ holiday period'],NA,['Primary/elementary school'],0.12,0.1,0.316,-0.076,Yes,Yes,Yes
37093467,Bar-Eli (1982),1982,Toolkit: Peer Tutoring,Primary outcome,Mathematics,Individual,Random (please specify),High ecological validity,Male only,Journal article,Primary/elementary school,Israel,No/Unclear,Individual RCT,Yes,Yes,NA,University/ researcher design,Yes (Please specify),"['10', '11', '12', '7', '8']",NA,['Students'],['Paired learning'],"['During regular school hours ', 'Before/after school']",['Peers'],['Primary/elementary school'],1.0033,0.3874,1.7627,0.2439,Yes,Yes,Yes
40117110,Barron (1993),1993,NA,NA,NA,NA,Retrospective Quasi Experimental Design (QED),High ecological validity,No information provided,Dissertation or thesis,Primary/elementary school,USA,Yes,Prospective QED,Yes,Yes,Other (please specify),School or group of schools,No,"['7', '8', '10', '11']",['No'],['Students'],['Other (Explain in notes)'],['During regular school hours '],['Class teachers'],['Primary/elementary school'],NA,NA,NA,NA,Yes,No,No
40117111,Bechtel (1991),1991,NA,NA,NA,School - cluster,Retrospective Quasi Experimental Design (QED),High ecological validity,Mixed gender,Dissertation or thesis,Primary/elementary school,USA,Yes,Prospective QED,Yes,Yes,Other (please specify),Local education authority or district,No,"['9', '8']",['No'],['Students'],['Other (Explain in notes)'],['During regular school hours '],['Class teachers'],['Primary/elementary school'],NA,NA,NA,NA,Yes,No,No
