itemids,NumberofClasses,TotalNumberofClasses
37116221,4,4
37092570,NA,4
39253274,NA,1
37133863,NA,14
37092749,NA,3
37092571,NA,7
37093532,2,2
37092572,NA,6
37093533,2,NA
37061105,NA,NA
37092622,NA,NA
40117187,NA,NA
37133865,2,NA
39253276,Grades 2-5 students were included in the study,NA
37093467,Inference from 3 schools older and younger from each school with matched group. 6 classes in total.,6
40117110,NA,NA
40117111,NA,NA
37671594,NA,NA
37092573,NA,NA
40294885,"Data from Figure 3. Twenty classes listed for all groups in this study, this matches the twenty group sizes listed in Figure 3. Hence, number of classes calculated by number of group sizes listed for each treatment in Figure 3 (excluding one Grade 9 class which was not included in the analysis).",12
40117190,NA,2
40117239,NA,NA
40117240,NA,NA
37092626,NA,NA
38296603,NA,NA
37092628,NA,NA
40294886,NA,5
37671632,NA,817
37092755,NA,NA
40294887,NA,NA
37091022,NA,NA
39253250,NA,NA
39253387,NA,NA
37092604,NA,NA
40294889,NA,NA
37093538,18,18
37091024,NA,1
40294890,NA,1
37092631,NA,NA
40294891,NA,NA
39253196,NA,NA
37092605,NA,NA
37671541,NA,NA
37133869,NA,12
37093539,NA,3
38296605,NA,NA
38296604,NA,NA
37061108,It is not clear whether all classes were involved in both the treatment and control group.,6
37671596,NA,11
37671542,NA,NA
37092634,NA,9
40294895,NA,9
37092633,NA,8
40294893,NA,8
40294894,NA,8
37092575,NA,11
40294896,NA,4
37093518,NA,10
40117116,NA,NA
37116223,NA,NA
37093351,NA,12
40117117,NA,NA
39253388,NA,NA
40117193,NA,NA
40117118,NA,NA
37116229,NA,3
37671546,NA,NA
39253281,NA,NA
37092576,Since students from grade 5 in each were included in the study total classes should be 74 in 74 schools with 39 classes in treatment and 35 in control. ,NA
37671598,NA,NA
40117120,NA,NA
43090135,NA,NA
37671620,NA,3
40117121,NA,NA
37093542,NA,NA
37091026,NA,19
39253200,NA,NA
39253314,NA,NA
37093543,NA,3
39253203,Children included from kindergarten through grade 3.,NA
43090138,NA,Not provided
40117246,NA,NA
40117123,NA,NA
37093616,NA,NA
37671548,NA,NA
43090143,NA,NA
37091027,NA,NA
37093544,NA,NA
37671600,NA,NA
40117126,NA,NA
39253282,NA,NA
39253283,NA,NA
40117194,NA,NA
37133886,NA,NA
37092761,NA,NA
40294902,NA,NA
38878251,NA,NA
39253253,NA,NA
37061114,NA,NA
40117128,NA,NA
37093353,NA,2
40117129,NA,NA
37093472,NA,5
37093471,NA,NA
38878265,NA,18
40117274,NA,NA
37093506,NA,3
37092577,NA,NA
37133895,NA,2
39253205,NA,NA
37092578,NA,4
37671552,NA,NA
37671553,Children from nursery and reception level were included in the study. ,NA
37091029,NA,NA
37092579,NA,NA
37092580,NA,NA
37092581,NA,NA
40294904,NA,40
37093553,NA,40 classes
37093549,NA,40
37093550,NA,40
37093524,NA,40
37133902,NA,6
37093618,NA,18
37093551,NA,24
37093523,NA,20
37116212,NA,20
40117132,NA,NA
37133906,NA,4
37093555,NA,4
40117276,NA,NA
37061127,NA,NA
37671623,NA,15
37093477,8,8
37093478,NA,2
37092650,NA,2
37133911,NA,NA
37671603,NA,NA
38296617,NA,NA
38296615,NA,1
38296616,NA,NA
40117250,NA,NA
38878252,NA,NA
37093559,NA,NA
37671634,NA,9
37671557,NA,2
37671558,NA,9
37093560,NA,NA
37133917,NA,"2. NB: Students were assigned to these classes as part of the study, having been selected from an unknown number of classes."
40117251,NA,NA
37092582,Since classes are randomly assigned to treatment and control groups we assume that the assigned numbers are equal in the two groups. ,8
37133918,3 intervention classes but only 2 are relevant: the +RPS class and the mixed class but not the -RPS class.  Participants are assigned to either the +RPS condition (receive same RPS guidance as the control group but also tutor) or the -RPS group (who tutor but do not receive the RPS guidance so are not a fair comparison with the control group). ,3
37671515,NA,NA
38878253,NA,NA
37671559,NA,NA
40117134,NA,NA
37671520,NA,13
37092655,NA,NA
37133919,NA,3
37116213,NA,NA
37091033,NA,4
39253318,NA,NA
40117135,NA,NA
37671562,Treament and control students were within the same class. Since the study was carried out in 13 (Year 1) classes both T and C consist of 13 classes.,13
40117175,NA,NA
39253285,NA,NA
40117136,Approximated to be two classes per grade due to the range of participants from Grades 1 to 5 in both schools being within the range of 50 to 70 (see Table 7).,≤20
37093480,NA,NA
37133921,NA,4
39253320,NA,NA
40117252,NA,NA
40117253,NA,NA
40398941,NA,NA
37092584,NA,NA
37671521,NA,NA
39253321,NA,6
37092768,NA,13
37671626,NA,10
37671605,NA,10
37061117,NA,2
37133923,NA,NA
37116224,NA,2
39253390,NA,NA
37061115,NA,NA
37093509,NA,3
