StudyID,Strand,TypeofTest,TypeofTestHighlightedText,StandardisedTest,StandardisedTestHighlightedText,ResearcherDevelopedTest,ResearcherDevelopedTestHighlightedTest,SchoolDevelopedTest,SchoolDevelopedTestHighlightedTest,NationalTestorExam,NationalTestorExamHighlightedTest,InternationalTests,InternationalTestsHighlightedTest
37116221,Peer Tutoring,NA,NA,"DIBELS Next Oral Reading Fluency (DORF). The researcher used the Dynamic Indicators of Basic Early Literacy Skills Next (DIBELS) Oral Reading Fluency (DORF) measure to assess students’ reading fluency. It is a standardized measure that contains multiple forms to assess students’ progress over time. Moreover, the DORF measure is a highly validated and reliable tool that takes approximately six minutes, per benchmark, to administer (Cummings, Kennedy, Otterstedt, Baker, & Kame’enui, 2011).  DIBELS Next Maze (Daze). The DIBELS Next Maze (Daze), a recently added measure to the DIBELS Next assessments, used by the researcher to assess students’ (N = 164) comprehension.  Scholastic Reading Inventory (SRI). The SRI test is a criterion- and norm referenced test that assesses students’ reading comprehension of literary and expository text based on the Lexile Framework that was developed by Metametrics, Inc with a grant from the National Institute of Child Health and Human Development.  The Elementary Reading Attitude Survey (ERAS). The ERAS measure was used as a qualitative and quantitative measure to provide the researcher with information about participant’s perception toward reading, specifically recreation and academic (Appendix K). The ERAS instrument was norm-referenced in the United States in 1989 with over 18,000 first through sixth grade students from 95 school districts (McKenna & Kear, 1990). The internal-consistency coefficients range from .74 on the Recreational subscale for first grade students to .89 on the Total scale for sixth graders. Validation of the ERAS is evidenced-based on the instrument’s intersubscale correlation of .64 for the two subscales.","['Page 86:\n[¬s]""DIBELS Next Oral Reading Fluency (DORF). The researcher used the Dynamic Indicators of Basic Early Literacy Skills Next (DIBELS) Oral Reading Fluency (DORF) measure to assess students’ reading fluency.[¬e]""', 'Page 87:\n[¬s]"" It is a standardized measure that contains multiple forms to assess students’ progress over time. Moreover, the DORF measure is a highly validated and reliable tool that takes approximately six minutes, per benchmark, to administer (Cummings, Kennedy, Otterstedt, Baker, & Kame’enui, 2011).[¬e]""', 'Page 89:\n[¬s]""DIBELS Next Maze (Daze). The DIBELS Next Maze (Daze), a recently added measure to the DIBELS Next assessments, used by the researcher to assess students’ (N = 164) comprehension.[¬e]""', 'Page 91:\n[¬s]""Scholastic Reading Inventory (SRI). The SRI test is a criterion- and norm referenced test that assesses students’ reading comprehension of literary and expository text based on the Lexile Framework that was developed by Metametrics, Inc with a grant from the National Institute of Child Health and Human Development.[¬e]""', 'Page 93:\n[¬s]""The Elementary Reading Attitude Survey (ERAS). The ERAS measure was used as a qualitative and quantitative measure to provide the researcher with information about participant’s perception toward reading, specifically recreation and academic (Appendix K). The ERAS instrument was norm-referenced in the United States in 1989 with over 18,000 first through sixth grade students from 95 school districts (McKenna & Kear, 1990). The internal-consistency coefficients range from .74 on the Recreational subscale for first grade students to .89 on the Total scale for sixth graders. Validation of the ERAS is evidenced-based on the instrument’s intersubscale correlation of .64 for the two subscales.[¬e]""']","Teacher interview protocol. The researcher conducted individual, semi- structured interviews with treatment teachers at the conclusion of the 13 week study to gather qualitative data about the implementation and effectiveness of PALS reading  KidBlog. In March 2013, the researcher created a free online account through KidBlog. Usernames and passwords for students (n = 84) receiving treatment were created. The researcher used KidBlog, an online posting and commenting platform, to obtain qualitative data about students’ perception of PALS reading.","['Page 94:\n[¬s]""Teacher interview protocol. The researcher conducted individual, semi- structured interviews with treatment teachers at the conclusion of the 13 week study to gather qualitative data about the implementation and effectiveness of PALS reading[¬e]""', 'Page 95:\n[¬s]""KidBlog. In March 2013, the researcher created a free online account through KidBlog. Usernames and passwords for students (n = 84) receiving treatment were created. The researcher used KidBlog, an online posting and commenting platform, to obtain qualitative data about students’ perception of PALS reading.[¬e]""']",NA,NA,NA,NA,NA,NA
37092570,Feedback,NA,NA,NA,NA,NA,"['Page 22:\n[¬s]""The students completed a writing assessment modeled after the Kansas Writing Assessment, which was developed by the University of Kansas for the state of Kansas. The Kansas Writing Assessment is not given to third grade students, so it was modified for this study[¬e]""']",NA,NA,NA,NA,NA,NA
39253274,Summer schools,NA,NA,NA,"['Page 100:\n[¬s]""P A L S 1.[¬e]""', 'Page 101:\n[¬s]""TERA 2, Form s A and B[¬e]""', 'Page 95:\n[¬s]""P A LS K.[¬e]""', 'Page 96:\n[¬s]""P A L S K subtests.[¬e]""']",NA,"['Page 106:\n[¬s]""Retelling Assessment""\n""assess student recall and comprehension o f a complex text.[¬e]""', 'Page 108:\n[¬s]""The 30 students, pair-wise matched from the intervention, control, and regular classroom, participated in a retelling o f grade-appropriate fiction and nonfiction text that w as read to them. Each child was asked to recall orally everything he or she remembered about the story.""\n"" A retelling checklist was used to assess each child’s responses by checking o ff recalled events that the child included in the retelling. The retelling score was determined by the percentage o f total items recalled by the child.[¬e]""']",NA,NA,NA,"['Page 103:\n[¬s]""Alabam a R eading Assessment: Grade 1.[¬e]""']",NA,NA
37133863,Peer Tutoring,NA,NA,"Solving Division Equations Pretest. Posttest, and Maintenance Test The pretest and posttest measures (see Appendices A and B) come directly from those in Solving Division Equations: An Algebra Program for Students with Learning Problems (Mercer, Enright, & Tharin, 1994).  CWPT Implementation Checklist This is a two-category, 38-item checklist of major components of CWPT developed by Carta, Greenwood, Dinwiddie, Kohler, and Delquadri (1987) which was modified to accommodate use with the algebra curriculum  Peer Tutoring Evaluation Inventory  This questionnaire is a slightly modified version of one that has been used in several CWPT studies (Harper et al., 1993; Maheady & Harper, 1987; Mallette et al., 1991). Modifications were made which adapted the questionnaire for use with algebra problem solving.","['Page 100:\n[¬s]""Peer Tutoring Evaluation Inventory[¬e]""', 'Page 101:\n[¬s]"" This questionnaire is a slightly modified version of one that has been used in several CWPT studies (Harper et al., 1993; Maheady & Harper, 1987; Mallette et al., 1991). Modifications were made which adapted the questionnaire for use with algebra problem solving.[¬e]""', 'Page 101:\n[¬s]""CWPT Teacher Informal Interview Teachers were interviewed b y the researcher to assess their perceptions of using CWPT. General questions about using CWPT were developed before the interviews, and these served as structure for each interview[¬e]""', 'Page 99:\n[¬s]""Solving Division Equations Pretest. Posttest, and Maintenance Test The pretest and posttest measures (see Appendices A and B) come directly from those in Solving Division Equations: An Algebra Program for Students with Learning Problems (Mercer, Enright, & Tharin, 1994).[¬e]""']","Solving Division Equations  The maintenance test (see Appendix C) was developed by the researcher and included items which assessed the same skills as those assessed in the pretest and maintenance test.  CWPT Teacher Informal Interview Teachers were interviewed b y the researcher to assess their perceptions of using CWPT. General questions about using CWPT were developed before the interviews, and these served as structure for each interview","['Page 99:\n[¬s]"" The maintenance test (see Appendix C) was developed by the researcher and included items which assessed the same skills as those assessed in the pretest and maintenance test.[¬e]""']",NA,NA,NA,NA,NA,NA
37092749,Feedback,NA,NA,NA,"['Page 55:\n[¬s]""Various cognitive achievement measures were used. An achievement (formative) test was given at the end of each task. A final summative examination was given at the end of the series of learning tasks. The same examination was given as the pre-test. All of these cognitive tests were based on the content and objectives of the learning units. (See Block, 1970,[¬e]""', 'Page 56:\n[¬s]"" Appendix B, for copies of all of the examinations.)[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37092571,Feedback,NA,NA,NA,NA,NA,"['Page 3:\n[¬s]""Essays Each class was asked to do a writing as- signment. See Appendix A for each as- signment. Six classes wrote persuasive essays. Four of the six classes wrote per- suasive essays about year-round school- ing, and two of the sixÑone treatment, one comparisonÑwrote about the im- pact of the European settlers on the Na- tive Americans. One third grade treat- ment class wrote stories about their families. Writing about topics related to the curriculum was a condition of participation in the study imposed by the teachers of those classes. Six researchers in three pairs scored the essays. The scorers were blind to treatment condition. The rubrics used in the treatment classrooms were adapted for use as scoring rubrics. Two scoring rubrics were developed: One for the third grade stories, and one for the third and fourth grade persuasive es- says. The rubrics (Appendix B) were very similar but varied in terms of one criterion; the ideas and content of the writing to be assessed. In order to in- crease discrimination between levels and more precisely measure quality, the scoring rubrics included six levels of quality rather than the four levels in the rubrics used in the classrooms.[¬e]""', 'Page 4:\n[¬s]""Rubrics The rubrics given to the treatment group classes referred to seven com- monly assessed criteria for writing (e.g., the 6 + 1 Trait\x02 Writing Method; see Culham, 2003; Spandel & Stiggins, 1997): ideas and content, organization, voice and tone, word choice, sentence ßuency, and conventions (see Appendix B). We treated the essay score data as interval-level data for analysis.[¬e]""']",NA,NA,NA,NA,NA,NA
37093532,Peer Tutoring,NA,NA,Burt Word reading test (Vernon 1969),"['Page 3:\n[¬s]""Both groups were tested at the beginning and the end of the academic year 1988-9 using the Burt (rearranged) Word Reading Test (Vernon, 1969).[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37092572,Feedback,NA,NA,NA,NA,NA,"['Page 5:\n[¬s]"" three 45-minute periods to write an essay on an assigned topic. Students had time to prewrite, create a rough draft, read over the rough draft and revise, edit, and produce a final copy. Students were allowed to use dictionaries or other written references during testing, but could not confer with the teacher or with each other. Two prompts were used-expository (to elicit informational writing) and narrative (to elicit stories). [¬e]""', 'Page 6:\n[¬s]"" posttest essays[¬e]""']",NA,NA,NA,NA,NA,NA
37093533,Peer Tutoring,NA,NA,"Primary Reading Test, France 1979",NA,NA,NA,NA,NA,NA,NA,NA,NA
37061105,Feedback,NA,NA,NA,NA,NA,"['Page 9:\n[¬s]""The f\'irst test of one hundred words vas selected at random .from the nu-sELF-Tin\'ORING MOOEJll ElliL.ISH: Sftl.LIBG program.. The second hundred words, the posttest, were selected by attempting to parallel these words in structure, vord for word, Vi th the pretest.[¬e]""']",NA,NA,NA,NA,NA,NA
37092622,Feedback,NA,NA,NA,NA,NA,"['Page 1:\n[¬s]""The metaphor story, illustra\xad tion, and multiple choices included in Figure 1 are based on Gardner\'s (1974) definition of a metaphor as a figure of speech in which a descriptive term is ap\xad plied to a referent for which it is not literally appropriate, but to which it bears certain analogies.[¬e]""']",NA,NA,NA,NA,NA,NA
40117187,Extending school time,NA,NA,NA,NA,NA,NA,NA,"['Page 11:\n[¬s]""Grades were obtained for the first grading period at the beginning of the school year (six weeks at School A and nine weeks at School B), at the end of the Fall semester in December, and at the end of the Spring semester.[¬e]""']",NA,"['Page 11:\n[¬s]""Data from AISD Central Records. Scores on two components of the Texas Assessment ofAcademic Skills (TAAS) exam were obtained from the AISD central administrative records: math and reading.[¬e]""']",NA,NA
37133865,Peer Tutoring,NA,NA,"Dynamic Indicators o f Basic Early Literacy Skills (DIBELS) The DIBELS subscale used in this study was Phoneme Segmentation Fluency (PSF). DIBELS Phoneme Segmentation Fluency (PSF) is a standardized, individually administered test o f phonological awareness (Good, Kaminski, & Smith, 2002). This measure assesses a student’s ability to segment three- and four- letter words into their individual phoneme sounds smoothly.","['Page 37:\n[¬s]""Dynamic Indicators o f Basic Early Literacy Skills (DIBELS)""\n""The DIBELS subscale used in this study was Phoneme Segmentation Fluency (PSF). DIBELS Phoneme Segmentation Fluency (PSF) is a standardized, individually administered test o f phonological awareness (Good, Kaminski, & Smith, 2002). This measure assesses a student’s ability to segment three- and four- letter words into their individual phoneme sounds smoothly.[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
39253276,Summer schools,NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Page 16:\n[¬s]""Northwest Evaluation Association (NWEA) Measures of Academic Progress (MAP)[¬e]""', 'Page 17:\n[¬s]"" NWEA MAP test (post-test) in each of three subject areas (language usage, reading, and math[¬e]""']",NA,NA
