StudyID,TotalNumberofClasses
37116221,4
37092570,4
39253274,1
37133863,14
37092749,3
37092571,7
37093532,2
37092572,6
37093533,NA
37061105,NA
37092622,NA
40117187,NA
37133865,NA
39253276,NA
37093467,6
40117110,NA
40117111,NA
37671594,NA
37092573,NA
40294885,12
40117190,2
40117239,NA
40117240,NA
37092626,NA
38296603,NA
37092628,NA
40294886,5
37671632,817
37092755,NA
40294887,NA
37091022,NA
39253250,NA
39253387,NA
37092604,NA
40294889,NA
37093538,18
37091024,1
40294890,1
37092631,NA
40294891,NA
39253196,NA
37092605,NA
37671541,NA
37133869,12
37093539,3
38296605,NA
38296604,NA
37061108,6
37671596,11
37671542,NA
37092634,9
40294895,9
37092633,8
40294893,8
40294894,8
37092575,11
40294896,4
37093518,10
40117116,NA
37116223,NA
37093351,12
40117117,NA
39253388,NA
40117193,NA
40117118,NA
37116229,3
37671546,NA
39253281,NA
37092576,NA
37671598,NA
40117120,NA
43090135,NA
37671620,3
40117121,NA
37093542,NA
37091026,19
39253200,NA
39253314,NA
37093543,3
39253203,NA
43090138,Not provided
40117246,NA
40117123,NA
37093616,NA
37671548,NA
43090143,NA
37091027,NA
37093544,NA
37671600,NA
40117126,NA
39253282,NA
39253283,NA
40117194,NA
37133886,NA
37092761,NA
40294902,NA
38878251,NA
39253253,NA
37061114,NA
40117128,NA
37093353,2
40117129,NA
37093472,5
37093471,NA
38878265,18
40117274,NA
37093506,3
37092577,NA
37133895,2
39253205,NA
37092578,4
37671552,NA
37671553,NA
37091029,NA
37092579,NA
37092580,NA
37092581,NA
40294904,40
37093553,40 classes
37093549,40
37093550,40
37093524,40
37133902,6
37093618,18
37093551,24
37093523,20
37116212,20
40117132,NA
37133906,4
37093555,4
40117276,NA
37061127,NA
37671623,15
37093477,8
37093478,2
37092650,2
37133911,NA
37671603,NA
38296617,NA
38296615,1
38296616,NA
40117250,NA
38878252,NA
37093559,NA
37671634,9
37671557,2
37671558,9
37093560,NA
37133917,"2. NB: Students were assigned to these classes as part of the study, having been selected from an unknown number of classes."
40117251,NA
37092582,8
37133918,3
37671515,NA
38878253,NA
37671559,NA
40117134,NA
37671520,13
37092655,NA
37133919,3
37116213,NA
37091033,4
39253318,NA
40117135,NA
37671562,13
40117175,NA
39253285,NA
40117136,≤20
37093480,NA
37133921,4
39253320,NA
40117252,NA
40117253,NA
40398941,NA
37092584,NA
37671521,NA
39253321,6
37092768,13
37671626,10
37671605,10
37061117,2
37133923,NA
37116224,2
39253390,NA
37061115,NA
37093509,3
37671565,30
40294914,12
40117256,NA
37092585,NA
40117137,NA
37671627,6
37093568,NA
37116222,NA
40117257,NA
37091034,NA
37092606,3
38296632,NA
40117138,NA
40117141,NA
39253322,NA
37092607,NA
40294919,NA
37092586,NA
40294920,2
40117142,Not provided
37092670,NA
37093356,NA
40117259,NA
40117258,NA
40117206,NA
39253323,NA
40117260,NA
37671606,NA
40117283,NA
38878267,NA
40117284,NA
39253220,NA
39253291,NA
40117261,NA
39253292,NA
38296633,120
