loc_country_raw,loc_country_ht,loc_country_info
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['Germany'],NA,NA
['South Korea / Republic of Korea'],"['Page 1:\n[¬s]""Sun-Geun Baek, Professor at the Department of Education, Seoul\nNational University; Eun-Hui Hwang, Science teacher at Baekhyun\nMiddle School.\nCorrespondence concerning this article should be addressed to Sun-\nGeun Baek, Department of Education, Seoul National University,\n599 Kwanak-Ro, Kwanak-Gu, Seoul, 151-748, Korea. Electronic\nmail may be sent to E-mail: dr100@snu.ac.kr; Phone: +82-2-880-\n7645, Fax: +82-2-878-1665[¬e]""']",NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['Germany'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['Canada'],NA,NA
['Canada'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['Israel'],NA,NA
['Israel'],NA,NA
['Israel'],NA,NA
['Israel'],NA,NA
['Israel'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['Germany'],NA,NA
['Taiwan'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],"['Page 10:\n[¬s]""Berlin-Boylston Public Schools[¬e]""']",NA
['USA'],NA,NA
['USA'],NA,NA
['Venezuela'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],"['Page 1:\n[¬s]""Syracuse Univ., N.Y. School of Educati\nApr 83\n20p.\nReports - Research/Technical (143)[¬e]""']",not stated bu the report was produced in NY
['USA'],"['Page 1:\n[¬s]""Syracuse Univ., N.Y. School of Educati[¬e]""']",not stated bu the report was produced in NY
['USA'],NA,not stated bu the report was produced in NY
['USA'],NA,NA
['USA'],"['Page 2:\n[¬s]""n inclusive classrooms in the USA.[¬e]""']",NA
['USA'],NA,NA
NA,NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],"['Page 10:\n[¬s]""This research was supported in part by Grants #G008531 098 and #G008730087 from the Of\xad fice of Special Education Programs, U.S. Depart\xad ment of Education, to Vanderbilt University.[¬e]""']",NA
['USA'],NA,NA
['USA'],NA,NA
['Libya'],"['Page 46:\n[¬s]""Libya[¬e]""']",NA
['USA'],NA,NA
['Germany'],"['Page 3:\n[¬s]""from the most common sec-\nondary school tracks in Germany[¬e]""']",NA
"['England', 'UK (Select all that apply)']",NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['New Zealand'],NA,NA
['China'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['Brunei Darussalam'],"['Page 4:\n[¬s]""Brunei[¬e]""']",NA
['Brunei Darussalam'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['Croatia'],NA,NA
['USA'],NA,NA
['Israel'],NA,NA
['USA'],"['Page 3:\n[¬s]""Pretests were administered to 150 children in kindergarten and first-grade classes of two Northfield, Minnesota public schools[¬e]""']",NA
['Germany'],NA,NA
['Spain'],"['Page 1:\n[¬s]""University of Valencia, Spain[¬e]""', 'Page 17:\n[¬s]""the Spanish Ministry of Science and Innovation with\nmain researcher Dr. Eduardo Vidal-Abarca[¬e]""', 'Page 7:\n[¬s]""were Spanish native speakers)[¬e]""']"," from the authors' affiliations and comments in the text, but not specified as such"
['Spain'],"['Page 7:\n[¬s]""were Spanish native speakers)[¬e]""']","from the authors' affiliations and comments in the text, but not specified as such"
['Spain'],"['Page 1:\n[¬s]""A.C. Llorens, E. Vidal-Abarca & R. Cerdán\nUniversity of Valencia, Valencia, Spain[¬e]""', 'Page 6:\n[¬s]""Spanish native speakers).[¬e]""']",not clearly stated
['Spain'],"['Page 1:\n[¬s]""University of Valencia, Valencia, Spain[¬e]""']",NA
['Spain'],NA,not stated as such but the authors' institution was in Spain and participants were all Spanish speaking
['Spain'],"['Page 12:\n[¬s]""Spanish native speakers[¬e]""']",from authors' institution and other comments
['USA'],NA,NA
['USA'],NA,NA
['USA'],"['Page 2:\n[¬s]""Address correspondence to: Elizabeth J. Marsh, Psychology & Neuroscience, Duke University, 417 Chapel Drive, Durham, NC\n27708-0086, USA.""\n"", Duke University, Durham, NC, USA""\n""Carnegie Mellon University, Pittsburgh, PA, USA[¬e]""']",from the authors' affiliations
['USA'],"['Page 2:\n[¬s]""Duke University, Durham, NC, USA""\n""Carnegie Mellon University, Pittsburgh, PA, USA[¬e]""']",not stated but from authors affiliation
['Belgium'],NA,NA
"['UK (Select all that apply)', 'England']",NA,Inference from institution of authors.
['Canada'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],"['Page 4:\n[¬s]""Subjects were 60 fourth-grade children from the Iowa City, Iowa, area[¬e]""']","Subjects were 60 fourth-grade children from the Iowa City, Iowa, area"
['USA'],NA,NA
['USA'],NA,NA
['Nigeria'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['The Netherlands'],NA,NA
['The Netherlands'],NA,This is based only on the location of the authors.
['The Netherlands'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['The Netherlands'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['Canada'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
"['UK (Select all that apply)', 'England']",NA,NA
['USA'],NA,NA
['France'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],"['Page 1:\n[¬s]""f Colorado, Boulde[¬e]""']",NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
"['England', 'UK (Select all that apply)']",NA,NA
['USA'],NA,NA
"['UK (Select all that apply)', 'England']",NA,NA
['USA'],NA,NA
['USA'],NA,NA
"['UK (Select all that apply)', 'England']",NA,NA
"['UK (Select all that apply)', 'England']",NA,Inference from home institution of authors.
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['The Netherlands'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['Spain'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
"['UK (Select all that apply)', 'England']",NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
"['UK (Select all that apply)', 'England']","['Page 5:\n[¬s]""Medway and Dorothy Kavanagh from Oxfordshire who,[¬e]""']",NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
['USA'],NA,NA
NA,NA,NA
['USA'],NA,NA
['USA'],NA,NA
