int_who_raw,int_who_ht,int_who_info
"['Research staff', 'Class teachers']","['Page 25:\n[¬s]""the author and a colleague introduced students to the Six Traits, provided practice opportunities, and used the traits for scoring.[¬e]""', 'Page 25:\n[¬s]"" The students were also given opportunities to write and then received feedback from the teacher.[¬e]""']",NA
['Class teachers'],NA,NA
['Class teachers'],NA,NA
['Research staff'],NA,NA
"['Research staff', 'Class teachers']","['Page 4:\n[¬s]""the Þrst author co-led class periods one, two, and four with the classroom teach- ers.[¬e]""', 'Page 4:\n[¬s]""the Þrst author co-led class periods one, two, and four with the classroom teach- ers.[¬e]""']",NA
['Digital technology'],NA,NA
['Class teachers'],NA,NA
['Unclear/not specified'],NA,Self-directed learning.
['Digital technology'],NA,NA
['Class teachers'],"['Page 3:\n[¬s]""The same science teacher taught all students in\norder to control teacher variability[¬e]""']",NA
['Research staff'],NA,NA
['Class teachers'],NA,NA
['Class teachers'],NA,NA
['Research staff'],NA,NA
['Research staff'],NA,NA
['Peers'],NA,"The students who took part in the initial pre-testing then became tutors for other students during the main testing, however it is unclear whether some of the tutors were teachers or researchers. "
['Teaching assistants'],NA,NA
"['Class teachers', 'Research staff']","['Page 5:\n[¬s]"" The confirmation of correct answers (Guskey, 1987, p. 19; Kulhavy, 1977, p. 229) and the identification of errors (Guskey, 1987, p. 19) had been communicated by a percentage result appearing on each test copy, and by the comparison that each student could do during the communication by the teacher of the an swer of each item.[¬e]""']","It is quite unclear from the write up, who was the primary leader(s) of the intervention. For the most part it indicates that the three researchers followed out the study according to protocol. However, the classroom teacher is mentioned in the oral feedback session (coded under the class teachers arm).   "
"['Research staff', 'Class teachers']",NA,NA
['Class teachers'],NA,NA
"['Research staff', 'Class teachers', 'Teaching assistants', 'Lay persons/volunteers']","['Page 2:\n[¬s]"" a teacher from the Learning Diagnostic Center.[¬e]""', 'Page 2:\n[¬s]"" a high school tutor,[¬e]""', 'Page 2:\n[¬s]"" trained instructional aide,[¬e]""', 'Page 2:\n[¬s]"" a parent volunteer,[¬e]""']",NA
"['External teachers', 'Parents/carers', 'Lay persons/volunteers']",NA,NA
['Research staff'],NA,NA
['Research staff'],NA,NA
"['Class teachers', 'Teaching assistants']","['Page 4:\n[¬s]""Kindergarten students at risk of failure in reading in the school district in this study were able to attend Extended Day Kindergarten (EDK), with full- instead of half-day classes.[¬e]""', 'Page 4:\n[¬s]""remedial reading teachers[¬e]""']",NA
['Digital technology'],NA,NA
['Research staff'],NA,Graduate psychology students
['Research staff'],NA,NA
['Lay persons/volunteers'],NA,Undergraduate students but not clear if they were paid or not
['Research staff'],NA,Undergraduate students - no further details given 
['Research staff'],NA,Undergraduates - no further information given 
['Digital technology'],NA,NA
['Digital technology'],NA,NA
['Research staff'],NA,"Not specified, use of E to describe teacher protocols, which is usually indicative of experimentor"
['Digital technology'],NA,NA
['Digital technology'],NA,NA
"['Class teachers', 'Unclear/not specified']",NA,Other - workbooks
['Class teachers'],NA,NA
['Class teachers'],NA,NA
NA,NA,NA
['Class teachers'],NA,NA
['Class teachers'],NA,NA
['Unclear/not specified'],NA,NA
