int_desc_ht,int_desc_info
"['Page 2:\n[¬s]"" A control group received no instruction in the traits of idea and content, organization, voice, word choice, sentence fluency and conventions while the experimental group did receive instruction.[¬e]""']",NA
"['Page 5:\n[¬s]""The teacher starts the activity with a direction to find preassigned part- ners. She would then direct each team to read the day’s targeted passage orally together. Each team reads a different passage that matches their independent reading levels. When students fin- ish this first read of the passage, they raise their hands. When everyone is finished, the students then read aloud the selection a second time, alternating sentences from coach reads to partner reads.""\n""A third reading occurs with the partner reading the passage aloud and the\ncoach providing additional help with unknown words as needed.""\n""the teacher monitors how well students follow\ndirections. After this guided and independent practice, the teacher has students complete a timed\nreading of the passage. The teacher encourages students to read fluently and with expression.\nThen she starts a timer (for 1 min) while the coach monitors his or her partner’s reading and\nnotes how far he or she has read in the 120–150 word passage.""\n""The district’s fluency benchmark for second grade was 90 words per min. If a student reaches\nthe benchmark, the teacher places a star on a chart and notes the next story to read. If the student\ndoes not reach the benchmark, he or she practices reading this same story for up to three fluency\nsessions before moving on to a new story.[¬e]""']","Students are paired with a coach, they first read passages of a story together. When all pairs have completed this task, the students take it in turns to read a section of the passage aloud to the class. A third reading occurs, with the support of the coach. Finally, students are timed as the passage a third time for 1 minute. If they read 90 words in a minute they receive a gold star, if not, they repeat the process in the following sessions"
"['Page 5:\n[¬s]""In each\nclassroom, the classroom teacher targets one struggling student, usually for several\nweeks at a time, to provide diagnostically driven reading instruction in which chil-\ndren learn about the alphabetic code and the meaning-making nature of reading in\nthe context of real words and books. While other students are working at literacy\ncenters, working independently, or receiving instruction from a teaching assistant,\nthe teacher guides the student one-on-one for about 15 to 20 minutes through a\nthree-component lesson: Re-Reading for Fluency (2–5 minutes), Word Work (6–10\nminutes), and Guided Oral Reading (7–10 minutes).[¬e]""', 'Page 6:\n[¬s]""After a child who received one-on-one TRI instruction has accelerated sufﬁciently\nto be able to better learn from the general classroom environment, the teacher selects\nanother student to receive individualized instruction, which allows that teacher to\ntarget the instructional and emotional needs of up to ﬁve struggling readers across\nthe year.""\n""In addition, after working with children in this one-on-one setting initially,\na TRI teacher may elect to work with them in groups of two or three if they have\nsimilar diagnostic needs.[¬e]""']",NA
"['Page 57:\n[¬s]""The material to be learned, consisted of a three unit sequence of programmed material in matrix arithmetic. (See Block, 1970, Appendix B.) Three eighth grade classes were used. The three classes learned under two different strategies. The first two classes used mastery learning strategies while the third class used a more conventional teaching-learning strategy. The basic difference between the instructional method of the groups was that the students in the mastery learning classes were given additional time and help to attain a pre-set criterion level while the students in the conventional class were not given the additional time and help nor were they required to attain a pre-set criterion level. The two mastery learning classes differed in the pre-set criterion level: one class (85% ML) was expected to attain scores of at least 85% on the criterion test for each unit while the other class (75% ML) was expected to attain scores of at least 75% on the criterion.[¬e]""']",NA
"['Page 1:\n[¬s]""The treatment involved using a model paper to scaffold the process of generating a list of criteria for an effective story or essay, receiving a written rubric, and using the rubric to self-assess \x1erst drafts.[¬e]""']",NA
"['Page 10:\n[¬s]""They""\n""were as follows: (a) systematic presentation of examples and\nnon-examples of each labeled concept;\nThey\n(b) directing subject\'s\nattention to the relationship between concept and a reference\nobject;\nprovision of feedback after every response.\nprocedure for a typical session was as follows:\n(c) elicitation of concept label from subjects; (d)\nThe general""\n""Teaching phase:""\n""Practice phase:""\n""Four illustrations were presented and in\neach case the examiner read the instructions\nfrom a script for the subject who responded\nby pressing appropriate keys on the keyboard.""\n""Four illustrations were presented\nconsecutively and in each case E asked a\nquestion from the script and the subject\nresponded by pressing one of three color-\ncoded keys corresponding to the subject\'s\ncolor choice.""\n""Testing phase:\nEach subject was tested individually for\nmastery\nand\nsix\nconsecutive\nresponses for concept pairs.\nof the concepts taught in that\nsession.[¬e]""', 'Page 11:\n[¬s]""Each of the three experimental groups received a different\ntype of computer-feedback during the practice phase of the study.[¬e]""']",NA
"['Page 4:\n[¬s]"" extensive instruction directly to students on the traits. This instruction included: (1) sharing and evaluating (as a group) samples of literature to illustrate strong examples of each trait, (2) evaluating the work of students from other classrooms and discussing how to improve the writing on the trait under consideration, (3) mini-lessons in which teachers covered skills with respect to each trait (e.g., how to generate ideas, different kinds of organization, how to write good leads, etc.), and (4) application of the traits to students\' c wn writing (either self-assessment or peer review). Students were given their own scoring guides to work from. In one classroom, parenvs also received instruction in the model so that they could provide reinforcement at home.[¬e]""']",NA
"['Page 11:\n[¬s]"" The experimental group was given an anawer book consisting of six or eight pages which provided knowledge of results. I t vas used as follovs: The subject placed his answer in the appropriate blanks along the right edge of the page. He then turned the page, and along the l e f t margin of the next page found the number of the question he had just answered and i t s correct ansver. He thus knew whether or not his answer was correct. This procedure was f ollowd page 58 after page.[¬e]""']",NA
"['Page 2:\n[¬s]""A total\nof 72 sixth-graders completed a web-based interactive learning program. Half of the\nsample received feedback and the other half received no feedback.[¬e]""']",NA
"['Page 7:\n[¬s]""performance assessment\nfocused on\ndoing,\nutilized. The\nnot merely\nknowing, and on the process or procedure used as well as the\nproduct resulting from one\'s performance of a task. In Table\n11 are shown the instructional contents that were taught to\nboth groups and the performance assessment techniques that\nwere implemented only to experimental group.[¬e]""']",NA
