int_fidel_raw,int_fidel_ht,int_fidel_info
['No implementation details provided.'],NA,NA
['Quantitative'],"['Page 7:\n[¬s]""Teachers were also monitored on\nan unannounced basis to assess treatment fidelity.[¬e]""', 'Page 8:\n[¬s]""We used a checklist that included the essential steps for implementing the program to assess\nthe extent to which it was being implemented as intended (e.g., teacher times the students as a\ngroup; coach helps with difficult words, points out errors, and helps the partner correct them;\npartner reads at an appropriate pace not racing through the text). Each of the 18 items was scored\nusing the following scale during unannounced observations: 0¼not met,.5¼ initiating,1¼met\nexpectations, and 2¼mastery plus; we averaged the score on each of the items to obtain a mar-\nker for the integrity with which the intervention was implemented. Inadequate fidelity (scores\nbelow 1) was addressed on an individual basis, and follow-up observations were conducted\nwhen needed. The average score for teachers participating in this study was 1.00 (SD¼0.19)\nand was considered acceptable evidence of fidelity.[¬e]""']",NA
['Quantitative'],"['Page 14:\n[¬s]""The mean total implementation scale composite score for struggling students in\nthe experimental condition was 3.41, with a standard deviation of .87. Speciﬁcally,\n34.82% received TRI with high implementation (total implementation scale ⫽ 4 or\ngreater), 50.00% received TRI with moderate implementation (total implementa-\ntion scale ⫽ 3–3.99), 9.82% received TRI with low implementation (total implemen-\ntation scale ⫽ 2–2.99), and 5.36% received TRI with very low implementation (total\nimplementation scale ⫽ less than 2).[¬e]""']",NA
['No implementation details provided.'],NA,NA
['Qualitative'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['Qualitative'],"['Page 7:\n[¬s]""analysis results, it was\nmeasurement scales had\nAccording to the reliability, validity and correlation\nrevealed that\nthe developed\nhigh\nreliability and acceptable\nvalidity.[¬e]""']",NA
['No implementation details provided.'],NA,NA
"['Qualitative', 'Quantitative']",NA,NA
"['Qualitative', 'Quantitative']",NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['Qualitative'],NA,NA
['Qualitative'],NA,NA
"['Qualitative', 'Quantitative']",NA,NA
['No implementation details provided.'],NA,NA
"['Qualitative', 'Quantitative']",NA,NA
"['Qualitative', 'Quantitative']",NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['Qualitative'],"['Page 12:\n[¬s]""As mentioned earlier, v* I, , « \' ’ additional data are still being assembled , from a large number\'of fifth- to W * K w * a "" . $ , * s . ninth-grade^classrooms. These data,-will include students’.scores\'on national ^ 1 -• , *^ «s\\ «« v * - * - standardized (est^ and the stafe standardsMest, >togethej*;with scores on researchgr-designed quizzes ^administered^after the* pfe*-;and‘ jpstsummary assessments.\'These .data sources w^f^gable u^Jpok for* possible general\xad ization to comprehension and learning from the improved ability to recognize and capture main pointsffurinfrsumifiary.,wri\'ting. *•*[¬e]""']",NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['Qualitative'],NA,NA
['No implementation details provided.'],NA,NA
"['Qualitative', 'Quantitative']",NA,NA
['Quantitative'],NA,NA
['Qualitative'],NA,NA
['Qualitative'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['Qualitative'],NA,NA
"['Qualitative', 'Quantitative']","['Page 5:\n[¬s]""A measure of the fidelity of treatment implementa-\ntion was obtained by examining the homework note-\nbooks of 6 randomly selected students (3 boys and 3\ngirls) from each of the 18 sample classes. In sam-\npling the notebooks from each of the 6 half-class treat-\nment classes, treatment also was a selection factor, so\nthat 3 experimental notebooks and 3 control notebooks\nwere examined to assess whether the teacher\'s written\nfeedback conformed to the treatment.[¬e]""', 'Page 5:\n[¬s]""Three teachers (one from each school) served as\njudges. Using a scale from 1 to 4 (with 1 as the lowest\nvalue), each of these three teachers assigned a score to\neach of the 108 notebooks selected. The scale used was\nbased on how well the treatment was delivered ac-\ncording to the criteria established during the training\nsessions. Each score given by these teachers was then\ncompared with the scores assigned by the experimenter\non the same notebooks. On average the treatment was\nimplemented across 12 teachers with a mean score of\n3.6. There were some small differences in the way\nteachers phrased the feedback.[¬e]""']",NA
['No implementation details provided.'],NA,NA
"['Qualitative', 'Quantitative']","['Page 80:\n[¬s]""While reactions of student and staff members to the writing program at the school where the experiment took place cannot be substituted for objective data, they provide, never\xad theless, insight into the various instructional methods. Such insights shed light on the teaching of composition. As will be explained, some of these reactions suggest ways to improve the implementation of such writing programs, and some reactions point out other aspects of these programs which should be tested.""\n""Throughout the twelve week treatment period of this study,\nvarious staff members and students wrote reactions to the pro\xad\ngrams. Students wrote weekly reactions. Tutors were required\nto keep dally logs. Various teachers observed the programs.""\n""The students who participated in this treatment reacted\nfavorably to it. In the beginning some complained that being\nunable to select one’s group was a shortfall in the program.\nAs it continued, this complaint decreased[¬e]""', 'Page 80:\n[¬s]""Over half the stu\xad\ndents in this treatment pointed out that the relaxed atmosphere\nin the group situation was far superior to a class where the\nteacher continually lectured. Many Indicated that the feedback[¬e]""', 'Page 81:\n[¬s]""from students within the group was useful.\nStudents who commented on the group procedures stated\nthat the comparison of one\'s work with that of others was bene\xad\nficial. At the conclusion of the treatment period, over ninety\npercent of these students decided the program should continue.\nSome of the comments made throughout the program are cited in\nAppendix D of this dissertation.[¬e]""']",NA
['Qualitative'],"['Page 9:\n[¬s]""An inspection of\nthe booklets after the study was run revealed that the stu-\ndents did in fact follow this procedure correctly.[¬e]""']",only very limited
['Qualitative'],"['Page 9:\n[¬s]""An inspection of\nthe booklets after the study was run revealed that the stu-\ndents did in fact follow this procedure correctly.[¬e]""']",only very limited
['Qualitative'],"['Page 9:\n[¬s]""ip corresponding\nto the choice they made daring practice.\nAn inspection of\nthe booklets after the study was run revealed that the stu-\ndents did in fact follow this procedure correctly.[¬e]""']",very limited
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['Qualitative'],"['Page 6:\n[¬s]""doctoral students taught both treatment groups (in a counter\xad balanced fashion) and were monitored daily through direct observation by[¬e]""', 'Page 7:\n[¬s]""D o w n l o a d e d b y [ D u r h a m U n i v e r s i t y L i b r a r y ] a t 0 8 : 4 1 1 7 S e p t e m b e r 2 0 1 7 8 FITZGERALD AND MARKHAM one of the investigators or through tape recordings of lessons that were re\xad viewed the same day. [¬e]""']",NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['Qualitative'],"['Page 13:\n[¬s]""On the last day of the trial, following the comprehension post-test, we con- ducted interviews with 18 students who had volunteered for this extra task; 10 interviews were with students who had been in the experimental and 8 with students from the control group. The interviews were semi-structured and focused on students\x92 perceptions and observations regarding summary writing (both con- ditions) and the use of Summary Street® in particular (the experimental group).[¬e]""']",NA
"['Qualitative', 'Quantitative']",NA,NA
['Qualitative'],"['Page 4:\n[¬s]""nspection of\ngraphs indicated that teachers adhered to the treatment.[¬e]""']",limited
['Quantitative'],NA,NA
