int_freq_ht,int_freq_info
"['Page 25:\n[¬s]""using two to three writing sessions weekly[¬e]""']",NA
"['Page 5:\n[¬s]""at least three times a week[¬e]""']",NA
"['Page 14:\n[¬s]""The TRI literacy coaches used anchor points to guide the rating ofindivid-\nual classroom teachers. These included the following: (a) regular use of the TRI (at\nleast 15 minutes/four times per week), (b) use ofdiagnostic assessing/planning tools,\nand (c) faithfulness to the TRI strategies. A score of1 indicated little or no instruction\nakin to the TRI, and 3 indicated at least moderate quality ofTRI instruction at least\ntwice a week, using at least two of the three components (ﬂuency, word work, or\nguided oral reading), using some ofthe diagnostic tools available in the TRI. A rating\nof 5 indicated high-quality TRI instruction at least four times a week, including all\nthree major components, with consistent use of the TRI diagnostic tools.[¬e]""']","Frequency varied, and the investigators monitored how frequent the intervention was implemented. this could vary from once or twice weekly to 4 times a week."
"['Page 103:\n[¬s]"" The entire study lasted approximately five hours over a one week period[¬e]""']","Not stated, but assumed to be daily.   5 hours over 5 days, assumed one hour per day. "
"['Page 6:\n[¬s]"" One is the short treat- ment time: Students in this study were asked to write only one assignment.[¬e]""']",Delivered only once. 
NA,Not specified
NA,"Teachers were visited 8 times over 7 months. If these were the only lessons with students, then it would mean 1 session a month. However, is likely the students worked on the intervention in classes, which could mean it is conducted weekly. "
"['Page 12:\n[¬s]""per day[¬e]""']",NA
NA,Not specified
NA,Not specified
NA,"Again, information is not provided. Assumed to be just the one session. "
"['Page 128:\n[¬s]""During the two week period, you will be asked to follow a composition schedule. You will notice that three drafts are required for each formal assignment, with a few days in between each.[¬e]""', 'Page 7:\n[¬s]"" All students were instructed to revise at least twice during the two weeks given for each assignment.[¬e]""']","Suggests the intervention was conducted at least once weekly. However, it is not clearly stated just how frequentl (once, twice three times a week)."
NA,Daily
NA,Not enough information.   Likely testing for each subject was done in one day. 
"['Page 2:\n[¬s]""Subjects were seen individually for three, 10- to 15-minute sessions consisting of (a) screening, (b) training followed by immedi\xad ate posttest, and (c) delayed posttest. All available subjects received a fourth session consisting of a follow-up posttest.[¬e]""', 'Page 3:\n[¬s]""Subjects were seen individually for three, 10- to 15-minute sessions consisting of (a) screening, (b) training followed by the im\xad mediate posttest, and (c) delayed posttest.[¬e]""']",One session 
NA,The intervention was conducted daily. 
"['Page 71:\n[¬s]"" per day[¬e]""']",NA
NA,As above.
NA,As above.
NA,"Not specified overall, however, 2 of the condition's instruction occurred twice per week for one month of the 4.5 months"
