digit_tech_raw,digit_tech_ht,digit_tech_info,parent_partic_raw,parent_partic_ht,parent_partic_info
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['Yes'],"['Page 10:\n[¬s]""We employed an innovative distance technology model to deliver professional\ndevelopment and real-time literacy coaching to isolated rural schools. Each experi-\nmental classroom received a laptop, webcam (Logitech QuickCam Orbit), and Web-\nconferencing software (Polycom PVX). This technology was used with the experi-\nmental teachers so that we could see and hear them working with each of their\nstruggling readers in real time, and they could see and hear the TRI literacy coaches\nat our university. Through this technology our literacy coaches could provide coach-\ning for the classroom teacher in implementing the TRI strategies. In addition, the\ntechnology was employed for grade-level meetings and additional workshops\nthroughout the year. The technology cost less than $1,300 per classroom.[¬e]""']",NA,['No'],"['Page 10:\n[¬s]""We employed an innovative distance technology model to deliver professional\ndevelopment and real-time literacy coaching to isolated rural schools. Each experi-\nmental classroom received a laptop, webcam (Logitech QuickCam Orbit), and Web-\nconferencing software (Polycom PVX). This technology was used with the experi-\nmental teachers so that we could see and hear them working with each of their\nstruggling readers in real time, and they could see and hear the TRI literacy coaches\nat our university. Through this technology our literacy coaches could provide coach-\ning for the classroom teacher in implementing the TRI strategies. In addition, the\ntechnology was employed for grade-level meetings and additional workshops\nthroughout the year. The technology cost less than $1,300 per classroom.[¬e]""']",NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['Yes'],"['Page 11:\n[¬s]""Each of the three experimental groups received a different\ntype of computer-feedback during the practice phase of the study.[¬e]""']",NA,['No'],"['Page 11:\n[¬s]""Each of the three experimental groups received a different\ntype of computer-feedback during the practice phase of the study.[¬e]""']",NA
['No'],NA,NA,['Yes'],NA,NA
['No'],NA,NA,['No'],NA,NA
NA,NA,NA,NA,NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['Yes'],NA,NA
['No'],NA,NA,['Yes'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['Yes'],"['Page 5:\n[¬s]""They used asynchronous postings to an online bulletin board to file three separate progress reports, each roughly one month apart. [¬e]""', 'Page 6:\n[¬s]"" the teachers were asked to post final thoughts to the online bulletin board. [¬e]""']",NA,['No'],"['Page 5:\n[¬s]""They used asynchronous postings to an online bulletin board to file three separate progress reports, each roughly one month apart. [¬e]""', 'Page 6:\n[¬s]"" the teachers were asked to post final thoughts to the online bulletin board. [¬e]""']",NA
['Yes'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['Yes'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['Yes'],"['Page 6:\n[¬s]""3.4.3. The smartphone\nTwo models ofsmartphones were adopted in this study, namely Asus Garmin M10 and HTC HD 2. These two models were both equipped\nwith 5 million pixels cameras, which were adequate to scan QR codes. Their 3.4” touch screen allowed students to interact with the system\nby ﬁngers or stylus. Both models of smartphone were loaded with the Windows Mobile OS 6.5 operating system. The overall system\nperformance of both models was capable of sustaining the present study.[¬e]""']",NA,['No'],"['Page 6:\n[¬s]""3.4.3. The smartphone\nTwo models ofsmartphones were adopted in this study, namely Asus Garmin M10 and HTC HD 2. These two models were both equipped\nwith 5 million pixels cameras, which were adequate to scan QR codes. Their 3.4” touch screen allowed students to interact with the system\nby ﬁngers or stylus. Both models of smartphone were loaded with the Windows Mobile OS 6.5 operating system. The overall system\nperformance of both models was capable of sustaining the present study.[¬e]""']",NA
['Yes'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
NA,NA,NA,NA,NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['Yes'],"['Page 73:\n[¬s]"" Commodore 64 microcomputers[¬e]""']",NA,['No'],"['Page 73:\n[¬s]"" Commodore 64 microcomputers[¬e]""']",NA
['No'],NA,NA,['No'],NA,NA
