int_name_ht,int_name_info
"['Page 1:\n[¬s]"" Instruction in Six Trait Writing[¬e]""']",NA
"['Page 4:\n[¬s]""Peer Coaching Fluency Building, PCFB[¬e]""']",NA
"['Page 2:\n[¬s]""Targeted Reading Interven-\ntion (TRI)[¬e]""']",NA
"['Page 57:\n[¬s]"" mastery learning[¬e]""']",NA
"['Page 1:\n[¬s]""Model, Criteria Generation, and Rubric- Referenced Self-Assessment[¬e]""']",NA
"['Page 1:\n[¬s]""computer assisted instruction (CAI)[¬e]""']",NA
"['Page 4:\n[¬s]""assessing writing using the six- trait analytical model[¬e]""']",NA
"['Page 2:\n[¬s]"" TMI-SELF-TtrI\'ORm:3 MCDEm ENGLISH: SPEU..Dli program[¬e]""']",TMI-SELF-TUTORING MODERN ENGLISH  SPELLING program.
NA,a web-based interactive learning program (with feedback vs no feedback)
"['Page 3:\n[¬s]""performance assessment[¬e]""']",NA
"['Page 1:\n[¬s]""direct feedback [¬e]""']",NA
"['Page 18:\n[¬s]""peer feedback[¬e]""']",NA
NA,Positive peer feedback
"['Page 1:\n[¬s]""on or elaborate[¬e]""']",NA
"['Page 3:\n[¬s]""feedback training[¬e]""']",NA
"['Page 15:\n[¬s]"" setting Beta standards[¬e]""']",NA
"['Page 37:\n[¬s]"" specific instructional tactics[¬e]""']",NA
"['Page 2:\n[¬s]""ts\' learning at the second ary level. Specifically, this research used a formative eval uation tool, the multiple-facet scheme (Guttman & Schlesinger, 1967; Scallon, 1988a, 1988b), to produce corrective feedback and to measure its effects in terms of improvement of learning. [¬e]""']",NA
"['Page 2:\n[¬s]""Formative Evaluation on Learning Musi[¬e]""']",Does not have a specific name.
"['Page 4:\n[¬s]""Revision instruction/peer partners (RI/[¬e]""']",NA
"['Page 1:\n[¬s]"" charting scores in precision teaching for skill acquisition.""\n"" linear graph [¬e]""']",NA
"['Page 1:\n[¬s]""Charting Scores in Precision Teaching for Skill Acquisition""\n""semilog graphs[¬e]""']",NA
"['Page 1:\n[¬s]""TEST SCORE FEEDBACK""\n""investigated the effects of success feedback""\n"" and no feedback on a scholastic aptitude test administered immediately after feedback[¬e]""']",NA
"['Page 1:\n[¬s]""TEST SCORE FEEDBACK[¬e]""']",NA
NA,Teaching as Intentional Learning programme
NA,Impact of feedback - Knowledge of Results (KOR) - in computer-assisted instruction (multiplication drills). 
"['Page 2:\n[¬s]""task-related writ\xad ten comments[¬e]""']",Note  Written comments (feedback) only 
"['Page 3:\n[¬s]""numerical grades)[¬e]""']",NA
"['Page 3:\n[¬s]"". Comment[¬e]""']",Comments group
"['Page 3:\n[¬s]""Grades gro[¬e]""']",NA
"['Page 4:\n[¬s]""Prais[¬e]""']",NA
"['Page 1:\n[¬s]""Summary Street[¬e]""']",NA
NA,NA
"['Page 1:\n[¬s]""testing-the-limits\nprocedures[¬e]""']",NA
"['Page 4:\n[¬s]""(1) Group 1, reading the print material printed with the QR codes and\nwith scaffolded questions[¬e]""']",QR codes and scaffolding questions (QR + SQ)
"['Page 47:\n[¬s]""three types of feedback which include KCR, AUC-1, and delayed feedback[¬e]""']",NA
"['Page 1:\n[¬s]""delayed feedback, single-try immediate feedback, multiple-try immediate\nfeedback[¬e]""']",NA
NA,6 + 1 Trait Writing model 
"['Page 1:\n[¬s]""continuous monitoring system[¬e]""']",NA
"['Page 1:\n[¬s]""Responsive\nReading Instruction (RRI[¬e]""']",NA
"['Page 4:\n[¬s]""four reward conditions[¬e]""']",NA
"['Page 1:\n[¬s]""precision teaching[¬e]""']",NA
"['Page 2:\n[¬s]"" conceptual hierarchies as supplemental aids t[¬e]""']",NA
"['Page 25:\n[¬s]""Fullrange Cognitive Mod e l i n g .[¬e]""']",NA
"['Page 3:\n[¬s]""written feedback t[¬e]""']",NA
"['Page 8:\n[¬s]""EFFECTS OF COMPUTER FEEDBACK AND INTERSPERSED QUESTIONS ON THE TEXT COMPREHENSION[¬e]""']",NA
"['Page 3:\n[¬s]""PEER EVALUATION[¬e]""']",NA
"['Page 1:\n[¬s]""computer-assisted instruction (CAI) were used to teach four basic\nconcepts in science to first graders in three treatment groups which\nreceived different types of feedback--hints[¬e]""']",computer instruction feedback - hint
"['Page 1:\n[¬s]""correct answers,[¬e]""']",feedback  correct answers
