int_objec_ht,int_objec_info
"['Page 7:\n[¬s]"" to determine what effect Six Trait writing instruction has on the writing abilities and writing attitudes of third grade students.[¬e]""']",NA
"['Page 5:\n[¬s]""This phase of the reading is intended to provide a fluent model for the struggling reader\nand support as needed.[¬e]""']",NA
"['Page 2:\n[¬s]""The purpose ofthis study was to evaluate the efﬁcacy ofa\nclassroom-teacher-delivered reading intervention for\nstruggling readers called the Targeted Reading Interven-\ntion (TRI), designed particularly for kindergarten and\nﬁrst-grade teachers and their struggling students in ru-\nral, low-wealth communities.[¬e]""', 'Page 3:\n[¬s]""The intervention was designed partic-\nularly for rural kindergarten and ﬁrst-grade teachers and their struggling students in\nrural, low-wealth communities with limited access to professional development or\nintervention services.[¬e]""']",To give targetted reading training for struggling students so that they could better learn in the general classroom environment.
"['Page 7:\n[¬s]""to examine the alterability of time-on-task; and finally to examine the effect of this al\xad teration of time-on-task on learning at various stages in a sequence of learning tasks.[¬e]""']",NA
"['Page 1:\n[¬s]"" to investigate the effect of reading a model written assignment, generating a list of criteria for the assignment, and self-assessing according to a rubric, as well as gender, time spent writing, prior rubric use, and previous achievement on elementary school students\x92 scores for a written assignment[¬e]""']",NA
"['Page 6:\n[¬s]""different types of feedback can be\narranged to maximize learning from a computer source.[¬e]""']",NA
"['Page 3:\n[¬s]""For the last four years we have been training teachers to teach students to be assessors of writing (both their own writing and that of others) using the six-traits. The rationale is that if raters of writing learn so much about writing from systematically analyzing and rating it, why not pass this power on to students?""\n""The purpose of this study was to collect evidence to support or refute the power of this approach.[¬e]""']",NA
"['Page 12:\n[¬s]"" t o d e te r m in e[¬e]""', 'Page 13:\n[¬s]"" w h e t h e r o r n o t s t u d e n t s who h a v e "" t h e s i m p l e p l e a s u r e o f b e i n g r i g h t , *6 a s S k i n n e r s a y s , w i l l l e a r n a s u b j e c t b e t t e r t h a n s t u d e n t s who d o n o t know w h e t h e r o r n o t t h e i r r e s p o n s e s a r e c o r r e c t .[¬e]""', 'Page 58:\n[¬s]"" t o d e te r m in e t h e v a lu e o f know ledge o f r e s u l t s i n th e l e a r n i n g o f s p e l l i n g .[¬e]""']",NA
NA,"Improve performance, motivation and mood of participants with low self concept"
"['Page 2:\n[¬s]""They have\nrather than\nbeen interested in\nperformance assessment for a number of reasons: (a) to\nimprove learning and understanding; (b) to develop teaching\nstrategies for individualized instruction; (c) to express the idea\nthat people should learn how to apply what they know; (d) to\nfoster student’s acquisition of authentic cognitive performance\nwithin a learning domain; (e) to look beyond standardized\ntests for ways of sampling students’ performance that are\nmore closely linked to instruction; (f) to enhance student’s\nself-awareness and self-regulative learning; (g) to integrate\nteaching, learning, and assessment in the classroom[¬e]""']",NA
"['Page 1:\n[¬s]""to determine the effect of direct feedback and practice on metaphor performance of children with learning disabilities.[¬e]""']",NA
"['Page 18:\n[¬s]"" to investigate the effects of peer feedback during the writing process on the writing performance, revision behavior, and attitude toward writing of junior, high school students[¬e]""']",NA
"['Page 6:\n[¬s]""The purpose of this study was to investigate the effects of « peer feedback during the writing process on the writing performance, revision behavior, and attitude toward writing of junior high school students.[¬e]""']",NA
