int_prov_raw,int_prov_ht,int_prov_info
['University/ researcher design'],NA,NA
['School or group of schools'],NA,NA
['School or group of schools'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['School or group of schools'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['School or group of schools'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['School or group of schools'],NA,NA
['Other (please provide details)'],"['Page 1:\n[¬s]"" Title I Learning Diagnostic Center, Richland, Washington.[¬e]""']",NA
['Other (please provide details)'],"['Page 1:\n[¬s]""Title I Learning Diagnostic Center, Richland, Washington.[¬e]""']",NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['School or group of schools'],NA,NA
['School or group of schools'],NA,NA
['School or group of schools'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['Local education authority or district'],"['Page 3:\n[¬s]""administered by Education Northwest.[¬e]""', 'Page 4:\n[¬s]""The design of this study along with all data collection, data analysis, and report writing were conducted by the Research and Evaluation Program of Education Northwest and by Cedar Lake Research Group, a subcontractor. ""\n"" Professional development for teachers in the study was provided by the 6+1 Trait Writing Unit at Education Northwest;[¬e]""']","The intervention was provided by Education Northwest, a research company located in Portland, Oregon, and a subcontractor named Cedar Lake Research Group (on a consultation basis). The main provider in this study was Education Northwest. "
['School or group of schools'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['School or group of schools'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['School or group of schools'],NA,NA
['University/ researcher design'],NA,NA
['School or group of schools'],NA,NA
['University/ researcher design'],NA,seems to be
['University/ researcher design'],NA,seems to be
['University/ researcher design'],NA,seems to be
['School or group of schools'],NA,NA
['School or group of schools'],"['Page 11:\n[¬s]""The school in which CLAD was implemented had secured a grant through the\nstate Department of Education to promote access to standards-based curriculum for\nstudents with disabilities. As an initial step in implementing the grant, school admin-\nistrators requested that the authors conduct a 2-day retreat on inclusive education[¬e]""']",NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['School or group of schools'],NA,NA
['University/ researcher design'],NA,NA
"['University/ researcher design', 'School or group of schools']","['Page 5:\n[¬s]"" Then, staff met with teachers in their classrooms once every 2 to 3 weeks to help them solve implemen\xad tation problems[¬e]""', 'Page 5:\n[¬s]""CBM teachers (Groups 1 anel 2) were provided initial training to implement CBM over 8 weeks,[¬e]""']","CBM teachers (Groups 1 anel 2) were provided initial training to implement CBM over 8 weeks,"
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['School or group of schools'],"['Page 5:\n[¬s]"" Each school ran a small trial of AR in isolation, and made all of the relevant evaluation decisions such as randomly allocating pupils to the control or intervention group.[¬e]""']",NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
['University/ researcher design'],NA,NA
