int_approach_raw,int_approach_ht,int_approach_info
['Large group/class teaching (+6)'],NA,NA
"['Large group/class teaching (+6)', 'Paired learning']","['Page 5:\n[¬s]""The teacher starts the activity with a direction to find preassigned part-\nners[¬e]""']",NA
['One to one'],NA,NA
['One to one'],NA,NA
"['Student alone (self-administered)', 'Large group/class teaching (+6)']","['Page 4:\n[¬s]"" (2) received a written rubric; and (3) used the rubric to self-assess their Þrst drafts.[¬e]""', 'Page 4:\n[¬s]""(1) read a model story or essay, discussed its strengths and weaknesses, and generated a list of qualities of an effective story or essay;[¬e]""']",NA
['Student alone (self-administered)'],NA,NA
['Large group/class teaching (+6)'],NA,NA
['Student alone (self-administered)'],NA,NA
['Student alone (self-administered)'],NA,NA
['Large group/class teaching (+6)'],"['Page 3:\n[¬s]""experimental group (2 classes, 79 students)""\n""a control\ngroup (2 classes, 77 students)[¬e]""']",NA
['Small group/intensive support (3-5)'],NA,NA
"['Small group/intensive support (3-5)', 'Student alone (self-administered)']",NA,NA
"['Student alone (self-administered)', 'Small group/intensive support (3-5)']",NA,NA
['One to one'],NA,NA
['One to one'],NA,NA
"['Student alone (self-administered)', 'One to one']",NA,"After wroking through the textbook on their own and after self-review and further textbook work, they are given a tutor, who works one to one with them. "
['One to one'],NA,NA
['Large group/class teaching (+6)'],"['Page 4:\n[¬s]""ubjects Eighty students enrolled in the music option at the third secondary level participated in the experiment.""\n""reatments All the subjects received the same teaching related to the writing of the major scales in music. A[¬e]""']",This is assumed based on the little information provided (highlighted) and the lack of focus on the teaching but rather the feedback.
"['Large group/class teaching (+6)', 'One to one']","['Page 4:\n[¬s]""bjects Eighty students enrolled in the music option at the third secondary level participated in the experiment.""\n""eatments All the subjects received the same teaching related to the writing of the major scales in music. A[¬e]""']",Individual feedback provided.
"['Large group/class teaching (+6)', 'Paired learning']",NA,NA
['Large group/class teaching (+6)'],NA,NA
['One to one'],NA,NA
['Large group/class teaching (+6)'],NA,NA
"['Student alone (self-administered)', 'Large group/class teaching (+6)']",NA,"I was not sure here - the intervention (i.e. the testing) was carried out with a large group but I am inclined to think the approach is actually 'student alone' because the intervention is based on the success feedback given, which the participant is in receipt of when working independently before the second test. "
"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",NA,NA
['Student alone (self-administered)'],NA,Student worked independently on the microcomputer programme
['Large group/class teaching (+6)'],NA,NA
['Large group/class teaching (+6)'],NA,NA
['Large group/class teaching (+6)'],NA,NA
['Large group/class teaching (+6)'],NA,NA
['Large group/class teaching (+6)'],NA,NA
"['Student alone (self-administered)', 'Other (Explain in notes)']",NA,"Students are guided by the online computer tutor, Summary Street. Therefore, they work independently but are not fully unsupervised. "
['Student alone (self-administered)'],NA,NA
"['Large group/class teaching (+6)', 'One to one']",NA,NA
['Student alone (self-administered)'],NA,NA
['Student alone (self-administered)'],NA,NA
['Student alone (self-administered)'],NA,NA
['Large group/class teaching (+6)'],NA,NA
['Large group/class teaching (+6)'],NA,NA
['Large group/class teaching (+6)'],NA,NA
['Large group/class teaching (+6)'],NA,NA
['Small group/intensive support (3-5)'],"['Page 15:\n[¬s]""This procedure will call for the administration of a one-minute probe to each student in the\narithmetic and spelling areas in small groups[¬e]""']",NA
['Large group/class teaching (+6)'],NA,NA
"['Large group/class teaching (+6)', 'One to one', 'Paired learning']",NA,NA
['One to one'],NA,"Closest description, the teacher would provide written feedback for children' homework individually."
['Student alone (self-administered)'],NA,NA
['Small group/intensive support (3-5)'],"['Page 53:\n[¬s]""The students in the two\nexperimental peer evaluation classes worked in groups[¬e]""']",NA
['Student alone (self-administered)'],"['Page 10:\n[¬s]""his was a new project they were going to be working on. Directions were given orally. And they were told to work at their own pace.""\n""Then, the self -study\ninstruction booklets were handed cut randonly. The students\nworked on their own booklets individually, and raised their\nhands when they were done with them.[¬e]""']",feedback individually in their booklets
['Student alone (self-administered)'],"['Page 10:\n[¬s]""And they were told to work at their own\npace.[¬e]""']",self-instructional booklets
['Student alone (self-administered)'],NA,self-instructional booklets
"['Student alone (self-administered)', 'Other (Explain in notes)']","['Page 3:\n[¬s]""During the experiment, each subject studied a block of self-instructional material on identifying variables, con\xad structing graphs, and interpreting graphs.""\n""During the first\'two classroom periods, all subjects com\xad\npleted a laboratory exercise and self-instructional material\non identifying variables[¬e]""', 'Page 3:\n[¬s]""At the end of the day the investigator\ncollected the diagnostic tests from the classroom teacher,\ngraded each, and assembled and delivered the remedial\nactivity materials to the teacher in time for the next day’s\nclasses.[¬e]""']",Part of the intervention included feedback and additional instruction. It is indicated that the experimenter graded tests and provided remedial activities to the class teacher for the next day.
['Small group/intensive support (3-5)'],"['Page 12:\n[¬s]""The procedure involved cooper-\native groups of four or five students, each consisting of students with mixed reading\nabilities.[¬e]""']",NA
['Large group/class teaching (+6)'],NA,NA
['One to one'],NA,NA
['Student alone (self-administered)'],NA,NA
['Student alone (self-administered)'],NA,NA
['Student alone (self-administered)'],NA,NA
NA,NA,NA
['Small group/intensive support (3-5)'],NA,NA
['Small group/intensive support (3-5)'],"['Page 4:\n[¬s]""teachers established for each group a\ngraph that (a) displayed progress across time through\nthe number of stories to be completed and (b) showed\nan aimline indicating the expected rate of progress\nthrough the stories. Every week, teachers measured each\nstudent\'s correct performance rate on a reading passage\nrandomly sampled from the group\'s current instruc\ntional level story. If at least 80% of the students in the\ngroup read at a minimum correct rate performance cri\nterion on the sample, then the teacher moved the group\nto the next story in the curriculum. Ot[¬e]""']",although it doesn't specify how many students per group
['Other (Explain in notes)'],NA,Digital feedback to teachers.
['Small group/intensive support (3-5)'],"['Page 2:\n[¬s]""Students. Each CB M teacher selected four stu\xad dents to participate; each control teacher, two stu\xad dents. All pupils had mild or moderate disabilities, were in Grades 3-9, had a current IEP (Individualized Education Program) spell ing goal, and were classified as learning disabled or emotionally disturbed according to State regula\xad tions, conforming to Public Law 94-142. Within the CBM groups, two of each teacher\'s four stu\xad dents were assigned randomly to one subgroup; two, to a second subgroup. During the study, 10 of the 100 students moved, leaving student ns of 19 and 20 in the two su bgroups of Group 1; 18 and 17 in the two subgroups of Group 2; and 18 in the control group.[¬e]""']",NA
['One to one'],"['Page 3:\n[¬s]"" Each teacher selected two students to participate in the study. All pupils were identified as mildly to mod\xad erately handicapped, were in grades 2-8, had a current IEP spelling goal, were functioning at least one grade below expected spelling level, and had been classified as learning disabled or emotion\xad ally disturbed according to state regula\xad tions that complied with PL 94-142.[¬e]""']",NA
"['Large group/class teaching (+6)', 'Paired learning']",NA,NA
['Large group/class teaching (+6)'],"['Page 47:\n[¬s]""During the six-day experimental period the students in each school were instructed together in a large groip setting for about sixty minutes each day. [¬e]""']",NA
['Large group/class teaching (+6)'],NA,NA
['Student alone (self-administered)'],"['Page 4:\n[¬s]""For the\ndynamic test, students were first presented\nwith the introduction to the test procedure;\nthis included an exemplary item. Afterwards,\nthey were asked to read five texts and\nrespond to the corresponding multiple-\nchoice items. If a response was false, students\nfrom the treatment group received accuracy\nfeedback stating ‘That is wrong’. Subse-\nquently, they were required to make their\nchoice once again with their original selec-\ntion excluded.[¬e]""']",NA
