int_when_raw,int_when_ht,int_when_info
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['Unclear/ not specified'],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['Unclear/ not specified'],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
"['During regular school hours ', 'Before/after school']","['Page 4:\n[¬s]""First Grade students at risk of failure in reading were served by remedial reading teachers in addition to their regular classroom teacher.[¬e]""', 'Page 4:\n[¬s]""Kindergarten students at risk of failure in reading in the school district in this study were able to attend Extended Day Kindergarten (EDK), with full- instead of half-day classes. [¬e]""']",NA
['During regular school hours '],NA,NA
['During regular school hours '],"['Page 2:\n[¬s]""during regular school hours[¬e]""']",NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['Unclear/ not specified'],NA,NA
['Evenings and/or weekends'],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
NA,NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],"['Page 10:\n[¬s]""The study was carried out class by class.[¬e]""']",seems to be
['During regular school hours '],"['Page 10:\n[¬s]""The study was carried out class by class. upon enter-\ning the classroom, the students were told that this was a\nnew project they were going to be working on.[¬e]""']",seems to be
['During regular school hours '],"['Page 10:\n[¬s]""The study was carried out class by class.[¬e]""']",seems to be
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['Unclear/ not specified'],NA,NA
['Unclear/ not specified'],NA,NA
['Unclear/ not specified'],NA,NA
['Unclear/ not specified'],NA,NA
['During regular school hours '],"['Page 8:\n[¬s]""The intervention took place during the unit on summary writing, as part of the regular 8th grade language arts curriculum[¬e]""']",NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['Before/after school'],"['Page 5:\n[¬s]""CBM over 8 weeks, with two 2-hour after-school workshop[¬e]""']"," CBM over 8 weeks, with two 2-hour after-school workshops,"
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['Unclear/ not specified'],NA,NA
"['During regular school hours ', 'Before/after school']","['Page 5:\n[¬s]"" The intervention was organised either by taking pupils out of regular classes or making pupils stay after regular school time. The pattern varied between schools.[¬e]""', 'Page 5:\n[¬s]""The intervention was organised either by taking pupils out of regular classes or making pupils stay after regular school time. The pattern varied between schools.[¬e]""']",NA
['Unclear/ not specified'],NA,not specified 
['Unclear/ not specified'],NA,NA
"['During regular school hours ', 'Evenings and/or weekends']",NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['Unclear/ not specified'],NA,NA
['Unclear/ not specified'],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['Unclear/ not specified'],NA,NA
['During regular school hours '],NA,NA
['Unclear/ not specified'],NA,NA
['Unclear/ not specified'],NA,NA
['Unclear/ not specified'],NA,"experiment, unknown where it took place"
['Unclear/ not specified'],NA,"experiment, unknown where & when it took place"
['Unclear/ not specified'],NA,"experiment, unknown where & when it took place"
['Unclear/ not specified'],NA,"experiment, unknown where & when it took place"
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['Other (please specify)'],NA,"lab experiment, unknown when"
"['Other (please specify)', 'Unclear/ not specified']",NA,"lab experiment, unknown when"
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['Unclear/ not specified'],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['Before/after school'],"['Page 5:\n[¬s]""The data in this study were gathered in a school, but after the normal school hours so that the experimental conditions could be set up. In addition, the teachers, who were not used to employing a computer in class, did not want to let the children work on their own on the computer-as[¬e]""']",After normal school hours
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
NA,NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['Unclear/ not specified'],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
"['During regular school hours ', 'Evenings and/or weekends']","['Page 46:\n[¬s]""The second component of the intervention we called ""collaborative teaming."" After each common assessment, all eight implementing teachers met as a group to analyze the results for the classroom sections receiving the full FACTS intervention. The meetings followed a structured protocol using the Data Wise model (Boudett et al., 2005). The six FACTS collaboration meetings were held at a conference room at the District Office. The meetings were approximately 1.5 to 2 hours in length and were held after school hours.[¬e]""']",NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['During regular school hours '],NA,NA
['Other (please specify)'],NA,In the break between morning and afternoon classes (Spanish school)
