int_training_raw,int_training_ht,int_training_info
['No'],NA,NA
['Yes (Please specify)'],"['Page 7:\n[¬s]""During the initial sessions, teachers were provided with a brief\noverview of the importance of ORF, as well as the materials and passages needed for planning\nand implementing PCFB in their classrooms. They also received regular check–support–connect\nvisits from researchers and graduate assistants to ensure questions regarding implementation\nexpectations and efforts were addressed in a timely manner.[¬e]""']",Very brief training at the beginning of intervention implementation.
['Yes (Please specify)'],"['Page 12:\n[¬s]""Four key professional development activities facilitated the learning and the de- velopment of a community of practice for the K–1 classroom teachers and on-site consultant: (1) a face-to-face summer institute that included classroom teachers, on-site consultants, and school principals; (2) weekly/biweekly literacy coaching “visits” during TRI sessions via real-time Web conferencing with each classroom teacher by the TRI literacy coach; (3) weekly real-time Web-conferencing grade-level meetings about individual children’s reading performance and progress; and (4) monthly/bimonthly 2-hour real-time Web-conferencing professional development sessions designed to meet needs expressed by the classroom teachers. Each of these activities is detailed below.""\n""The 3-day summer institute introduced K–1 teachers, on-site consultants, and\nschool principals to TRI content through interactive large- and small-group sessions\nthat included practicing the strategies through role-play and using problem-solving\nstrategies with struggling readers’ case studies. Small-group discussions laid the\ngroundwork for the preparation of classrooms prior to the beginning of school so\nTRI could be implemented in the early fall.[¬e]""']",NA
['No'],NA,NA
['Unclear/ Not specified'],NA,NA
['No'],NA,NA
['Yes (Please specify)'],"['Page 4:\n[¬s]""Participating teachers in the integration sites (plus any other teachers in the school that wished to attend) received a one-day training session in October 1992, on writing assessment and integrating the six-trait model into instruction. This training included definition of each of the six traits, opportunity to practice assessing student writing for each of the six traits, instruction in how to teach the traits to students, and plans for ""mini-lessons"" for each trait.[¬e]""']",NA
['No'],NA,NA
['Unclear/ Not specified'],NA,Assumes no because students used a computer program
['Unclear/ Not specified'],NA,NA
['No'],NA,NA
['Yes (Please specify)'],"['Page 45:\n[¬s]""The participating teachers attended two after-school meetings early in September to develop the core composition assignments[¬e]""', 'Page 47:\n[¬s]""and to agree on classroom procedures. These meetings were held in the administration building and were attended by the district language arts coordinator. Five formal writing assignments were developed as a result of the pre-experimental meetings; the teachers suggested the topics for writing and reviewed the assign\xad ments prepared by the researcher. The researcher provided master copies of the core composition assignments and other classroom materials, and the individual teachers were responsible for duplicating classroom sets.[¬e]""']",NA
['Unclear/ Not specified'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['Yes (Please specify)'],"['Page 25:\n[¬s]""Thirteen of the 15 special education teachers who gathered these data had some formal college training in precision teaching, the basic model used in this study. They had the opportunity to practice using the materials by first observing how an assessment should be conducted and then by conducting or.a themselves during a workshop training session. They were also observed.- Oh occasion, conducting assessments once the study began.""\n""All data were gathered and presented at a weekly workshop session, after which they were collated and reduced to a graphic display for later examina\xad tion. These weekly workshop sessions also provided the occasion for developing treatments which were used during Part 2 of this investigation (Bohannon, Note 3)[¬e]""']",NA
['Unclear/ Not specified'],NA,"It appears from the language of the report that the three main researchers administered the pre-test, feedback and post-test measures. This is indicated by the consist use of the phrasing ""We"" in the discussion of the protocol and methodology.   "
['Unclear/ Not specified'],NA,NA
['Unclear/ Not specified'],NA,NA
['Yes (Please specify)'],"['Page 2:\n[¬s]""Timings were ad\xad ministered hy a trained instructional aide, a high school tutor, a parent volunteer, or a teacher from the Learning Diagnostic Center.[¬e]""']",NA
['Yes (Please specify)'],"['Page 2:\n[¬s]"" Timings were ad\xad ministered hy a trained instructional aide, a high school tutor, a parent volunteer, or a teacher from the Learning Diagnostic Center.[¬e]""']",NA
['No'],NA,NA
['No'],NA,NA
['Yes (Please specify)'],"['Page 4:\n[¬s]""It built on professional development work in reading that the D o w n l o a d e d b y [ D u r h a m U n i v e r s i t y L i b r a r y ] a t 0 6 : 2 1 1 3 S e p t e m b e r 2 0 1 7[¬e]""', 'Page 5:\n[¬s]""44 S.M. Brookhart et al. university and school district had conducted in 2004Ð2005.""\n""Two of this studyÕs authors were university-based and the third was the Coordinator of Federal Programs in the district. All three participated in delivering the professional development and studying its effects. [¬e]""']",NA
['Yes (Please specify)'],"['Page 130:\n[¬s]""An initial meeting""\n""in which the concept, objectives, procedures, etc., of the study were explained and discussed.""\n""A demonstration of the computer programs was provided and the teachers went through each of them as a student would.""\n""helpful to the teachers in gaining an inderstanding of what they would have to watch for as they proctored the experiment. Advice was obtained""\n"" second meeting was held for further discussion of the experiment, procedures, use of hardware and software, etc.[¬e]""', 'Page 131:\n[¬s]"" At the suggestion of the teachers the students who were not to be involved in the study also were assigned to drill and practice programs (of the respective teachers\' choices) which prevented aggravation of the ""Hawthorne"" effect for those students in the experiment""\n""Periodic meetings were held with the teachers throughout the conduct of the experiment[¬e]""']",NA
['Unclear/ Not specified'],NA,NA
['Unclear/ Not specified'],NA,NA
