part_age_raw,part_age_ht,part_age_info
"['8', '9']",NA,NA
"['7', '8']",NA,NA
"['6', '7', '8']","['Page 9:\n[¬s]""Kindergarten and ﬁrst-grade children[¬e]""']",NA
"['13', '14']",NA,NA
"['8', '9', '10']",NA,NA
['5'],"['Page 7:\n[¬s]""mean age = 5 years 8 months);[¬e]""']","No mention of school grade, so other ages couldn't really be inferred, but the average age was 5.8 months. "
"['10', '11']",NA,NA
"['8', '9', '10', '11']",NA,NA
"['10', '11']",NA,NA
"['13', '14']",NA,"Students were in seventh grade, which corresponds to the ages 13 and 14 in South Korea"
"['8', '9', '10', '11', '12', '13']",NA,NA
"['12', '13', '14']",NA,NA
"['12', '13', '14']",NA,NA
"['8', '9']",NA,NA
"['13', '14', '15']",NA,NA
"['13', '14']",NA,NA
"['6', '7', '8', '9']",NA,NA
"['13', '14']",NA,NA
"['13', '14']",NA,NA
"['11', '12']",NA,NA
"['9', '10']",NA,NA
"['9', '10']",NA,NA
"['12', '13']",NA,NA
"['12', '13']",NA,NA
"['5', '6', '7']",NA,NA
"['8', '9']",NA,NA
"['11', '12']",NA,NA
"['12', '13']",NA,NA
"['11', '12', '10']",NA,NA
"['11', '12', '13']",NA,NA
"['12', '11', '13']",NA,NA
"['12', '13', '14', '15']",NA,NA
"['13', '14']",NA,NA
"['7', '8', '9', '10']",NA,NA
['18'],NA,18+ for students in higher education
"['16', '17']",NA,NA
"['15', '16', '17']",NA,NA
"['10', '11']",NA,NA
"['6', '7', '8']",NA,NA
"['7', '6']",NA,NA
"['3', '4', '5', '6', '7', '8']",NA,NA
['11'],NA,NA
"['9', '10', '11']","['Page 3:\n[¬s]""h grade stu dents enrolled in a local elementary school. The sample included 22 fourth graders, 21 fifth graders, and 22 sixth graders. Thirty-six subjects were boys and 29 were [¬e]""', 'Page 3:\n[¬s]""h grade stu dents enrolled in a local elementary school. The sample included 22 fourth graders, 21 fifth graders, and 22 sixth graders. Thirty-six subjects were boys and 29 were [¬e]""', 'Page 3:\n[¬s]"" grade stu dents enrolled in a local elementary school. The sample included 22 fourth graders, 21 fifth graders, and 22 sixth graders. Thirty-six subjects were boys and 29 were [¬e]""']",NA
"['13', '14']",NA,NA
"['11', '12']",NA,NA
"['11', '12', '13', '14']",NA,"The mean age of the sixth graders In the main study was 11 years, 9 months. Mean age of the seventh graders was 13 years, 1 month."
['No information provided'],NA,NA
"['7', '8']",NA,NA
"['7', '8']",NA,NA
"['7', '8']",NA,NA
"['13', '14']",NA,NA
"['8', '9', '10']","['Page 11:\n[¬s]""and ranged in age from 8 to\n10 years,[¬e]""', 'Page 11:\n[¬s]""CLAD was implemented in three third-\ngrade general education[¬e]""']",NA
"['11', '12']","['Page 5:\n[¬s]""sixth graders[¬e]""', 'Page 5:\n[¬s]""sixth graders[¬e]""']",NA
['No information provided'],NA,NA
['No information provided'],NA,NA
['No information provided'],NA,NA
NA,NA,NA
"['13', '14', '15']","['Page 8:\n[¬s]"" Students in these four classes ranged in age from 13.5 to 14.5 years[¬e]""', 'Page 8:\n[¬s]"" Students in these four classes ranged in age from 13.5 to 14.5 years[¬e]""', 'Page 8:\n[¬s]"" Students in these four classes ranged in age from 13.5 to 14.5 years.[¬e]""']",NA
"['10', '11']",NA,NA
"['6', '7']","['Page 3:\n[¬s]""our first-grade classes of a small, rural\nschool district in northeastern Minnesota. The[¬e]""']",NA
"['11', '12']",NA,"Student age averages from Table 1. Teacher age range between 26 and 44 years, precise ages not given."
"['8', '9', '10', '11', '12', '13', '14']",NA,"All pupils had mild or moderate disabilities, were in Grades 3-9,"
"['11', '12']",NA,NA
['9'],NA,This is the median age (see Table 2) as students were from across grades 2 - 5 (ages 7 - 11).
NA,NA,NA
"['16', '17', '18']",NA,NA
"['11', '12']","['Page 3:\n[¬s]""sixth-\ngrade students from the most common sec-\nondary school tracks in Germany[¬e]""', 'Page 3:\n[¬s]""The mean age of the students was 11.78 years\n(SD \t 0.66) and 50% were girls. The control\ngroup children (mean age 11.69 years) and\nthe treatment group children (mean age\n11.87 years)[¬e]""']",NA
"['11', '12']",NA,NA
"['16', '17', '18']",NA,NA
"['16', '17', '18']",NA,NA
"['9', '10']",NA,NA
"['10', '11', '12']",NA,6th Grade students
"['9', '10', '11', '12']",NA,NA
"['12', '13', '14']",NA,NA
"['13', '14']",NA,8th grade students
"['11', '12', '13']",NA,Year 8 / Form 2 students (NZ)
"['11', '12']",NA,NA
NA,NA,NA
"['12', '13', '14']",NA,8th grade students
"['8', '9', '10', '11', '13', '14']",NA,8th Grade Students
"['16', '17']",NA,NA
"['15', '16', '17', '18']",NA,18-20
"['15', '16', '17', '18']","['Page 4:\n[¬s]""fifteen to twenty years.[¬e]""']",18-20 yrs
"['6', '7', '8', '9', '10', '11', '12', '13', '14']",NA,Grade 8 - 18 students in Grades 7 to 8
"['10', '11']",NA,NA
"['12', '13']",NA,Grade 7 students
"['7', '8']",NA,NA
"['9', '10']",NA,Grade 4 students
"['15', '14']",NA,NA
"['5', '6', '7']","['Page 3:\n[¬s]""Pretests were administered to 150 children in kindergarten and first-grade classes of two Northfield, Minnesota public school[¬e]""', 'Page 3:\n[¬s]""Pretests were administered to 150 children in kindergarten and first-grade classes of two Northfield, Minnesota public schools[¬e]""', 'Page 3:\n[¬s]""Pretests were administered to 150 children in kindergarten and first-grade classes of two Northfield, Minnesota public schools[¬e]""']",NA
"['9', '10']",NA,NA
"['12', '13', '14']","['Page 7:\n[¬s]""Ninety-two high school students from grades 7 and 8\n(mean age 12.53, sd = 1.47;[¬e]""']",NA
"['12', '13', '14']",NA,NA
"['12', '13', '14']","['Page 6:\n[¬s]""seventh and eighth graders\ntook part in the study (mean age = 12.61, SD=0.72;[¬e]""']",NA
"['12', '13', '14']","['Page 6:\n[¬s]""seventh and eighth graders\ntook part in the study (mean age = 12.61, SD=0.72;[¬e]""']",NA
"['12', '13', '14']","['Page 12:\n[¬s]""seventh and eighth graders took\npart in the study (mean age 12.39, SD=0.71;[¬e]""']",NA
"['12', '13', '14']","['Page 12:\n[¬s]""seventh and eighth graders took\npart in the study (mean age 12.39, SD=0.71[¬e]""']",NA
"['11', '12']",NA,NA
"['9', '10', '11', '12']",NA,NA
"['6', '7', '8']","['Page 4:\n[¬s]""(mean age07.71, SD0.55, 64% female,\nranging from 6.73 to 8.74 years).[¬e]""']",NA
"['7', '6', '8']","['Page 4:\n[¬s]""Thirty-six second graders were recruited from the\ncommunity to participate in a laboratory experi-\nment (mean age07.71, SD0.55, 64% female,\nranging from 6.73 to 8.74 years)[¬e]""']",NA
"['7', '8', '9', '10', '11', '12']",NA,NA
"['11', '12']",NA,NA
