n_treat_ht,n_treat_info,n_cont_ht,n_cont_info,n_treat2_ht,n_treat2_info,n_cont2_ht,n_cont2_info
NA,NA,NA,NA,NA,NA,NA,NA
"['Page 4:\n[¬s]""50 children[¬e]""']",NA,"['Page 4:\n[¬s]""50 children[¬e]""']",50,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"['Page 17:\n[¬s]""N = 23""\n""N = 21""\n""N = \'n.\'n.[¬e]""']",66,"['Page 17:\n[¬s]""N = 23[¬e]""']",23,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"['Page 29:\n[¬s]""40""\n""56[¬e]""']",96,"['Page 29:\n[¬s]"" 40""\n"" 54[¬e]""']",94,NA,NA,NA,NA
"['Page 8:\n[¬s]""72 participants[¬e]""']",36,"['Page 8:\n[¬s]""72 participants[¬e]""']",36,NA,NA,NA,NA
NA,79,"['Page 3:\n[¬s]""77[¬e]""']",77,NA,NA,NA,NA
"['Page 4:\n[¬s]""27[¬e]""']",27,NA,25,NA,NA,NA,NA
NA,156,NA,119,NA,NA,NA,NA
"['Page 44:\n[¬s]""Treatment""\n""II""\n""22""\n""25""\n""19""\n""25""\n""21""\n""25""\n""17[¬e]""']",137,"['Page 44:\n[¬s]""Treatment""\n""III""\n""23""\n""19""\n""16""\n""18""\n""23""\n""20[¬e]""']",119,NA,NA,NA,NA
NA,24,NA,24,NA,NA,NA,NA
NA,24,NA,24,NA,NA,NA,NA
"['Page 62:\n[¬s]""Experimental""\n""(n = 16)[¬e]""']",16,"['Page 62:\n[¬s]""Control (n = 27)[¬e]""']",27,NA,NA,NA,NA
"['Page 53:\n[¬s]""23[¬e]""']",23,"['Page 53:\n[¬s]"" 23[¬e]""']",23,NA,NA,NA,NA
"['Page 5:\n[¬s]""Written feedback. Students of GE1 fn = 23),[¬e]""']",23,"['Page 5:\n[¬s]""No feedback. Students of GC (n = 27), [¬e]""']",27,NA,NA,NA,NA
"['Page 5:\n[¬s]""Students of GE2 (n = 30)[¬e]""']",30,"['Page 5:\n[¬s]""Students of GC (n = 27)[¬e]""']",27,NA,NA,NA,NA
"['Page 6:\n[¬s]""23[¬e]""']",23,NA,17,NA,NA,NA,NA
"['Page 5:\n[¬s]""14[¬e]""']",7,"['Page 5:\n[¬s]""14[¬e]""']",14,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"['Page 4:\n[¬s]""77[¬e]""']",77,"['Page 4:\n[¬s]""79[¬e]""']",79,NA,NA,NA,NA
"['Page 4:\n[¬s]""Failure""\n""77[¬e]""']",77,"['Page 4:\n[¬s]""None""\n""79[¬e]""']",79,NA,NA,NA,NA
"['Page 12:\n[¬s]""31[¬e]""']",31,"['Page 12:\n[¬s]""85[¬e]""']",85,NA,NA,NA,NA
"['Page 140:\n[¬s]""IS[¬e]""']",18,"['Page 140:\n[¬s]""21[¬e]""']",21,NA,NA,NA,NA
"['Page 2:\n[¬s]""88""\n""90[¬e]""']",178,"['Page 2:\n[¬s]""83[¬e]""']",83,NA,NA,NA,NA
"['Page 2:\n[¬s]""90[¬e]""']",90,"['Page 2:\n[¬s]""83[¬e]""']",83,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,216,NA,216,NA,NA,NA,NA
"['Page 8:\n[¬s]""19[¬e]""']",19,"['Page 8:\n[¬s]""19[¬e]""']",19,NA,NA,NA,NA
NA,60,NA,40,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,2230,NA,1931,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"['Page 14:\n[¬s]""182[¬e]""']",182,"['Page 14:\n[¬s]""240[¬e]""']",240,NA,NA,NA,NA
NA,48,NA,12,NA,NA,NA,NA
NA,96,NA,90,NA,NA,NA,NA
"['Page 4:\n[¬s]""22[¬e]""']",22,"['Page 4:\n[¬s]""22[¬e]""']",22,"['Page 4:\n[¬s]""21[¬e]""']",21,NA,NA
"['Page 145:\n[¬s]""24[¬e]""']",24,"['Page 145:\n[¬s]""25[¬e]""']",25,NA,NA,NA,NA
NA,assumed 168 as not specified in text,NA,assumed to be 168 as not specified in text,NA,NA,NA,NA
"['Page 89:\n[¬s]""20[¬e]""']",20,"['Page 89:\n[¬s]""24[¬e]""']",24,NA,NA,NA,NA
