CI_lower_Outcome_1,CI_lower_Outcome_2,CI_lower_Outcome_3,CI_lower_Outcome_4,CI_lower_Outcome_5,CI_lower_Outcome_6,CI_lower_Outcome_7,CI_lower_Outcome_8,CI_lower_Outcome_9,CI_lower_Outcome_10
-0.2721,-0.2841,-0.3371,-0.901,-0.015,NA,NA,NA,NA,NA
0.3873,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1742,0.1476,0.1854,NA,NA,NA,NA,NA,NA,NA
0.702,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.438,0.4764,NA,NA,NA,NA,NA,NA,NA,NA
0.0262,-0.1268,-0.0619,-0.1438,NA,NA,NA,NA,NA,NA
-0.0528,-0.0332,-0.1332,-0.264,-0.2128,-0.2032,NA,NA,NA,NA
-0.2903,-0.4331,-0.4009,NA,NA,NA,NA,NA,NA,NA
-0.4291,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0078,0.0487,NA,NA,NA,NA,NA,NA,NA,NA
0.0952,0.1061,NA,NA,NA,NA,NA,NA,NA,NA
-0.0152,0.0648,NA,NA,NA,NA,NA,NA,NA,NA
-0.0737,-0.2536,NA,NA,NA,NA,NA,NA,NA,NA
0.2619,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.6338,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0331,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.4564,0.5665,NA,NA,NA,NA,NA,NA,NA,NA
-0.5891,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.2707,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1892,-0.6626,-0.2114,NA,NA,NA,NA,NA,NA,NA
0.2339,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.7272,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.1088,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.4124,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.2381,0.3912,NA,NA,NA,NA,NA,NA,NA,NA
-0.7711,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.1976,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.7978,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.7089,0.017,0.8168,NA,NA,NA,NA,NA,NA,NA
-0.0242,-0.9296,-0.3163,NA,NA,NA,NA,NA,NA,NA
-0.1919,-0.0813,0.3814,-0.1895,NA,NA,NA,NA,NA,NA
-0.0379,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0064,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2153,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.6143,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.1178,-0.4676,-0.2068,-0.5492,NA,NA,NA,NA,NA,NA
0.0238,-0.0045,0.0621,0.0791,0.0989,0.0532,-0.0107,NA,NA,NA
0.377,0.3278,0.3278,0.377,NA,NA,NA,NA,NA,NA
0.3183,-0.0976,0.0842,NA,NA,NA,NA,NA,NA,NA
0.1673,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.3439,1.2838,NA,NA,NA,NA,NA,NA,NA,NA
0.0771,-0.2085,NA,NA,NA,NA,NA,NA,NA,NA
-0.5695,-0.3252,NA,NA,NA,NA,NA,NA,NA,NA
1.1167,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.5716,-0.2217,-0.5743,-0.304,NA,NA,NA,NA,NA,NA
0.2902,0.2796,0.3728,-0.1654,NA,NA,NA,NA,NA,NA
0.3709,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1666,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.2918,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.0585,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1825,0.1884,-0.5515,NA,NA,NA,NA,NA,NA,NA
-0.0448,0.1319,NA,NA,NA,NA,NA,NA,NA,NA
0.3749,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1762,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.1182,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.6822,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.2624,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0148,-0.1622,0.1188,0.0148,NA,NA,NA,NA,NA,NA
