CI_upper_Outcome_1,CI_upper_Outcome_2,CI_upper_Outcome_3,CI_upper_Outcome_4,CI_upper_Outcome_5,CI_upper_Outcome_6,CI_upper_Outcome_7,CI_upper_Outcome_8,CI_upper_Outcome_9,CI_upper_Outcome_10
0.6021,0.5901,0.5371,-0.015,0.871,NA,NA,NA,NA,NA
1.2029,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.6171,0.59,0.6284,NA,NA,NA,NA,NA,NA,NA
1.6074,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.222,1.2541,NA,NA,NA,NA,NA,NA,NA,NA
0.9875,1.0457,1.1448,1.0412,NA,NA,NA,NA,NA,NA
0.6528,0.6332,0.5332,0.324,0.4928,0.4632,NA,NA,NA,NA
0.2786,0.4435,0.3468,NA,NA,NA,NA,NA,NA,NA
0.4949,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.6397,0.6817,NA,NA,NA,NA,NA,NA,NA,NA
1.2143,1.2262,NA,NA,NA,NA,NA,NA,NA,NA
0.4552,0.5352,NA,NA,NA,NA,NA,NA,NA,NA
0.4967,0.7158,NA,NA,NA,NA,NA,NA,NA,NA
1.4485,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.2239,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.005,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.0436,2.2795,NA,NA,NA,NA,NA,NA,NA,NA
0.5233,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.7735,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.5024,0.5913,1.0457,NA,NA,NA,NA,NA,NA,NA
1.8091,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.4672,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5207,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2157,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5857,1.1239,NA,NA,NA,NA,NA,NA,NA,NA
0.3301,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.8804,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.4392,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.2043,1.1511,1.7194,NA,NA,NA,NA,NA,NA,NA
1.1063,0.1894,0.4778,NA,NA,NA,NA,NA,NA,NA
0.927,1.0448,1.3181,0.7189,NA,NA,NA,NA,NA,NA
0.7979,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.8422,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5964,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.3689,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.2337,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.7708,0.4152,0.679,0.3342,NA,NA,NA,NA,NA,NA
0.1962,0.1445,0.1719,0.1849,0.1891,0.1708,0.1187,NA,NA,NA
