comp_anal_raw,comp_anal_ht,comp_anal_info
['Yes'],"['Page 27:\n[¬s]""A 2x2 repeated measures analysis of variance (ANOVA) was used to determine if a significant difference existed between the study group and the control group in pre and posttest scores.[¬e]""']",NA
['No'],NA,NA
['Yes'],NA,NA
['Yes'],"['Page 77:\n[¬s]"" the groups are very similar in intelligence scores before the experiment- began[¬e]""']",NA
['Yes'],"['Page 4:\n[¬s]""In order to include previous achieve- ment in writing as a covariate in the analysis, recent English/Language Arts grades for reading, spelling, and writing were summed.""\n""Previous achieve- ment scores ranged from 209 to 297. The treatment and comparison groups had comparable means [¬e]""']",NA
['Yes'],"['Page 12:\n[¬s]""Pretreatment scores on\nthe Boehm Test of Basic Concepts was used as a covariate in the\nanalysis.[¬e]""']","Only given initial sample size for whole sample, not for intervention and control groups separately - so only whole sample attrition could be calculated."
['Unclear or details not provided'],NA,NA
['Yes'],"['Page 5:\n[¬s]"" A pretest of one hundred wrda was conatructed from words taken from the \'lX[ program. This test was administered to a l l experimental and control groups to det.em.lne whether or not a aigni£icant di£\xad !en:nce in spelling ability existed between these groups. J.f a difference had existed, the groups would have been reassigned until no differences in spelling ability were apparent. The re\xad sulting scores within groups and within classes, however, shoved no significant difference when submitted to a t test. The con\xad trol and the experimental groups were established solely on the basii, of their ability to spell.[¬e]""']",NA
['Yes'],"['Page 9:\n[¬s]""The ﬁrst regression model with the self-concept and the learning condition as predictors\ndid not predict performance signiﬁcantly, F(2,69) =2.18, n.s.. R2 for the model was .06 and\nadjusted R2 was .03.[¬e]""']",NA
['Yes'],"['Page 7:\n[¬s]""Data were analyzed by using the ANCOVA technique.[¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]"" In the ex\xad perimental group, the Pearson correlation indicated that metaphor performance was significantly related to grade level (r= .419, p< .01) and reading level (r = .663, p< .001). All other variables (i.e., sex, chronological age, and type of special education program) were found to have no significant relationship with the metaphor performance of the experi\xad mental group. In the control group, the /-test analysis indicated that metaphor performance was significantly related to sex (t = 2.95, p< .01). The Pearson cor\xad relation in this group indicated that meta\xad phor performance was also significantly related to grade level (r = .448, p< .05) and reading level (r= .419, p< .05). Other variables were found to have no signifi\xad cant relationship with the metaphor per\xad formance of the control group.[¬e]""']",NA
['Yes'],"['Page 45:\n[¬s]"" analysis of covariance procedures were used to statistically equate the classroom groups on initial writing perfor\xad mance and initial attitude toward writing. Pretest measures were used only as covariates; there was no comparison of pretest and posttest scores for any variables.[¬e]""']",NA
['Yes'],"['Page 45:\n[¬s]""Consequently, analysis of covariance procedures were used to statistically equate the classroom groups on initial writing perfor\xad mance and initial attitude toward writing.[¬e]""']",NA
['No'],NA,NA
['Yes'],"['Page 3:\n[¬s]"" One-way analyses of variance on CA, IQ, MA, and number correct on the screening test, showed no significant differences among training[¬e]""']",NA
['No'],NA,NA
['Unclear or details not provided'],NA,NA
['No'],NA,NA
['No'],NA,NA
['Yes'],"['Page 6:\n[¬s]""s. The scores from the prein-\nstructional, objective test of language skills correlated\nmost strongly with final quality scores and thus were used\nas the covariate, N = 89, r = .39, p < .002.[¬e]""']",NA
['Unclear or details not provided'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['Yes'],NA,NA
['Yes'],"['Page 151:\n[¬s]""A 3 X 2 analysis of variance, using the GLM procedure of SAS, was performed on the pretest scores[¬e]""', 'Page 153:\n[¬s]""Again using 3X2 analysis of variance, as planned, the GLM procedures in SAS were employed to analyze the four posttests for effects of the model, main effects of the independent variables (informational feedback and social reinforcement), and interactions of these variables.[¬e]""', 'Page 161:\n[¬s]"" the inclusion of both feedback and reinforcement class variables ""overparameterized"" the model[¬e]""', 'Page 162:\n[¬s]""The analysis of variance for the fourth posttest with eighty percent mastery students excluded therefore was recalculated, again using the GLM procedure of SAS, with only feedback (with its three levels) as the class variable""\n""On the basis of the significance of this model and the feedback main effect (F = 3.90, P < .026), analysis of the preplanned comparisons of feedback levels then were instituted using the Least Squares Means method (LSMEANS procedure) provided in conjunction with the GLM procedure of SAS.[¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]""The hypotheses were then tested using analyses of covariance (ANCOVAS) performed for the various measures of perform\xad ance from Session 3, using the corresponding scores from Session 1 as covarianls. Because preliminary analyses in\xad dicated no significant main or interaction effects for sex on any measures, data for the sexes were combined.[¬e]""']",NA
['Yes'],NA,NA
NA,NA,NA
['No'],NA,NA
['No'],NA,NA
['Yes'],NA,NA
['Yes'],"['Page 16:\n[¬s]""An analysis of .covariance using pretest performance[¬e]""']",NA
['Yes'],NA,"Any potential baseline differences were not discussed, however randomisation was used - hence baseline differences are unlikely."
['Yes'],"['Page 8:\n[¬s]""The independent variables in this analysis were DA and RS,\nand the dependent variable was students’ posttest scores (Posttest). The covariate was students’ pretest scores (Pretest).[¬e]""']",NA
['Yes'],"['Page 52:\n[¬s]""Analysis of test data indicated no significant\npretreatment difference between groups in ACT Natural Science Reading test scores\nor in Nelson-Denny Reading Comprehension Test scores\n. These indicators suggest that groups were equivalent before the treatments were administered.[¬e]""']",NA
['No'],"['Page 7:\n[¬s]""with repeated measures with simple within-\nsubjects contrasts. The dependent variable consisted of a 32-item post-test given 5 days\nafter the lesson[¬e]""']",NA
['Yes'],"['Page 39:\n[¬s]""three covariates were added to the planned benchmark analysis model in order to adjust the impact estimate for these exogenous differences between schools.[¬e]""']",NA
['Yes'],"['Page 2:\n[¬s]""An analysis of covariance for both the Wide Range Achieve\xad ment Test and a criterion test[¬e]""']",NA
['Yes'],"['Page 13:\n[¬s]""Results indicated that there\nwere no statistically significant group differences\nin students’ initial performance on any of the\nstudy’s baseline measures.[¬e]""', 'Page 6:\n[¬s]""No statistically significant group differences""\n""TABLE 2[¬e]""']",NA
['Unclear or details not provided'],NA,"There is no information on any baseline differences (apart from gender), however randomisation was conducted - hence it is likely that there are not substantial differences between treatment groups."
['No'],"['Page 18:\n[¬s]""The model of pretesting on measure Y, the dependent variable and then posttesting after the\nexperimental treatment was performed to test the differences between the two groups. It is\ninferred that positive changes observed from pre to posttesting can be interpreted as growth\ncaused by the experimental method if there was no significant pre-test differences.[¬e]""']",NA
['No'],NA,NA
['No'],NA,NA
['No'],"['Page 9:\n[¬s]""To study inferential results, repeated\nmeasures ANOVAs were performed using\nstudent posttest mathematics achievement\nas the dependent variable. School, teacher,\nsex, and treatment served as factors.[¬e]""']",pre test was not included as a covariate
['Yes'],"['Page 100:\n[¬s]""Post hoc analyses were carried out In two major categories:""\n"" Investigation of additional data about the subjects to determine if any unique[¬e]""', 'Page 101:\n[¬s]""characteristics of the sample, or a subset of the sample, might have influenced the results.[¬e]""']",NA
['Yes'],"['Page 69:\n[¬s]""pretest means are used as covariates for adjusting posttest\nmeans.[¬e]""']",NA
['Yes'],"['Page 13:\n[¬s]""In order\nto filter out differences keteeen classes, scores\nfrom a standardized test on letter and sound was used\nas a covariate when analyzing data.[¬e]""']",NA
['Yes'],"['Page 13:\n[¬s]""In order\nto filter out differences keteeen classes, scores\nfrom a standardized test on letter and sound was used\nas a covariate when analyzing data.[¬e]""']",NA
['Yes'],"['Page 13:\n[¬s]""In order\nto filter out differences keteeen classes, scores\nfrom a standardized test on letter and sound was used\nas a covariate when analyzing data.[¬e]""']",NA
['Unclear or details not provided'],NA,NA
['Yes'],"['Page 12:\n[¬s]""While they also earned lower\nscores in March, there was no longer a significant difference in achievement\nbetween the two groups.[¬e]""']",NA
['Unclear or details not provided'],NA,NA
['Yes'],NA,NA
['Yes'],NA,NA
['Yes'],NA,NA
['Yes'],NA,NA
['Yes'],"['Page 14:\n[¬s]""Analyses of Covariance (ANCOVA) with the pre-test used as a statis- tical covariant[¬e]""']",NA
['Yes'],"['Page 6:\n[¬s]""The reading posttest scores therefore were analyzed with a multivariate and follow-up univariate two-way analyses of covariance.""\n""The experimental factor was measurement/evaluation treatment (experimental vs. contrast), the blocking factor was teacher trainer (1 vs. 2 vs. 3), and the covariate was the pretest error score.[¬e]""']",NA
['Yes'],"['Page 5:\n[¬s]""4), and the covariate\nwas the PRT pretest[¬e]""']",NA
['Yes'],"['Page 10:\n[¬s]""posttreatment achievement analyses controlled for pretreatment differences due to the raw score pretreatment differences in the sample.[¬e]""']",NA
['Yes'],NA,The groups were comparable.
['Yes'],"['Page 4:\n[¬s]""Chi-square tests applied to students’ race, sex, and handi\xad capping condition also indicated that experimental groups were comparable.[¬e]""']",NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['Yes'],NA,NA
['Yes'],"['Page 13:\n[¬s]""The evaluators ran a separate group analysis for this school and found that the groups were well balanced in terms of KS2 scores before the intervention began.[¬e]""']",NA
['Yes'],NA,NA
['Yes'],"['Page 3:\n[¬s]""Mest comparing the mean IQs of the two groups (t = 2.214, df= 2,78, p < .025) indicated that the IQs were significantly different and necessitated con trolling for that difference by including the IQ as a covari ate in the analysis of variance. Th""\n""In order to place Ss in the internal or external control\ncategory, the Intellectual Achievement Responsibility\n(IAR) s[¬e]""', 'Page 4:\n[¬s]""required; a 16-item multiple-choice test was\ngiven as both the pr[¬e]""']",IQ is used as a covariate; the sample was also stratified by locus of control; gain scores (post-test - pre-test) was used as an outcome
['Yes'],NA,NA
['No'],NA,NA
['No'],NA,NA
['Yes'],NA,NA
['Yes'],"['Page 64:\n[¬s]""Descriptive statistics was used to display the results and to determine if a normal distribution exists within the data.""\n""The Mann-Whitney U was used to determine whether the groups were equivalent on the pretest, and the Wilcoxon test was utilized to test for the significance of the difference in pre-test and post-test scores.[¬e]""', 'Page 69:\n[¬s]""Table 3 Tests of Normality[¬e]""']",NA
NA,NA,NA
['Yes'],NA,NA
['No'],NA,NA
['Yes'],NA,NA
['Yes'],NA,NA
['Yes'],NA,NA
['No'],NA,"Student's cognitive style was assessed, and this variable was used for stratification in an additional analysis - however it's unclear if this measure was administered pre or post-treatment."
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['Yes'],NA,NA
['No'],NA,NA
