comp_var_rep_raw,comp_var_rep_ht,comp_var_rep_info,comp_var_raw,comp_var_ht,comp_var_info
['No'],NA,"Race, disability and pretest scores are mentioned but no descrriptive statistics reported",NA,NA,NA
NA,NA,NA,['Educational attainment'],"['Page 9:\n[¬s]""TABLE 3\nMeans, Standard Deviations, and Analysis of Variance Summary Table for Full-Year Participants\nOral reading fluency[¬e]""']",NA
['Yes'],NA,NA,"['Educational attainment', 'Gender', 'Socio-economic status']","['Page 11:\n[¬s]""Grade:\nK\n28\n44\n34\n44\n68\n60\n152\n25.93\n39.29\n30.36\n39.29\n60.71\n53.57\n46.43\nMother’s education:\nEigth grade or less 87.14\nSome high scho[¬e]""', 'Page 11:\n[¬s]""ender:\nFemale\nMa[¬e]""', 'Page 11:\n[¬s]""Race:\nBlack/African\nAmerican\nWhite/European\nAmerica[¬e]""']",NA
['Yes'],NA,NA,"['Educational attainment', 'Gender']","['Page 76:\n[¬s]"" classes are ex\xad tremely similar on both the verbal and non-verbal subtests.[¬e]""', 'Page 77:\n[¬s]"" after the same initial learning experience the classes were approximately equal[¬e]""', 'Page 101:\n[¬s]""No sex differences and no sex by class inter\xad action were found on either the initial or the critical task[¬e]""', 'Page 119:\n[¬s]""TABLE 20""\n""ANALYSIS OF VARIANCE (GROUP X SEX)[¬e]""']",NA
['No'],NA,NA,NA,NA,NA
['Yes'],NA,NA,['Educational attainment'],"['Page 12:\n[¬s]""Pretreatment scores on\nthe Boehm Test of Basic Concepts was used as a covariate[¬e]""']",Comparibility variable and co-variate
['No'],NA,NA,NA,NA,NA
['Yes'],NA,NA,['Educational attainment'],"['Page 4:\n[¬s]""Mean Reading Level""\n""Range leading Level[¬e]""']",NA
['Yes'],"['Page 10:\n[¬s]""Table 1[¬e]""']",NA,['Other (please specify)'],"['Page 10:\n[¬s]""Mood""\n""Alertness""\n""Calmness""\n""Selected Level of\nDifﬁculty""\n""Mental\nEffort[¬e]""', 'Page 9:\n[¬s]""With respect to the characteristics oftheir self-concept, lear-\nners that were assigned to the two learning conditions (with feedback vs. without feedback)\ndid not differ (M= 47.86; SD = 1.69 vs. M= 49.67; SD = 1.12; t(70) = .89; n.s.)""\n""In addition,\nno differences were detected between the two groups with reference to their age t(69) = 1.48,\nn.s. or the distribution of their sex X2(1, N= 71) = .35, n.s.[¬e]""']","Self-concept, Age, Mood, Alertness, Calmness, Selected Level of Difficulty, Mental Effort"
NA,NA,NA,"['Educational attainment', 'Other (please specify)']","['Page 3:\n[¬s]""Table 2. Pretest Result of ‘Improvement & Advancement’[¬e]""', 'Page 3:\n[¬s]""Table 3. Pretest Result of ‘Sincerity & Enthusiasm’[¬e]""', 'Page 4:\n[¬s]""Table 4. Pretest Result of ‘Individuality & Wholeness’[¬e]""']",'Sincerity & Enthusiasm' and 'Individuality & Wholeness'
['Yes'],"['Page 2:\n[¬s]""TABLE 1 Sex, Chronological Age, Grade, Reading Level, and Type of Special Education Program off Subjects[¬e]""']",NA,"['Educational attainment', 'Gender', 'Other (please specify)']","['Page 2:\n[¬s]""Reading (level 3 grade[¬e]""', 'Page 2:\n[¬s]""Sex[¬e]""', 'Page 2:\n[¬s]""CA""\n""Program type[¬e]""']","Chronological Age,SEN Programme Type"
['No'],NA,NA,NA,NA,NA
['Yes'],NA,NA,['Educational attainment'],"['Page 45:\n[¬s]""Pretest measures were used only as covariates[¬e]""', 'Page 57:\n[¬s]"" ""overall quality"" of writing, total number of words, words per t-unit,""\n"" A covariate measure was used for the three writing performance variables and attitude toward writing to adjust for initial differences in the treatment groups.[¬e]""', 'Page 59:\n[¬s]""TABLE I[¬e]""']",NA
['Yes'],NA,NA,['Other (please specify)'],"['Page 2:\n[¬s]""ization. To confirm the equality of the groups, scores on the Cattell Culture-Fair Intelligence test were compared and found not to be significantly different (F2,69 = 0.2, NS[¬e]""']",NA
