Control_Text_Outcome_1,Control_Text_Outcome_2,Control_Text_Outcome_3,Control_Text_Outcome_4,Control_Text_Outcome_5,Control_Text_Outcome_6,Control_Text_Outcome_7,Control_Text_Outcome_8,Control_Text_Outcome_9,Control_Text_Outcome_10
With business as usual,With business as usual,With business as usual,With active control,With business as usual,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,With business as usual,With business as usual,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,With business as usual,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,With business as usual,With active control,With business as usual,NA,NA,NA,NA,NA,NA
With business as usual,With business as usual,With business as usual,With business as usual,With business as usual,With business as usual,NA,NA,NA,NA
With business as usual,With business as usual,With business as usual,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,With business as usual,NA,NA,NA,NA,NA,NA,NA,NA
With active control,With business as usual,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,With business as usual,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,With business as usual,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,With business as usual,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,With business as usual,With business as usual,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With active control,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,With business as usual,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,With business as usual,With business as usual,NA,NA,NA,NA,NA,NA,NA
With business as usual,With business as usual,With business as usual,NA,NA,NA,NA,NA,NA,NA
With business as usual,With business as usual,With business as usual,With business as usual,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With active control,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With active control,With active control,With active control,With active control,NA,NA,NA,NA,NA,NA
With business as usual,With business as usual,With business as usual,With business as usual,With business as usual,With business as usual,With business as usual,NA,NA,NA
With active control,With active control,With active control,With active control,NA,NA,NA,NA,NA,NA
With business as usual,With business as usual,With business as usual,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,With business as usual,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,With business as usual,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,With business as usual,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,With business as usual,With business as usual,With business as usual,NA,NA,NA,NA,NA,NA
With business as usual,With active control,With business as usual,With active control,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,With business as usual,With business as usual,NA,NA,NA,NA,NA,NA,NA
With business as usual,With business as usual,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With active control,With active control,With active control,With active control,NA,NA,NA,NA,NA,NA
With active control,With active control,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,With business as usual,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,With business as usual,With active control,With active control,With active control,With active control,With business as usual,With business as usual,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,With business as usual,NA,NA,NA,NA,NA,NA,NA,NA
With active control,NA,NA,NA,NA,NA,NA,NA,NA,NA
With active control,With active control,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,With business as usual,NA,NA,NA,NA,NA,NA,NA,NA
With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA
