part_gen_raw,part_gen_ht,part_gen_info
['Mixed gender'],"['Page 21:\n[¬s]""The experimental group had 22 boys and 22 girls, all of European-American descent. The control group had 17 girls and 20 boys, also all of European-American descent.[¬e]""']",Female pupils: 39/81 = 48%Male Pupils: 42/81= 52%
['Mixed gender'],"['Page 4:\n[¬s]""Girls (48%) and boys (52%)[¬e]""']",NA
['Mixed gender'],NA,"Experimental Focal (Female = 44, Male = 68)
Experimental NonFocal (Female = 71, Male = 54)
Control Focal (Female = 25, Male = 38)
Control NonFocal (Female = 33, Male = 31)"
['Male only'],"['Page 58:\n[¬s]""he""\n"" he""\n""he[¬e]""']","Not stated that the sample was all male, however author refers to students using male pronouns. "
['Mixed gender'],"['Page 3:\n[¬s]""Among the participants, 52 (44.8%) were boys, and 64 (55.2%) were girls.[¬e]""']",NA
['Mixed gender'],"['Page 7:\n[¬s]""44 boys and 45 girls[¬e]""']",NA
['Mixed gender'],NA,"Not stated in the text. Since not stated otherwise, assumed to be mixed. "
['No information provided'],NA,NA
['Mixed gender'],NA,"38 females, 34 males"
['No information provided'],NA,NA
['Mixed gender'],NA,"Female: Total= 13/52 = 25%Expermental group = 7/27 = 26%Control group = 6/24 = 24%Information provided in Table 1, pg452. "
['Mixed gender'],"['Page 56:\n[¬s]""A total of 288 cases were analyzed: sixteen students per class (eight boys and eight girls), three classes per teacher, and six teachers were included (16 x 3 x 6 = 288). Of these, 144 each were boys and girls; [¬e]""']",50:50 - Final sample analysed.
['Mixed gender'],NA,"45% female, 55% male (total pop.)"
['Mixed gender'],"['Page 2:\n[¬s]""hs. Males and females were about equally represented in the sam[¬e]""']","If 50% were female, this means 36 students were female."
['Mixed gender'],"['Page 3:\n[¬s]"" (39 females, 33 males) [¬e]""']",NA
['Mixed gender'],NA,"Gender of the students is not stated, therefore can be assumed to be mixed. "
['Mixed gender'],"['Page 37:\n[¬s]""same ratio of boys to girls as the specifically treated children.[¬e]""']","The percentage of boys and girls included in the sample is not stated, however it is stated that the sample is mixed gender. "
['No information provided'],NA,NA
['No information provided'],NA,NA
['Mixed gender'],"['Page 3:\n[¬s]""were girls\nand 44 were boys. T[¬e]""']",NA
['No information provided'],NA,NA
['No information provided'],"['Page 4:\n[¬s]""One girl in this group moved from the school in the third week so her scores were not included[¬e]""']","Not stated, however, highlighted material references a female pupil - possibly implying the class was mixed gender."
['Mixed gender'],NA,115 males: 118 females 49% : 51% (rounded)   (Table 1)
['Mixed gender'],NA,51.3% female (Table 1)
['Mixed gender'],NA,"There are no details regarding the students gender makeup, but it assumed mixed gender due to large sample from across the school district. "
['Mixed gender'],NA,NA
['Mixed gender'],NA,"55.5% : 44.5% Girls : Boys 145 : 116 Please note: These figures reference the initial sample which included Group 2, can be used as rough estimates. "
['Mixed gender'],"['Page 2:\n[¬s]"" (145 girls, 116 boys)[¬e]""']",Gender breakdown is for full sample so unable to give numbers for conditions 2 and 3 only. 
['Mixed gender'],"['Page 3:\n[¬s]""(106 boys and 94 gi[¬e]""']",gender split based on full sample - no breakdown for just conditions 1 & 4
['Mixed gender'],"['Page 3:\n[¬s]""ils (106 boys and 94 gi[¬e]""']","Numbers are for full sample, so will not be accurate for the sample coded here"
