Gender_Split_comments,Gender_Split_HT
Female pupils:  39/81 = 48%  Male Pupils:  42/81= 52%,"['Page 21:\n[¬s]""The experimental group had 22 boys and 22 girls, all of European-American descent. The control group had 17 girls and 20 boys, also all of European-American descent.[¬e]""']"
NA,"['Page 4:\n[¬s]""Girls (48%) and boys (52%)[¬e]""']"
"Experimental Focal (Female = 44, Male = 68) Experimental NonFocal (Female = 71, Male = 54) Control Focal (Female = 25, Male = 38) Control NonFocal (Female = 33, Male = 31)",NA
NA,NA
NA,"['Page 3:\n[¬s]""Among the participants, 52 (44.8%) were boys, and 64 (55.2%) were girls.[¬e]""']"
NA,"['Page 7:\n[¬s]""44 boys and 45 girls[¬e]""']"
"Not stated in the text. Since not stated otherwise, assumed to be mixed. ",NA
NA,NA
"38 females, 34 males",NA
NA,NA
"Female:  Total= 13/52 = 25% Expermental group = 7/27 = 26% Control group = 6/24 = 24%  Information provided in Table 1, pg452. ",NA
50:50 - Final sample analysed.,"['Page 56:\n[¬s]""A total of 288 cases were analyzed: sixteen students per class (eight boys and eight girls), three classes per teacher, and six teachers were included (16 x 3 x 6 = 288). Of these, 144 each were boys and girls; [¬e]""']"
"45% female, 55% male (total pop.)",NA
"If 50% were female, this means 36 students were female.","['Page 2:\n[¬s]""hs. Males and females were about equally represented in the sam[¬e]""']"
NA,"['Page 3:\n[¬s]"" (39 females, 33 males) [¬e]""']"
"Gender of the students is not stated, therefore can be assumed to be mixed. ",NA
"The percentage of boys and girls included in the sample is not stated, however it is stated that the sample is mixed gender. ","['Page 37:\n[¬s]""same ratio of boys to girls as the specifically treated children.[¬e]""']"
NA,NA
NA,NA
NA,"['Page 3:\n[¬s]""were girls\nand 44 were boys. T[¬e]""']"
NA,NA
NA,NA
115 males: 118 females 49% : 51% (rounded)   (Table 1),NA
51.3% female (Table 1),NA
"There are no details regarding the students gender makeup, but it assumed mixed gender due to large sample from across the school district. ",NA
NA,NA
"55.5% : 44.5%  Girls : Boys  145 : 116  Please note: These figures reference the initial sample which included Group 2, can be used as rough estimates. ",NA
Gender breakdown is for full sample so unable to give numbers for conditions 2 and 3 only. ,"['Page 2:\n[¬s]"" (145 girls, 116 boys)[¬e]""']"
gender split based on full sample - no breakdown for just conditions 1 & 4,"['Page 3:\n[¬s]""(106 boys and 94 gi[¬e]""']"
"Numbers are for full sample, so will not be accurate for the sample coded here","['Page 3:\n[¬s]""ils (106 boys and 94 gi[¬e]""']"
"No numbers given by condition, so this number is for full sample","['Page 3:\n[¬s]""(106 boys and 94 gi[¬e]""']"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"51% girls: 49% boys   2,112 girls: 2,044 boys (inclusive of treatment and control condition) ","['Page 68:\n[¬s]""Girls (n = 2,112)""\n""Boys (n = 2,044)[¬e]""']"
"Not specified, assumed mixed gender. ",NA
39.5%,"['Page 5:\n[¬s]""the percentage of males (54%) assigned\nto the RRI group was lower than that assigned to\nthe TSP group (67%)[¬e]""']"
30,"['Page 4:\n[¬s]""The mean ages were 72.6 months for the 30\nboys and 72.4 months for the 30 girls.[¬e]""']"
NA,NA
NA,NA
48.9% female (table 1),NA
NA,"['Page 4:\n[¬s]""To achieve a balanced design,\nonly 28 students (14 boys and 14 girls) were selected at\nrandom from each class.[¬e]""']"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,"['Page 6:\n[¬s]""17 males and 13 females[¬e]""']"
NA,NA
NA,NA
NA,NA
NA,NA
NA,"['Page 8:\n[¬s]"" Of the participants with usable data, 52 were in the Summary Street® condition (24 females and 28 males) and 59 participants were in the control condition (38 females and 21 males).[¬e]""']"
NA,"['Page 3:\n[¬s]""In the experimental group""\n""(51 boys, 13 girls)""\n""The contrast students\' (57 boys, 20 girls)[¬e]""']"
49% female,"['Page 3:\n[¬s]""Subjects were 88 students (45 boys, 43 girls), wh[¬e]""']"
4 girls out of 54.,"['Page 4:\n[¬s]""2, 1, and 1 girls[¬e]""']"
