Intervention_Text_Outcome_1,Intervention_Text_Outcome_2,Intervention_Text_Outcome_3,Intervention_Text_Outcome_4,Intervention_Text_Outcome_5,Intervention_Text_Outcome_6,Intervention_Text_Outcome_7,Intervention_Text_Outcome_8,Intervention_Text_Outcome_9,Intervention_Text_Outcome_10
Literacy: writing,Literacy: writing,Literacy: writing,Literacy: writing,Literacy: writing,NA,NA,NA,NA,NA
Literacy: speaking and listening/oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,Literacy: speaking and listening/oral language,Literacy: reading other,NA,NA,NA,NA,NA,NA,NA
Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,Literacy: writing,NA,NA,NA,NA,NA,NA,NA,NA
Cognitive: other,Cognitive: other,Cognitive: other,Cognitive: other,NA,NA,NA,NA,NA,NA
Literacy: writing,Literacy: writing,Literacy: writing,Literacy: writing,Literacy: writing,Literacy: writing,NA,NA,NA,NA
Literacy: spelling,Literacy: spelling,Literacy: spelling,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA
Science,Science,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,Literacy: reading other,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,Literacy: writing,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,Literacy: writing,NA,NA,NA,NA,NA,NA,NA,NA
Cognitive: other,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: decoding/phonics,Literacy: decoding/phonics,NA,NA,NA,NA,NA,NA,NA,NA
Curriculum: other,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curriculum: other,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,Literacy: writing,Literacy: writing,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cognitive: reasoning,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cognitive: reasoning,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: decoding/phonics,Literacy: decoding/phonics,NA,NA,NA,NA,NA,NA,NA,NA
Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cognitive: reasoning,Cognitive: reasoning,Cognitive: reasoning,NA,NA,NA,NA,NA,NA,NA
Cognitive: reasoning,Cognitive: reasoning,Cognitive: reasoning,NA,NA,NA,NA,NA,NA,NA
Cognitive: reasoning,Cognitive: reasoning,Cognitive: reasoning,Cognitive: reasoning,NA,NA,NA,NA,NA,NA
Literacy: writing,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cognitive: reasoning,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA
Science,NA,NA,NA,NA,NA,NA,NA,NA,NA
Science,Science,Science,Science,NA,NA,NA,NA,NA,NA
Literacy: writing,Literacy: writing,Literacy: writing,Literacy: writing,Literacy: writing,Literacy: writing,Literacy: writing,NA,NA,NA
Mathematics,Mathematics,Mathematics,Mathematics,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,Literacy: spelling,Literacy: reading other,NA,NA,NA,NA,NA,NA,NA
Cognitive: other,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mathematics,Literacy: spelling,NA,NA,NA,NA,NA,NA,NA,NA
Mathematics,Mathematics,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA
Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,Literacy: reading comprehension,Literacy: reading comprehension,Literacy: reading comprehension,NA,NA,NA,NA,NA,NA
Literacy: writing,Literacy: writing,Literacy: writing,Literacy: writing,NA,NA,NA,NA,NA,NA
Science,NA,NA,NA,NA,NA,NA,NA,NA,NA
Science,NA,NA,NA,NA,NA,NA,NA,NA,NA
Science,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading other,Literacy: reading other,Literacy: reading other,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,Literacy: writing,NA,NA,NA,NA,NA,NA,NA,NA
Curriculum: other,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curriculum: other,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curriculum: other,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curriculum: other,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading other,Literacy: reading other,Literacy: reading other,Literacy: reading comprehension,NA,NA,NA,NA,NA,NA
Literacy: reading other,Literacy: reading other,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: spelling,Literacy: spelling,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: spelling,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: spelling,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mathematics,Mathematics,Mathematics,Mathematics,Mathematics,Mathematics,Mathematics,Mathematics,NA,NA
Languages,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading other,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading other,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curriculum: other,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,Literacy: writing,NA,NA,NA,NA,NA,NA,NA,NA
Science,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mathematics,Science,Science,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,Literacy: writing,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA
Science,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cognitive: other,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading other,NA,NA,NA,NA,NA,NA,NA,NA,NA
Science,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading other,Literacy: reading other,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,Literacy: writing,Literacy: writing,Literacy: writing,Literacy: writing,Literacy: writing,Literacy: writing,Literacy: writing,Literacy: writing,NA
Mathematics,Mathematics,Mathematics,Mathematics,Mathematics,Mathematics,Mathematics,NA,NA,NA
Cognitive: other,Cognitive: other,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,Literacy: reading other,Cognitive: other,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,Literacy: reading other,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,Literacy: spelling,Literacy: writing,NA,NA,NA,NA,NA,NA,NA
Combined subjects,NA,NA,NA,NA,NA,NA,NA,NA,NA
Combined subjects,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cognitive: other,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading other,Literacy: reading other,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,Literacy: writing,Literacy: writing,Literacy: writing,Literacy: writing,NA,NA,NA,NA,NA
Literacy: reading comprehension,Literacy: speaking and listening/oral language,Literacy: speaking and listening/oral language,Literacy: speaking and listening/oral language,NA,NA,NA,NA,NA,NA
Literacy: spelling,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: spelling,Literacy: spelling,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,Literacy: reading comprehension,Literacy: reading other,Literacy: spelling,Literacy: spelling,Literacy: reading other,NA,NA,NA,NA
Cognitive: other,Cognitive: other,Cognitive: other,Cognitive: other,NA,NA,NA,NA,NA,NA
Cognitive: other,Cognitive: other,Cognitive: other,Cognitive: other,NA,NA,NA,NA,NA,NA
Literacy: writing,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA
Science,Science,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: decoding/phonics,Literacy: decoding/phonics,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,Literacy: writing,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,Literacy: writing,Literacy: writing,Literacy: writing,NA,NA,NA,NA,NA,NA
Science,NA,NA,NA,NA,NA,NA,NA,NA,NA
Science,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: speaking and listening/oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,Literacy: writing,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,Literacy: reading comprehension,Literacy: reading comprehension,Literacy: reading comprehension,Literacy: reading comprehension,Literacy: reading comprehension,Literacy: reading comprehension,Literacy: reading comprehension,Literacy: reading comprehension,Literacy: reading comprehension
Literacy: reading comprehension,Mathematics,Literacy: reading comprehension,Mathematics,NA,NA,NA,NA,NA,NA
Literacy: reading other,Literacy: writing,Literacy: reading other,Literacy: writing,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Science,Science,NA,NA,NA,NA,NA,NA,NA,NA
Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curriculum: other,Curriculum: other,Curriculum: other,Curriculum: other,NA,NA,NA,NA,NA,NA
Literacy: writing,Literacy: writing,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,Literacy: writing,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,Literacy: writing,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,Mathematics,Literacy: writing,NA,NA,NA,NA,NA,NA,NA
Combined subjects,Literacy: speaking and listening/oral language,Literacy: speaking and listening/oral language,Literacy: speaking and listening/oral language,NA,NA,NA,NA,NA,NA
,Combined subjects,NA,NA,NA,NA,NA,NA,NA,NA
Curriculum: other,NA,NA,NA,NA,NA,NA,NA,NA,NA
Science,Science,NA,NA,NA,NA,NA,NA,NA,NA
Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA
Science,Science,NA,NA,NA,NA,NA,NA,NA,NA
Mathematics,Mathematics,NA,NA,NA,NA,NA,NA,NA,NA
Combined subjects,Mathematics,Science,NA,NA,NA,NA,NA,NA,NA
Literacy: reading other,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,Mathematics,NA,NA,NA,NA,NA,NA,NA,NA
Science,Science,NA,NA,NA,NA,NA,NA,NA,NA
Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: spelling,Literacy: spelling,NA,NA,NA,NA,NA,NA,NA,NA
Science,NA,NA,NA,NA,NA,NA,NA,NA,NA
Combined subjects,Literacy: spelling,Literacy: spelling,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,Literacy: writing,NA,NA,NA,NA,NA,NA,NA,NA
Curriculum: other,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mathematics,Literacy: reading comprehension,Mathematics,Literacy: reading comprehension,Mathematics,Literacy: reading comprehension,Literacy: reading comprehension,Mathematics,NA,NA
Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curriculum: other,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,Literacy: writing,Literacy: writing,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,Literacy: writing,Literacy: writing,NA,NA,NA,NA,NA,NA,NA
Literacy: reading comprehension,Literacy: reading comprehension,Literacy: reading comprehension,NA,NA,NA,NA,NA,NA,NA
Science,NA,NA,NA,NA,NA,NA,NA,NA,NA
Literacy: writing,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cognitive: other,NA,NA,NA,NA,NA,NA,NA,NA,NA
