level_assig_raw,level_assig_ht,level_assig_info
School - cluster,"['Page 21:\n[¬s]""The experimental group consisted of two third grade classes from a suburban midwestern city that had a school population of 589. The control group consisted of two third grade classes from a suburban midwestern city that had a school population of 319.[¬e]""']",NA
School - cluster,"['Page 4:\n[¬s]""To control school effects, we randomly selected 50 children from\nthose participating in 7 treatment schools and 50 children from those with similar levels of fall\nbenchmark risk on an ORF measure in 7 control schools.[¬e]""']",NA
School - cluster,NA,NA
Individual,"['Page 54:\n[¬s]""In the experimental study, eighth grade students were randomly assigned to three classrooms in the following manner. Xn the school in which the experiment was conducted all eighth grade students were assigned to take mathematics in one of three time periods. From each of these blocks of students, students were randomly assigned to one of the classes used in the ex\xad periment.[¬e]""']",NA
Class,"['Page 3:\n[¬s]""The sample consisted of intact classes[¬e]""']",NA
Individual,NA,NA
Class,"['Page 4:\n[¬s]""Classrooms were randomly assigned to either a ""treatment"" (integration) or a ""control"" (observation) condition.[¬e]""']",NA
Individual,"['Page 4:\n[¬s]""Each pupil within each section of grade three and grade five vas assigned a number.[¬e]""']",NA
Individual,NA,NA
Class,NA,NA
Individual,"['Page 1:\n[¬s]""Fifty-two children with learning dis\xad abilities in seven central Illinois public schools were selected for the present study[¬e]""', 'Page 2:\n[¬s]""After the pretest, the subjects were randomly assigned to experimental and control groups, and the treatment phase began.[¬e]""']",NA
Class,"['Page 45:\n[¬s]""Each of the three experimental treatments was ""crossed"" with the teacher; that is, each teacher taught all three treatments in separate classes. [¬e]""']",NA
School - multi-site,NA,NA
Individual,"['Page 2:\n[¬s]""le. Random assignment was made to each of three testing conditions: standard, elaborated feedback, and verbal[¬e]""']",NA
Individual,"['Page 3:\n[¬s]"" Subjects were selected on the basis of having given no more than 6 (out of 24) correct responses on a screening test (mean = 1.21, SD = 1.46).[¬e]""']",NA
Individual,"['Page 61:\n[¬s]""The students were randomly assigned within classrooms (n = 25 students, approximately, per classroom) to one of five groups.[¬e]""']",NA
Individual,"['Page 37:\n[¬s]"" 24 were selected for specific treatment.[¬e]""']",NA
Individual,"['Page 4:\n[¬s]""Eighty students enrolled in the music option at the third secondary level participated in the experiment. Those students came from the Commission Scolaire R? gionale des Vieilles Forges de Trois-Rivi?res and, more specifically, from the Polyvalente Sainte-Ursule. The subjects, randomly assigned, did not know if they were assigned to one of two experimental groups (GE1 and GE2) or to a control group (GC). A measure of the de pendent variable was taken at the beginning and at the end of the experiment.[¬e]""']",NA
School - multi-site,"['Page 4:\n[¬s]""Eighty students enrolled in the music option at the third secondary level participated in the experiment. Those students came from the Commission Scolaire R? gionale des Vieilles Forges de Trois-Rivi?res and, more specifically, from the Polyvalente Sainte-Ursule. The[¬e]""']",NA
Class,NA,NA
Class,"['Page 2:\n[¬s]""The staff selected a fourth grade class with no prior experience in rate sheets. There were 14 children in the class, and all were reading 1.5 to 2,5 years below grade level. The school grouped the children homogeneously for read\xad ing.[¬e]""']",NA
Class,"['Page 4:\n[¬s]"" carried out""\n"" in""\n"" fourth grade""\n""There were 113 children in this class, and all were reading somewhat below grade level.[¬e]""']",18 not 113 - highlighting error
Individual,"['Page 2:\n[¬s]""The subjects were all of the seventh-grade stu- dents present on both testing days from two schools in small cities in central Wisconsin[¬e]""', 'Page 3:\n[¬s]"" The results of the test were used to divide the subjects of each sex into high-, me- dium-, and low-ability groups, with as nearly equal numbers as possible in each ability level""\n""The experimental design was a randomized block factorial with ability nested in sex. Sex was a nested factor, since ability grouping was done separately for males and females, and hence the cutoff scores for the ability levels were not identical in each sex.[¬e]""']",NA
Individual,"['Page 2:\n[¬s]""The subjects were all of the seventh-grade stu- dents present on both testing days from two schools in small cities in central Wisconsin[¬e]""', 'Page 3:\n[¬s]"" The results of the test were used to divide the subjects of each sex into high-, me- dium-, and low-ability groups, with as nearly equal numbers as possible in each ability level""\n""The experimental design was a randomized block factorial with ability nested in sex. Sex was a nested factor, since ability grouping was done separately for males and females, and hence the cutoff scores for the ability levels were not identical in each sex.[¬e]""']",NA
Class,"['Page 6:\n[¬s]""StudentsÕ DIBELS scores were grouped according to whether the studentsÕ teachers were in the formative assessment group or not. ÔFormative assessment groupÕ students included all children served by a remedial reading teacher who was experimenting with formative assessment in this study. The comparison group was comprised of the other at-risk students in the district in First Grade or extended-day Kindergarten, respectively.[¬e]""']",NA
Class,"['Page 128:\n[¬s]""students were drawn from six classrooms involving seven teachers[¬e]""']",NA
Class,NA,NA
Class,NA,NA
Class,NA,NA
Class,NA,NA
N,NA,NA
Class,NA,NA
Individual,NA,NA
Individual,NA,NA
Individual,NA,NA
Individual,NA,NA
Individual,NA,NA
School - cluster,NA,NA
Class,NA,NA
Individual,NA,NA
Individual,NA,NA
Individual,NA,NA
Individual,NA,NA
Individual,"['Page 24:\n[¬s]""One hundred students enrolled in the eighth grade of a public middle school in Waukesha/ Wisconsin were selected for this investigation. Selection was based on the students\' abilty to adequately read material at a seventh to eighth grade level (as indicate by a cloze test for reading proficiency), but inability to monitor their comprehension (as indicated by an informational inconsistencies assessment to determine ability to monitor comprehension). Students were randomly assigned[¬e]""']",NA
Class,"['Page 4:\n[¬s]""The 18 classes were nested within treatment condi-\ntions (whole-class treatment, half-class treatment, and\ncontrol) within schools.[¬e]""']",NA
Individual,"['Page 79:\n[¬s]""Subjects were randomly assigned to treatment groups and the order In which they read passages.[¬e]""']",NA
Class,NA,NA
Individual,"['Page 8:\n[¬s]""A total of 47 first graders took part in this experiment.\nStudents in classes I and I/ were assigned randosly tc three[¬e]""', 'Page 8:\n[¬s]""A total of 47 first graders took part in this experiment.\nStudents in classes I and I/ were assigned randosly tc three\ndifferent treatsent groups. rodents in class III were all\nassigned to the control group:[¬e]""']",but control as class
Individual,"['Page 8:\n[¬s]""less, they are just normal kids from the general population.\nA total of 47 first graders took part in this experiment.\nStudents in classes I and I/ were assigned randosly tc three\ndifferent treatsent groups. rodents in class III were all\nassigned to the control group:[¬e]""', 'Page 8:\n[¬s]""A total of 47 first graders took part in this experiment.\nStudents in classes I and I/ were assigned randosly tc three\ndifferent treatsent groups. rodents in class III were all\nassigned to the control group:[¬e]""']",for control
Individual,"['Page 8:\n[¬s]""A total of 47 first graders took part in this experiment.\nStudents in classes I and I/ were assigned randosly tc three\ndifferent treatsent groups. rodents in class III were all\nassigned to the control group:[¬e]""']",for the control it was class
Individual,"['Page 2:\n[¬s]""Random\nassignment within triads of the subjects produced three\ntreatment groups of 30 subjects each.[¬e]""']",NA
School - cluster,"['Page 10:\n[¬s]""A quasi-experimental,\nnon-equivalent control group design (Campbell & Stanley, 1966) was used to\ncompare these students’ scores with third-grade students who attended a consistently\nhigh performing school within the district.""\n"". It was a school in which\nstudents historically performed low on state-wide standardized tests.[¬e]""']",NA
Individual,"['Page 5:\n[¬s]""30 sixth graders who were randomly assigned[¬e]""']",NA
Individual,NA,NA
Not provided/ not available,NA,NA
Not provided/ not available,NA,NA
Not provided/ not available,NA,NA
Individual,"['Page 8:\n[¬s]"" Thus, assignment to experimental and control condition was made within classes, with roughly half of the children in each class randomly assigned to either condition.[¬e]""']",NA
Class,"['Page 3:\n[¬s]""Within each school, teachers were assigned randomly to experimental and contrast groups, and each teacher then selected three or four pupils for this project.[¬e]""']","'Class' selected because despite participants not taking part at class level, once each teacher had been allocated to experiment/control group the students they then chose were also automatically part of the same group."
Individual,"['Page 3:\n[¬s]""e reading groups within each of the four classrooms were rank or dered with respect to skill level. Then, a stratified ran dom sampling procedure was employed to assign read ing groups to experimental treatments. The stratified sampling insured that each teacher would have equal numbers of groups in each experimental treatment and that each treatment group would comprise equal num bers of groups from the upper and lower halves of the skill rankings.""\n""ithin the DBI group, there were 27 high- and 22 low\nachieving students; within the TYP group, there were 21\nhigh- and 18 low-achieving students. P[¬e]""']","it says groups in the classrooms, so i suppose maybe individually stratified based on their pre-test scores"
Individual,NA,NA
Individual,"['Page 2:\n[¬s]""Teachers were assigned randomly to three groups: CBM with skills analysis (Group I), CBM without skills analysis (Group 2), and con\xad trol (Group 3)""\n"" CBM teachers selected four pupils to participate, then the four students were as\xad signed randomly to two subgroups[¬e]""']","Teachers were assigned randomly to threegroups: CBM with skills analysis (Group I),CBM without skills analysis (Group 2), and con­trol (Group 3). CBM teachers selected four pupilsto participate, then the four students were as­signed randomly to two subgroups."
Class,"['Page 2:\n[¬s]""Teachers were assigned randomly to three treat\xad ments: (a) CBM with expert system advice about the nature of instructional changes (CBM-ES), (b) CBM with no expert system advice (CBM-NES), and (c) control (Le., no CBM).[¬e]""']",NA
Class,NA,"'Participants were 40 general educators in 11 schools...While stratfying for grade level, we randomly assigned teachers [to condition]...Teachers implemented their respective treatments with all students in their math classes.' (p.519)"
Individual,"['Page 46:\n[¬s]""Using a random number table, two hundred and forty male students Cage 12-13) were randomly selected out of these four schools; sixty students for each school.""\n"" Within each school the subjects were randomly assigned to one of three treatment subgroups: twenty subjects to treatment group A (Immediate knowledge of results group), twenty subjects to treatment group B (Token economy pi vis immediate knowledge of results), and twenty subjects to treatment group C (No tangible incentives nor inmediate knowledge of results).[¬e]""']",NA
Individual,"['Page 3:\n[¬s]""we con- trasted the accuracy of students\' estimates of test performance[¬e]""', 'Page 4:\n[¬s]""The students were drawn from two intact classes [¬e]""']",NA
Individual,"['Page 3:\n[¬s]""Students were randomly\nassigned to groups.[¬e]""']",NA
Individual,"['Page 5:\n[¬s]"" pupils were randomly allocated[¬e]""']",NA
Individual,NA,NA
Individual,NA,NA
Class,"['Page 299:\n[¬s]""Eight classes were randomly as\xad signed to either the experimental or control group.[¬e]""']",NA
Individual,NA,NA
Class,"['Page 1:\n[¬s]""The experimental group was composed of 24 students divided into two classes of 12 students. The classrooms were located in two schools. The control group consisted of 30 students who were in two special-educa\xad tion classes in two schools different from[¬e]""', 'Page 2:\n[¬s]""the two containing the experimental classes.[¬e]""']",NA
Individual,NA,NA
School - cluster,"['Page 10:\n[¬s]""School A was the experimental group that received AWE as a treatment, and School B was the control group that did not utilize AWE as part of its writing instruction.[¬e]""']",NA
N,NA,NA
Class,NA,NA
Class,NA,NA
Individual,NA,NA
Individual,NA,NA
Individual,NA,NA
Individual,NA,NA
Individual,NA,NA
Individual,NA,NA
Class,"['Page 82:\n[¬s]""Student participants in the study included three fifth-grade classes, with one control (n =22) and two treatment classes (n = 43).[¬e]""']",NA
School - cluster,NA,NA
Individual,NA,NA
Class,NA,NA
Class,NA,NA
Individual,"['Page 3:\n[¬s]""Pretests were administered to 150 children in kindergarten and first-grade classes of two Northfield, Minnesota public schools. The 5s were 84 of these children selected for training by virtue of missing at least four of the 10 pretest trials. There were 55 boys and 29 girls (corresponding to the sex distribution in classes pretested); 65 were in kindergarten, 10 in transitional first grade, and 9 in regular first-grade classes (age X = 77 months; range = 68-101 months).[¬e]""']",NA
Class,NA,NA
